CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1610001,470.9,424.6,194.8,33.5,279.9
1610002,182.1,212.5,199.5,497.5,299.2
1610003,198.4,164.1,109.8,243.7,210.0
1610004,56.6,229.6,264.9,148.2,147.1
1610005,121.2,20.5,17.1,495.7,354.5
1610006,311.9,38.7,71.7,314.0,324.5
1610007,462.7,240.2,199.0,398.2,23.9
1610008,474.5,436.8,173.7,91.5,207.5
1610009,360.6,,357.0,458.3,253.4
1610010,112.8,418.3,106.6,241.2,420.4
1610011,272.4,337.5,465.9,336.8,29.6
1610012,111.5,109.8,75.5,74.7,112.1
1610013,366.5,145.8,252.8,469.0,392.5
1610014,315.3,332.5,165.2,192.9,215.3
1610015,319.3,428.7,117.9,54.8,222.3
1610016,430.5,28.9,114.1,199.6,418.1
1610017,225.7,279.1,482.6,444.9,437.8
1610018,390.9,116.0,86.6,294.6,375.3
1610019,277.0,460.1,91.4,491.6,456.7
1610020,107.1,45.2,458.6,265.5,461.3
1610021,289.5,425.3,461.7,283.5,472.9
1610022,86.1,78.7,61.7,255.7,111.6
1610023,201.7,30.1,283.5,183.6,321.6
1610024,345.6,164.7,295.7,431.6,409.5
1610025,454.3,377.4,264.6,40.1,163.2
1610026,140.6,139.9,226.2,349.2,17.2
1610027,224.0,145.7,283.0,103.4,134.1
1610028,374.3,127.5,187.9,241.4,318.8
1610029,377.5,369.1,125.1,159.3,370.1
1610030,149.3,465.5,217.2,135.8,247.7
1610031,381.2,417.4,342.6,426.3,96.3
1610032,328.3,,181.6,375.4,297.7
1610033,306.4,128.3,488.9,464.5,494.0
1610034,269.2,211.9,480.5,66.4,461.9
1610035,278.6,95.3,421.5,22.0,142.3
1610036,58.4,371.1,170.2,461.7,16.2
1610037,139.7,170.0,285.6,56.6,498.2
1610038,329.8,495.8,30.5,70.0,19.7
1610039,298.2,350.2,472.7,301.0,313.5
1610040,118.7,137.9,253.8,349.5,253.5
1610041,479.9,400.7,118.2,26.1,175.7
1610042,311.8,166.9,412.1,478.5,150.4
1610043,399.0,68.1,185.6,457.2,102.2
1610044,139.6,413.8,468.9,374.6,421.8
1610045,479.4,306.7,25.4,396.0,373.7
1610046,196.1,407.7,16.8,70.6,123.6
1610047,481.4,486.7,161.8,149.2,47.4
1610048,124.0,99.3,107.1,165.2,484.3
1610049,424.7,88.8,329.2,410.4,455.0
1610050,167.2,327.4,183.5,328.1,472.2
1610051,260.9,28.2,20.9,286.5,406.8
1610052,237.9,256.3,89.6,77.8,208.4
1610053,45.6,104.0,116.0,128.6,99.7
1610054,298.5,250.7,112.7,338.2,317.5
1610055,99.2,146.0,11.7,144.4,145.3
1610056,434.5,71.9,96.6,342.2,393.0
1610057,166.4,153.8,413.1,422.1,72.7
1610058,476.9,208.5,228.7,163.9,300.8
1610059,232.1,341.9,178.0,74.5,151.2
1610060,324.5,,57.8,373.9,299.0
1610061,197.2,405.1,239.9,446.8,195.6
1610062,391.5,290.4,326.8,56.4,257.9
1610063,234.7,477.0,24.0,357.1,422.3
1610064,381.2,222.5,173.1,20.5,453.2
1610065,411.6,166.2,451.1,370.3,145.4
1610066,493.5,377.4,327.1,90.2,215.8
1610067,59.4,39.3,214.7,218.3,87.0
1610068,264.7,496.2,170.1,261.5,158.0
1610069,181.4,201.2,457.8,293.0,311.9
1610070,35.7,442.8,222.8,231.2,147.9
1610071,103.9,87.0,382.2,357.0,70.5
1610072,155.0,77.7,50.9,325.9,139.4
1610073,266.2,299.3,469.7,241.1,453.5
1610074,99.0,70.5,367.0,60.6,83.2
1610075,422.9,291.2,283.9,496.0,59.4
1610076,161.9,207.7,451.3,459.9,254.7
1610077,47.0,374.6,464.6,39.8,110.9
1610078,87.3,251.7,360.4,416.9,85.6
1610079,282.1,30.5,120.1,233.1,344.3
1610080,148.5,448.7,461.2,456.6,375.4
1610081,206.0,286.8,189.2,328.7,57.3
1610082,256.9,377.3,197.9,372.6,39.0
1610083,393.7,280.8,148.5,266.9,24.3
1610084,258.5,457.5,261.0,73.3,356.8
1610085,225.0,312.1,334.1,439.3,218.6
1610086,343.8,247.3,195.8,406.1,325.3
1610087,446.7,342.1,93.6,436.2,91.6
1610088,443.1,474.9,334.6,318.3,480.2
1610089,372.1,184.1,489.8,296.2,273.2
1610090,56.7,75.3,98.1,468.2,223.8
1610091,32.9,320.1,268.7,373.9,29.9
1610092,84.5,101.7,126.8,415.7,206.8
1610093,122.3,259.9,357.3,332.0,210.1
1610094,261.4,494.1,203.8,81.3,499.6
1610095,45.2,43.3,35.5,92.0,401.9
1610096,162.6,463.8,252.3,209.7,208.3
1610097,175.8,329.0,276.3,462.5,241.5
1610098,481.2,298.3,464.1,386.5,404.5
1610099,266.0,409.0,71.5,288.6,145.9
1610100,266.0,266.0,182.0,368.1,261.0
1610101,76.5,428.2,175.3,34.1,247.1
1610102,469.6,442.9,225.2,118.2,353.1
1610103,295.4,59.1,379.0,134.6,177.6
1610104,252.8,36.9,55.1,157.7,185.0
1610105,199.2,448.5,128.7,188.8,399.6
1610106,149.6,424.4,375.2,226.0,488.0
1610107,495.1,389.8,464.4,420.0,37.1
1610108,150.9,178.8,391.4,233.7,21.0
1610109,258.1,254.3,26.3,416.4,80.0
1610110,336.1,223.9,77.3,207.0,167.3
1610111,445.7,458.2,94.7,217.3,139.3
1610112,257.8,490.3,193.2,97.1,406.4
1610113,11.3,30.7,462.7,359.3,445.7
1610114,339.9,390.1,335.2,238.5,294.7
