TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1620001,167.3,380.3,1,0,0
1620002,380.3,23.2,0,0,0
1620003,440.2,450.8,0,1,0
1620004,349.7,257.7,0,0,0
1620005,394.5,265.2,0,0,1
1620006,455.4,329.1,1,0,0
1620007,367.1,184.0,0,1,0
1620008,155.0,481.2,1,1,0
1620009,144.8,400.5,1,0,0
1620010,359.0,297.0,0,0,0
1620011,275.3,35.5,0,1,0
1620012,499.5,325.5,1,1,0
1620013,486.5,185.6,0,1,0
1620014,428.9,214.0,0,0,0
1620015,164.2,185.3,1,0,1
1620016,342.3,49.2,1,1,0
1620017,38.2,394.3,0,0,0
1620018,265.7,274.0,0,1,0
1620019,102.7,55.4,1,1,0
1620020,465.5,344.6,0,1,0
1620021,497.7,404.0,1,1,0
1620022,60.9,297.4,1,0,0
1620023,194.0,412.3,1,1,0
1620024,435.3,210.3,1,1,0
1620025,445.4,86.0,0,1,0
1620026,74.3,147.0,1,1,0
1620027,297.0,196.2,0,0,0
1620028,276.3,202.1,1,1,0
1620029,460.3,499.8,0,0,1
1620030,262.2,470.7,0,1,0
1620031,125.8,496.4,0,1,0
1620032,291.1,210.5,0,0,0
1620033,344.6,246.3,1,0,0
1620034,231.3,398.7,1,0,0
1620035,127.7,163.9,1,0,0
1620036,304.5,30.3,0,0,1
1620037,252.7,362.3,1,0,0
1620038,223.7,49.2,0,0,1
1620039,192.0,292.8,1,1,0
1620040,187.1,30.7,1,0,0
1620041,215.5,177.0,1,1,1
1620042,286.6,349.8,0,0,0
1620043,441.3,377.3,1,1,0
1620044,346.3,172.9,1,0,0
1620045,164.3,163.6,1,0,0
1620046,76.9,265.3,0,0,0
1620047,117.0,238.6,1,1,0
1620048,399.9,399.4,0,1,0
1620049,321.7,356.7,0,1,0
1620050,26.6,26.5,0,1,0
1620051,27.4,206.2,1,0,1
1620052,97.2,400.5,1,1,0
1620053,276.8,153.3,1,0,1
1620054,349.1,60.7,1,0,0
1620055,256.8,19.1,0,1,0
1620056,164.9,482.5,0,1,0
1620057,160.1,28.9,1,1,0
1620058,197.6,239.5,0,0,0
1620059,179.4,122.7,0,1,1
1620060,88.7,304.6,1,0,0
1620061,204.2,102.8,1,1,0
1620062,317.1,430.6,0,0,0
1620063,171.3,88.9,0,0,0
1620064,477.6,260.5,0,0,0
1620065,276.9,450.3,0,0,0
1620066,407.6,97.7,1,1,0
1620067,295.7,259.8,1,1,0
1620068,227.4,334.3,0,1,1
1620069,336.5,47.4,1,0,1
1620070,200.2,95.3,0,1,0
1620071,491.4,87.5,0,0,0
1620072,308.6,87.5,0,1,0
1620073,173.9,473.4,1,0,0
1620074,168.3,29.3,1,1,0
1620075,241.8,479.5,1,1,1
1620076,483.3,407.3,1,1,0
1620077,262.2,154.8,1,0,0
1620078,411.7,147.4,0,1,0
1620079,257.8,188.0,1,0,1
1620080,186.0,366.9,1,1,0
1620081,435.6,490.8,0,1,0
1620082,113.2,301.5,0,0,1
1620083,351.5,368.5,1,1,0
1620084,290.3,27.6,1,0,0
1620085,465.1,276.7,1,1,0
1620086,455.3,309.9,1,0,0
1620087,484.3,334.3,0,0,0
1620088,88.6,440.8,0,1,0
1620089,326.3,268.9,0,1,0
1620090,398.0,107.9,1,0,0
1620091,430.2,168.1,1,1,0
1620092,462.8,292.1,1,0,0
1620093,252.0,154.2,0,0,0
1620094,15.2,155.0,1,1,1
1620095,178.7,311.6,1,1,0
1620096,331.3,492.0,0,0,0
1620097,459.1,248.7,1,1,0
1620098,176.5,43.6,1,0,0
1620099,15.0,372.2,1,0,0
1620100,109.0,232.3,0,0,0
1620101,137.7,470.2,1,0,0
1620102,109.4,487.6,1,1,0
1620103,237.0,116.4,0,0,0
1620104,275.3,235.9,1,1,0
1620105,451.5,53.9,0,0,0
1620106,495.3,478.0,1,0,0
1620107,367.1,431.8,0,1,0
1620108,55.9,29.9,1,0,0
1620109,415.1,276.9,1,1,1
1620110,304.3,161.2,1,0,0
1620111,60.9,139.8,0,0,0
1620112,338.8,488.0,0,0,0
1620113,402.2,467.9,0,1,0
1620114,193.6,190.4,0,0,0
1620115,320.3,65.2,0,0,0
1620116,48.4,43.0,0,0,1
1620117,495.0,110.1,1,1,1
1620118,344.6,158.7,1,1,0
1620119,198.6,489.0,0,1,0
1620120,164.2,13.9,0,1,0
1620121,434.8,367.2,1,0,0
1620122,247.4,447.1,0,1,0
1620123,407.4,94.4,1,1,0
1620124,133.7,344.6,1,1,0
1620125,399.0,32.3,0,0,0
1620126,319.6,11.1,1,0,1
1620127,44.5,333.9,0,1,1
1620128,72.9,326.0,0,0,1
1620129,276.7,26.8,0,0,0
1620130,478.0,109.7,1,1,0
1620131,66.5,25.5,0,1,0
1620132,395.7,29.2,0,0,0
1620133,490.4,416.4,1,0,0
1620134,497.9,123.4,0,1,0
1620135,390.3,412.6,0,0,0
1620136,423.5,381.3,1,1,0
1620137,149.3,253.1,1,1,0
1620138,401.2,304.2,0,0,0
1620139,79.8,466.0,1,0,0
1620140,445.2,291.2,0,0,0
1620141,136.2,109.8,1,0,0
1620142,334.3,171.6,1,0,0
1620143,251.1,144.6,0,1,0
1620144,494.1,373.5,0,0,0
1620145,122.7,102.1,0,0,0
1620146,58.5,257.4,1,0,0
1620147,130.6,221.3,1,0,0
1620148,476.6,446.4,1,1,0
1620149,477.0,162.3,0,1,0
1620150,98.0,94.8,1,0,1
1620151,25.7,167.6,1,1,0
1620152,394.4,235.6,0,1,0
1620153,428.4,100.6,0,1,0
1620154,281.5,77.3,0,0,0
1620155,129.3,292.5,1,1,0
1620156,59.1,290.4,1,0,0
1620157,332.5,138.6,1,1,0
1620158,181.9,205.4,1,1,0
1620159,480.3,103.2,1,0,0
1620160,480.8,246.4,0,1,1
1620161,37.8,288.7,1,0,0
1620162,279.1,494.1,1,1,0
1620163,492.4,445.0,1,0,0
1620164,148.5,266.0,1,0,0
1620165,136.5,50.9,0,0,0
1620166,129.4,93.1,1,1,0
1620167,462.8,276.1,1,1,1
1620168,307.0,182.2,1,1,0
1620169,99.3,490.0,1,0,0
1620170,219.4,24.2,0,1,0
1620171,102.0,61.9,0,1,0
1620172,314.6,373.4,0,1,0
1620173,313.8,188.7,0,0,0
1620174,280.5,110.1,1,0,0
1620175,469.5,307.9,0,1,0
1620176,350.4,440.2,1,0,0
1620177,475.7,105.1,1,0,0
1620178,43.1,469.2,0,1,0
1620179,473.8,132.7,0,0,0
1620180,183.2,161.2,1,1,0
1620181,195.8,478.3,0,0,0
1620182,249.7,209.5,0,1,1
1620183,160.9,160.2,0,0,0
1620184,273.1,184.7,1,1,0
1620185,25.3,191.2,1,1,0
1620186,66.1,433.9,0,0,0
1620187,200.8,151.2,1,0,0
1620188,469.3,42.2,1,0,0
1620189,404.5,46.6,1,0,0
1620190,67.1,461.9,1,1,0
1620191,255.5,451.2,0,1,0
1620192,93.3,412.3,1,1,0
1620193,21.4,376.9,0,0,0
1620194,450.5,113.4,0,0,1
1620195,421.5,374.1,0,1,0
1620196,278.8,26.2,1,1,0
1620197,430.6,359.4,0,1,1
1620198,494.3,258.2,0,1,1
1620199,372.1,436.0,0,0,0
1620200,279.3,477.2,0,1,0
1620201,62.0,308.5,1,1,0
1620202,186.1,373.2,0,1,0
1620203,158.8,15.2,1,0,0
1620204,226.7,169.9,1,0,0
1620205,488.4,87.1,0,1,0
1620206,137.5,78.6,0,0,0
1620207,193.9,226.2,1,0,0
1620208,344.9,430.8,1,0,0
1620209,76.5,289.4,1,1,0
1620210,392.7,291.2,1,1,0
1620211,180.6,118.3,0,0,0
1620212,105.3,255.3,1,1,0
1620213,368.3,,1,0,0
1620214,136.8,308.7,1,0,0
1620215,128.5,452.5,1,1,0
1620216,303.5,25.5,1,0,0
1620217,160.7,139.5,0,0,0
1620218,344.4,335.3,1,0,0
1620219,423.2,425.7,0,1,0
1620220,140.2,252.3,1,0,0
1620221,204.4,158.8,0,0,0
1620222,311.2,217.7,1,0,0
1620223,351.9,457.8,0,0,0
1620224,423.8,342.8,1,0,0
1620225,312.1,120.2,0,1,0
1620226,425.5,169.5,0,1,0
1620227,34.9,475.5,1,0,0
1620228,474.1,28.8,0,1,0
1620229,102.4,199.0,0,1,0
1620230,361.6,211.8,0,1,0
1620231,441.8,416.6,0,1,0
1620232,11.3,427.7,1,1,0
1620233,202.4,396.8,0,0,0
1620234,108.7,54.7,0,1,0
1620235,377.9,217.8,0,1,0
1620236,386.1,60.6,1,0,0
1620237,456.1,140.3,0,0,1
1620238,80.1,145.2,0,1,0
1620239,162.9,205.5,0,0,0
1620240,321.8,342.6,0,0,0
1620241,198.8,326.7,1,1,0
1620242,444.4,174.0,1,0,0
1620243,297.1,123.1,1,1,0
1620244,367.4,132.5,1,1,1
1620245,193.4,315.7,0,0,0
1620246,302.3,218.6,0,1,0
1620247,371.4,388.3,1,0,0
1620248,173.2,246.9,0,1,0
1620249,496.5,139.8,1,1,1
1620250,259.0,123.7,1,0,0
1620251,219.9,190.2,0,0,0
1620252,433.6,187.9,1,1,0
1620253,373.5,468.7,1,0,1
1620254,246.3,384.8,0,0,0
1620255,142.7,123.6,0,0,0
1620256,242.5,166.8,0,1,0
1620257,414.3,378.1,0,1,0
1620258,448.9,32.7,1,0,1
1620259,287.1,147.9,0,1,0
1620260,403.6,142.6,0,1,0
1620261,373.9,143.1,0,1,0
1620262,288.5,23.8,1,1,0
1620263,289.4,159.5,1,0,0
1620264,48.0,347.7,1,0,0
1620265,288.2,264.2,1,0,0
1620266,46.8,430.8,1,1,0
1620267,347.6,247.6,0,0,0
1620268,354.9,208.1,1,0,0
1620269,465.0,326.3,0,1,0
1620270,284.8,482.3,1,0,0
1620271,44.9,314.1,0,0,0
1620272,61.1,203.8,0,0,0
1620273,206.2,402.9,1,1,0
1620274,497.5,145.4,0,0,0
1620275,331.9,,0,1,0
1620276,390.4,61.5,0,0,0
1620277,327.0,438.6,1,0,0
1620278,235.5,246.6,1,0,0
1620279,125.1,84.4,0,0,0
