DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1660001,155.9,64.0,108.5,298.1,Medium
1660002,415.4,352.4,350.4,493.2,Low
1660003,385.0,349.6,201.6,466.0,Medium
1660004,23.0,281.2,83.8,157.1,Low
1660005,394.8,77.0,106.3,472.1,High
1660006,302.0,371.4,446.9,267.2,High
1660007,303.7,452.8,337.6,112.3,Low
1660008,353.9,48.7,25.4,317.1,High
1660009,499.4,229.8,309.3,471.8,Medium
1660010,430.9,260.2,335.0,212.2,Medium
1660011,247.5,490.7,410.4,205.4,Medium
1660012,137.4,417.1,326.9,103.3,Low
1660013,60.6,402.3,358.1,357.3,Low
1660014,231.5,,62.3,75.8,Low
1660015,105.9,367.3,256.0,448.5,High
1660016,397.7,458.9,247.1,58.8,Medium
1660017,178.8,19.6,454.6,245.6,Medium
1660018,410.9,274.5,149.0,389.6,Low
1660019,119.6,487.7,200.3,151.9,Medium
1660020,140.8,144.8,242.9,242.6,Medium
1660021,420.1,397.1,429.5,296.3,Low
1660022,372.7,325.0,330.8,392.4,High
1660023,222.4,83.7,410.5,418.9,High
1660024,135.5,153.4,497.1,288.1,Medium
1660025,239.9,83.3,144.6,473.8,High
1660026,59.1,209.4,337.5,166.7,High
1660027,163.8,150.3,197.0,293.5,Low
1660028,267.6,401.6,422.0,332.8,Medium
1660029,195.7,425.1,62.1,182.5,Low
1660030,260.4,294.4,397.3,348.3,Medium
1660031,74.0,213.8,423.7,343.0,High
1660032,133.0,256.7,43.2,402.4,Low
1660033,233.0,476.2,153.4,22.0,Medium
1660034,421.1,117.0,22.4,364.3,Low
1660035,330.1,,344.1,261.0,Low
1660036,361.4,65.1,433.6,123.2,High
1660037,275.5,96.9,446.2,106.9,Low
1660038,116.4,158.1,440.4,130.1,Medium
1660039,185.7,,15.8,96.4,Low
1660040,136.9,402.5,206.3,390.7,Medium
1660041,450.8,395.3,423.7,125.1,Medium
1660042,455.1,449.6,494.3,170.7,Medium
1660043,82.6,44.6,365.3,394.0,Low
1660044,452.2,133.2,60.7,202.0,Medium
1660045,359.9,118.6,425.0,339.5,Medium
1660046,364.1,309.5,126.8,192.4,Low
1660047,297.6,190.3,346.0,132.7,High
1660048,146.1,95.1,214.0,216.2,High
1660049,70.4,400.2,72.1,264.4,Medium
1660050,150.9,251.3,92.1,141.3,High
1660051,361.7,110.2,10.6,473.2,High
1660052,449.8,10.8,451.6,110.9,Medium
1660053,142.2,466.9,293.3,19.3,Medium
1660054,341.1,162.5,170.7,60.9,Low
1660055,178.2,45.9,387.5,319.1,Medium
1660056,229.5,226.3,386.1,102.7,Medium
1660057,453.0,,478.0,493.5,Medium
1660058,194.7,335.7,312.5,399.1,Low
1660059,456.1,407.8,246.5,470.3,High
1660060,295.5,363.8,363.5,461.7,High
1660061,183.8,232.8,440.0,473.9,High
1660062,358.3,455.7,100.5,128.8,High
1660063,160.5,493.9,409.4,112.4,Low
1660064,464.1,326.9,342.5,270.0,Medium
1660065,419.4,150.3,467.9,102.3,Low
1660066,167.6,202.8,494.4,346.3,Medium
1660067,154.5,442.1,479.3,16.4,Low
1660068,331.6,337.9,258.4,73.9,Low
1660069,445.6,467.5,25.8,99.3,High
1660070,172.0,14.0,219.0,334.6,Low
1660071,493.4,351.2,269.5,482.5,Low
1660072,445.8,432.8,42.7,328.0,Low
1660073,218.5,337.8,260.2,128.3,High
1660074,231.2,166.9,276.3,206.6,Medium
1660075,214.2,385.7,307.1,221.9,Medium
1660076,74.9,111.2,334.8,169.7,High
1660077,396.4,306.5,133.8,344.0,Medium
1660078,278.1,313.2,347.7,225.1,Medium
1660079,63.3,84.9,62.9,409.5,Medium
1660080,121.8,387.2,434.7,378.7,Medium
1660081,161.0,248.2,311.0,61.5,Low
1660082,43.2,120.9,12.2,476.2,Medium
1660083,199.8,87.6,364.3,253.2,Medium
1660084,448.5,65.8,135.7,269.2,Medium
1660085,469.6,394.9,136.6,263.3,High
1660086,454.2,71.1,182.2,146.6,Medium
1660087,200.5,266.1,454.0,452.5,Low
1660088,386.6,362.3,340.1,345.3,High
1660089,317.5,120.8,341.5,333.8,Low
1660090,124.0,292.3,248.4,219.7,Medium
1660091,139.0,441.0,113.7,388.7,High
1660092,232.2,301.0,428.6,474.5,Medium
1660093,473.0,172.6,181.0,434.1,High
1660094,168.1,450.9,306.9,62.2,High
1660095,28.0,499.4,229.8,76.6,Low
1660096,79.4,253.4,245.7,121.0,Low
1660097,228.6,84.0,41.4,43.0,Medium
1660098,227.7,451.4,404.0,154.9,Medium
1660099,313.2,286.5,12.7,186.9,Low
1660100,154.7,273.5,289.4,468.0,Medium
1660101,239.0,410.6,205.8,201.5,Medium
1660102,307.0,251.5,263.0,325.7,Medium
1660103,310.5,,301.4,379.3,Medium
1660104,499.3,167.5,57.6,463.1,Low
1660105,348.8,355.3,459.9,235.5,High
1660106,51.9,44.4,32.6,87.5,Low
1660107,86.7,493.0,330.2,100.4,Medium
1660108,470.1,451.7,363.2,337.1,High
1660109,403.0,415.6,232.6,450.3,High
1660110,359.7,221.8,241.4,268.3,Medium
1660111,343.2,144.1,131.7,222.0,Low
1660112,309.4,98.3,299.3,372.3,High
1660113,452.9,169.4,389.4,269.3,Low
1660114,70.6,368.8,179.3,389.3,High
1660115,281.1,80.2,17.2,62.6,High
1660116,176.1,459.6,351.2,184.0,High
1660117,311.2,133.0,413.5,58.2,High
1660118,194.2,162.2,66.1,215.6,High
1660119,21.5,189.8,338.7,333.1,Medium
1660120,80.4,338.9,397.0,115.0,Medium
1660121,251.7,424.4,355.2,47.6,Medium
1660122,473.5,478.3,172.8,353.3,High
1660123,368.6,123.1,112.1,499.6,Medium
1660124,352.5,344.3,493.0,68.2,High
1660125,489.3,235.3,494.7,95.8,Low
1660126,103.9,239.8,141.6,215.0,Medium
1660127,277.6,46.7,11.4,133.4,Low
1660128,435.3,365.4,425.4,246.6,Low
1660129,354.7,152.2,231.2,229.0,High
1660130,213.5,41.5,204.2,328.7,Medium
1660131,423.4,190.8,65.9,175.4,Low
1660132,495.6,464.2,349.8,388.9,Low
1660133,468.9,498.5,190.2,413.7,Low
1660134,262.2,323.6,274.4,424.0,High
1660135,208.4,51.4,359.3,86.9,High
1660136,403.1,24.1,42.0,311.9,Low
1660137,178.1,123.7,123.2,58.4,Medium
1660138,373.9,88.0,140.7,357.8,High
1660139,431.4,201.1,454.8,374.0,Medium
1660140,412.2,136.7,432.3,272.6,Low
1660141,62.3,186.7,92.9,153.2,Medium
1660142,407.1,62.3,267.3,188.6,High
1660143,382.6,296.6,141.7,355.3,Medium
1660144,211.1,305.5,453.7,304.8,Medium
1660145,21.3,461.7,385.0,194.5,Low
1660146,176.3,233.1,76.6,68.5,Medium
1660147,453.6,445.1,448.5,435.3,Medium
1660148,456.5,176.0,351.6,102.7,High
1660149,85.9,72.9,33.2,269.0,Medium
1660150,281.7,68.9,38.2,150.4,Low
1660151,142.1,410.7,27.6,196.5,High
1660152,363.5,246.6,256.3,318.3,Medium
1660153,245.1,229.4,397.9,455.7,Low
1660154,50.0,367.6,130.7,411.0,Medium
1660155,35.7,136.0,61.3,370.1,Medium
1660156,219.9,228.0,471.5,182.5,High
1660157,79.0,319.7,288.8,145.1,Low
1660158,264.4,128.6,75.8,211.1,Medium
1660159,237.6,398.6,437.9,25.3,Low
1660160,357.2,273.6,146.0,369.0,Low
1660161,260.2,126.1,242.7,274.8,Low
1660162,250.5,432.1,348.0,176.1,High
1660163,85.1,293.7,67.3,313.0,Medium
1660164,252.2,42.2,95.9,386.3,Low
1660165,389.1,62.0,256.6,200.1,Low
1660166,251.3,221.3,132.7,178.3,High
1660167,79.0,58.6,335.9,243.1,High
1660168,91.0,21.3,107.2,498.9,Low
1660169,420.2,487.1,321.0,446.8,High
1660170,472.5,221.7,230.5,313.7,Low
1660171,34.5,374.4,146.3,15.5,Low
1660172,447.6,278.8,248.0,70.0,Medium
1660173,378.3,82.6,298.8,232.8,Low
1660174,263.4,60.6,395.9,381.7,High
1660175,453.8,363.8,484.7,312.4,Low
1660176,408.1,62.6,21.2,491.5,Medium
1660177,292.7,331.1,444.6,291.6,High
1660178,278.3,38.5,317.8,431.6,Low
1660179,414.0,360.8,465.7,248.7,Medium
1660180,95.0,336.0,307.4,30.9,Medium
1660181,19.2,328.3,190.5,276.9,High
1660182,334.0,306.5,369.0,131.6,High
1660183,373.4,155.0,258.0,80.7,Medium
1660184,431.5,37.9,198.6,104.9,Medium
1660185,225.8,334.5,191.4,274.4,High
1660186,288.2,166.5,115.8,334.5,Low
1660187,207.9,229.6,34.0,447.8,Medium
1660188,205.9,498.7,353.9,349.8,High
1660189,493.9,290.0,247.0,382.9,High
1660190,277.3,60.5,289.4,75.5,Low
1660191,378.6,426.8,173.5,145.1,Low
1660192,242.1,127.2,51.2,115.6,High
1660193,134.9,60.3,89.8,449.5,Medium
1660194,445.6,206.1,233.2,205.1,High
1660195,350.8,178.2,22.0,420.1,Medium
1660196,190.1,136.9,265.2,222.2,Medium
1660197,292.1,239.8,129.1,431.8,Medium
1660198,476.3,159.8,370.1,459.6,Low
1660199,95.2,255.4,22.6,390.1,Low
1660200,416.6,360.8,317.5,487.0,High
1660201,495.1,214.8,157.8,195.0,Medium
1660202,96.3,165.6,43.0,184.0,Medium
1660203,185.4,,33.8,494.0,Low
1660204,130.5,425.0,330.0,135.4,Low
1660205,445.8,182.8,200.0,245.6,Medium
1660206,118.1,173.0,230.9,448.6,Medium
1660207,92.0,419.6,386.6,489.2,Medium
1660208,235.6,301.3,446.9,46.6,Medium
1660209,223.5,254.1,461.7,54.7,Medium
1660210,454.1,322.1,149.1,450.6,Medium
1660211,379.5,418.6,418.6,51.2,Medium
1660212,244.4,329.5,449.7,49.8,Low
1660213,384.9,233.1,323.4,432.7,Low
1660214,320.5,414.9,320.2,170.9,Low
1660215,276.2,,442.3,187.6,Low
1660216,203.3,164.3,56.1,495.8,High
1660217,422.6,275.2,40.1,23.5,Medium
1660218,143.0,323.5,475.6,227.7,Low
1660219,290.6,75.7,274.2,372.5,High
1660220,317.9,222.4,416.0,277.6,Low
1660221,387.1,139.5,62.0,210.8,High
1660222,121.0,373.6,346.8,401.4,Low
1660223,410.8,,183.1,370.6,Low
1660224,286.0,143.0,35.3,386.7,Low
1660225,430.7,460.9,201.7,362.6,High
1660226,109.2,151.1,70.5,407.3,High
1660227,357.6,302.5,423.7,307.4,Medium
1660228,61.3,334.9,384.0,28.7,Low
1660229,32.9,221.1,59.5,162.6,Medium
1660230,333.7,381.7,255.9,88.0,Low
1660231,266.9,102.8,214.0,361.2,Medium
1660232,16.4,33.3,111.5,50.6,Low
1660233,453.1,195.7,15.8,361.6,Low
1660234,139.3,183.0,160.5,202.8,Medium
1660235,492.9,290.3,251.8,113.6,Low
1660236,484.2,244.7,457.5,28.2,Medium
1660237,257.2,487.3,46.6,64.9,Medium
1660238,336.5,250.2,177.3,186.2,Low
1660239,396.7,124.5,227.0,432.6,Low
1660240,344.3,412.0,13.8,338.8,Medium
1660241,202.8,349.3,369.5,234.7,Medium
1660242,31.1,471.7,222.6,51.1,Medium
1660243,471.8,244.8,406.8,408.2,Low
1660244,236.3,363.9,221.1,62.9,High
1660245,34.2,225.7,140.9,137.1,Low
1660246,332.3,180.4,51.9,300.4,High
1660247,54.7,473.5,83.4,484.4,Medium
1660248,212.3,241.4,22.8,234.7,Medium
1660249,488.0,265.1,482.6,262.3,Low
1660250,32.3,467.0,84.7,323.5,Low
1660251,241.5,192.7,269.0,314.2,Medium
1660252,219.7,447.3,220.7,331.1,High
1660253,398.2,48.9,453.9,34.7,Medium
1660254,135.8,211.5,132.8,202.2,Low
1660255,63.9,83.3,87.7,491.3,Medium
1660256,112.8,367.6,251.2,480.5,High
1660257,433.9,254.3,189.9,45.6,Medium
1660258,475.5,381.4,41.6,84.6,Low
1660259,85.4,49.3,297.2,139.4,Medium
1660260,317.5,434.3,61.9,69.8,High
1660261,31.0,465.8,293.3,422.0,High
1660262,397.6,135.7,251.1,299.6,Medium
1660263,289.0,,372.0,264.4,High
1660264,19.8,334.6,346.8,278.1,Medium
1660265,117.5,12.0,319.1,18.5,Low
1660266,406.2,259.2,222.4,376.8,Low
1660267,382.0,118.7,409.3,390.9,Medium
1660268,449.2,88.3,397.5,126.0,High
1660269,374.9,326.3,233.2,164.3,Medium
1660270,433.1,87.8,214.2,464.6,Low
1660271,196.4,381.6,194.2,47.7,Low
1660272,485.1,281.9,73.4,360.7,Low
1660273,286.9,228.2,212.0,70.2,Medium
1660274,441.6,121.8,328.8,284.4,Low
1660275,164.2,496.6,267.7,436.8,Medium
1660276,167.3,174.9,221.4,76.0,Medium
1660277,224.3,78.7,99.5,258.4,High
1660278,181.0,28.4,310.2,436.2,Medium
1660279,269.4,396.7,457.9,369.1,Low
1660280,390.6,135.0,435.0,439.8,Medium
1660281,252.8,136.6,429.4,232.4,Medium
1660282,108.9,368.7,92.2,356.4,Low
1660283,190.9,128.9,317.5,33.0,Low
1660284,437.7,421.0,21.1,245.4,Low
1660285,266.5,156.5,308.5,343.2,High
1660286,114.9,452.2,119.3,133.3,Medium
1660287,196.8,486.5,245.0,202.2,High
1660288,146.2,305.8,363.7,339.6,High
1660289,410.2,249.1,191.4,127.3,Medium
1660290,317.0,75.0,85.5,217.2,Low
1660291,288.7,402.5,229.7,452.7,Low
1660292,96.7,207.3,191.4,215.1,High
1660293,29.1,92.3,22.1,385.8,Medium
1660294,230.5,331.4,376.9,398.6,High
1660295,398.8,342.7,270.0,124.4,Low
1660296,384.0,13.8,288.8,416.8,Medium
1660297,120.9,393.1,82.8,334.5,Low
1660298,291.4,415.0,438.3,319.7,Medium
1660299,472.3,240.9,126.0,145.7,High
1660300,378.0,,479.3,244.3,Low
1660301,360.8,196.2,347.4,455.0,Medium
1660302,270.3,15.1,480.1,463.1,High
1660303,312.9,434.8,203.5,197.6,High
1660304,141.7,284.0,412.2,262.0,Low
1660305,225.1,288.3,458.2,432.2,Low
1660306,300.3,451.0,88.1,370.3,High
1660307,397.1,49.9,259.5,115.3,Medium
1660308,493.7,327.7,263.6,314.5,Medium
1660309,388.0,151.7,12.0,139.8,Low
1660310,39.4,96.7,370.0,386.3,Low
1660311,430.8,174.4,241.4,463.2,High
1660312,423.5,137.6,468.3,100.5,High
1660313,429.4,470.0,310.0,204.0,Medium
1660314,114.7,292.7,453.2,318.3,Medium
1660315,385.3,99.1,20.6,460.1,Medium
1660316,131.9,13.3,103.5,356.0,High
1660317,63.9,363.6,304.1,464.7,High
1660318,53.1,292.8,391.7,202.3,Medium
1660319,279.1,245.7,408.0,292.5,High
1660320,33.5,455.2,105.4,330.2,Medium
1660321,28.4,27.3,470.9,350.0,High
1660322,341.6,476.0,76.5,388.5,High
1660323,483.0,448.2,304.3,96.4,Low
1660324,345.8,277.5,317.4,58.4,Medium
1660325,311.9,276.0,199.4,16.8,High
1660326,314.1,387.4,286.7,186.1,Low
1660327,240.5,153.3,336.5,87.2,High
1660328,159.5,87.9,486.9,201.8,Low
1660329,486.2,210.1,187.6,142.3,Medium
1660330,387.8,100.2,422.4,42.0,Medium
1660331,214.4,295.9,238.4,359.3,Low
1660332,472.9,150.8,354.9,217.9,Low
1660333,112.1,229.3,447.4,68.7,Low
1660334,154.9,236.4,50.1,110.9,Low
1660335,418.3,114.8,436.0,39.2,Medium
1660336,322.8,381.0,411.3,49.0,High
1660337,136.9,311.8,443.6,38.2,High
1660338,206.3,210.2,289.8,154.9,Low
1660339,429.0,16.0,401.3,82.3,Medium
1660340,37.7,232.3,299.4,215.3,Low
1660341,273.2,104.5,96.1,465.9,Low
1660342,34.2,156.3,413.9,282.6,Medium
1660343,355.9,497.0,280.3,193.5,Medium
1660344,370.2,336.0,128.6,33.1,High
1660345,158.8,198.6,122.8,71.5,Low
1660346,300.8,472.5,268.5,433.1,Low
1660347,435.5,216.1,359.0,232.6,Low
1660348,376.8,428.5,79.3,172.5,Medium
1660349,399.3,77.7,50.6,303.4,Low
1660350,456.8,305.6,338.6,30.0,High
1660351,116.6,304.2,316.6,411.4,High
1660352,17.7,370.8,94.9,97.4,Medium
1660353,483.3,142.0,388.4,376.3,Medium
1660354,136.2,334.8,189.5,98.7,High
