UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1670001,450.2,437.7,174.7,Basic,0
1670002,90.9,138.8,365.5,Family,1
1670003,180.5,85.8,156.6,Family,0
1670004,144.0,400.6,263.5,Family,1
1670005,483.6,462.5,261.6,Family,0
1670006,483.9,376.8,344.0,Basic,1
1670007,255.4,17.4,79.5,Basic,1
1670008,414.1,411.4,161.7,Premium,0
1670009,418.0,224.3,109.2,Basic,1
1670010,344.1,211.4,488.4,Premium,0
1670011,374.3,358.2,145.5,Basic,0
1670012,419.7,301.3,184.0,Family,1
1670013,239.2,261.5,277.9,Premium,1
1670014,239.5,82.1,,Family,0
1670015,417.7,166.8,400.4,Premium,1
1670016,186.6,381.9,258.8,Family,1
1670017,183.9,432.8,88.2,Basic,1
1670018,364.5,375.5,105.4,Premium,1
1670019,324.4,131.2,176.2,Premium,1
1670020,34.9,43.3,24.7,Basic,1
1670021,248.1,376.3,401.7,Family,0
1670022,273.3,358.8,275.0,Family,0
1670023,248.8,443.8,321.2,Basic,1
1670024,141.1,376.9,314.6,Basic,0
1670025,118.7,348.9,25.8,Family,1
1670026,346.8,184.2,258.4,Premium,0
1670027,301.3,58.8,402.1,Premium,1
1670028,282.4,21.4,123.2,Premium,1
1670029,333.7,453.2,415.0,Premium,1
1670030,168.5,269.8,220.4,Basic,1
1670031,486.4,234.4,362.6,Basic,0
1670032,406.1,143.8,344.8,Basic,0
1670033,193.6,208.1,54.6,Family,0
1670034,362.8,191.4,62.7,Premium,0
1670035,425.8,233.1,149.0,Family,1
1670036,32.2,415.5,422.2,Basic,0
1670037,343.9,23.2,234.4,Basic,0
1670038,397.8,233.6,316.3,Premium,1
1670039,22.3,216.0,106.9,Basic,0
1670040,11.7,349.5,19.7,Premium,0
1670041,309.0,60.4,49.4,Basic,1
1670042,377.7,319.0,172.7,Family,0
1670043,169.8,277.7,470.8,Basic,0
1670044,143.0,179.9,60.7,Premium,0
1670045,126.4,276.5,330.9,Premium,1
1670046,362.2,497.7,148.3,Family,1
1670047,111.8,150.3,475.0,Basic,0
1670048,170.8,337.2,324.6,Basic,1
1670049,298.5,402.6,473.9,Basic,0
1670050,451.1,315.7,170.4,Premium,1
1670051,80.4,431.2,315.1,Family,0
1670052,278.4,11.3,19.1,Family,0
1670053,31.5,438.1,406.4,Premium,0
1670054,330.1,381.7,105.0,Family,0
1670055,452.5,488.5,432.9,Basic,0
1670056,327.6,362.2,397.4,Premium,1
1670057,229.4,151.5,343.8,Premium,0
1670058,166.6,106.7,28.4,Basic,1
1670059,316.0,13.5,499.8,Basic,0
1670060,389.2,77.7,98.3,Basic,1
1670061,288.3,208.3,91.8,Premium,0
1670062,474.4,348.0,443.7,Premium,1
1670063,134.5,445.5,84.6,Family,1
1670064,335.1,298.7,184.4,Family,0
1670065,372.8,153.7,147.4,Premium,1
1670066,476.6,300.8,22.9,Basic,0
1670067,204.6,432.0,79.9,Family,0
1670068,488.1,399.0,455.4,Basic,1
1670069,174.0,490.5,34.4,Basic,0
1670070,439.8,247.7,175.5,Premium,0
1670071,490.6,483.6,30.6,Family,1
1670072,431.5,339.1,253.3,Basic,0
1670073,224.4,379.4,267.7,Basic,1
1670074,181.7,241.6,374.2,Premium,0
1670075,228.8,287.9,150.6,Basic,1
1670076,170.6,101.0,52.9,Family,0
1670077,24.0,27.3,308.1,Premium,1
1670078,396.5,220.8,373.9,Family,0
1670079,41.9,272.9,42.1,Premium,0
1670080,187.2,299.0,406.8,Basic,0
1670081,108.3,319.8,296.3,Premium,0
1670082,359.5,447.5,349.5,Family,0
1670083,223.1,484.1,256.9,Family,0
1670084,237.6,58.5,281.8,Family,0
1670085,163.4,104.0,130.1,Premium,1
1670086,155.9,482.8,233.0,Family,0
1670087,325.5,113.6,94.4,Family,1
1670088,446.3,239.6,223.0,Family,1
1670089,292.1,388.7,49.1,Family,1
1670090,345.0,264.3,416.3,Family,0
1670091,165.1,340.7,23.1,Premium,1
1670092,394.7,216.5,359.3,Basic,0
1670093,390.4,392.8,437.6,Basic,1
1670094,363.4,263.7,245.5,Basic,0
1670095,432.5,96.0,67.1,Premium,1
1670096,266.6,224.7,258.0,Premium,0
1670097,426.0,439.3,254.1,Family,1
1670098,229.8,261.6,108.6,Premium,0
1670099,279.0,18.7,461.4,Premium,0
1670100,359.9,123.4,458.9,Premium,1
1670101,353.5,67.8,374.7,Family,1
1670102,337.8,487.6,142.1,Premium,1
1670103,108.4,79.5,97.7,Family,1
1670104,134.3,130.7,401.3,Premium,0
1670105,77.3,50.9,53.4,Premium,0
1670106,143.8,79.5,352.1,Basic,0
1670107,212.5,251.0,308.4,Family,0
1670108,471.6,94.0,,Family,0
1670109,376.6,156.7,396.1,Premium,1
1670110,161.0,167.2,416.5,Basic,1
1670111,11.8,205.9,,Premium,0
1670112,183.6,455.6,61.9,Basic,0
1670113,194.8,225.2,243.7,Basic,1
1670114,15.3,112.4,274.4,Basic,1
1670115,52.2,364.6,457.7,Premium,0
1670116,244.3,113.4,450.8,Basic,0
1670117,238.8,35.8,140.7,Premium,0
1670118,90.1,121.2,293.5,Basic,1
1670119,410.9,485.4,333.0,Family,0
1670120,497.3,306.0,112.1,Family,1
1670121,242.2,391.8,221.9,Family,0
1670122,85.2,98.3,342.7,Family,0
1670123,245.1,133.0,280.4,Premium,1
1670124,441.2,452.7,351.2,Premium,1
1670125,475.8,474.5,396.8,Family,1
1670126,136.6,233.8,404.8,Basic,1
1670127,170.5,325.5,297.6,Basic,0
1670128,195.4,104.3,124.3,Basic,0
1670129,361.3,425.4,280.9,Family,1
1670130,391.2,35.0,125.6,Premium,0
1670131,73.2,220.5,,Basic,1
1670132,203.9,319.9,118.1,Family,1
1670133,369.9,379.4,455.7,Family,1
1670134,143.0,454.5,327.3,Family,0
1670135,219.9,151.1,480.9,Family,0
1670136,216.1,173.8,127.9,Premium,0
1670137,379.1,423.4,418.9,Basic,1
1670138,408.8,437.5,178.5,Family,0
1670139,370.8,389.6,12.7,Premium,0
1670140,88.1,255.7,399.8,Premium,0
1670141,203.5,72.6,238.9,Basic,1
1670142,27.4,296.0,232.8,Basic,1
1670143,213.7,111.5,173.8,Basic,1
1670144,161.1,494.2,179.0,Family,0
1670145,305.3,32.4,289.7,Premium,1
1670146,186.9,465.0,444.1,Family,0
1670147,79.3,369.9,88.2,Basic,1
1670148,499.4,140.5,307.3,Basic,1
1670149,348.2,298.4,441.6,Family,0
1670150,73.7,378.2,273.7,Premium,0
1670151,11.3,87.2,282.9,Premium,0
1670152,438.6,53.6,456.6,Family,1
1670153,381.4,265.6,328.0,Premium,1
1670154,45.4,357.1,57.6,Family,0
1670155,81.5,198.5,93.7,Premium,0
1670156,282.9,432.5,188.2,Basic,0
1670157,288.8,359.2,461.7,Premium,1
1670158,465.5,169.6,246.7,Premium,0
1670159,203.4,62.7,379.6,Family,0
1670160,79.4,118.9,218.0,Family,1
1670161,124.1,172.3,66.5,Basic,1
1670162,96.1,399.9,472.6,Basic,0
1670163,332.8,348.2,245.0,Premium,1
1670164,212.5,51.0,88.6,Family,0
1670165,42.4,86.3,152.6,Family,0
1670166,455.2,169.4,492.5,Basic,0
1670167,336.9,174.7,280.9,Family,0
1670168,215.3,233.7,229.1,Basic,0
1670169,154.9,298.5,136.9,Family,0
1670170,18.9,365.1,294.7,Premium,0
1670171,182.2,83.8,338.7,Premium,0
1670172,458.9,426.3,270.3,Family,1
1670173,320.3,96.8,179.2,Premium,0
1670174,195.4,361.4,445.2,Premium,0
1670175,294.9,453.9,106.7,Premium,1
1670176,244.7,155.5,388.4,Basic,1
1670177,360.4,352.0,421.1,Premium,0
1670178,279.3,89.5,329.9,Premium,0
1670179,27.0,293.1,76.8,Basic,0
1670180,260.8,139.7,472.6,Family,1
1670181,144.7,485.3,249.9,Premium,0
1670182,274.5,255.3,244.0,Family,0
1670183,264.1,312.0,38.4,Family,1
1670184,384.7,469.1,336.3,Basic,1
1670185,436.6,83.4,432.6,Premium,1
1670186,282.8,380.2,287.1,Basic,0
1670187,36.5,56.9,403.0,Premium,1
1670188,320.3,178.2,211.4,Premium,0
1670189,116.8,346.0,78.1,Family,0
1670190,122.1,338.8,442.1,Premium,0
1670191,72.7,336.0,46.2,Family,0
1670192,83.0,79.4,238.0,Basic,1
1670193,366.9,441.4,436.9,Family,1
1670194,200.7,31.4,275.1,Family,0
1670195,489.6,280.2,299.7,Premium,1
1670196,238.2,445.7,65.3,Premium,0
1670197,475.9,233.1,199.1,Basic,0
1670198,412.7,221.0,374.0,Premium,1
1670199,283.9,436.2,398.4,Basic,0
1670200,439.5,103.5,259.2,Basic,0
1670201,448.6,267.2,32.3,Basic,0
1670202,435.7,182.2,201.0,Premium,0
1670203,441.6,205.1,197.1,Premium,1
1670204,83.6,110.9,384.7,Basic,0
1670205,347.9,144.8,99.5,Premium,1
1670206,228.2,100.8,141.6,Premium,1
1670207,123.1,46.9,407.9,Premium,0
1670208,112.0,150.3,139.7,Premium,0
1670209,469.7,303.5,239.8,Family,0
1670210,33.7,103.7,336.8,Basic,0
1670211,436.2,357.3,,Premium,1
1670212,200.0,315.4,157.1,Basic,1
1670213,82.3,318.1,429.7,Family,0
1670214,210.3,483.0,422.0,Basic,0
1670215,236.3,382.5,113.8,Basic,1
1670216,386.9,469.0,370.2,Premium,0
1670217,271.5,81.5,317.3,Premium,0
1670218,310.9,291.3,438.0,Basic,1
1670219,263.9,498.5,198.3,Premium,0
1670220,438.9,430.9,165.7,Premium,1
1670221,72.4,40.0,215.2,Basic,1
1670222,166.6,37.1,322.1,Family,1
1670223,199.1,375.2,487.4,Basic,1
1670224,402.4,199.0,12.7,Premium,1
1670225,151.3,220.5,440.8,Basic,1
1670226,412.7,474.9,298.8,Basic,1
1670227,205.2,399.5,133.6,Basic,0
1670228,416.2,476.5,228.0,Premium,1
1670229,175.4,381.9,302.1,Basic,1
1670230,166.0,261.3,468.2,Family,1
1670231,297.5,178.3,238.4,Family,0
1670232,103.9,180.4,175.2,Premium,1
1670233,222.8,370.3,442.8,Basic,0
1670234,294.8,205.8,387.8,Premium,1
1670235,266.7,249.2,,Family,1
1670236,393.4,35.2,217.0,Family,1
1670237,90.3,171.2,38.1,Premium,1
1670238,100.5,190.9,301.7,Family,0
1670239,225.2,370.6,30.8,Family,0
1670240,185.4,344.4,120.9,Basic,0
1670241,28.4,231.5,372.9,Premium,1
1670242,177.5,69.7,410.8,Basic,1
1670243,440.3,317.2,266.9,Family,0
1670244,370.3,62.0,447.5,Premium,1
1670245,256.0,390.5,85.8,Basic,0
1670246,358.2,432.8,48.6,Basic,0
1670247,397.6,124.6,231.9,Family,1
1670248,387.3,85.5,22.2,Family,0
1670249,114.0,19.9,149.5,Family,1
1670250,449.2,38.9,204.6,Basic,1
1670251,441.1,304.2,281.8,Premium,1
1670252,224.1,71.2,19.8,Premium,0
1670253,395.7,222.8,471.5,Family,1
1670254,48.6,265.5,54.9,Family,1
1670255,235.1,149.3,67.7,Premium,0
1670256,76.9,409.3,310.0,Basic,0
1670257,413.4,272.8,20.1,Premium,1
1670258,493.6,21.4,56.3,Premium,1
1670259,396.9,84.7,88.8,Basic,0
1670260,384.9,72.8,327.1,Family,0
1670261,366.5,274.9,408.6,Basic,1
1670262,81.6,293.2,482.3,Family,1
1670263,53.9,371.3,306.0,Family,1
1670264,198.6,356.2,74.1,Family,0
1670265,84.1,62.6,419.8,Family,0
1670266,220.1,469.4,114.1,Family,1
1670267,465.9,60.6,316.3,Basic,1
1670268,242.9,458.2,401.9,Premium,1
1670269,472.5,252.6,465.6,Premium,0
1670270,25.2,266.0,481.4,Basic,0
1670271,120.1,230.1,391.9,Basic,0
1670272,227.1,399.2,118.6,Basic,1
1670273,229.2,76.3,377.2,Basic,1
1670274,94.4,221.9,117.6,Family,1
1670275,481.6,64.1,270.4,Basic,0
1670276,269.6,69.3,466.4,Premium,0
1670277,33.1,104.7,63.0,Family,1
1670278,43.4,245.7,156.3,Basic,0
1670279,150.6,242.6,26.2,Basic,1
1670280,469.0,333.1,170.3,Family,1
1670281,415.2,324.3,70.7,Basic,0
1670282,53.4,65.3,357.7,Family,1
1670283,350.4,492.2,12.3,Family,0
1670284,451.6,467.4,400.3,Premium,0
1670285,483.5,385.2,,Basic,1
1670286,449.9,88.7,448.1,Basic,1
1670287,345.2,97.3,378.7,Basic,1
1670288,328.1,278.9,92.7,Premium,1
1670289,78.3,333.3,456.7,Family,0
1670290,96.3,66.5,147.5,Basic,1
1670291,422.7,115.8,398.9,Basic,1
1670292,277.7,195.6,375.8,Basic,1
1670293,47.2,236.8,477.0,Premium,0
1670294,246.2,484.9,431.4,Premium,0
1670295,182.4,328.3,237.9,Premium,1
1670296,409.8,249.0,266.5,Family,0
1670297,284.1,499.6,500.0,Basic,0
1670298,369.0,257.1,92.4,Basic,0
1670299,316.8,234.8,52.6,Family,0
1670300,400.8,239.5,444.6,Family,0
1670301,68.3,136.8,491.9,Premium,1
1670302,16.9,27.4,244.8,Family,0
1670303,185.9,92.9,220.5,Family,0
1670304,228.7,168.4,131.5,Basic,1
1670305,417.9,180.9,421.7,Premium,0
1670306,175.3,134.2,281.8,Basic,0
1670307,454.2,236.2,129.6,Premium,1
1670308,291.7,391.4,185.6,Family,1
1670309,211.4,70.0,350.4,Premium,0
1670310,301.8,38.7,315.3,Family,0
1670311,95.7,401.5,207.5,Premium,1
1670312,74.3,433.7,28.0,Premium,0
1670313,377.6,392.8,57.1,Basic,0
1670314,256.5,305.2,51.4,Basic,0
1670315,167.9,32.8,125.7,Family,1
1670316,179.1,300.2,481.3,Premium,1
1670317,181.7,171.6,406.1,Basic,0
1670318,346.0,109.2,240.0,Basic,0
1670319,338.1,423.6,407.8,Basic,1
1670320,56.5,65.2,84.2,Family,0
1670321,273.7,217.0,253.5,Basic,0
1670322,478.6,198.8,487.8,Premium,1
1670323,103.3,88.8,217.1,Basic,1
1670324,296.2,283.6,102.1,Family,1
1670325,264.3,188.9,255.6,Family,1
1670326,145.0,58.2,426.1,Premium,0
1670327,150.4,225.9,,Family,1
1670328,235.1,195.8,314.4,Basic,1
1670329,380.0,17.8,432.9,Basic,1
1670330,232.0,369.4,67.2,Basic,1
1670331,275.4,145.0,294.0,Premium,1
1670332,120.7,500.0,201.1,Family,1
1670333,188.7,375.4,367.2,Basic,1
1670334,124.1,395.8,,Family,0
1670335,63.7,426.1,321.5,Family,1
1670336,303.9,350.9,140.4,Basic,0
1670337,248.1,156.1,347.3,Family,1
1670338,39.0,289.8,447.9,Family,0
1670339,476.9,104.2,441.6,Basic,0
1670340,310.6,106.1,35.1,Basic,1
1670341,100.8,282.4,76.5,Basic,1
1670342,361.3,296.0,264.8,Premium,1
1670343,116.8,276.9,230.0,Family,0
1670344,350.1,369.3,31.0,Premium,0
1670345,63.5,195.5,473.2,Premium,1
1670346,476.4,220.3,372.9,Basic,0
1670347,180.7,455.8,91.2,Basic,0
1670348,466.8,418.3,476.3,Premium,0
1670349,268.8,394.4,325.5,Premium,1
1670350,366.0,94.2,88.5,Family,1
1670351,317.2,351.6,356.7,Basic,1
1670352,25.6,129.4,404.6,Family,1
1670353,326.3,408.4,84.8,Premium,1
1670354,19.3,240.0,341.4,Family,0
1670355,193.3,211.7,309.3,Premium,1
1670356,70.1,363.4,484.6,Premium,1
1670357,294.2,190.7,235.7,Premium,1
1670358,87.4,139.9,478.1,Family,1
1670359,99.3,60.7,21.3,Premium,0
1670360,125.9,169.1,291.8,Family,1
1670361,245.4,359.3,372.9,Basic,1
1670362,441.6,137.9,344.3,Basic,1
1670363,472.3,380.0,65.7,Basic,0
1670364,144.7,361.4,299.8,Premium,1
1670365,120.7,148.4,,Basic,1
1670366,118.8,358.7,386.0,Family,1
1670367,272.3,248.7,236.7,Basic,0
1670368,17.9,210.2,115.1,Premium,0
1670369,154.8,141.6,193.2,Basic,1
1670370,200.0,305.4,282.4,Family,0
1670371,369.2,434.0,234.5,Premium,1
1670372,491.5,213.8,214.9,Premium,0
