AppID,RatingScore,FeedbackLength,CrashCount,AppVersion,NegativeReviewFlag
1700001,7.3,122.2,129.4,92.9,0
1700002,4.6,125.4,158.2,104.9,0
1700003,8.2,97.7,144.2,127.9,1
1700004,10.0,14.9,72.7,119.3,0
1700005,7.1,162.7,110.4,75.9,0
1700006,8.2,90.6,86.5,78.6,1
1700007,5.4,153.2,80.7,100.1,1
1700008,9.1,160.5,135.7,126.4,0
1700009,8.5,169.9,115.5,123.4,0
1700010,6.7,108.2,93.0,141.3,0
1700011,7.8,95.7,116.0,64.8,0
1700012,9.8,142.1,118.3,96.2,1
1700013,8.0,136.2,110.6,49.6,1
1700014,7.6,150.3,133.8,117.8,1
1700015,5.3,117.8,91.8,123.4,1
1700016,7.6,149.2,134.8,32.2,1
1700017,7.7,96.9,100.5,40.7,1
1700018,6.3,192.8,121.5,101.0,0
1700019,8.4,203.0,131.9,65.8,1
1700020,5.5,120.4,105.4,105.1,1
1700021,8.0,228.7,93.4,102.4,1
1700022,9.3,102.1,110.4,72.6,1
1700023,7.6,140.5,105.3,65.1,1
1700024,6.7,83.4,87.5,129.4,1
1700025,8.1,60.2,103.2,77.8,0
1700026,5.9,64.6,118.5,72.3,1
1700027,7.7,91.9,57.5,91.6,1
1700028,7.2,91.3,90.1,79.2,0
1700029,7.4,138.3,53.3,98.3,0
1700030,5.1,122.8,32.3,117.9,1
1700031,7.1,126.6,100.4,63.0,1
1700032,5.9,216.2,74.1,101.8,0
1700033,7.2,150.8,108.0,95.1,0
1700034,7.1,105.1,63.2,78.2,0
1700035,4.1,78.1,94.3,99.4,1
1700036,9.3,102.3,63.8,123.3,1
1700037,6.2,96.9,74.1,110.3,1
1700038,8.0,151.2,119.5,99.8,0
1700039,3.8,155.5,118.5,107.1,1
1700040,8.9,107.7,51.1,109.3,1
1700041,8.0,119.0,89.7,69.9,1
1700042,7.1,155.0,121.0,80.8,0
1700043,7.3,119.6,73.8,91.0,1
1700044,8.7,111.1,105.5,93.8,1
1700045,8.0,178.5,44.4,134.8,0
1700046,8.2,90.9,80.6,136.0,1
1700047,6.3,140.4,86.5,128.4,0
1700048,7.6,176.9,100.7,88.2,0
1700049,8.0,171.4,122.7,96.4,0
1700050,7.4,74.7,99.1,125.0,1
1700051,4.3,163.7,72.3,83.4,1
1700052,6.4,86.0,102.2,124.1,0
1700053,4.6,153.2,118.4,108.3,0
1700054,7.8,135.9,169.8,70.0,1
1700055,4.0,120.8,112.2,88.6,1
1700056,8.3,119.4,146.0,57.6,0
1700057,9.2,62.1,145.0,119.1,1
1700058,4.3,110.0,119.7,113.0,0
1700059,7.3,125.0,84.8,117.2,1
1700060,6.9,142.5,115.7,110.9,1
1700061,9.1,148.9,97.4,86.5,0
1700062,7.4,87.4,87.3,111.4,1
1700063,6.1,66.5,68.4,128.5,0
1700064,10.0,133.0,108.3,119.8,1
1700065,7.4,111.9,86.5,74.5,0
1700066,4.7,199.1,58.6,92.3,1
1700067,7.9,108.2,57.3,88.0,0
1700068,7.1,128.2,94.0,105.2,0
1700069,7.7,73.0,82.1,91.9,0
1700070,3.9,90.0,95.2,89.1,1
1700071,6.1,165.7,157.7,112.8,1
1700072,6.9,135.5,73.1,67.1,0
1700073,8.1,126.2,62.6,114.8,0
1700074,5.2,77.7,64.1,116.5,1
1700075,8.8,131.3,124.0,116.7,1
1700076,8.3,92.0,97.7,101.4,1
1700077,5.8,169.7,109.2,107.1,1
1700078,7.8,147.4,87.4,69.0,1
1700079,5.2,66.2,111.0,77.0,1
1700080,5.6,131.7,88.6,102.3,1
1700081,7.8,120.5,81.0,98.8,1
1700082,7.0,141.7,68.3,121.5,0
1700083,6.0,143.7,102.4,118.1,0
1700084,9.5,111.1,81.9,79.0,1
1700085,7.5,145.0,124.5,120.3,0
1700086,5.8,123.5,83.7,87.6,0
1700087,6.4,126.2,87.7,147.3,0
1700088,5.8,75.1,132.9,125.8,1
1700089,3.3,73.7,79.8,65.3,0
1700090,10.0,99.5,76.3,88.2,0
1700091,6.3,134.1,95.8,139.8,1
1700092,9.1,73.1,79.4,151.5,0
1700093,5.7,159.2,96.5,90.1,0
1700094,9.6,73.0,83.9,101.1,1
1700095,6.8,89.3,100.4,115.4,0
1700096,6.0,93.0,81.1,102.1,0
1700097,8.1,151.7,106.2,97.4,1
1700098,,124.4,72.0,131.4,0
1700099,8.7,140.7,100.5,58.8,1
1700100,7.6,137.0,113.4,112.5,1
1700101,8.9,134.5,95.2,88.6,0
1700102,5.9,158.9,66.8,76.9,0
1700103,5.6,85.7,92.7,129.5,0
1700104,7.7,118.0,100.2,125.5,1
1700105,8.3,151.7,91.6,119.8,1
1700106,7.1,60.8,103.8,94.4,0
1700107,5.1,141.2,104.0,68.5,1
1700108,5.5,135.6,106.7,69.8,1
1700109,4.5,167.6,171.0,132.3,0
1700110,7.7,64.6,79.3,93.9,1
1700111,7.7,134.5,147.6,91.9,0
1700112,8.6,62.7,41.4,130.5,0
1700113,4.2,79.7,106.0,114.8,1
1700114,8.7,101.7,81.6,106.2,0
1700115,5.8,123.4,81.6,110.0,0
1700116,8.7,132.0,144.6,91.2,0
1700117,6.6,89.6,84.4,83.0,1
1700118,4.6,45.5,91.1,59.9,1
1700119,8.7,79.6,145.4,145.0,0
1700120,6.7,93.7,97.9,69.8,1
1700121,5.8,100.6,117.1,109.6,1
1700122,5.2,73.0,86.8,70.2,1
1700123,8.6,29.4,73.7,87.1,1
1700124,6.9,40.7,63.9,97.1,0
1700125,7.6,120.1,175.6,134.8,0
1700126,10.0,91.8,80.1,98.1,0
1700127,5.7,139.1,62.2,119.4,0
1700128,5.4,96.0,81.0,114.1,1
1700129,6.5,97.9,134.3,115.6,1
1700130,8.4,93.2,50.0,104.1,0
1700131,7.2,77.9,76.2,99.7,0
