CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1710001,332.3,204.2,94.5,251.4,474.8
1710002,443.4,77.1,450.7,35.1,442.9
1710003,298.6,377.4,296.0,228.8,54.6
1710004,411.7,246.2,120.9,365.3,495.0
1710005,121.3,242.7,143.5,342.4,359.6
1710006,87.3,113.0,113.5,53.8,90.1
1710007,309.7,297.4,301.2,206.3,305.8
1710008,329.7,280.5,438.9,337.7,183.4
1710009,305.6,280.4,441.8,368.1,402.9
1710010,353.2,361.5,266.3,260.8,279.1
1710011,106.9,438.1,314.7,163.3,342.7
1710012,90.9,293.3,475.5,105.5,381.8
1710013,38.8,277.7,460.1,378.1,211.8
1710014,383.0,71.5,136.7,344.9,110.2
1710015,166.8,426.6,119.4,151.7,123.4
1710016,125.8,454.5,38.6,57.7,90.8
1710017,185.8,22.6,467.2,447.0,494.9
1710018,272.7,361.5,151.3,419.2,498.1
1710019,415.3,246.7,91.4,480.1,374.5
1710020,36.9,28.9,381.4,87.5,473.6
1710021,421.3,210.8,356.0,49.6,139.2
1710022,34.7,89.9,133.0,497.2,286.5
1710023,398.5,204.3,291.8,273.2,369.2
1710024,77.5,136.8,489.9,341.0,164.9
1710025,118.3,321.6,369.1,308.9,450.7
1710026,499.1,492.7,159.1,220.1,186.3
1710027,64.6,175.0,102.0,385.3,66.7
1710028,76.7,493.8,431.3,56.0,137.5
1710029,426.6,325.1,377.9,195.2,315.3
1710030,19.1,186.3,249.5,28.2,453.6
1710031,102.9,303.9,405.3,384.8,493.5
1710032,305.5,467.2,189.8,244.1,85.9
1710033,171.4,263.2,471.5,276.4,231.6
1710034,244.7,133.1,324.4,170.0,156.0
1710035,343.2,497.7,13.9,166.2,129.0
1710036,132.3,374.7,209.3,86.5,11.2
1710037,361.1,127.0,151.9,45.6,273.1
1710038,200.1,458.0,415.1,299.0,342.2
1710039,105.4,19.7,259.5,118.7,210.4
1710040,457.0,476.6,489.3,84.5,271.5
1710041,424.7,74.8,116.6,249.6,202.1
1710042,381.5,356.8,416.1,108.0,306.5
1710043,493.5,94.1,395.3,369.8,371.3
1710044,56.9,192.3,435.6,413.5,293.1
1710045,299.7,186.0,403.9,55.6,95.7
1710046,361.2,410.6,236.1,267.7,494.3
1710047,336.9,406.2,272.7,79.1,310.2
1710048,195.0,183.9,308.9,442.3,354.7
1710049,424.5,113.6,310.4,137.8,20.8
1710050,375.7,348.2,108.1,185.3,331.2
1710051,48.4,117.6,274.4,436.7,390.9
1710052,495.0,103.2,142.0,79.2,111.4
1710053,159.9,429.6,111.9,455.2,56.2
1710054,140.5,368.2,475.7,196.7,158.7
1710055,486.7,454.5,146.7,131.7,391.9
1710056,56.4,43.0,26.6,279.9,54.5
1710057,456.1,33.1,77.4,113.9,314.6
1710058,271.1,112.9,222.2,427.5,245.2
1710059,287.3,461.3,491.5,471.9,140.4
1710060,276.6,262.7,397.3,163.2,80.0
1710061,428.0,92.5,339.0,378.8,482.1
1710062,302.9,286.7,384.0,378.3,273.7
1710063,321.6,415.9,35.6,310.8,447.1
1710064,420.1,360.1,280.4,110.7,255.9
1710065,360.8,399.5,439.5,361.4,370.4
1710066,22.6,304.8,346.4,52.7,75.5
1710067,154.7,469.9,327.1,454.5,232.8
1710068,481.4,,199.4,439.1,300.3
1710069,328.7,367.0,40.9,28.4,42.9
1710070,120.9,396.3,178.0,24.8,436.0
1710071,419.9,81.6,218.2,28.3,271.3
