StudentID,AbsenceDays,MidtermScore,CounselingSessions,ParentEngagementScore,DroppedOut
1710001,119.9,9.4,93.7,3.2,1
1710002,108.2,5.9,88.7,9.1,0
1710003,130.8,9.7,107.6,7.1,1
1710004,108.6,6.7,120.9,8.2,0
1710005,85.7,9.0,79.7,7.1,0
1710006,88.6,8.4,100.0,8.5,1
1710007,139.8,7.6,99.9,6.5,0
1710008,129.1,7.5,117.3,6.1,1
1710009,139.7,6.7,100.7,7.3,0
1710010,120.4,6.2,135.9,9.5,1
1710011,88.1,9.3,108.7,7.4,0
1710012,89.3,7.0,108.0,8.3,1
1710013,72.3,7.2,75.7,5.7,0
1710014,81.1,7.0,41.1,7.4,0
1710015,113.7,5.5,107.7,7.0,0
1710016,46.2,9.9,90.9,8.2,0
1710017,89.6,6.8,134.4,5.7,1
1710018,108.4,4.5,81.2,5.9,1
1710019,110.3,7.7,77.0,5.9,1
1710020,69.1,8.7,119.6,4.0,0
1710021,93.7,6.9,93.9,6.9,0
1710022,48.7,8.4,91.8,6.2,0
1710023,71.8,8.5,89.6,7.8,1
1710024,120.3,8.8,107.2,6.8,0
1710025,80.5,9.1,80.9,4.8,1
1710026,137.6,6.6,83.8,6.8,0
1710027,111.4,7.0,124.0,5.8,1
1710028,115.3,8.1,82.6,6.0,0
1710029,140.0,9.1,74.4,7.8,1
1710030,116.8,7.8,117.5,6.9,0
1710031,72.2,8.1,94.4,,0
1710032,137.8,5.8,101.5,7.9,0
1710033,111.7,7.3,102.4,7.5,1
1710034,116.5,6.2,154.9,4.8,1
1710035,72.8,8.4,77.5,6.4,0
1710036,77.4,3.9,124.7,8.1,1
1710037,101.8,8.1,106.0,8.0,1
1710038,122.0,9.2,90.1,7.2,0
1710039,137.8,8.0,149.2,9.5,1
1710040,156.3,6.2,111.9,6.5,1
1710041,107.4,7.1,116.7,8.9,1
1710042,126.9,8.1,76.7,7.0,0
1710043,126.2,6.7,136.8,5.8,1
1710044,110.6,8.0,77.9,8.4,0
1710045,69.9,5.6,82.8,8.9,0
1710046,116.5,6.0,123.1,7.5,0
1710047,136.7,6.9,65.2,9.6,1
1710048,112.8,7.1,105.5,7.2,1
1710049,94.5,7.0,95.5,7.6,0
1710050,113.4,7.7,151.6,4.7,1
1710051,95.3,6.9,65.4,7.4,0
1710052,90.0,4.8,117.0,10.0,0
1710053,109.3,8.2,81.3,6.4,1
1710054,86.5,7.6,122.5,8.0,0
1710055,113.6,7.3,105.5,6.2,1
