TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1720001,83.2,474.2,0,0,0
1720002,71.1,286.9,0,1,1
1720003,166.7,257.6,1,1,0
1720004,341.0,239.6,1,0,0
1720005,309.4,261.6,0,1,0
1720006,441.1,340.2,0,1,1
1720007,161.3,448.1,1,1,0
1720008,167.6,174.3,0,1,0
1720009,134.9,157.0,0,1,1
1720010,233.3,444.1,0,0,0
1720011,348.5,250.5,1,1,0
1720012,364.7,138.5,1,1,0
1720013,82.9,192.4,0,1,0
1720014,340.9,128.9,0,1,0
1720015,84.0,392.1,0,0,0
1720016,391.3,91.1,1,0,0
1720017,47.4,267.3,1,0,1
1720018,55.9,,0,1,1
1720019,87.9,453.5,0,1,0
1720020,41.9,241.9,0,1,1
1720021,265.5,237.8,0,0,0
1720022,460.2,227.2,0,0,0
1720023,285.5,181.0,0,0,0
1720024,256.0,267.7,0,0,0
1720025,141.0,105.2,1,0,0
1720026,450.3,95.8,1,1,0
1720027,54.3,364.8,0,0,0
1720028,243.5,49.9,0,0,0
1720029,241.1,351.4,0,0,0
1720030,357.7,359.0,1,1,0
1720031,456.6,41.2,0,0,1
1720032,205.9,142.5,1,1,0
1720033,379.3,350.5,1,0,0
1720034,189.6,329.8,1,0,0
1720035,261.5,94.5,0,1,0
1720036,354.1,319.8,0,1,0
1720037,149.8,198.6,1,0,0
1720038,396.4,116.3,1,1,0
1720039,82.5,78.1,0,1,0
1720040,343.2,36.8,0,0,0
1720041,284.9,237.4,0,1,0
1720042,482.9,46.0,1,0,0
1720043,379.6,263.9,0,0,0
1720044,39.4,419.1,1,0,0
1720045,162.4,151.0,1,1,0
1720046,288.6,296.0,1,1,0
1720047,77.4,14.4,1,0,1
1720048,220.4,302.3,1,1,0
1720049,352.0,102.7,1,0,0
1720050,361.0,275.1,0,1,0
1720051,470.2,403.6,1,0,0
1720052,482.8,59.9,1,1,0
1720053,22.3,162.5,0,0,0
1720054,52.8,88.7,1,1,0
1720055,181.7,429.6,0,1,0
1720056,178.9,150.2,1,0,0
1720057,274.7,71.4,1,1,0
1720058,75.3,213.5,0,1,0
1720059,163.5,366.3,1,1,0
1720060,284.6,174.0,1,0,0
1720061,435.2,387.1,0,1,0
1720062,432.0,253.5,0,0,1
1720063,226.4,299.8,1,1,1
1720064,320.9,217.6,0,0,1
1720065,374.0,257.2,0,1,0
1720066,104.5,116.2,0,0,0
1720067,36.9,454.6,0,0,0
1720068,332.7,14.3,1,0,0
1720069,125.6,454.2,1,0,0
1720070,419.4,119.8,0,0,1
1720071,193.1,98.1,1,0,0
1720072,443.7,395.7,0,0,0
1720073,472.7,215.2,1,1,0
1720074,210.9,39.9,0,0,0
1720075,214.4,129.0,0,0,0
1720076,148.7,364.8,1,1,0
1720077,191.6,307.7,1,1,0
1720078,104.2,134.0,0,0,1
1720079,148.3,232.0,1,1,0
1720080,449.6,,1,1,0
1720081,97.2,27.1,1,1,0
1720082,116.0,401.2,0,1,0
1720083,146.6,244.0,1,0,0
1720084,22.2,491.7,1,1,1
1720085,56.1,220.6,1,1,0
1720086,244.5,315.3,1,1,0
1720087,157.0,489.5,0,0,0
1720088,257.0,164.0,0,1,0
1720089,448.1,315.9,1,0,0
1720090,306.9,106.4,0,0,0
1720091,32.9,16.2,0,1,0
1720092,329.6,97.0,0,0,0
1720093,95.6,319.2,1,0,0
1720094,238.1,411.2,0,1,0
1720095,457.9,120.6,0,0,0
1720096,307.4,74.8,1,0,0
1720097,399.4,192.0,1,0,0
1720098,103.0,366.1,0,1,0
1720099,73.2,287.9,1,1,0
1720100,402.7,219.3,1,0,1
1720101,298.4,124.6,0,0,1
1720102,255.4,186.2,1,1,0
1720103,167.0,264.1,1,0,0
1720104,468.4,112.9,1,1,0
1720105,106.1,369.1,1,1,1
1720106,196.7,417.5,1,0,0
1720107,453.4,395.0,1,1,1
1720108,210.6,372.9,0,1,1
1720109,490.6,70.0,1,0,0
1720110,265.5,471.2,1,1,0
1720111,311.2,150.2,0,1,0
1720112,277.2,65.2,1,0,0
1720113,345.5,454.1,0,1,0
1720114,253.2,132.4,0,1,0
1720115,339.1,494.9,1,0,0
1720116,346.5,57.0,1,1,0
1720117,186.9,288.1,1,1,0
1720118,346.7,200.5,0,0,0
1720119,382.7,347.5,0,0,0
1720120,330.9,496.3,0,1,0
1720121,405.9,251.4,1,0,0
1720122,215.9,86.4,1,0,0
1720123,89.5,340.8,1,1,0
1720124,267.3,478.0,0,1,0
1720125,306.2,47.7,1,0,0
1720126,253.9,197.4,0,1,0
1720127,256.7,192.3,1,0,0
1720128,458.9,14.5,1,0,0
1720129,239.1,183.0,0,0,0
1720130,480.8,96.9,1,1,0
1720131,273.3,341.6,1,1,0
1720132,58.2,296.4,0,1,0
1720133,189.4,121.7,0,0,0
1720134,49.2,429.5,0,0,0
1720135,351.8,285.5,0,0,0
1720136,288.5,277.4,1,0,1
1720137,353.4,464.8,1,1,0
1720138,69.3,48.8,1,1,0
1720139,456.4,350.3,1,1,0
1720140,467.9,149.2,1,1,1
1720141,487.3,46.8,1,0,0
1720142,260.4,80.8,1,1,0
1720143,189.0,492.0,0,0,0
1720144,385.9,314.5,0,0,0
1720145,237.6,444.5,0,1,0
1720146,112.5,319.1,0,0,0
1720147,282.0,385.4,1,0,0
1720148,179.1,418.6,0,0,0
1720149,288.5,98.1,1,1,1
1720150,85.4,112.0,0,1,0
1720151,395.6,163.6,1,0,0
1720152,276.7,265.4,0,0,0
1720153,66.5,415.5,1,1,0
1720154,126.1,266.9,1,0,1
1720155,351.7,200.5,0,1,0
1720156,389.9,106.1,1,0,0
1720157,432.0,400.0,1,0,0
1720158,220.1,452.1,1,1,0
1720159,263.6,74.9,1,0,0
1720160,17.6,75.1,0,0,1
