UserID,DailyStreakDays,PracticeIntervalHours,QuizScore_Percent,WordsMasteredCount,RetainedActive
1720001,128.9,1.0,32.8,54.4,0
1720002,70.3,3.0,67.3,93.7,1
1720003,123.2,4.0,62.9,84.9,1
1720004,106.8,1.5,59.9,112.7,0
1720005,72.5,1.0,42.8,100.3,1
1720006,70.6,1.2,24.7,118.4,0
1720007,92.6,3.9,38.1,70.2,1
1720008,58.9,1.8,68.9,114.2,1
1720009,127.7,3.5,11.2,66.0,0
1720010,123.6,3.7,41.0,98.6,1
1720011,111.0,13.9,36.9,72.0,0
1720012,78.0,2.9,33.0,117.6,1
1720013,110.5,0.1,55.8,80.3,0
1720014,86.8,5.5,67.7,99.0,1
1720015,121.0,0.3,46.9,99.9,0
1720016,101.1,4.0,64.5,124.8,0
1720017,102.3,7.3,22.1,85.4,1
1720018,172.1,13.9,61.7,75.5,1
1720019,112.2,4.0,38.7,87.6,0
1720020,92.9,1.0,36.2,68.9,0
1720021,98.7,2.2,59.4,124.4,1
1720022,77.8,0.2,42.4,111.2,0
1720023,146.0,2.3,9.1,122.4,0
1720024,93.8,0.6,46.6,64.0,1
1720025,95.2,0.8,11.3,102.5,1
1720026,119.8,0.3,47.1,116.0,1
1720027,82.6,9.5,47.5,115.7,0
1720028,133.0,1.0,66.5,64.5,0
1720029,147.4,10.6,49.2,89.0,0
1720030,103.1,4.9,29.5,70.7,0
1720031,123.0,2.3,52.9,89.4,1
1720032,82.9,1.4,28.9,109.2,1
1720033,111.0,4.2,37.5,95.6,0
1720034,78.4,7.2,44.4,78.2,1
1720035,112.5,3.7,54.4,107.1,1
1720036,101.6,1.5,56.8,87.3,0
1720037,116.3,,34.9,151.0,0
1720038,55.1,2.2,24.8,148.7,1
1720039,94.7,7.7,32.5,89.1,1
1720040,73.0,7.2,12.5,111.8,1
1720041,127.0,5.5,42.3,83.9,1
1720042,124.7,,27.9,51.9,1
1720043,67.0,6.3,42.2,128.2,1
1720044,68.2,2.2,45.1,92.0,1
1720045,72.6,13.2,52.1,58.3,0
1720046,103.0,5.4,36.2,130.3,1
1720047,114.9,3.0,49.2,107.3,1
1720048,54.0,1.4,18.7,91.7,0
1720049,150.8,8.2,31.2,100.7,0
1720050,78.0,3.4,41.9,122.8,0
1720051,80.6,0.6,60.8,121.7,0
1720052,115.3,3.4,30.8,91.7,1
1720053,104.0,1.6,45.6,86.6,0
1720054,88.8,3.4,51.1,111.5,0
1720055,115.6,2.4,43.4,134.4,1
1720056,87.7,6.9,29.9,143.1,1
1720057,121.8,0.1,60.5,104.5,1
1720058,92.9,4.1,37.7,83.5,1
1720059,96.9,4.8,37.4,36.5,1
1720060,115.4,1.9,28.7,104.9,1
