ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1740001,235.4,480.8,315.9,233.3,344.4
1740002,449.2,308.9,446.3,293.0,337.3
1740003,103.2,416.2,327.2,147.4,212.6
1740004,111.0,104.7,22.5,130.4,161.7
1740005,263.3,103.7,238.7,459.2,314.8
1740006,43.9,57.2,44.5,429.0,345.6
1740007,381.6,73.6,378.1,38.3,346.6
1740008,404.2,262.2,281.3,100.3,417.6
1740009,447.2,130.8,236.3,25.4,459.4
1740010,35.1,482.5,39.9,46.6,65.6
1740011,179.7,458.4,415.3,218.1,495.5
1740012,318.8,44.1,360.2,27.1,453.1
1740013,497.3,414.3,49.7,86.8,449.0
1740014,53.5,357.1,94.3,193.5,98.8
1740015,103.6,299.7,177.7,496.3,336.8
1740016,265.7,61.3,294.5,16.9,282.9
1740017,365.1,107.0,433.3,378.5,20.2
1740018,34.5,379.0,316.5,340.3,50.7
1740019,308.2,284.8,265.8,316.7,36.8
1740020,463.9,268.4,410.6,434.1,202.9
1740021,474.2,26.7,65.0,248.4,148.0
1740022,427.2,260.0,95.3,337.8,207.4
1740023,90.6,43.9,311.9,112.5,372.1
1740024,200.6,440.5,329.8,179.1,253.7
1740025,42.7,186.2,302.2,318.8,135.9
1740026,36.9,256.2,377.9,168.7,14.4
1740027,467.4,278.5,39.4,190.2,486.8
1740028,349.0,490.1,342.9,343.7,347.9
1740029,307.6,328.6,51.6,212.6,261.3
1740030,88.4,375.1,54.4,318.9,316.0
1740031,30.0,74.0,404.5,416.4,178.4
1740032,373.5,394.9,171.4,376.5,282.3
1740033,486.1,484.4,72.1,226.5,342.5
1740034,483.7,401.3,272.3,72.0,35.6
1740035,472.2,72.2,397.6,328.5,382.1
1740036,39.9,267.3,144.2,243.1,434.3
1740037,162.1,187.5,419.3,438.1,372.0
1740038,13.9,48.3,422.6,489.4,266.0
1740039,40.1,154.3,19.8,302.4,405.3
1740040,217.6,420.6,311.3,74.0,436.4
1740041,109.1,132.3,386.6,243.6,331.1
1740042,290.2,482.0,146.0,290.3,138.1
1740043,128.7,111.3,13.1,151.4,168.6
1740044,17.1,43.1,466.5,195.8,208.3
1740045,59.6,80.1,167.1,38.9,347.5
1740046,75.0,173.4,53.2,370.1,35.0
1740047,484.5,206.6,123.2,27.7,35.2
1740048,227.0,182.0,309.9,403.3,191.3
1740049,220.3,484.5,319.8,65.3,245.1
1740050,48.9,482.2,194.6,269.8,310.0
1740051,238.4,261.2,126.5,79.6,312.1
1740052,85.3,188.0,410.9,13.3,210.8
1740053,431.4,199.2,37.4,113.1,312.5
1740054,77.5,384.6,171.0,163.4,182.5
1740055,157.7,251.3,12.4,224.5,329.2
1740056,70.4,369.9,379.7,36.5,398.8
1740057,409.0,49.2,404.7,458.2,408.2
1740058,79.0,240.1,157.7,150.3,92.0
1740059,399.1,108.6,444.4,360.6,173.4
1740060,127.0,435.7,370.1,354.1,352.9
1740061,80.6,204.0,139.3,29.6,249.6
1740062,153.1,237.3,412.1,111.7,40.5
1740063,119.7,427.6,225.2,123.1,241.1
1740064,183.2,379.1,182.6,495.6,393.4
1740065,276.4,164.4,33.1,315.0,178.1
1740066,401.7,316.8,250.8,32.0,444.2
1740067,372.2,128.3,152.3,474.2,441.1
1740068,320.6,421.0,406.8,141.6,158.8
1740069,120.6,33.7,69.2,229.3,248.5
1740070,259.3,332.1,307.6,63.9,211.4
1740071,314.8,22.2,388.6,66.5,68.3
1740072,87.6,15.9,470.7,420.5,94.2
1740073,171.2,422.9,457.8,380.6,470.4
1740074,154.3,64.8,330.3,489.2,287.8
1740075,472.3,270.4,108.2,323.0,372.9
1740076,451.2,61.2,235.9,125.9,415.0
1740077,156.5,341.2,385.1,467.7,268.4
1740078,218.3,283.9,137.4,432.2,314.1
1740079,399.2,477.5,428.1,492.0,200.9
1740080,281.3,441.7,108.3,428.8,292.2
1740081,99.4,271.6,344.9,360.6,185.7
1740082,240.6,348.9,394.2,312.4,223.5
1740083,362.9,310.6,326.0,398.9,289.3
1740084,447.2,269.4,210.4,370.4,183.5
1740085,304.9,34.8,467.9,172.0,334.6
1740086,42.5,312.1,313.7,439.8,277.5
1740087,340.1,412.7,288.0,118.7,354.4
1740088,34.6,228.7,177.3,437.4,173.7
1740089,104.7,166.2,492.2,403.1,261.5
1740090,365.8,253.1,69.9,284.6,166.5
1740091,301.0,307.2,281.7,472.6,256.4
1740092,175.1,153.3,180.5,139.4,456.9
1740093,198.2,42.2,396.3,158.9,440.7
1740094,345.1,286.9,150.1,65.8,378.6
1740095,303.8,246.9,48.3,156.4,478.3
1740096,210.6,174.4,29.3,462.6,213.9
1740097,308.7,338.8,88.3,216.3,478.5
1740098,56.1,409.0,157.2,46.5,123.1
1740099,298.6,349.6,280.2,216.6,492.8
1740100,439.0,126.5,341.1,208.2,37.8
1740101,460.8,110.7,292.2,191.4,327.3
1740102,152.2,269.4,351.0,425.4,338.5
