UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1770001,256.4,260.5,,Family,0
1770002,395.0,28.9,436.5,Premium,0
1770003,227.8,434.0,158.4,Basic,1
1770004,101.5,53.9,119.0,Basic,1
1770005,148.0,429.3,393.9,Family,0
1770006,317.3,164.1,302.9,Family,0
1770007,279.3,219.1,290.7,Premium,1
1770008,142.5,212.5,51.0,Basic,1
1770009,350.5,109.5,464.8,Premium,0
1770010,208.4,296.6,147.8,Premium,1
1770011,376.2,337.4,57.6,Basic,1
1770012,277.0,466.9,177.6,Premium,0
1770013,361.4,464.7,236.3,Family,1
1770014,352.5,387.9,110.1,Premium,1
1770015,74.1,211.0,153.7,Family,0
1770016,223.4,176.0,439.3,Premium,0
1770017,288.5,477.6,72.0,Premium,1
1770018,299.0,320.6,328.2,Family,0
1770019,91.2,486.5,161.7,Basic,0
1770020,355.2,23.8,385.3,Family,1
1770021,317.0,418.4,236.9,Basic,1
1770022,449.8,204.2,89.8,Family,0
1770023,451.6,336.9,491.9,Basic,0
1770024,277.0,132.8,350.7,Premium,0
1770025,418.4,420.7,206.7,Family,1
1770026,441.1,275.8,453.2,Family,0
1770027,127.7,304.6,17.9,Basic,0
1770028,292.0,142.4,201.9,Family,0
1770029,215.6,61.7,229.5,Basic,0
1770030,389.2,37.7,489.9,Family,1
1770031,450.9,313.3,389.7,Basic,0
1770032,419.3,152.4,391.9,Premium,1
1770033,346.9,52.9,189.1,Basic,0
1770034,355.1,199.5,342.1,Basic,0
1770035,134.6,365.4,221.4,Family,1
1770036,17.3,421.1,148.5,Premium,1
1770037,288.0,49.9,141.6,Premium,0
1770038,51.4,70.2,111.7,Basic,1
1770039,442.7,410.4,86.4,Basic,0
1770040,289.8,333.4,270.6,Premium,1
1770041,19.0,194.2,37.2,Family,0
1770042,42.2,53.0,268.3,Family,1
1770043,292.9,129.5,286.1,Basic,1
1770044,425.6,100.7,110.4,Family,0
1770045,451.5,343.7,88.9,Basic,1
1770046,268.4,16.3,184.9,Premium,1
1770047,483.1,349.4,265.8,Basic,0
1770048,294.8,159.7,12.7,Basic,1
1770049,403.5,124.0,109.9,Basic,0
1770050,459.4,410.8,328.6,Basic,0
1770051,391.2,130.0,56.8,Basic,1
1770052,243.1,419.2,265.2,Basic,1
1770053,186.0,14.9,102.8,Premium,0
1770054,85.4,382.2,42.2,Family,1
1770055,324.4,435.3,382.3,Basic,0
1770056,464.0,449.0,196.2,Basic,0
1770057,236.7,351.9,223.6,Premium,0
1770058,174.1,409.0,104.2,Premium,1
1770059,172.0,362.8,66.5,Family,1
1770060,418.6,196.7,58.2,Family,0
1770061,385.7,89.4,360.8,Premium,0
1770062,262.9,73.3,318.5,Family,1
1770063,314.5,235.9,80.8,Basic,0
1770064,480.1,466.0,77.2,Family,1
1770065,312.5,476.1,169.8,Basic,1
1770066,120.2,36.1,45.8,Basic,0
1770067,47.5,13.5,101.4,Basic,0
1770068,456.5,13.8,190.4,Basic,0
1770069,344.5,194.3,268.3,Basic,0
1770070,136.8,333.2,404.7,Family,0
1770071,37.9,172.4,368.9,Premium,1
1770072,193.0,464.1,271.7,Family,0
1770073,316.6,186.7,318.8,Premium,0
1770074,153.7,112.2,338.4,Basic,0
1770075,98.2,37.4,,Basic,0
1770076,405.5,360.4,375.3,Family,1
1770077,426.2,199.0,208.2,Family,1
1770078,247.6,76.1,48.4,Family,1
1770079,490.0,257.5,439.4,Family,0
1770080,447.6,492.1,325.2,Basic,1
1770081,51.5,470.8,92.7,Basic,0
1770082,39.4,137.4,75.6,Family,1
1770083,423.4,14.7,128.4,Premium,1
1770084,278.3,380.2,288.9,Basic,0
1770085,256.6,287.6,461.7,Premium,0
1770086,435.7,92.6,127.4,Premium,0
1770087,470.7,321.8,465.2,Basic,0
1770088,410.0,467.2,143.3,Family,1
1770089,249.4,457.0,492.9,Premium,0
1770090,461.8,281.3,79.7,Basic,1
1770091,73.4,77.8,441.4,Family,1
1770092,214.6,356.3,358.8,Premium,1
1770093,232.7,111.4,376.0,Premium,0
1770094,182.3,136.8,402.0,Basic,0
1770095,49.6,245.9,359.0,Basic,0
1770096,14.9,184.0,249.1,Basic,0
1770097,466.8,233.6,465.8,Basic,1
1770098,163.8,158.4,217.8,Family,0
1770099,123.0,352.7,,Premium,0
1770100,33.9,183.3,264.2,Basic,1
1770101,86.0,140.3,207.0,Premium,0
1770102,63.6,435.1,149.8,Premium,1
1770103,363.2,323.2,158.4,Premium,1
1770104,108.2,351.8,17.9,Basic,1
1770105,204.3,44.9,494.1,Basic,0
1770106,447.7,260.2,289.0,Family,1
1770107,429.5,369.9,445.4,Premium,0
1770108,233.5,31.4,97.8,Family,1
1770109,464.0,68.7,270.4,Family,0
1770110,144.6,232.4,285.2,Basic,0
1770111,339.2,111.8,320.2,Premium,1
1770112,215.2,34.4,448.0,Family,0
1770113,99.0,468.4,213.3,Family,1
1770114,214.8,315.4,11.4,Basic,0
1770115,12.1,74.8,111.8,Basic,1
1770116,185.8,34.2,327.6,Family,0
1770117,304.0,325.9,73.1,Family,0
1770118,208.8,271.6,45.2,Premium,1
1770119,28.7,466.6,444.0,Family,1
1770120,339.5,147.0,465.0,Premium,0
1770121,427.1,117.0,175.6,Premium,1
1770122,360.6,332.9,344.2,Basic,0
1770123,203.5,155.7,333.8,Family,1
1770124,231.8,284.7,148.6,Premium,0
1770125,410.3,488.4,287.1,Basic,1
1770126,254.6,61.6,199.7,Basic,1
1770127,409.6,372.9,70.4,Premium,0
1770128,142.8,460.3,460.2,Basic,1
1770129,268.0,141.1,286.2,Premium,1
1770130,183.8,52.9,471.0,Family,0
1770131,104.0,493.7,131.3,Premium,1
1770132,485.0,215.7,482.2,Family,0
1770133,335.1,291.0,374.0,Basic,1
1770134,348.1,345.7,111.2,Premium,1
1770135,221.1,274.3,420.2,Family,1
1770136,257.9,317.7,64.0,Premium,1
1770137,30.2,62.8,355.7,Basic,1
1770138,424.3,259.8,292.0,Family,0
1770139,467.5,445.3,122.4,Basic,0
1770140,267.0,487.3,220.6,Family,1
1770141,370.3,271.3,174.1,Family,0
1770142,273.1,386.3,426.3,Family,1
1770143,125.3,90.4,293.7,Premium,1
1770144,301.5,63.8,35.7,Family,1
1770145,217.7,435.3,301.3,Basic,1
1770146,394.6,351.3,289.5,Premium,0
1770147,152.0,183.5,196.9,Family,0
1770148,365.1,208.4,112.0,Basic,1
1770149,73.6,438.2,446.7,Premium,1
1770150,417.1,392.5,179.0,Basic,1
1770151,173.0,104.6,421.6,Basic,0
1770152,305.1,31.8,250.6,Basic,1
1770153,123.7,372.4,341.5,Basic,1
1770154,78.6,415.9,154.6,Basic,0
1770155,69.2,238.2,17.3,Basic,0
1770156,60.9,80.0,92.2,Family,1
1770157,53.5,304.8,351.5,Family,0
1770158,243.1,11.3,394.2,Basic,1
1770159,170.5,394.1,158.0,Premium,0
1770160,393.0,411.2,111.9,Basic,0
1770161,221.0,479.0,215.2,Family,0
1770162,68.5,219.6,126.4,Family,1
1770163,398.4,98.4,239.2,Basic,0
1770164,22.3,469.7,475.0,Basic,0
1770165,330.7,368.1,338.3,Family,1
1770166,182.8,214.6,428.6,Premium,1
1770167,266.9,296.9,74.7,Basic,0
1770168,10.5,341.5,24.4,Premium,0
1770169,120.3,99.2,82.3,Premium,1
1770170,446.4,171.0,224.6,Premium,0
1770171,159.4,162.0,62.9,Basic,1
1770172,407.7,77.9,119.5,Family,0
1770173,17.6,477.9,316.1,Family,1
1770174,233.3,365.0,234.7,Family,0
1770175,125.3,236.6,121.5,Family,0
1770176,399.4,243.2,366.2,Basic,0
1770177,378.4,308.2,201.5,Basic,1
1770178,499.0,487.9,313.1,Family,0
1770179,184.4,173.9,48.9,Basic,1
1770180,402.1,471.1,429.9,Premium,0
1770181,348.4,35.1,396.0,Basic,1
1770182,241.4,207.3,388.0,Premium,0
1770183,131.8,156.5,291.4,Family,0
1770184,186.0,336.8,267.2,Premium,1
1770185,115.2,129.5,308.8,Premium,1
1770186,78.6,371.8,113.5,Premium,0
1770187,36.9,411.8,152.1,Basic,1
1770188,336.2,26.3,135.2,Family,0
1770189,237.2,127.4,161.7,Basic,1
1770190,405.8,262.4,455.9,Basic,1
1770191,74.0,416.6,164.6,Premium,1
1770192,214.8,495.0,493.8,Basic,1
1770193,426.2,358.3,273.6,Basic,1
1770194,76.3,305.6,54.4,Family,0
1770195,154.3,136.8,138.9,Family,0
1770196,191.8,141.9,153.1,Basic,0
1770197,468.1,135.2,389.4,Basic,0
1770198,408.8,354.0,440.8,Family,1
1770199,319.9,425.4,189.4,Family,0
1770200,220.0,378.2,404.1,Family,0
1770201,87.3,371.2,422.9,Premium,0
1770202,483.9,449.8,430.7,Basic,1
1770203,152.0,180.8,165.2,Basic,0
1770204,24.5,149.1,447.9,Basic,0
1770205,196.3,297.4,179.9,Basic,0
1770206,171.0,106.8,209.5,Premium,0
1770207,197.0,293.8,84.0,Basic,0
1770208,273.3,78.2,130.8,Premium,1
1770209,56.3,146.2,242.3,Premium,1
1770210,387.4,317.5,110.1,Family,1
1770211,316.0,235.9,181.5,Family,0
1770212,498.6,471.6,40.1,Family,1
1770213,99.2,324.4,276.3,Family,1
1770214,263.1,32.5,493.3,Family,0
1770215,401.1,102.6,173.4,Basic,0
1770216,347.1,425.5,479.5,Family,0
1770217,11.1,389.5,87.1,Family,1
1770218,73.6,405.6,248.0,Family,1
1770219,491.7,172.0,481.6,Basic,0
1770220,386.5,385.5,160.2,Basic,0
1770221,112.5,454.9,315.0,Family,0
1770222,73.4,329.2,210.6,Basic,0
1770223,484.8,219.7,15.3,Premium,1
1770224,48.0,321.1,,Family,1
1770225,76.6,220.4,310.9,Basic,1
1770226,218.1,167.1,55.2,Family,0
1770227,82.5,390.9,448.3,Premium,1
1770228,499.1,190.4,302.3,Basic,0
1770229,458.8,99.1,97.9,Family,1
1770230,256.1,128.2,483.6,Basic,0
1770231,229.1,41.5,467.1,Premium,0
1770232,291.9,352.9,263.1,Premium,1
1770233,108.4,169.0,199.2,Premium,1
1770234,154.1,490.7,164.5,Premium,1
1770235,19.1,398.5,493.3,Premium,0
1770236,475.5,406.2,199.5,Basic,0
1770237,383.9,262.7,29.0,Family,0
1770238,98.8,31.9,326.7,Basic,1
1770239,72.1,392.7,311.1,Premium,1
1770240,337.4,97.9,179.7,Premium,0
1770241,310.3,97.9,444.9,Premium,1
1770242,178.7,409.4,273.4,Premium,0
1770243,176.4,446.6,334.6,Family,1
1770244,474.0,59.1,352.7,Basic,1
1770245,480.3,65.8,63.1,Basic,1
1770246,197.1,368.2,317.6,Basic,1
1770247,459.9,172.8,97.3,Basic,0
1770248,52.7,336.9,116.5,Basic,0
1770249,241.0,81.9,167.4,Premium,1
1770250,73.3,43.4,234.5,Basic,1
1770251,161.3,430.3,427.5,Premium,0
1770252,134.3,99.2,454.3,Basic,0
1770253,452.0,23.8,296.9,Premium,1
1770254,491.6,359.2,203.0,Basic,1
1770255,180.3,406.1,498.7,Family,0
1770256,317.6,90.7,467.7,Family,1
1770257,459.1,291.8,172.6,Family,0
1770258,171.0,113.8,455.2,Premium,1
1770259,441.8,235.1,483.4,Premium,0
1770260,84.5,221.2,328.1,Basic,0
1770261,127.3,373.6,120.4,Family,0
1770262,263.7,99.5,334.2,Premium,0
1770263,315.5,211.0,346.8,Basic,0
1770264,59.8,161.5,447.7,Premium,1
1770265,500.0,133.3,124.0,Family,1
1770266,318.0,268.5,458.0,Family,0
1770267,485.6,257.4,284.9,Family,0
1770268,141.0,126.9,449.9,Family,0
1770269,257.1,395.3,88.4,Basic,1
1770270,13.0,451.8,360.2,Premium,1
1770271,476.7,279.2,351.1,Family,0
1770272,205.0,172.5,172.4,Family,1
1770273,228.1,175.0,350.1,Basic,1
1770274,45.3,424.3,429.1,Premium,0
1770275,37.2,76.6,256.8,Basic,1
1770276,42.1,311.0,317.0,Family,1
1770277,452.2,492.4,493.0,Basic,1
1770278,322.4,349.3,152.2,Basic,0
1770279,373.1,398.6,188.5,Premium,0
1770280,411.4,111.4,350.8,Premium,1
1770281,125.7,356.6,344.2,Basic,0
1770282,191.2,194.3,436.1,Family,1
1770283,259.2,168.3,423.8,Family,1
1770284,475.9,87.8,106.4,Basic,0
1770285,185.3,48.4,270.5,Premium,1
1770286,346.9,469.6,378.8,Family,1
1770287,414.3,368.2,197.6,Basic,1
1770288,203.9,45.5,360.7,Family,0
1770289,122.3,364.1,11.6,Family,1
1770290,38.6,281.1,79.5,Family,1
1770291,367.7,483.2,113.2,Family,0
1770292,295.0,204.5,197.6,Basic,1
1770293,98.5,47.7,300.3,Premium,1
1770294,23.0,419.6,354.1,Premium,0
1770295,375.1,90.1,158.6,Premium,0
1770296,486.0,86.4,124.7,Premium,1
1770297,343.2,432.6,142.2,Premium,1
1770298,147.3,358.2,245.9,Premium,0
1770299,89.4,381.5,62.6,Family,0
1770300,210.5,12.2,96.6,Basic,1
1770301,280.2,293.6,32.6,Basic,1
1770302,453.5,391.3,95.1,Premium,1
1770303,194.2,168.4,451.9,Basic,0
1770304,114.7,17.4,58.4,Basic,0
1770305,299.9,309.0,252.0,Premium,1
1770306,226.3,124.4,160.1,Family,1
1770307,473.2,287.1,131.5,Premium,1
1770308,426.5,316.0,,Basic,1
1770309,140.5,224.9,236.5,Basic,0
1770310,416.0,232.7,155.5,Basic,0
1770311,451.9,110.0,406.9,Premium,0
1770312,127.9,25.4,220.1,Basic,1
1770313,211.8,185.4,96.5,Family,0
1770314,123.4,313.2,398.6,Premium,1
1770315,283.4,138.2,365.1,Premium,0
1770316,458.6,107.9,342.2,Family,1
1770317,274.1,370.7,125.8,Family,0
1770318,460.8,63.5,458.6,Premium,1
1770319,403.0,112.2,317.8,Basic,1
1770320,167.0,483.2,355.2,Basic,1
1770321,50.8,425.5,472.7,Basic,1
1770322,407.8,53.3,497.6,Basic,1
1770323,446.2,70.7,378.6,Family,1
1770324,251.2,376.0,438.6,Premium,0
1770325,141.8,160.3,233.6,Family,1
1770326,196.1,353.2,427.0,Basic,0
1770327,147.2,452.1,96.4,Basic,0
1770328,492.1,237.2,354.6,Family,0
1770329,120.3,216.2,137.5,Family,1
1770330,488.7,69.5,55.6,Premium,1
1770331,347.6,392.8,283.8,Family,0
1770332,110.0,106.2,11.9,Family,0
1770333,401.7,476.9,64.7,Premium,1
1770334,304.0,160.7,200.2,Basic,1
1770335,10.2,67.8,252.3,Premium,0
1770336,355.4,410.2,214.7,Basic,0
1770337,187.3,424.5,56.6,Family,0
1770338,138.0,32.5,450.8,Family,1
1770339,77.1,86.9,343.4,Basic,0
1770340,234.3,371.4,426.9,Premium,1
1770341,394.2,325.2,55.8,Family,1
1770342,375.2,190.9,317.3,Basic,1
1770343,174.6,42.2,38.5,Premium,0
1770344,257.5,442.5,57.9,Premium,0
1770345,181.8,270.6,210.4,Premium,0
1770346,167.9,393.2,152.0,Premium,1
1770347,421.2,59.9,456.3,Premium,0
1770348,206.6,245.0,298.2,Basic,0
1770349,420.9,173.3,123.5,Premium,0
1770350,91.2,208.0,462.9,Premium,0
1770351,356.8,229.1,439.0,Premium,1
1770352,77.6,323.0,435.6,Family,1
1770353,117.0,417.4,478.2,Basic,0
1770354,470.1,449.4,401.5,Premium,1
1770355,91.3,277.2,342.3,Premium,1
1770356,122.7,10.8,486.7,Premium,1
1770357,402.4,247.9,181.9,Basic,1
1770358,384.4,59.2,114.3,Basic,0
