ReportID,FormulaCount,ReferenceCount,PlagiarismRatio_Percent,ReportGrade,PeerReviewScore
1780001,86.0,107.9,45.0,93.5,8.1
1780002,100.7,83.0,42.8,73.5,8.0
1780003,121.3,86.1,57.1,75.2,5.2
1780004,122.8,97.7,56.5,78.3,6.5
1780005,126.2,78.1,57.1,114.1,7.2
1780006,103.9,70.7,69.0,106.4,8.9
1780007,66.6,49.6,49.2,73.9,9.2
1780008,71.4,83.7,66.6,86.3,7.7
1780009,86.3,92.6,43.1,120.5,6.0
1780010,125.2,112.3,37.5,105.7,7.1
1780011,88.8,122.1,31.4,88.1,4.6
1780012,108.7,95.7,54.3,80.8,8.4
1780013,91.7,120.9,29.6,92.2,6.1
1780014,127.9,107.9,57.2,93.4,6.8
1780015,74.7,126.9,41.7,112.9,5.4
1780016,127.0,88.4,48.8,99.5,5.7
1780017,92.8,90.8,54.3,85.9,8.6
1780018,88.2,134.9,48.4,124.1,9.0
1780019,111.5,95.9,50.0,111.5,6.0
1780020,80.2,129.8,44.7,85.6,7.6
1780021,109.9,35.1,48.6,103.5,8.0
1780022,165.8,114.5,63.6,52.1,6.8
1780023,130.0,90.1,40.4,71.3,5.6
1780024,103.7,111.2,52.1,127.5,6.7
1780025,126.0,74.5,48.3,99.6,8.5
1780026,80.2,90.5,66.4,99.9,7.0
1780027,112.1,133.7,39.5,99.7,6.1
1780028,111.7,155.1,49.8,91.9,8.9
1780029,102.2,112.9,61.5,88.5,6.4
1780030,117.2,73.8,20.2,112.7,9.0
1780031,88.7,117.7,34.3,95.4,4.1
1780032,81.4,77.0,23.4,112.2,7.0
1780033,98.9,151.3,51.4,150.1,6.4
1780034,116.6,122.7,38.8,88.7,5.4
1780035,79.3,103.0,37.1,75.6,6.0
1780036,115.0,90.0,37.5,119.4,6.9
1780037,100.5,93.4,19.7,94.5,7.3
1780038,80.5,117.8,67.0,121.6,9.3
1780039,58.5,59.2,68.6,115.9,7.7
1780040,113.6,77.5,27.6,79.5,8.1
1780041,114.0,122.8,47.4,108.4,7.4
1780042,125.3,120.4,53.7,80.4,9.1
1780043,71.9,135.0,59.1,104.2,7.2
1780044,91.7,96.8,23.0,108.9,6.5
1780045,75.0,100.2,38.8,144.6,9.7
1780046,110.4,133.2,71.6,128.9,8.3
1780047,100.5,114.6,37.5,95.2,9.3
1780048,92.7,98.8,37.7,97.5,6.9
1780049,75.8,126.1,76.0,117.9,6.1
1780050,152.3,107.8,45.5,104.3,4.8
1780051,86.5,104.8,49.6,95.3,9.9
1780052,90.2,78.4,65.8,69.7,5.9
1780053,75.1,120.5,48.1,101.4,6.0
1780054,66.7,127.1,63.7,95.3,7.0
1780055,90.5,110.6,65.6,107.9,6.2
1780056,101.6,112.4,46.1,131.7,8.0
1780057,140.8,122.3,45.3,93.7,8.2
1780058,130.5,114.8,32.9,93.9,7.8
1780059,88.1,126.7,63.9,82.2,9.0
1780060,92.3,93.4,52.2,129.5,6.3
1780061,55.5,107.5,61.0,89.7,7.2
1780062,116.7,108.1,0.0,120.6,7.2
1780063,81.8,128.3,17.4,94.7,9.3
1780064,83.5,98.2,39.4,105.8,7.1
1780065,47.3,109.3,56.9,135.5,7.9
1780066,80.5,78.7,35.0,101.3,7.3
1780067,99.7,109.1,72.7,112.3,7.0
1780068,138.2,108.5,46.8,115.0,6.9
1780069,141.7,126.0,43.0,93.0,6.6
1780070,108.0,106.1,52.4,81.6,6.1
1780071,71.2,85.7,42.0,89.5,8.2
1780072,112.5,79.4,29.9,68.2,4.9
1780073,117.2,118.8,,119.1,4.6
1780074,58.8,115.6,23.5,52.3,6.2
1780075,112.6,73.1,36.0,92.9,5.6
1780076,139.8,140.0,57.6,121.1,8.3
1780077,114.1,98.7,50.0,59.1,8.3
1780078,117.6,150.7,37.8,127.0,7.2
1780079,95.2,109.4,55.1,118.7,5.8
1780080,94.4,46.4,41.4,156.0,8.0
1780081,106.7,132.8,32.4,93.7,8.4
1780082,135.2,85.7,45.3,109.5,7.2
1780083,127.1,87.1,53.3,48.8,6.0
1780084,94.4,115.3,40.0,76.0,6.1
1780085,119.6,75.9,52.6,85.2,6.9
1780086,119.9,112.7,42.3,108.9,7.2
1780087,126.6,110.1,32.0,120.8,6.1
1780088,67.4,76.6,58.6,132.1,6.9
1780089,81.1,85.8,46.7,93.3,6.2
1780090,55.9,84.3,35.2,103.8,8.6
1780091,118.2,86.0,54.0,127.8,6.9
1780092,76.6,78.1,36.2,148.4,4.7
1780093,102.4,88.6,19.5,62.7,8.0
1780094,66.3,123.3,23.5,76.4,5.4
1780095,102.9,94.5,62.3,120.5,6.4
1780096,93.8,120.9,2.5,70.2,5.7
1780097,87.6,81.7,65.0,90.7,8.5
1780098,96.6,134.9,30.9,83.9,6.2
1780099,95.1,84.3,47.8,95.3,8.2
1780100,78.0,75.2,70.2,122.7,6.3
1780101,69.2,77.2,26.8,127.9,8.3
1780102,132.0,65.3,47.0,94.8,4.4
1780103,118.4,79.6,42.9,95.4,4.7
1780104,105.3,74.1,29.8,110.3,6.6
1780105,103.8,89.9,45.8,69.8,9.0
1780106,68.8,124.8,62.5,104.7,5.8
1780107,150.5,120.3,17.6,81.9,6.2
1780108,136.6,99.0,46.3,114.1,7.8
1780109,147.2,127.0,41.6,126.5,7.5
1780110,139.7,163.5,52.8,104.0,8.1
1780111,81.0,75.4,61.5,93.8,8.6
1780112,110.8,100.8,23.3,68.8,6.1
1780113,100.8,57.4,43.2,89.8,7.8
1780114,149.6,75.0,27.7,61.9,9.2
1780115,89.1,120.4,37.7,66.3,8.4
1780116,94.0,106.9,16.2,63.7,7.0
1780117,131.1,113.5,24.8,64.2,8.7
1780118,79.7,107.2,44.1,128.5,10.0
1780119,116.7,74.9,32.3,109.4,4.7
1780120,102.8,114.8,38.4,96.5,10.0
1780121,152.6,114.5,34.0,116.4,5.8
1780122,118.0,97.5,35.4,84.9,8.8
1780123,123.5,94.3,26.1,86.4,7.1
1780124,127.0,81.0,40.8,158.9,5.4
1780125,98.8,97.4,52.6,74.2,6.7
1780126,65.8,89.7,35.6,106.1,7.5
1780127,111.3,124.2,52.5,81.3,7.4
1780128,71.7,151.4,55.8,115.9,7.0
1780129,93.4,99.3,85.6,100.9,7.3
1780130,91.2,131.9,33.5,124.3,7.0
1780131,114.5,87.7,60.2,126.8,6.1
1780132,148.0,116.6,22.2,127.6,7.0
1780133,97.1,108.6,41.4,86.1,8.8
1780134,105.2,128.8,33.5,70.2,5.2
1780135,127.2,111.5,58.5,97.1,4.6
1780136,104.0,115.7,55.6,58.4,5.8
1780137,54.9,67.9,48.0,98.4,7.1
1780138,133.7,78.4,31.2,111.6,8.7
1780139,98.9,112.5,37.5,161.1,8.6
1780140,103.4,125.6,27.0,133.8,7.0
1780141,117.0,151.8,52.8,90.3,7.5
1780142,124.5,85.8,45.9,106.0,8.6
1780143,129.9,79.0,48.1,96.3,6.4
1780144,92.4,94.7,24.6,87.4,9.6
1780145,82.0,97.1,47.1,75.6,8.3
1780146,55.5,87.0,51.1,115.0,9.2
1780147,110.4,83.1,37.6,72.8,6.9
1780148,111.6,82.3,68.6,146.8,5.8
1780149,95.2,77.3,45.2,65.6,7.5
1780150,89.8,114.3,21.1,101.3,8.0
1780151,109.4,65.8,64.6,111.2,4.2
1780152,76.0,115.3,61.4,129.1,4.4
1780153,79.6,80.0,21.3,104.1,6.6
1780154,68.9,70.1,52.7,126.8,6.1
1780155,72.4,95.7,67.3,81.8,7.0
1780156,76.5,106.0,44.8,81.3,7.3
1780157,81.0,91.5,29.8,101.7,5.9
1780158,44.4,75.3,43.3,137.1,6.9
1780159,94.9,70.4,40.4,103.8,5.4
1780160,157.0,68.9,48.9,97.8,5.8
1780161,95.2,47.4,27.2,79.0,6.9
1780162,139.7,93.8,53.8,127.2,8.8
1780163,116.6,117.0,67.6,138.3,7.0
1780164,130.7,78.7,56.4,73.4,6.0
1780165,140.8,63.6,54.0,131.1,8.6
1780166,87.8,84.7,68.7,83.1,8.1
1780167,136.3,104.1,45.9,126.0,6.8
1780168,100.1,101.6,59.3,190.0,7.2
1780169,121.8,54.6,46.8,92.9,10.0
1780170,65.2,116.8,58.7,100.6,6.7
1780171,121.0,100.1,30.7,109.4,3.6
1780172,75.3,89.7,36.5,112.3,5.9
1780173,140.8,95.7,57.1,109.3,8.2
1780174,78.3,118.1,46.5,56.1,4.7
1780175,97.6,45.0,46.7,138.8,6.6
1780176,109.0,87.1,39.1,115.2,6.9
1780177,95.3,101.0,73.5,51.9,4.4
1780178,77.5,128.9,28.8,115.8,6.3
1780179,61.4,49.0,42.1,54.0,6.5
1780180,92.6,105.2,17.7,119.2,6.9
1780181,130.6,125.8,36.5,140.8,5.7
1780182,123.0,105.3,28.2,55.7,9.1
1780183,135.8,69.6,3.3,94.6,7.4
1780184,114.6,129.9,53.8,52.2,7.6
1780185,81.3,56.3,31.4,103.9,7.2
1780186,155.8,99.3,37.6,126.7,5.7
1780187,106.4,116.0,62.6,104.4,8.0
1780188,91.3,77.0,63.8,76.7,8.5
1780189,94.9,128.4,45.0,114.1,3.9
1780190,64.3,120.7,34.7,110.1,10.0
1780191,98.6,106.0,59.8,101.8,5.1
1780192,109.2,85.9,34.7,98.3,9.9
