TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1790001,475.7,375.6,1,243.8,372.5
1790002,152.4,84.3,0,64.5,231.5
1790003,435.5,107.9,1,459.4,433.0
1790004,394.8,275.3,0,409.5,414.8
1790005,192.2,329.7,1,388.3,338.7
1790006,201.6,430.2,0,217.0,170.5
1790007,410.0,493.7,0,235.3,378.4
1790008,335.2,,1,150.1,412.1
1790009,430.3,471.9,1,175.2,343.4
1790010,373.3,440.6,0,110.9,493.4
1790011,336.0,449.4,1,352.8,371.2
1790012,349.9,16.0,0,179.3,93.7
1790013,124.9,133.2,1,277.2,350.6
1790014,468.4,205.7,0,488.4,106.6
1790015,350.8,424.5,0,182.2,413.0
1790016,300.9,24.6,1,455.5,68.8
1790017,300.2,409.5,1,405.4,392.3
1790018,435.8,424.7,0,214.3,337.4
1790019,453.4,18.2,0,259.8,18.9
1790020,271.2,334.3,0,315.3,102.0
1790021,33.2,182.9,1,267.3,426.3
1790022,336.8,35.3,1,149.9,33.1
1790023,391.4,313.8,1,60.8,161.4
1790024,492.3,299.2,1,408.5,453.6
1790025,25.9,150.0,0,11.9,280.1
1790026,89.7,229.3,1,323.9,284.3
1790027,430.5,25.6,1,359.2,20.3
1790028,192.1,419.1,0,303.8,263.3
1790029,462.8,411.1,0,127.0,117.9
1790030,407.4,327.7,1,301.9,359.3
1790031,292.0,11.0,0,360.2,23.1
1790032,290.4,433.9,1,475.3,489.9
1790033,486.2,150.4,1,339.2,461.6
1790034,368.2,401.3,0,158.1,57.1
1790035,113.7,188.3,1,202.3,384.0
1790036,111.9,283.3,1,64.5,339.8
1790037,358.4,453.4,0,187.6,183.9
1790038,67.1,83.6,1,323.0,247.9
1790039,78.0,472.1,1,415.3,104.6
1790040,72.5,266.3,1,297.9,366.9
1790041,347.0,248.1,1,371.4,249.4
1790042,136.6,11.9,0,460.9,490.7
1790043,180.4,234.0,0,360.1,293.7
1790044,55.5,185.3,0,299.6,470.8
1790045,321.9,454.2,1,15.6,60.9
1790046,227.0,120.4,1,94.9,384.8
1790047,261.7,386.4,0,493.3,388.5
1790048,54.2,468.2,1,219.9,31.0
1790049,293.8,21.7,0,441.8,274.8
1790050,499.0,334.9,0,443.3,235.2
1790051,42.0,23.1,1,493.0,238.7
1790052,228.1,180.4,1,419.7,21.9
1790053,381.0,30.1,0,266.0,331.4
1790054,269.1,323.0,0,265.7,313.6
1790055,382.1,305.2,0,139.0,380.7
1790056,260.4,193.4,0,153.5,325.6
1790057,492.4,46.7,1,439.2,294.2
1790058,303.5,188.0,1,84.5,192.9
1790059,168.6,41.5,0,234.3,115.5
1790060,499.8,70.7,0,178.0,368.0
1790061,362.4,367.3,0,462.5,462.9
1790062,251.3,107.9,0,94.2,72.5
1790063,98.5,50.3,0,133.6,474.4
