DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1800001,285.7,200.4,138.0,272.1,129.4
1800002,56.7,99.4,478.1,74.9,245.7
1800003,349.7,10.0,380.1,306.5,179.1
1800004,128.0,120.5,245.8,10.6,101.3
1800005,465.8,458.9,326.2,447.5,278.1
1800006,251.1,217.9,416.4,93.0,381.5
1800007,200.9,489.7,292.6,31.4,381.4
1800008,37.8,191.3,415.2,316.7,109.3
1800009,393.0,123.2,349.1,24.7,29.4
1800010,315.8,18.0,226.9,223.6,450.9
1800011,185.0,189.4,288.1,353.4,245.3
1800012,425.7,285.7,224.0,355.4,444.5
1800013,139.2,107.4,303.0,373.0,485.8
1800014,354.6,434.9,382.2,265.8,299.4
1800015,18.1,189.1,416.5,487.6,82.0
1800016,101.0,182.6,463.3,291.9,355.6
1800017,109.9,55.5,185.9,13.4,463.0
1800018,346.3,277.5,146.3,316.3,118.0
1800019,209.8,452.5,32.2,87.3,13.0
1800020,129.8,480.8,54.0,476.7,62.4
1800021,218.9,87.4,471.3,105.8,325.5
1800022,395.0,369.9,483.1,202.3,367.6
1800023,271.2,224.4,219.3,158.8,319.4
1800024,111.6,272.5,437.3,101.1,209.1
1800025,68.4,450.1,415.1,45.4,468.7
1800026,167.8,385.9,460.8,118.0,190.2
1800027,127.9,56.2,116.7,492.0,478.2
1800028,420.4,260.9,86.4,250.2,151.5
1800029,134.9,389.1,176.7,153.5,422.6
1800030,428.1,74.5,12.5,165.6,95.1
1800031,258.9,357.0,246.7,450.0,402.6
1800032,152.2,154.4,186.5,400.9,476.4
1800033,308.6,192.9,339.6,171.4,323.3
1800034,209.9,285.6,167.2,348.2,61.0
1800035,303.5,10.3,66.0,20.4,416.1
1800036,251.0,499.9,82.4,11.8,81.5
1800037,420.0,175.0,130.2,385.2,484.0
1800038,116.2,416.3,189.1,169.8,426.8
1800039,188.4,309.3,106.9,235.5,99.5
1800040,234.2,207.8,148.1,188.7,224.6
1800041,213.7,190.6,390.3,99.6,146.6
1800042,389.4,285.8,130.5,85.2,102.6
1800043,466.9,459.9,418.3,202.1,459.2
1800044,353.5,40.3,346.7,82.7,362.3
1800045,79.3,184.8,178.1,359.3,39.5
1800046,432.6,36.0,36.6,451.9,485.4
1800047,48.8,313.5,156.6,325.0,128.1
1800048,381.8,353.3,89.3,403.9,270.3
1800049,154.2,225.9,299.4,260.2,190.3
1800050,267.3,145.3,,438.5,193.2
1800051,153.5,398.6,316.8,272.5,343.6
1800052,195.3,417.3,308.8,88.8,391.6
1800053,463.9,211.9,470.2,395.9,272.7
1800054,29.2,10.7,166.7,382.2,214.8
1800055,104.4,353.8,65.6,141.3,342.4
1800056,133.8,463.2,,86.1,293.9
