HomeID,EcoModeDurationHours,OutdoorHumidity_Percent,PowerSaved_Percent,UserOverriddenCount,SystemEfficiencyGrade
1830001,43.4,42.9,45.1,109.0,0
1830002,59.8,65.3,29.7,62.3,1
1830003,49.6,61.5,55.3,105.3,1
1830004,28.6,23.0,25.1,53.4,0
1830005,55.5,22.1,55.8,66.0,1
1830006,28.3,36.6,52.3,107.0,0
1830007,56.3,49.8,33.8,109.6,0
1830008,33.3,61.7,51.5,72.9,0
1830009,43.9,51.5,33.8,19.8,1
1830010,33.0,60.3,45.5,84.5,1
1830011,26.8,54.8,54.9,97.8,0
1830012,33.7,52.7,38.9,70.2,0
1830013,43.6,32.3,62.5,98.2,0
1830014,50.6,39.3,32.4,102.2,0
1830015,56.8,46.6,56.6,126.6,0
1830016,39.8,42.8,64.5,95.3,0
1830017,47.1,41.9,30.3,112.4,1
1830018,60.5,30.5,56.8,62.6,0
1830019,12.9,43.8,66.8,118.4,0
1830020,66.8,71.6,37.5,104.8,1
1830021,32.4,56.0,33.5,71.4,0
1830022,59.8,,73.6,92.2,0
1830023,29.7,36.5,69.2,118.6,1
1830024,28.5,24.7,23.7,94.6,1
1830025,38.2,53.1,72.6,97.3,0
1830026,23.2,17.8,34.6,70.7,0
1830027,71.2,59.2,33.9,93.2,1
1830028,47.2,61.4,30.7,78.1,0
1830029,57.8,19.6,62.4,74.6,0
1830030,47.0,53.2,36.1,114.7,1
1830031,49.9,52.8,29.6,125.6,1
1830032,55.7,52.4,20.7,112.7,1
1830033,56.6,47.3,66.7,132.0,1
1830034,70.4,60.1,54.7,148.7,1
1830035,51.3,47.5,73.4,104.6,1
1830036,43.5,57.6,48.5,101.5,0
1830037,41.8,44.3,67.8,62.9,0
1830038,37.4,76.0,58.3,100.5,1
1830039,51.1,86.6,53.0,116.5,0
1830040,44.6,62.3,22.7,110.2,1
1830041,54.8,29.4,45.5,88.5,0
1830042,46.9,44.2,45.3,70.9,1
1830043,28.3,45.7,55.1,98.3,1
1830044,39.6,44.8,53.6,106.8,0
1830045,62.6,34.7,24.9,136.9,1
1830046,61.4,44.0,57.9,98.0,0
1830047,27.0,77.0,51.7,86.7,1
1830048,58.1,64.8,47.4,80.4,1
1830049,42.2,24.6,37.3,96.8,0
1830050,38.2,69.3,54.3,127.5,0
1830051,51.8,35.2,49.3,71.5,1
1830052,31.7,66.2,20.9,154.7,1
1830053,46.4,42.0,46.4,136.0,1
1830054,64.6,47.4,62.8,101.4,1
1830055,46.4,58.3,30.0,53.8,0
1830056,69.7,54.2,51.3,73.5,1
1830057,62.9,60.2,51.7,88.4,1
1830058,61.0,50.2,66.0,54.1,0
1830059,37.0,33.9,38.3,103.0,1
1830060,54.6,27.0,44.7,84.7,0
1830061,35.6,51.3,33.2,69.1,1
1830062,63.3,31.6,38.7,119.8,1
1830063,19.9,28.0,33.8,62.7,1
