DamID,WaterInflowRate,ReservoirLevel_Meters,PowerGenerated_MWh,TurbineEfficiency_Percent,FloodWarningTriggered
1840001,45.1,26.2,36.9,53.9,0
1840002,33.5,14.1,35.3,60.2,1
1840003,36.3,10.5,20.1,34.9,1
1840004,42.7,10.3,67.6,37.7,1
1840005,73.5,3.2,52.7,37.3,1
1840006,71.3,1.0,60.0,55.6,0
1840007,37.2,11.4,33.6,23.2,0
1840008,61.6,7.7,44.5,55.7,0
1840009,16.2,8.2,64.7,39.8,0
1840010,40.5,5.3,56.4,62.9,0
1840011,55.4,1.4,57.5,42.6,1
1840012,34.7,12.3,45.6,34.6,1
1840013,55.0,5.9,25.0,33.8,1
1840014,57.8,31.4,61.6,42.1,1
1840015,40.5,2.1,22.6,48.1,1
1840016,25.9,3.4,74.0,69.8,0
1840017,45.6,17.4,43.8,60.4,0
1840018,47.7,8.6,44.9,51.4,0
1840019,48.2,2.9,27.8,22.2,1
1840020,47.7,17.6,48.9,45.1,0
1840021,37.1,2.2,67.5,38.2,1
1840022,83.5,13.7,4.5,37.9,0
1840023,51.3,4.3,33.1,38.4,0
1840024,26.8,7.7,40.1,49.9,0
1840025,34.6,2.5,37.6,34.2,1
1840026,58.9,3.0,51.7,44.9,0
1840027,52.3,3.5,39.5,56.4,0
1840028,48.7,7.9,24.0,67.0,1
1840029,36.0,18.5,64.7,30.6,1
1840030,73.0,3.1,29.4,30.4,1
1840031,58.2,0.5,31.3,47.9,1
1840032,51.7,9.8,29.2,9.2,1
1840033,39.6,12.5,33.0,17.9,1
1840034,74.2,1.7,46.2,47.5,0
1840035,52.0,0.1,26.1,34.0,1
1840036,54.0,4.6,46.2,67.8,0
1840037,44.0,2.7,43.7,52.6,0
1840038,49.8,2.9,5.4,43.5,0
1840039,38.8,2.2,36.9,69.2,0
1840040,44.7,2.5,41.2,61.8,0
1840041,49.7,1.7,26.7,51.7,1
1840042,40.0,1.1,62.6,47.3,1
1840043,43.2,0.7,44.5,52.6,0
1840044,65.6,19.4,32.1,15.9,1
1840045,43.3,12.2,31.2,41.4,1
1840046,46.4,24.8,38.5,51.1,0
1840047,22.7,2.4,56.3,46.5,0
1840048,65.1,1.2,61.6,31.9,1
1840049,39.0,16.9,21.6,41.8,0
1840050,54.6,23.8,14.2,78.2,1
1840051,56.8,22.6,26.9,42.0,1
1840052,53.8,5.4,32.7,39.2,1
1840053,50.5,3.3,23.7,29.1,1
1840054,54.8,0.1,73.9,49.1,1
1840055,29.5,8.3,64.3,55.3,1
1840056,62.8,1.0,30.2,50.3,0
1840057,64.1,7.1,46.7,24.5,1
1840058,21.0,10.7,40.8,47.0,0
1840059,76.1,5.1,25.7,35.1,1
1840060,55.4,2.8,54.7,54.3,0
1840061,51.6,2.6,26.6,33.6,0
1840062,68.2,0.3,30.3,49.3,1
1840063,29.4,13.0,30.5,56.0,0
1840064,25.9,6.2,35.6,59.1,0
1840065,22.3,31.2,61.0,40.2,0
1840066,54.9,3.5,34.4,50.4,0
1840067,60.7,12.9,50.8,35.9,1
1840068,40.5,4.4,47.9,37.0,1
1840069,31.4,10.2,50.6,65.3,0
1840070,37.4,9.9,42.5,62.9,0
1840071,35.3,5.0,60.6,38.2,1
