DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1860001,275.9,371.2,499.3,472.7,Medium
1860002,341.0,68.6,372.2,13.1,High
1860003,264.1,273.4,456.6,401.2,Medium
1860004,431.1,468.9,443.2,55.7,Medium
1860005,338.7,460.6,439.5,172.4,Low
1860006,322.9,85.5,298.5,277.0,High
1860007,102.5,90.8,210.5,244.7,Medium
1860008,142.3,25.6,123.2,45.9,Low
1860009,351.4,409.9,117.6,50.5,High
1860010,477.5,250.1,385.8,254.5,Low
1860011,478.4,423.2,401.8,38.5,Medium
1860012,320.2,261.7,319.4,225.2,Low
1860013,44.0,20.0,424.3,261.8,Medium
1860014,357.6,105.6,220.9,460.2,High
1860015,353.9,252.5,265.9,64.9,High
1860016,159.4,127.2,104.9,12.4,Medium
1860017,148.1,319.3,28.4,22.8,High
1860018,189.5,105.3,257.5,149.8,Medium
1860019,142.4,122.0,104.2,220.5,High
1860020,403.1,171.6,411.1,63.7,Medium
1860021,45.3,347.5,378.7,261.5,High
1860022,435.5,96.1,265.4,472.5,Low
1860023,360.2,151.5,110.6,432.0,Low
1860024,258.0,210.0,341.8,117.0,Low
1860025,375.0,362.1,322.6,39.1,Medium
1860026,256.1,197.4,137.9,273.7,Medium
1860027,228.6,253.4,409.3,206.9,Medium
1860028,496.6,251.9,241.7,39.8,Medium
1860029,73.0,250.1,492.5,455.7,High
1860030,303.8,343.0,237.5,272.8,High
1860031,481.6,189.3,496.6,22.2,Medium
1860032,255.2,204.9,280.0,340.7,Medium
1860033,82.3,307.6,278.7,363.4,Medium
1860034,285.6,472.0,104.6,216.6,Medium
1860035,134.1,183.2,306.3,98.9,Low
1860036,21.6,82.2,253.6,48.2,Low
1860037,291.3,477.1,317.9,180.6,Medium
1860038,155.8,93.2,465.1,397.3,High
1860039,382.6,157.7,316.0,31.9,High
1860040,294.3,47.2,80.5,315.0,Medium
1860041,44.4,448.2,280.9,172.3,Low
1860042,495.7,499.1,91.3,140.4,High
1860043,63.5,110.7,452.4,273.2,Medium
1860044,216.0,412.5,22.4,365.3,Low
1860045,298.5,240.5,154.0,146.5,Low
1860046,213.9,232.9,261.7,411.5,High
1860047,463.4,327.9,220.7,425.3,Low
1860048,368.2,356.0,390.4,82.7,Medium
1860049,247.1,458.3,139.9,377.6,Medium
1860050,280.0,298.5,96.9,49.2,Low
1860051,336.5,73.1,392.8,222.7,Low
1860052,210.2,274.8,26.8,138.8,Low
1860053,466.9,377.9,336.8,111.2,Low
1860054,474.5,10.5,382.4,277.4,Medium
1860055,418.2,178.5,185.2,373.1,Medium
1860056,84.3,160.2,326.2,197.1,Medium
1860057,367.3,80.9,354.9,321.5,Low
1860058,222.8,472.8,489.9,479.2,Medium
1860059,476.7,399.4,363.1,81.0,Low
1860060,321.8,36.3,191.6,64.8,High
1860061,337.1,368.7,219.3,76.4,Medium
1860062,30.6,264.4,404.4,368.0,Medium
1860063,390.3,54.0,23.7,169.4,Low
1860064,453.5,491.6,482.6,25.0,High
1860065,32.8,20.7,274.8,14.4,High
1860066,255.4,,45.4,347.4,Low
1860067,402.6,229.5,88.3,373.6,Low
1860068,119.5,419.6,94.2,425.0,High
1860069,388.7,41.3,469.7,77.8,High
1860070,309.8,39.9,279.9,304.1,High
1860071,343.2,266.4,119.9,316.1,Medium
1860072,328.6,446.3,305.4,146.1,Medium
1860073,137.4,277.4,36.1,443.5,High
1860074,179.5,191.8,457.3,69.5,Low
1860075,40.1,146.1,295.8,331.0,High
1860076,28.4,215.1,87.2,294.4,High
1860077,26.9,286.1,35.2,86.3,Medium
1860078,74.5,458.0,63.7,101.1,Medium
1860079,196.8,62.3,234.6,107.8,Medium
1860080,280.7,393.9,31.7,155.3,High
1860081,180.0,392.4,378.9,436.1,Medium
1860082,48.3,214.2,374.5,89.6,Low
1860083,281.3,287.7,364.2,482.0,High
1860084,170.2,174.1,291.0,426.3,High
1860085,13.4,187.7,375.7,177.2,Low
1860086,200.2,299.4,171.6,266.5,Medium
1860087,36.7,175.9,80.6,105.3,Low
1860088,322.2,162.3,48.8,188.9,High
1860089,110.1,418.7,497.6,46.8,Low
1860090,268.0,373.0,83.4,366.3,Medium
1860091,369.7,169.4,81.8,101.5,Medium
1860092,393.0,27.1,190.0,333.3,High
1860093,190.2,146.8,68.4,218.2,Medium
1860094,219.6,379.5,346.1,397.1,Medium
1860095,42.4,440.0,389.7,88.6,Medium
1860096,191.9,440.9,118.7,245.3,Low
1860097,484.4,77.6,257.2,490.0,Low
1860098,150.5,330.8,213.5,286.4,Medium
1860099,54.4,212.0,262.8,338.6,Low
1860100,177.9,452.9,58.6,175.0,Medium
1860101,286.3,143.5,311.5,178.7,Low
1860102,140.4,27.8,328.7,364.0,Medium
1860103,223.2,261.1,430.1,343.1,High
1860104,291.6,424.9,43.1,70.9,Low
1860105,443.2,444.5,68.4,284.6,High
1860106,340.6,293.1,264.0,193.9,Low
1860107,288.0,46.0,206.3,468.6,Medium
1860108,262.9,220.8,266.7,482.1,Medium
1860109,125.2,49.2,315.8,207.3,High
1860110,46.1,158.2,234.2,167.0,Low
1860111,415.2,451.5,453.5,471.6,High
1860112,109.0,382.6,113.8,302.1,Medium
1860113,182.1,135.8,267.5,175.3,High
1860114,379.4,222.6,139.0,253.5,Low
1860115,66.3,347.1,210.3,452.8,High
1860116,62.3,202.1,42.5,382.8,Low
1860117,22.7,237.6,156.4,298.2,Medium
1860118,120.8,295.1,193.5,52.8,Low
1860119,449.0,467.7,420.7,244.4,High
