UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1870001,215.8,305.8,317.2,Family,1
1870002,279.5,172.5,254.7,Premium,0
1870003,45.0,308.3,148.4,Family,1
1870004,355.2,294.1,499.5,Basic,1
1870005,353.6,244.2,360.0,Family,1
1870006,407.2,98.6,314.5,Premium,0
1870007,220.5,263.1,191.1,Family,0
1870008,43.5,272.1,194.0,Premium,0
1870009,236.1,446.8,394.8,Basic,0
1870010,348.7,79.4,169.2,Premium,0
1870011,339.8,473.2,173.1,Premium,1
1870012,357.2,61.9,122.9,Premium,0
1870013,38.0,236.5,204.8,Premium,1
1870014,369.7,311.4,224.8,Premium,1
1870015,296.8,185.3,166.8,Premium,0
1870016,125.2,452.1,146.8,Family,0
1870017,27.3,376.6,187.6,Premium,0
1870018,491.4,395.9,200.4,Basic,1
1870019,203.5,230.1,255.9,Family,0
1870020,253.9,178.1,452.2,Basic,1
1870021,443.3,22.9,486.5,Premium,1
1870022,96.4,51.2,43.8,Premium,0
1870023,239.4,223.0,223.5,Premium,0
1870024,220.4,195.1,468.5,Premium,1
1870025,339.2,155.7,74.1,Premium,1
1870026,190.9,67.8,474.2,Family,0
1870027,377.4,255.7,390.0,Premium,1
1870028,469.6,267.2,217.1,Premium,1
1870029,392.8,117.4,77.9,Premium,0
1870030,69.2,27.5,109.9,Basic,0
1870031,133.6,459.2,368.4,Premium,1
1870032,389.6,74.1,355.6,Premium,1
1870033,35.8,208.9,158.1,Family,0
1870034,126.5,434.8,339.3,Family,0
1870035,127.4,105.9,439.3,Premium,0
1870036,195.5,326.1,365.5,Premium,1
1870037,488.9,237.0,50.0,Premium,0
1870038,193.8,20.4,59.0,Basic,0
1870039,79.0,232.2,93.1,Basic,0
1870040,57.4,23.8,451.1,Family,1
1870041,326.1,188.3,445.9,Premium,1
1870042,241.4,163.6,362.5,Family,0
1870043,147.2,125.6,165.4,Family,1
1870044,281.6,458.6,465.3,Basic,1
1870045,52.1,68.0,32.7,Family,0
1870046,84.0,444.4,336.8,Family,1
1870047,423.0,418.1,103.8,Basic,1
1870048,419.5,422.6,454.5,Premium,0
1870049,379.0,240.8,497.6,Premium,1
1870050,56.4,32.2,432.6,Premium,0
1870051,185.3,483.7,129.7,Basic,0
1870052,217.9,132.2,120.5,Family,0
1870053,132.4,219.3,453.3,Basic,0
1870054,272.7,439.2,152.9,Basic,1
1870055,283.1,190.2,172.3,Family,1
1870056,30.8,306.3,366.9,Premium,1
1870057,128.8,34.9,110.6,Basic,1
1870058,250.7,497.7,140.2,Family,0
1870059,470.2,425.4,199.5,Family,1
1870060,246.0,126.4,142.9,Premium,1
1870061,46.5,69.2,407.4,Premium,1
1870062,486.2,479.3,124.2,Premium,0
1870063,283.4,305.6,351.9,Basic,1
1870064,64.7,100.6,150.5,Family,0
1870065,331.0,494.3,338.6,Basic,1
1870066,467.2,192.2,399.9,Family,1
1870067,309.9,150.2,21.0,Family,0
1870068,410.4,279.5,108.2,Basic,1
1870069,23.4,319.5,199.6,Premium,0
1870070,158.0,343.5,79.1,Premium,1
1870071,120.5,356.0,100.5,Basic,0
1870072,135.7,273.9,109.1,Family,0
1870073,208.8,333.4,435.0,Premium,1
1870074,372.0,176.4,170.1,Basic,0
1870075,320.8,281.1,193.2,Basic,0
1870076,221.7,208.1,265.3,Family,1
1870077,143.8,149.8,246.6,Basic,0
1870078,235.9,29.8,343.5,Basic,0
1870079,48.3,268.4,464.9,Basic,1
1870080,255.7,150.9,273.3,Family,0
1870081,421.8,39.0,225.7,Basic,0
1870082,212.4,363.0,363.5,Family,0
1870083,33.6,367.2,82.4,Premium,1
1870084,254.6,223.3,249.3,Family,0
1870085,127.2,130.7,41.7,Premium,0
1870086,223.7,449.2,95.0,Premium,0
1870087,450.5,354.2,301.7,Basic,0
1870088,383.6,206.5,20.8,Family,0
1870089,101.9,53.9,443.2,Premium,0
1870090,326.7,35.7,477.0,Premium,1
1870091,472.9,200.0,332.5,Basic,1
1870092,56.9,288.0,144.0,Family,0
1870093,106.5,118.6,398.0,Basic,1
1870094,242.5,379.4,398.9,Premium,1
1870095,395.7,98.0,431.3,Premium,0
1870096,201.5,299.2,279.0,Basic,1
1870097,276.9,28.7,467.7,Basic,0
1870098,297.5,25.4,278.7,Premium,1
1870099,322.0,114.5,94.9,Family,1
1870100,225.0,67.3,144.5,Basic,1
1870101,439.7,76.2,,Basic,1
1870102,72.8,226.7,300.1,Family,1
1870103,322.7,199.5,304.8,Basic,0
1870104,97.2,19.8,226.1,Premium,1
1870105,192.3,415.4,103.7,Family,1
1870106,436.1,63.6,218.0,Basic,1
1870107,424.6,282.6,268.2,Family,1
1870108,262.9,190.4,182.8,Family,0
1870109,75.1,497.6,223.8,Premium,0
1870110,430.6,414.3,378.8,Family,0
1870111,481.4,454.2,315.2,Basic,1
1870112,40.2,155.6,103.8,Family,1
1870113,351.9,466.6,199.9,Basic,1
1870114,436.5,306.5,300.5,Premium,0
1870115,333.4,439.8,121.5,Premium,1
1870116,446.4,162.6,206.9,Basic,1
1870117,422.1,19.9,239.5,Family,1
1870118,207.2,387.7,52.4,Family,1
1870119,411.6,344.9,352.9,Premium,1
1870120,371.4,326.2,79.6,Basic,0
1870121,245.9,297.4,420.6,Premium,0
1870122,253.7,20.7,253.5,Premium,0
