ShiftID,WeeklyOvernightShifts,TeamSize,DefectiveItemsProduced,InspectAccuracy_Percent,IncidentReported
1870001,134.2,124.5,102.6,51.8,1
1870002,45.2,125.4,140.9,60.0,1
1870003,104.9,120.6,80.2,49.4,1
1870004,89.7,103.2,105.0,58.6,0
1870005,123.0,107.8,99.1,46.9,0
1870006,114.9,90.8,149.6,51.7,1
1870007,81.9,101.1,66.7,35.9,0
1870008,97.1,113.2,102.7,44.1,0
1870009,147.5,73.2,135.3,32.4,0
1870010,90.4,125.1,131.0,42.6,1
1870011,130.1,104.0,122.4,36.5,1
1870012,125.0,59.2,90.1,34.4,0
1870013,63.6,136.8,64.9,62.2,0
1870014,111.7,105.0,86.9,59.1,1
1870015,98.7,96.3,94.7,37.7,0
1870016,37.6,66.7,72.5,35.6,0
1870017,37.8,95.7,111.7,21.7,1
1870018,71.9,82.9,106.1,37.7,0
1870019,72.2,68.3,96.8,41.5,0
1870020,136.5,122.3,135.1,25.4,1
1870021,90.4,60.3,125.0,49.1,1
1870022,107.1,38.3,100.6,67.8,1
1870023,120.4,93.7,90.6,59.4,0
1870024,81.6,83.3,88.7,35.4,1
1870025,84.3,100.8,123.4,27.4,1
1870026,66.3,148.7,142.7,49.8,1
1870027,98.6,78.2,117.0,18.5,1
1870028,105.5,113.9,83.1,63.3,0
1870029,89.7,135.2,125.9,62.0,1
1870030,154.2,90.5,92.7,41.4,0
1870031,110.6,156.7,165.1,55.9,0
1870032,56.8,82.9,,46.9,1
1870033,107.1,152.1,129.0,37.7,1
1870034,107.3,67.3,95.4,61.9,0
1870035,91.0,88.8,,22.9,0
1870036,105.6,40.7,86.3,29.5,0
1870037,75.0,112.3,97.2,33.6,0
1870038,53.0,119.9,115.0,38.6,1
1870039,105.9,113.8,86.9,43.6,1
1870040,59.1,104.2,110.2,41.8,1
1870041,85.9,115.8,115.9,55.3,0
1870042,101.8,99.6,97.3,42.9,1
1870043,98.6,98.8,86.2,42.7,1
1870044,59.3,88.3,75.2,49.5,1
1870045,99.3,113.8,72.5,34.7,0
1870046,117.9,120.3,47.7,49.8,0
1870047,75.7,102.0,117.1,27.2,1
1870048,103.6,112.4,132.7,36.1,1
1870049,113.6,100.4,73.2,47.4,0
1870050,104.9,87.1,66.9,30.2,0
1870051,129.7,134.5,78.3,52.3,0
1870052,110.5,111.0,119.3,33.3,1
1870053,81.6,128.9,110.0,58.4,0
1870054,79.2,124.7,77.6,32.7,0
1870055,138.0,69.5,64.7,48.2,0
1870056,85.0,117.6,113.0,32.1,0
1870057,75.3,62.0,92.6,37.5,0
1870058,148.9,85.4,95.5,22.5,1
1870059,92.6,70.7,172.6,14.4,1
1870060,56.6,31.8,111.4,63.4,0
1870061,100.1,73.6,108.0,51.4,0
1870062,79.4,88.8,53.5,31.6,0
1870063,92.6,90.2,128.7,35.1,1
1870064,128.8,82.9,117.6,31.7,1
1870065,100.0,100.4,101.2,32.7,0
1870066,84.1,115.2,84.8,47.9,0
1870067,90.6,92.7,74.0,62.3,0
1870068,61.7,79.4,151.1,68.2,1
1870069,105.9,95.7,83.0,62.4,0
1870070,109.0,109.3,107.5,41.4,0
1870071,112.9,126.0,70.8,44.4,0
1870072,72.4,84.5,93.6,46.0,0
1870073,97.0,134.0,15.5,40.4,0
1870074,64.9,87.9,134.3,60.0,1
