ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1950001,444.8,316.6,351.5,98.2,317.5
1950002,58.1,314.9,126.2,58.1,118.4
1950003,182.7,149.7,230.2,469.2,314.9
1950004,292.7,43.6,331.5,78.4,428.9
1950005,311.6,333.9,45.0,255.5,119.5
1950006,126.4,355.3,458.5,265.1,158.0
1950007,200.1,227.0,470.3,403.8,59.8
1950008,486.4,433.9,288.6,478.8,429.7
1950009,28.0,153.1,348.3,472.0,399.1
1950010,88.4,443.5,475.8,64.1,350.4
1950011,141.5,390.3,444.1,284.8,116.0
1950012,332.8,275.2,169.8,157.5,44.8
1950013,204.4,29.5,193.6,389.9,391.3
1950014,370.2,241.4,119.4,221.5,97.4
1950015,70.3,48.2,256.2,487.2,345.7
1950016,182.7,499.3,441.2,96.5,335.0
1950017,190.6,409.5,163.8,167.2,31.8
1950018,117.8,373.8,12.2,161.4,419.6
1950019,311.6,471.2,153.4,80.3,235.9
1950020,283.7,457.3,332.4,460.9,12.0
1950021,150.1,26.6,57.6,264.7,415.6
1950022,375.5,318.5,248.9,244.4,175.8
1950023,349.2,425.6,308.7,87.3,17.1
1950024,227.1,177.3,109.4,136.2,68.4
1950025,58.9,433.9,15.3,149.3,375.7
1950026,322.7,205.3,403.5,375.0,456.7
1950027,438.8,87.6,268.5,218.9,316.6
1950028,332.8,93.2,239.5,162.6,498.2
1950029,132.9,484.8,374.4,286.7,343.1
1950030,299.3,493.7,184.3,162.8,413.6
1950031,161.2,309.1,468.7,56.8,433.0
1950032,215.2,354.3,228.6,120.2,155.7
1950033,,279.4,157.3,282.9,352.7
1950034,200.2,491.4,457.4,157.1,397.7
1950035,17.8,175.5,18.5,113.4,185.2
1950036,390.7,318.5,482.4,443.9,150.8
1950037,279.0,462.7,352.2,226.9,136.1
1950038,492.0,321.7,278.1,494.5,100.5
1950039,439.3,412.9,328.0,228.7,309.5
1950040,118.9,315.0,278.5,420.0,303.1
1950041,117.7,449.1,287.9,289.6,61.2
1950042,313.0,87.5,325.3,351.2,283.6
1950043,316.1,386.3,302.4,74.7,138.3
1950044,468.5,215.0,321.2,444.6,471.2
1950045,34.1,419.8,437.8,134.8,280.1
1950046,493.2,217.9,496.7,390.3,268.7
1950047,345.9,298.9,443.9,143.6,208.7
1950048,489.8,183.2,74.9,442.8,343.2
1950049,126.9,256.8,170.0,114.3,319.7
1950050,29.6,185.6,484.0,80.3,205.4
1950051,151.3,44.7,147.0,35.5,49.5
1950052,32.9,453.0,164.4,119.0,160.2
1950053,391.1,295.8,58.8,297.8,248.3
1950054,167.2,443.1,324.1,372.4,362.6
1950055,407.0,98.4,154.3,272.7,194.5
1950056,327.9,249.0,152.2,19.9,316.2
1950057,159.5,57.5,448.9,474.9,494.4
1950058,487.2,362.7,462.8,141.8,25.4
1950059,163.7,266.1,266.7,93.7,365.6
1950060,369.6,89.7,382.1,232.0,434.3
1950061,494.2,55.3,354.7,339.2,23.1
1950062,302.4,100.9,73.5,316.7,410.8
1950063,372.4,171.9,18.8,382.4,79.4
1950064,223.7,246.4,67.0,290.8,112.5
1950065,454.8,136.1,90.8,153.5,205.2
1950066,87.0,423.5,121.9,202.0,370.1
1950067,472.8,186.8,184.3,482.0,156.1
1950068,211.0,365.6,316.7,365.6,235.6
1950069,275.0,453.2,74.7,160.0,25.4
1950070,453.0,44.4,273.2,14.1,420.4
1950071,14.0,452.0,386.3,342.5,450.7
1950072,230.8,222.9,173.5,96.7,264.3
1950073,385.9,185.0,117.4,440.6,11.9
1950074,65.9,134.4,154.8,411.8,20.2
1950075,368.1,140.3,75.5,383.2,476.7
1950076,253.4,275.5,16.1,375.0,422.3
1950077,412.6,115.3,74.2,110.4,438.0
1950078,247.9,255.0,152.3,260.7,177.3
1950079,242.8,315.5,103.1,49.1,220.6
1950080,403.0,144.2,332.2,374.6,116.1
1950081,256.7,496.7,488.0,85.1,179.1
1950082,22.2,104.1,382.0,470.4,138.5
1950083,318.5,38.0,424.8,482.2,418.4
1950084,94.8,279.2,96.8,329.3,198.3
1950085,65.3,115.8,229.8,332.6,111.0
1950086,264.3,282.0,407.3,487.8,74.9
1950087,329.3,145.1,402.5,229.1,191.8
1950088,74.3,302.5,227.4,192.8,183.9
1950089,237.6,375.2,184.4,205.4,233.2
1950090,422.3,450.3,352.2,271.8,115.1
1950091,396.5,247.9,424.4,246.3,184.7
1950092,333.8,483.0,354.5,358.3,456.3
1950093,329.4,358.9,160.8,134.3,218.7
1950094,,334.6,476.6,488.5,142.8
1950095,152.5,45.3,182.9,196.1,477.8
1950096,63.2,274.4,219.0,32.2,204.0
1950097,10.7,109.5,298.0,327.8,276.0
1950098,220.7,271.3,376.3,32.6,125.2
1950099,415.4,51.5,191.0,298.7,320.1
1950100,24.1,63.0,120.3,413.3,407.4
1950101,75.1,111.8,246.5,292.2,435.6
1950102,14.7,21.0,459.8,301.8,102.7
1950103,123.1,197.9,260.5,188.1,238.1
1950104,417.6,165.0,321.1,417.6,176.5
1950105,343.4,17.9,270.6,50.3,91.9
1950106,58.6,230.0,278.8,93.5,318.3
1950107,401.4,495.5,71.9,277.7,248.5
1950108,53.2,101.7,28.0,228.0,437.8
1950109,96.5,110.7,426.8,382.9,239.7
1950110,495.0,414.4,364.8,56.4,106.4
1950111,490.4,206.9,345.6,417.8,381.3
1950112,150.0,242.0,135.0,471.6,313.5
1950113,103.4,359.6,287.8,124.2,496.1
1950114,319.4,272.7,145.8,409.6,357.2
1950115,489.4,362.1,480.7,446.9,330.3
1950116,176.9,230.9,30.7,163.0,175.7
1950117,256.5,455.0,72.7,255.7,118.5
1950118,,308.1,105.9,230.7,223.4
1950119,430.4,191.8,376.5,458.5,454.6
1950120,11.4,346.5,161.6,16.6,429.2
1950121,430.2,470.6,318.2,459.5,259.1
1950122,389.1,217.8,261.4,198.7,470.1
1950123,414.6,482.1,114.8,359.5,202.9
1950124,291.1,253.6,336.1,34.4,386.1
1950125,142.9,471.0,318.5,371.8,451.6
1950126,437.9,460.3,434.4,10.8,281.5
1950127,132.2,193.4,235.2,301.7,308.2
1950128,224.7,144.0,415.0,230.9,48.4
1950129,240.7,90.1,276.6,111.3,257.5
1950130,413.8,155.8,440.4,87.7,45.4
1950131,28.1,136.7,391.7,113.7,310.3
1950132,394.7,62.6,380.6,450.5,434.9
1950133,136.7,294.4,242.6,214.2,108.4
1950134,114.2,182.5,209.7,342.9,93.0
1950135,129.1,349.7,163.7,382.1,126.5
1950136,275.5,267.7,41.6,478.2,99.1
1950137,142.8,199.0,326.5,41.5,463.5
1950138,188.4,418.0,386.5,142.2,226.7
1950139,48.6,226.8,440.4,231.4,53.2
1950140,437.6,194.8,324.8,294.0,88.6
1950141,346.5,293.1,486.3,308.8,131.9
1950142,435.5,126.0,379.9,472.5,292.2
1950143,101.9,130.4,264.6,375.4,404.5
1950144,449.3,499.5,354.8,364.4,114.0
1950145,262.4,387.5,155.3,228.3,134.0
1950146,223.0,281.1,498.6,49.0,62.1
1950147,405.6,183.0,374.2,480.0,396.9
1950148,336.8,472.3,88.4,213.0,110.5
1950149,117.3,328.6,375.8,445.0,209.2
1950150,173.9,340.4,125.9,25.5,292.9
1950151,86.1,252.3,176.0,322.0,17.9
1950152,63.6,462.9,308.3,191.9,359.9
1950153,258.7,125.0,241.7,53.6,27.5
1950154,400.3,64.4,119.0,220.8,18.0
1950155,97.6,65.4,201.4,371.2,63.5
1950156,362.3,335.9,322.3,108.1,458.7
1950157,115.9,421.3,191.8,454.3,293.2
1950158,105.0,486.3,75.1,382.4,148.9
1950159,225.2,122.5,249.0,272.3,331.0
1950160,115.4,474.4,183.5,238.3,207.7
1950161,125.8,430.3,324.5,209.2,86.9
1950162,313.1,227.2,445.6,258.4,491.3
1950163,208.2,370.6,29.4,351.7,325.0
1950164,176.0,476.4,154.7,117.3,455.9
1950165,209.6,267.7,118.6,46.1,80.5
1950166,118.3,136.9,382.7,197.8,200.6
1950167,385.3,113.6,72.0,154.1,216.5
1950168,16.7,80.1,112.6,457.3,356.4
1950169,371.3,133.3,400.4,421.5,18.5
1950170,204.2,182.9,40.0,176.0,80.7
1950171,60.7,146.5,266.3,370.2,235.0
1950172,109.2,234.4,221.1,133.8,136.4
1950173,471.1,214.8,194.0,337.9,150.1
1950174,449.9,382.6,410.9,285.7,430.6
1950175,353.1,296.3,306.3,31.5,375.7
1950176,285.2,292.2,287.1,136.2,10.6
1950177,376.6,350.1,125.2,486.5,187.4
1950178,83.1,425.5,140.3,329.2,60.9
1950179,215.2,428.4,347.0,364.7,169.0
1950180,271.8,47.6,384.4,87.1,434.5
1950181,290.8,451.0,72.7,334.3,178.6
1950182,126.0,399.9,118.5,304.6,429.9
1950183,77.7,288.0,430.7,366.5,163.2
1950184,27.2,196.8,315.5,354.3,303.4
1950185,42.4,13.8,209.8,42.6,480.7
1950186,365.5,435.7,189.4,348.4,176.2
1950187,150.4,35.5,207.5,122.8,382.4
1950188,193.1,30.0,312.3,437.5,77.6
1950189,208.4,467.4,246.1,314.9,116.5
1950190,266.1,314.4,280.3,318.2,404.5
1950191,21.5,137.8,305.8,370.1,307.6
1950192,239.1,373.5,43.1,192.3,266.6
1950193,16.9,357.2,481.9,324.3,16.2
1950194,262.3,325.4,333.6,396.3,136.7
1950195,310.3,186.3,46.3,61.0,340.8
1950196,305.9,35.3,387.5,251.9,77.5
1950197,231.0,453.4,340.6,368.1,249.7
1950198,33.8,223.2,257.7,41.1,330.3
1950199,268.8,60.2,257.2,54.3,451.6
1950200,394.8,79.0,315.3,291.1,76.1
1950201,15.3,249.3,178.8,99.0,252.7
1950202,458.5,294.6,315.9,311.5,49.8
1950203,330.4,238.6,491.6,124.0,328.2
1950204,70.0,79.2,70.6,97.8,479.2
1950205,302.0,193.5,261.3,56.6,397.1
1950206,302.6,373.2,232.5,97.6,179.9
1950207,91.3,183.5,265.7,225.4,336.6
1950208,206.7,321.3,499.9,243.9,44.5
1950209,60.2,367.8,282.8,348.3,307.2
1950210,332.2,263.2,89.0,339.3,287.3
1950211,216.1,51.1,324.8,136.4,56.6
1950212,467.1,127.1,225.1,405.6,143.3
1950213,135.8,239.8,61.6,16.8,47.0
1950214,22.8,39.1,133.8,98.4,238.6
1950215,465.3,17.2,391.0,79.7,25.9
1950216,437.5,401.9,14.1,264.5,268.1
1950217,48.5,37.9,166.7,245.4,167.6
1950218,493.7,347.7,360.6,486.8,29.4
1950219,44.4,194.6,201.6,19.9,61.2
1950220,308.2,459.8,331.2,432.9,35.6
1950221,404.1,422.9,401.9,340.1,121.6
1950222,191.9,360.2,425.8,397.9,277.7
1950223,135.0,455.5,357.2,44.9,182.6
1950224,188.1,496.9,329.8,380.9,67.2
1950225,13.2,213.9,289.3,286.6,210.3
1950226,84.6,406.3,100.0,480.3,139.6
1950227,33.6,447.9,394.7,69.1,384.8
1950228,142.7,43.0,195.0,465.7,114.5
1950229,298.4,444.2,163.8,423.6,381.9
1950230,458.2,389.6,32.8,385.6,143.8
1950231,338.0,455.4,198.5,87.1,210.8
1950232,367.8,262.6,156.6,448.3,50.4
1950233,16.7,300.4,439.0,66.5,94.6
1950234,66.7,147.1,223.1,462.1,293.9
1950235,361.0,419.3,455.7,226.7,426.6
1950236,420.7,45.7,203.7,36.8,333.5
1950237,18.5,15.6,306.7,181.0,120.2
1950238,428.4,331.0,69.0,147.7,373.2
1950239,23.0,210.4,255.5,90.6,203.3
1950240,94.5,106.9,360.3,346.8,486.7
1950241,346.3,463.8,292.6,495.3,54.0
1950242,40.0,236.4,96.4,460.1,49.7
1950243,241.7,261.8,277.3,313.8,143.6
1950244,443.7,441.6,256.7,158.5,34.0
1950245,162.9,345.9,88.1,142.1,451.1
1950246,212.8,240.9,143.6,106.6,113.0
1950247,21.7,130.4,90.7,52.8,98.3
1950248,299.2,416.8,12.5,398.6,219.7
1950249,292.4,218.2,70.0,205.6,93.4
1950250,144.0,206.1,362.3,461.2,104.1
1950251,381.6,300.6,241.9,83.8,236.8
1950252,445.1,492.2,168.6,460.1,487.4
1950253,280.2,25.4,420.9,214.5,453.1
1950254,132.3,44.7,136.9,132.0,302.1
1950255,449.6,297.2,79.6,182.6,498.5
1950256,30.4,38.7,476.9,38.5,398.5
1950257,78.1,54.2,94.3,454.9,131.1
1950258,126.3,53.0,24.4,185.1,277.3
1950259,41.5,169.7,391.4,165.3,437.5
1950260,195.2,16.7,114.4,380.0,407.3
1950261,397.7,389.7,145.4,481.2,14.8
1950262,58.9,331.1,91.3,91.7,18.2
1950263,447.6,50.8,220.8,394.3,425.8
1950264,61.2,276.4,497.1,252.1,273.9
1950265,424.1,499.0,193.2,426.1,351.2
1950266,225.9,277.0,178.5,465.9,67.8
1950267,410.0,169.0,422.8,277.2,87.6
1950268,244.7,423.1,163.9,398.4,194.3
1950269,300.1,196.0,468.1,433.5,98.7
1950270,367.9,381.3,46.5,405.7,456.5
1950271,358.4,215.5,329.3,318.3,153.7
1950272,344.2,422.7,286.4,312.9,23.7
1950273,437.9,102.8,88.3,144.4,370.3
1950274,40.9,352.5,480.1,188.6,26.1
1950275,496.6,154.8,141.7,76.0,419.4
1950276,12.6,482.8,106.8,139.0,343.3
1950277,29.2,284.4,232.1,365.1,80.1
1950278,324.6,429.3,289.8,131.9,35.4
1950279,132.3,358.5,105.9,67.3,39.9
1950280,191.3,343.3,216.4,358.1,489.0
1950281,492.9,344.9,326.9,264.0,446.1
1950282,123.5,86.6,62.6,440.5,94.3
1950283,266.2,389.8,440.4,304.4,461.6
1950284,447.5,255.1,492.8,357.1,330.2
1950285,51.3,229.8,266.2,449.2,20.1
1950286,,306.0,374.1,352.5,87.6
1950287,488.3,157.6,127.6,214.4,460.7
1950288,411.3,376.9,451.0,150.7,402.2
1950289,110.8,493.3,422.7,423.5,83.2
1950290,222.8,403.4,408.7,206.1,306.7
1950291,256.7,54.0,164.1,128.9,493.0
1950292,465.2,78.8,309.1,259.3,451.5
1950293,,381.8,473.8,499.8,471.0
1950294,83.6,245.1,279.1,185.7,489.4
1950295,317.7,383.3,448.6,74.3,166.5
1950296,447.3,244.5,479.7,313.4,236.2
1950297,242.2,212.5,131.4,425.6,235.6
1950298,84.0,409.8,488.1,177.9,340.6
1950299,79.8,106.0,300.0,431.3,324.9
1950300,332.7,228.0,463.1,85.9,43.5
1950301,48.1,390.9,47.4,112.2,38.3
1950302,227.7,400.9,261.1,319.0,340.6
1950303,109.7,198.4,469.0,375.7,164.3
1950304,49.7,373.6,173.5,88.7,474.0
1950305,189.7,423.6,13.3,125.3,440.6
1950306,313.2,482.2,211.1,232.7,244.6
1950307,267.9,257.2,450.6,305.7,449.6
1950308,225.5,260.0,175.6,108.6,233.7
1950309,310.3,37.7,156.5,178.1,109.6
1950310,488.1,184.9,495.5,172.9,87.1
1950311,39.0,355.4,57.0,61.3,188.2
1950312,270.9,38.9,177.1,249.8,63.3
1950313,172.7,71.5,155.9,422.4,105.6
1950314,270.2,116.1,254.4,76.1,249.6
1950315,66.1,18.6,435.0,109.5,153.7
1950316,318.3,292.9,331.8,68.1,300.1
1950317,232.1,377.0,205.7,51.3,57.3
1950318,302.2,193.1,135.8,249.0,271.9
1950319,339.5,106.6,311.5,147.6,439.2
1950320,451.8,144.2,259.8,114.4,354.8
1950321,469.2,434.3,50.0,98.4,405.1
1950322,266.6,348.9,241.0,371.4,495.4
1950323,49.8,358.5,326.9,172.6,158.3
1950324,243.3,481.3,346.1,87.3,37.2
1950325,449.1,334.3,289.1,443.5,464.0
1950326,372.0,265.4,338.7,273.4,402.7
1950327,132.3,97.2,323.8,182.9,437.8
1950328,330.2,282.8,347.8,311.7,264.4
1950329,34.2,306.5,278.6,466.1,420.1
1950330,311.9,183.1,134.0,287.5,178.0
1950331,,249.4,304.0,466.4,152.8
1950332,257.3,391.5,137.0,271.7,240.8
1950333,468.1,302.8,127.0,181.0,74.7
1950334,467.9,333.4,63.0,280.7,488.2
1950335,16.4,37.7,165.9,55.9,356.1
1950336,207.2,215.4,394.9,205.4,267.7
1950337,440.0,435.0,143.4,134.2,133.7
1950338,103.1,456.0,350.2,341.5,240.3
1950339,167.4,62.8,224.4,431.4,389.5
1950340,172.0,398.2,427.8,176.7,205.6
1950341,275.1,256.7,178.2,413.4,92.2
1950342,473.5,336.1,293.4,272.4,209.7
1950343,446.2,419.0,379.5,297.6,490.6
1950344,108.7,32.3,226.5,202.7,171.7
1950345,421.2,51.2,410.2,244.8,318.4
1950346,490.2,442.4,368.6,236.4,177.9
1950347,13.9,207.5,112.6,225.6,292.3
1950348,65.9,377.9,81.1,100.7,422.1
1950349,428.0,367.3,413.2,312.8,254.1
1950350,198.8,441.0,484.6,430.7,432.4
1950351,433.6,471.0,344.0,473.5,435.9
1950352,72.2,291.9,314.0,365.1,196.5
1950353,294.2,127.4,303.5,121.0,283.3
1950354,254.1,427.6,29.3,489.8,390.9
1950355,47.9,139.3,305.6,423.9,127.2
1950356,301.5,143.4,499.7,19.5,11.3
1950357,298.8,126.2,439.2,63.9,345.9
1950358,230.9,413.9,297.6,476.9,48.3
1950359,413.8,173.9,222.3,403.8,446.2
1950360,435.8,289.7,431.8,334.8,221.9
1950361,320.8,230.7,92.2,471.6,212.3
1950362,337.2,51.2,90.7,381.2,205.5
1950363,266.6,296.8,197.9,308.5,143.2
1950364,421.9,223.6,13.5,36.5,393.1
1950365,106.0,462.9,13.6,408.0,293.7
1950366,361.8,422.2,402.6,268.8,444.3
1950367,102.9,347.5,304.1,479.0,54.5
1950368,396.4,252.3,150.4,397.4,102.6
1950369,389.7,203.0,332.0,324.5,436.2
1950370,321.8,59.7,215.1,256.7,251.3
1950371,378.1,287.2,164.0,136.0,359.1
1950372,401.6,484.3,17.3,386.4,117.8
1950373,209.8,311.2,233.3,384.3,455.6
1950374,81.5,327.4,228.2,134.2,195.5
1950375,206.5,320.6,220.3,75.3,419.1
1950376,476.0,389.7,67.4,306.1,401.1
1950377,347.7,283.7,151.5,286.3,278.2
1950378,83.2,49.9,372.8,282.9,389.9
1950379,88.3,122.5,485.3,427.8,460.9
1950380,28.0,380.9,247.4,210.6,201.7
1950381,22.3,279.8,298.6,222.9,163.3
1950382,389.5,64.3,382.9,71.1,328.4
1950383,250.5,91.0,175.0,471.5,377.4
1950384,393.2,240.5,135.6,184.7,385.3
1950385,29.0,461.0,113.4,40.2,103.0
1950386,212.4,367.9,398.0,318.1,52.1
1950387,413.7,475.9,207.5,125.6,379.8
1950388,478.3,118.4,258.2,30.4,338.5
1950389,207.8,98.1,459.6,57.3,194.8
1950390,285.6,425.1,327.3,106.3,177.5
1950391,435.8,436.1,494.7,169.7,391.0
1950392,235.6,52.9,406.2,120.1,145.5
1950393,29.0,282.2,239.2,281.3,57.3
1950394,370.6,341.1,75.4,326.9,469.6
1950395,487.9,210.0,300.5,10.4,415.4
1950396,135.2,218.4,61.3,282.3,131.4
1950397,247.9,332.4,409.5,186.8,387.7
1950398,316.1,238.8,204.9,431.7,60.2
1950399,142.6,225.8,395.8,282.9,291.6
1950400,32.7,428.5,300.7,363.4,397.8
1950401,240.8,486.2,248.7,27.7,45.0
1950402,34.5,318.6,401.6,14.0,153.9
1950403,243.2,423.2,266.0,72.2,326.8
1950404,476.4,151.9,53.5,84.0,406.2
1950405,395.5,486.3,66.4,315.2,96.5
1950406,340.4,121.2,285.7,150.4,50.4
1950407,77.6,411.9,430.0,309.5,143.4
1950408,241.3,16.9,270.5,164.2,462.1
1950409,90.4,389.4,70.3,313.5,370.9
1950410,138.0,242.2,191.8,449.7,196.6
1950411,93.0,22.0,253.0,144.7,278.9
1950412,53.5,182.3,196.1,203.7,70.9
1950413,212.5,16.1,242.6,245.4,110.6
1950414,139.7,190.0,69.7,316.3,260.2
1950415,41.6,430.0,232.4,177.6,198.9
1950416,475.4,383.1,120.6,417.3,493.0
1950417,148.0,175.1,111.9,469.8,423.2
1950418,275.0,497.7,324.6,85.6,294.3
1950419,227.4,303.5,343.0,356.5,280.3
1950420,312.4,440.6,34.2,23.3,371.5
1950421,128.5,60.1,252.7,166.1,45.6
1950422,189.6,135.5,412.9,14.4,296.8
1950423,469.9,490.7,216.4,90.7,188.8
1950424,307.9,330.2,111.3,191.9,417.4
1950425,281.3,327.4,134.8,351.3,186.0
1950426,113.6,399.8,266.7,146.4,173.2
1950427,72.3,317.4,233.7,16.0,204.7
1950428,157.2,255.6,269.8,245.7,193.9
1950429,487.9,46.1,69.4,28.3,416.7
1950430,85.4,24.9,28.2,58.0,463.6
1950431,468.8,262.0,208.4,399.6,85.7
1950432,218.8,266.1,57.1,218.3,199.8
1950433,399.5,469.6,131.7,242.1,378.5
1950434,283.2,224.9,435.0,195.4,245.7
1950435,30.8,177.4,126.3,280.7,210.7
1950436,59.3,489.5,451.2,93.7,344.3
1950437,156.5,218.4,99.6,211.6,237.8
1950438,100.5,283.5,360.6,82.5,476.5
1950439,152.4,377.9,405.3,244.8,397.0
1950440,131.3,485.8,226.8,170.0,404.8
1950441,202.0,222.4,248.0,338.7,422.2
1950442,45.7,181.8,407.4,226.0,158.1
1950443,175.3,100.9,65.9,320.9,304.8
1950444,98.7,178.7,297.2,299.0,110.8
1950445,328.4,38.3,324.5,392.6,225.5
1950446,385.5,432.1,263.8,96.0,76.9
1950447,404.6,439.5,453.4,22.6,103.4
1950448,427.9,149.7,355.5,211.9,217.9
1950449,231.0,278.5,296.7,191.6,169.2
1950450,480.5,492.3,37.0,170.1,323.1
1950451,492.2,263.0,404.4,289.6,362.2
1950452,70.1,34.9,233.5,126.1,402.8
1950453,321.1,34.7,380.0,12.1,48.7
1950454,389.9,52.8,36.3,304.1,300.7
1950455,50.1,258.2,51.0,211.6,413.6
1950456,349.7,484.4,289.5,18.2,81.1
1950457,384.6,454.7,52.0,463.9,443.6
1950458,36.8,27.2,195.7,121.5,181.6
1950459,100.6,118.0,418.7,78.1,16.9
1950460,101.6,51.5,167.2,435.8,468.2
1950461,44.7,200.5,368.3,497.1,281.0
1950462,69.8,187.3,328.9,104.3,110.6
1950463,331.0,64.1,339.2,334.4,314.7
1950464,252.3,75.8,396.7,230.2,352.5
1950465,328.6,418.7,178.9,411.3,454.9
1950466,286.3,429.8,250.7,473.6,496.4
1950467,293.7,141.9,205.8,288.5,312.0
1950468,278.1,136.4,356.6,315.5,278.3
1950469,302.0,402.2,487.9,186.3,245.5
1950470,383.3,317.5,253.8,489.9,147.9
1950471,158.7,133.0,223.4,202.1,377.1
1950472,66.5,477.7,186.3,290.7,44.9
1950473,401.9,140.8,121.2,373.6,463.5
1950474,337.5,401.0,349.0,446.4,133.2
1950475,342.5,467.6,182.9,315.8,301.4
1950476,101.8,164.2,106.4,52.7,292.2
1950477,474.7,494.4,425.5,456.3,424.5
1950478,160.4,458.5,228.7,270.9,225.4
1950479,301.3,391.8,128.8,13.5,62.9
1950480,374.9,185.5,210.3,182.0,317.7
1950481,92.7,146.1,95.1,140.7,106.2
1950482,496.6,428.9,257.2,60.8,254.7
1950483,265.7,80.9,90.1,208.8,451.0
1950484,94.0,474.3,59.9,308.1,69.0
1950485,308.0,14.3,208.8,94.2,480.7
1950486,97.8,339.0,119.7,94.1,396.1
1950487,272.0,152.2,195.9,150.7,492.1
1950488,39.9,193.9,277.6,20.0,250.7
1950489,42.2,491.5,125.7,475.0,424.4
1950490,460.6,218.6,88.7,139.9,146.9
1950491,74.1,116.8,495.6,490.8,231.2
1950492,330.8,21.4,203.9,308.9,111.0
1950493,70.2,128.5,261.5,413.0,429.4
1950494,168.4,239.6,374.0,217.3,409.9
1950495,121.7,153.8,211.4,41.1,307.9
1950496,489.7,309.8,466.1,227.0,443.7
1950497,89.6,55.8,446.1,68.8,425.5
1950498,33.7,283.1,387.4,120.0,174.3
1950499,55.9,459.5,113.9,349.6,51.8
1950500,247.8,215.2,384.8,375.6,313.0
1950501,332.6,21.0,459.9,399.4,336.2
1950502,206.6,165.9,188.2,239.2,37.2
1950503,107.7,397.6,142.8,196.2,75.3
1950504,257.4,485.6,35.6,451.6,73.2
1950505,348.5,473.9,168.1,262.6,396.7
1950506,219.8,466.8,175.7,299.9,127.5
1950507,19.7,121.6,459.3,426.0,132.5
1950508,292.7,465.2,452.4,414.2,190.5
