UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1970001,435.3,389.7,465.8,Family,0
1970002,394.5,327.5,421.3,Premium,1
1970003,488.4,62.5,384.6,Basic,0
1970004,386.7,257.0,41.1,Basic,0
1970005,370.4,405.2,254.5,Family,1
1970006,145.7,246.0,308.0,Basic,1
1970007,370.0,405.7,88.8,Premium,0
1970008,354.5,466.9,389.7,Premium,0
1970009,148.4,302.9,494.2,Basic,1
1970010,294.7,130.7,207.4,Premium,1
1970011,201.5,110.4,302.3,Premium,1
1970012,386.0,59.7,316.1,Premium,1
1970013,93.8,196.3,94.9,Premium,0
1970014,272.7,25.1,496.6,Premium,0
1970015,119.1,315.8,313.5,Family,1
1970016,354.6,499.4,483.9,Basic,0
1970017,269.5,452.8,164.7,Basic,0
1970018,265.5,122.0,287.8,Premium,1
1970019,270.5,486.8,303.8,Basic,1
1970020,331.1,486.8,255.7,Premium,0
1970021,460.1,56.9,164.5,Family,0
1970022,235.8,483.4,180.6,Premium,0
1970023,494.4,217.2,23.2,Premium,1
1970024,148.5,103.8,202.9,Basic,1
1970025,102.0,232.0,33.4,Basic,1
1970026,36.2,410.2,90.6,Premium,0
1970027,48.2,372.3,196.6,Basic,1
1970028,341.0,189.7,403.9,Family,0
1970029,307.5,238.3,285.0,Basic,0
1970030,178.3,161.0,456.1,Basic,0
1970031,24.1,324.4,493.3,Family,1
1970032,422.6,82.6,77.2,Premium,0
1970033,393.3,461.2,159.9,Family,1
1970034,95.4,237.5,214.0,Premium,0
1970035,87.9,334.4,143.4,Basic,0
1970036,366.1,437.4,321.1,Basic,0
1970037,222.6,285.6,97.6,Basic,1
1970038,382.6,431.8,231.5,Premium,0
1970039,420.8,393.7,24.7,Basic,0
1970040,308.6,106.7,259.4,Premium,0
1970041,206.2,191.6,226.5,Basic,1
1970042,497.5,340.5,34.0,Family,0
1970043,94.0,128.2,238.7,Premium,1
1970044,267.1,335.3,370.4,Premium,1
1970045,342.9,437.7,123.0,Family,0
1970046,178.3,183.1,451.6,Premium,1
1970047,28.2,10.3,463.0,Premium,0
1970048,19.3,121.0,394.7,Premium,1
1970049,431.6,486.5,176.3,Basic,0
1970050,381.3,335.2,288.6,Basic,0
1970051,228.6,96.4,417.9,Basic,0
1970052,153.5,114.7,330.2,Family,0
1970053,269.9,32.6,248.8,Family,0
1970054,329.2,164.7,22.0,Premium,1
1970055,363.3,223.8,220.3,Family,1
1970056,481.5,52.0,461.3,Basic,1
