RunnerID,HalfPassTimeMinutes,FinishTimeMinutes,PaceDropRatio_Percent,HydrationStationsPassed,Bonked
1980001,14.1,29.0,73.1,30.2,90.1
1980002,47.9,18.4,43.0,63.5,101.1
1980003,5.5,4.7,38.2,56.2,88.7
1980004,1.0,27.6,59.4,50.9,60.0
1980005,8.5,2.5,27.2,26.3,143.7
1980006,10.3,6.5,54.3,37.7,121.2
1980007,55.8,3.2,28.6,45.9,95.4
1980008,20.4,19.4,25.1,53.2,118.7
1980009,7.7,6.5,38.1,21.5,81.6
1980010,13.8,42.5,21.2,33.9,105.6
1980011,24.8,1.0,77.9,37.4,91.0
1980012,4.1,3.8,43.7,45.3,140.7
1980013,11.3,7.7,32.1,28.2,144.3
1980014,2.9,9.7,24.5,57.1,92.7
1980015,7.7,20.3,41.4,13.0,86.5
1980016,5.1,6.3,65.9,50.4,143.1
1980017,3.6,41.3,44.1,60.0,137.0
1980018,1.5,59.9,35.6,67.7,89.1
1980019,5.7,20.9,59.2,22.9,119.3
1980020,1.1,31.1,56.6,6.0,114.6
1980021,1.8,12.1,16.9,83.5,104.1
1980022,1.7,20.5,37.9,55.0,121.3
1980023,8.5,31.5,67.0,39.5,95.5
1980024,3.9,27.7,,47.0,83.5
1980025,20.8,8.2,36.5,40.8,156.1
1980026,29.1,3.8,55.6,53.3,113.6
1980027,23.6,3.7,61.9,37.4,75.1
1980028,23.2,28.8,26.3,55.7,120.3
1980029,19.3,22.7,14.6,62.5,118.7
1980030,19.4,48.9,48.3,53.5,78.3
1980031,25.7,16.3,31.9,80.2,128.0
1980032,2.2,17.8,70.4,36.8,102.1
1980033,1.0,4.9,50.5,49.5,87.0
1980034,10.0,48.0,40.2,54.5,101.4
1980035,5.4,17.2,46.7,17.7,126.5
1980036,14.1,18.0,63.2,32.4,108.5
1980037,7.4,4.7,64.7,51.1,73.4
1980038,12.6,13.8,24.8,18.3,115.2
1980039,1.0,14.7,57.1,40.3,118.0
1980040,24.0,18.2,42.0,35.5,114.8
1980041,20.3,11.1,44.8,55.7,106.3
1980042,2.6,31.2,62.6,56.7,134.6
1980043,13.9,1.0,39.2,45.1,94.4
1980044,1.0,3.6,57.0,27.5,95.3
1980045,16.3,1.5,48.7,51.6,109.7
1980046,4.1,40.7,48.6,44.5,79.3
1980047,1.9,2.0,49.8,9.1,147.3
1980048,41.4,25.1,42.2,60.0,78.8
1980049,5.5,1.0,51.4,53.7,107.2
1980050,6.4,17.3,62.5,42.7,108.9
1980051,4.4,22.1,43.1,47.8,108.5
1980052,51.7,25.8,48.5,27.8,111.0
1980053,4.8,10.8,23.0,44.8,121.5
1980054,2.3,6.8,45.9,63.0,110.2
1980055,15.6,22.7,41.4,30.3,164.4
1980056,12.5,12.2,35.2,30.6,96.6
1980057,17.9,41.4,34.5,73.0,129.3
1980058,30.0,7.2,44.7,48.3,101.4
1980059,13.2,7.3,43.4,63.1,147.7
1980060,3.0,1.9,53.0,48.2,90.5
1980061,2.7,3.6,62.8,44.7,133.3
1980062,1.6,34.6,59.8,26.2,83.3
1980063,8.4,8.7,25.9,54.3,86.6
1980064,44.5,10.4,44.3,29.3,121.0
1980065,6.4,5.3,57.4,49.3,97.3
1980066,1.0,21.5,56.8,61.3,112.5
1980067,4.3,3.7,58.1,52.6,102.4
1980068,24.9,61.9,37.3,52.7,71.0
1980069,12.7,3.1,33.1,28.4,87.0
1980070,47.6,6.9,32.2,26.0,64.8
1980071,5.0,1.2,42.2,38.8,36.7
1980072,11.7,1.0,32.4,63.6,124.1
1980073,8.7,2.2,54.8,45.7,65.3
1980074,7.0,3.3,31.1,29.9,95.8
1980075,1.0,19.1,25.0,79.4,89.9
1980076,3.8,3.4,64.6,42.7,67.5
1980077,2.3,20.7,28.1,56.9,109.6
1980078,15.2,1.0,29.7,66.7,82.7
1980079,18.9,7.3,45.4,44.3,81.9
1980080,3.2,3.0,30.1,29.5,95.3
1980081,27.9,1.0,29.2,46.9,95.8
1980082,19.5,16.5,48.0,46.9,106.9
1980083,5.5,1.4,49.6,46.7,131.0
1980084,3.3,1.0,44.6,43.5,101.3
1980085,35.9,8.0,45.8,42.5,141.2
1980086,22.4,15.3,59.6,37.5,117.9
1980087,5.2,11.0,66.7,52.2,69.0
1980088,10.4,1.0,49.9,69.4,129.1
1980089,4.1,1.9,34.7,52.7,50.4
1980090,6.3,22.5,31.6,32.7,69.8
1980091,19.0,18.1,27.1,56.6,111.9
1980092,18.3,34.0,47.0,21.5,106.3
1980093,92.4,15.3,66.6,31.0,95.0
1980094,7.4,4.7,24.6,25.3,59.9
1980095,9.2,3.2,48.8,0.0,85.4
1980096,26.6,9.8,39.4,32.0,82.0
1980097,23.4,28.0,53.4,48.2,103.3
1980098,9.5,26.7,62.2,7.0,107.2
1980099,15.7,8.7,44.8,39.5,128.6
1980100,1.0,2.3,57.7,58.3,104.7
1980101,37.4,21.7,34.4,29.5,124.4
1980102,7.0,28.9,62.7,40.1,71.3
1980103,21.1,15.8,50.9,43.5,120.7
1980104,12.5,3.9,68.7,63.2,136.5
1980105,20.7,3.1,31.8,44.0,117.9
1980106,15.2,38.2,33.5,64.8,94.4
1980107,4.0,2.2,48.5,34.3,66.7
1980108,8.1,7.5,64.2,22.3,84.9
1980109,8.9,42.5,43.9,65.4,54.8
1980110,5.4,25.9,46.5,67.3,48.7
1980111,20.3,12.3,53.9,35.4,30.0
1980112,1.0,43.0,71.9,56.5,64.4
1980113,4.0,4.8,49.7,37.0,93.5
1980114,8.4,23.4,68.5,42.7,92.4
1980115,1.1,10.7,33.4,31.2,47.7
1980116,10.7,1.0,41.5,27.5,122.9
1980117,23.8,56.4,46.1,28.5,118.4
1980118,31.7,11.9,38.3,22.9,95.7
1980119,2.5,14.4,31.8,24.0,94.8
1980120,4.9,24.0,35.6,27.0,138.3
1980121,12.2,74.4,,44.4,104.6
1980122,4.1,1.8,68.2,37.9,93.9
1980123,3.5,1.0,42.0,21.4,129.1
1980124,6.6,5.1,38.9,50.3,129.3
1980125,5.8,50.8,80.4,11.6,95.6
1980126,4.8,9.0,53.5,51.6,104.0
1980127,88.7,1.5,60.4,18.3,101.7
1980128,24.5,2.0,52.2,39.0,97.1
1980129,1.0,13.8,28.9,48.6,104.0
1980130,20.0,17.3,46.4,30.4,147.3
1980131,14.5,85.9,54.0,30.2,130.3
1980132,80.9,4.7,6.1,47.4,105.4
1980133,9.2,33.7,48.6,50.4,78.9
1980134,12.6,14.9,34.5,26.5,50.3
1980135,3.2,1.7,33.2,66.7,81.8
1980136,4.5,4.0,31.3,30.4,74.3
1980137,7.6,12.5,50.0,36.7,132.6
1980138,17.8,39.1,55.1,56.3,91.9
1980139,21.8,14.8,58.6,38.2,102.7
1980140,17.8,40.5,21.6,42.1,80.4
1980141,35.0,30.5,58.0,41.6,101.0
1980142,6.7,1.7,53.9,23.0,83.7
1980143,22.1,94.1,52.6,68.8,84.9
1980144,31.3,7.8,73.3,54.0,86.9
1980145,1.0,5.7,66.6,41.9,94.1
1980146,1.1,2.2,68.5,68.9,74.9
1980147,4.4,30.5,31.6,64.8,108.1
1980148,15.9,24.9,60.8,39.8,138.3
1980149,15.8,29.8,41.3,46.0,51.2
1980150,6.6,5.8,43.5,46.4,94.3
1980151,5.9,1.6,37.7,47.2,135.7
1980152,16.6,1.0,28.6,35.0,108.1
1980153,41.4,42.3,50.5,42.8,104.0
1980154,16.1,41.5,59.2,43.7,100.6
1980155,1.0,9.9,32.0,55.2,75.8
1980156,3.0,9.9,47.5,47.1,54.0
1980157,5.0,10.4,47.8,42.6,68.5
1980158,13.3,14.7,22.9,18.3,145.3
1980159,4.7,34.0,39.3,36.8,147.2
1980160,30.2,1.7,74.7,32.3,90.9
1980161,77.0,7.7,41.0,41.0,104.3
1980162,1.0,39.7,29.3,44.3,94.9
1980163,1.7,8.0,59.3,42.5,102.5
1980164,5.8,2.0,46.5,49.9,83.1
1980165,7.0,1.0,36.3,61.8,98.8
1980166,9.7,3.0,38.2,47.7,126.5
1980167,31.2,9.3,38.4,76.6,60.0
1980168,1.7,10.6,44.1,18.0,105.1
1980169,4.9,31.9,19.0,47.9,93.1
1980170,3.2,1.0,9.3,64.3,93.8
1980171,6.8,10.5,48.2,40.7,140.2
1980172,7.1,6.1,22.2,71.0,115.2
1980173,8.7,2.2,28.6,42.4,70.6
1980174,1.8,18.7,40.7,30.4,67.6
1980175,65.1,15.2,34.1,50.3,100.6
1980176,22.6,6.1,44.4,56.4,96.1
1980177,9.7,1.0,51.2,44.1,101.3
1980178,14.5,53.3,45.3,52.3,123.1
1980179,29.7,16.1,66.0,46.2,136.7
1980180,13.5,46.9,49.3,30.8,108.0
1980181,4.8,3.1,20.2,42.4,131.1
1980182,22.8,3.8,29.9,44.4,88.2
1980183,19.8,12.0,44.4,2.9,76.8
1980184,13.3,65.3,24.8,12.2,94.2
1980185,1.0,3.8,48.7,27.9,139.4
1980186,13.2,1.9,30.7,40.0,87.5
1980187,28.0,3.4,51.0,55.0,101.8
1980188,1.0,22.8,63.3,54.4,134.6
1980189,25.7,6.2,40.4,45.9,119.5
1980190,3.1,16.5,55.9,22.9,65.2
1980191,1.8,5.6,42.7,51.8,107.2
1980192,1.0,20.8,41.8,25.5,123.3
1980193,16.0,56.0,23.3,32.7,112.5
1980194,2.4,17.0,47.8,74.8,181.1
1980195,14.1,60.6,,24.4,92.1
1980196,17.5,90.4,24.0,65.3,100.8
1980197,4.2,12.1,68.7,40.5,104.1
1980198,9.9,39.9,78.8,5.4,62.0
1980199,40.0,25.4,35.7,54.1,82.3
1980200,1.0,53.9,43.0,32.7,133.7
1980201,38.7,1.1,47.8,37.9,99.8
1980202,4.2,56.0,40.8,66.9,103.6
1980203,17.4,2.7,42.9,75.6,94.1
1980204,3.1,3.5,45.6,52.6,101.5
1980205,9.6,2.1,53.3,51.7,124.9
1980206,24.1,5.8,57.0,44.8,95.3
1980207,23.9,15.5,57.9,55.1,95.0
1980208,6.7,13.8,32.3,32.3,156.7
1980209,1.0,16.7,29.3,47.9,136.9
1980210,10.8,1.8,55.8,44.5,77.5
1980211,24.7,30.5,28.7,32.1,82.1
1980212,15.4,4.9,54.4,41.4,142.0
1980213,12.6,33.9,17.4,39.5,73.1
1980214,40.6,1.4,29.2,37.6,128.3
1980215,12.1,8.4,47.1,33.6,110.3
1980216,5.5,16.9,49.0,52.1,72.1
1980217,7.2,12.6,21.6,37.2,116.5
1980218,8.8,3.3,43.3,67.2,132.9
1980219,8.3,18.1,11.5,83.7,77.4
1980220,3.4,50.1,42.1,29.9,136.8
1980221,21.7,1.1,31.6,48.5,110.6
1980222,22.3,12.1,33.5,33.3,78.4
1980223,1.1,10.0,50.2,33.6,111.1
1980224,6.3,14.7,33.5,60.1,122.0
