TripID,WaterTempCelsius,FishingEffortHours,CPUE_Index,TargetSpeciesRatio,CatchOverQuota
1990001,153.2,15.9,113.6,68.6,0
1990002,110.3,19.0,95.5,50.1,1
1990003,188.7,31.4,71.1,34.9,1
1990004,64.6,32.1,116.0,40.3,0
1990005,74.0,30.9,88.3,33.9,0
1990006,152.7,29.3,87.7,53.3,1
1990007,156.3,31.3,87.4,60.9,1
1990008,111.2,31.0,76.8,34.1,0
1990009,91.1,8.1,132.3,47.9,1
1990010,126.1,7.8,87.8,36.9,0
1990011,168.7,20.0,128.2,48.3,1
1990012,50.7,15.2,97.9,81.4,0
1990013,151.1,7.3,,44.6,1
1990014,190.2,29.7,77.7,23.8,1
1990015,113.3,26.5,65.4,50.1,1
1990016,100.4,23.4,117.4,62.5,1
1990017,144.4,36.9,67.1,64.8,1
1990018,107.1,40.1,71.8,46.1,0
1990019,119.6,14.8,106.0,37.0,0
1990020,159.1,6.3,92.0,44.2,0
1990021,117.3,25.2,112.1,53.3,1
1990022,162.3,5.8,129.6,57.8,1
1990023,132.9,38.8,111.2,37.8,0
1990024,108.6,9.7,80.2,44.7,0
1990025,87.2,17.7,106.8,17.7,0
1990026,92.5,22.6,110.3,66.6,0
1990027,116.4,36.6,99.1,19.5,0
1990028,155.3,31.2,112.3,55.7,0
1990029,134.0,39.5,128.1,38.7,1
1990030,122.4,24.8,124.7,38.3,0
1990031,140.5,30.2,76.8,43.5,1
1990032,108.1,27.4,116.8,26.1,0
1990033,109.1,44.4,92.1,66.7,1
1990034,112.5,41.8,72.9,35.2,1
1990035,116.8,22.1,82.0,63.9,1
1990036,128.7,36.5,84.5,49.4,1
1990037,170.4,9.7,93.2,47.8,1
1990038,132.1,38.4,117.4,40.0,0
1990039,147.2,32.1,99.9,25.7,1
1990040,110.7,30.9,76.0,37.0,0
1990041,123.6,24.5,126.8,65.2,0
1990042,147.2,9.6,94.9,22.6,1
1990043,142.4,31.2,66.2,54.2,1
1990044,105.6,29.2,105.9,43.3,0
1990045,112.5,10.8,63.5,18.5,1
1990046,138.1,27.6,130.2,50.5,0
1990047,85.4,23.0,88.5,42.4,1
1990048,122.1,34.6,91.7,17.0,1
1990049,114.7,36.1,98.7,52.8,1
1990050,97.5,44.2,62.3,55.9,0
1990051,66.8,12.3,97.7,57.7,0
