AthleteID,PeakHeartRate,RecoveryHeartRate_60s,ActiveWorkoutMinutes,VO2Max_Estimate,FitnessGrade
2000001,23.2,49.5,141.6,115.3,Type_B
2000002,73.7,56.6,74.9,68.8,Type_B
2000003,55.7,59.6,80.5,98.1,Type_C
2000004,41.3,68.7,78.0,122.3,Type_B
2000005,50.4,32.9,70.9,79.8,Type_B
2000006,44.5,46.5,99.9,113.1,Type_B
2000007,41.7,38.8,80.3,74.1,Type_C
2000008,52.2,60.6,83.9,131.7,Type_C
2000009,34.6,26.0,108.3,53.7,Type_B
2000010,56.9,49.2,124.8,114.3,Type_A
2000011,46.1,39.6,109.1,116.3,Type_A
2000012,64.5,63.9,102.7,89.6,Type_A
2000013,48.2,37.0,89.5,130.7,Type_B
2000014,60.3,61.0,145.3,81.0,Type_C
2000015,73.7,55.0,81.9,106.0,Type_A
2000016,37.1,47.5,130.9,111.0,Type_A
2000017,72.6,63.2,78.3,109.0,Type_B
2000018,29.1,56.0,117.4,99.6,Type_A
2000019,32.1,41.1,114.8,175.4,Type_C
2000020,48.6,43.0,88.7,111.5,Type_B
2000021,27.7,42.1,88.4,122.8,Type_A
2000022,63.2,60.9,93.6,100.5,Type_A
2000023,25.6,55.4,16.5,69.5,Type_B
2000024,57.3,58.4,105.4,93.5,Type_B
2000025,40.0,35.3,113.9,95.6,Type_A
2000026,25.8,26.8,141.3,93.1,Type_A
2000027,48.3,57.5,100.1,122.2,Type_C
2000028,76.3,50.9,110.0,107.9,Type_C
2000029,41.3,59.3,95.7,121.6,Type_A
2000030,49.0,70.6,47.4,113.6,Type_C
2000031,55.7,50.7,99.3,112.0,Type_B
2000032,35.2,44.8,81.8,99.0,Type_B
2000033,47.4,52.5,133.7,88.8,Type_B
2000034,78.2,67.4,107.2,65.0,Type_B
2000035,35.0,57.0,85.6,124.4,Type_A
2000036,29.9,57.0,74.7,86.6,Type_B
2000037,80.2,41.6,121.4,103.5,Type_A
2000038,54.1,56.2,87.2,81.1,Type_B
2000039,54.7,69.6,75.3,70.5,Type_A
2000040,40.0,34.6,80.9,78.4,Type_C
2000041,46.0,,116.7,105.6,Type_C
