StudentID,StudyHours,AttendanceRate,SleepHours,ParentalSupport,FinalGrade
620001,3.1,89.2,8.1,Medium,62.7
620002,18.1,90.0,7.4,High,82.5
620003,29.9,82.9,7.1,High,94.6
620004,15.6,85.0,8.3,High,81.9
620005,22.8,86.7,7.3,Medium,86.2
620006,11.6,91.1,5.1,Medium,77.5
620007,19.9,70.3,4.9,Medium,73.7
620008,9.5,84.6,5.3,High,75.6
620009,9.9,86.1,8.6,High,79.6
620010,33.5,91.3,8.5,Medium,97.2
620011,23.3,81.1,5.4,Medium,83.9
620012,2.6,90.9,6.0,Medium,68.5
620013,34.9,73.6,6.0,Low,90.5
620014,26.3,72.0,6.9,Medium,88.9
620015,25.8,98.5,8.8,High,93.3
620016,15.5,90.3,6.8,Medium,79.9
620017,8.7,70.1,9.4,Medium,60.0
620018,33.7,81.6,7.5,High,96.4
620019,9.4,70.1,9.1,Medium,67.0
620020,3.6,71.6,7.0,High,69.5
620021,31.2,96.7,8.4,Medium,95.0
620022,31.3,87.1,8.0,High,100.0
620023,33.8,80.1,8.1,High,99.6
620024,22.2,93.8,8.3,High,90.5
620025,34.5,82.4,5.6,Low,91.2
620026,15.3,82.1,8.7,Medium,76.9
620027,7.2,81.7,6.7,High,72.1
620028,21.4,93.6,4.6,Medium,91.4
620029,14.7,80.6,8.3,High,78.1
620030,11.7,95.6,6.9,High,84.8
620031,2.6,88.4,5.4,Medium,62.8
620032,17.4,86.6,6.0,High,86.8
620033,32.0,86.3,7.1,Medium,99.2
620034,5.4,76.6,7.7,High,70.4
620035,16.1,88.6,8.0,Medium,82.5
620036,6.3,70.0,6.9,Medium,63.6
620037,5.7,79.2,7.9,Low,57.7
620038,32.7,96.2,4.8,High,100.0
620039,22.4,89.5,5.2,Medium,84.7
620040,10.9,89.4,6.5,Medium,74.2
620041,26.3,79.2,7.6,Medium,83.3
620042,8.2,92.7,6.9,Medium,73.9
620043,11.3,72.9,7.1,Medium,70.5
620044,11.6,77.7,9.5,Medium,69.2
620045,19.1,76.1,4.7,Low,70.6
620046,14.7,87.1,6.3,High,77.2
620047,9.7,89.3,6.2,Medium,70.1
620048,28.6,82.7,5.8,High,89.6
620049,25.4,89.6,7.5,Low,82.0
620050,30.0,83.8,9.5,High,91.9
620051,14.0,70.3,7.9,High,70.5
620052,13.1,70.1,6.5,Low,64.4
620053,32.7,79.1,8.2,High,99.9
620054,27.5,72.7,5.2,Medium,84.0
620055,21.5,93.9,9.4,Medium,85.9
620056,31.3,98.3,4.7,High,100.0
620057,24.4,95.0,9.4,Medium,90.4
620058,2.6,73.0,5.6,Medium,52.9
620059,28.4,92.8,6.1,Medium,86.9
620060,23.9,75.2,8.1,Medium,80.7
620061,11.9,85.9,5.2,Low,69.5
620062,19.4,86.5,5.8,Medium,75.8
620063,8.5,78.8,6.4,High,66.8
620064,8.2,86.8,5.5,Medium,70.5
620065,27.1,92.4,7.6,High,97.1
620066,19.9,87.2,6.9,High,90.2
620067,30.6,97.8,8.6,Medium,92.8
620068,7.6,92.5,5.6,Medium,70.8
620069,11.2,91.1,7.0,Medium,74.3
620070,18.9,86.2,8.1,Low,78.1
620071,19.1,73.6,8.8,Medium,74.2
620072,3.3,83.2,6.2,Medium,65.3
620073,26.2,88.9,8.7,Medium,85.2
620074,10.9,90.9,5.2,Medium,73.1
620075,32.0,94.3,6.7,Medium,96.8
620076,31.0,96.5,6.1,High,100.0
620077,13.4,86.9,9.0,Low,77.1
620078,13.5,79.4,8.7,High,80.0
620079,23.7,96.0,7.7,High,91.4
620080,28.1,95.7,4.7,Medium,92.7
620081,14.9,76.7,5.1,Medium,73.0
620082,34.0,88.8,6.7,Medium,95.0
620083,25.3,93.9,7.0,Medium,90.6
620084,30.2,87.1,5.2,Medium,93.2
620085,32.4,72.8,7.9,Low,87.3
620086,18.8,76.1,8.1,High,81.3
620087,26.6,88.9,6.0,Low,85.3
620088,6.4,76.0,6.6,Medium,65.4
620089,12.7,94.0,5.1,Medium,68.8
620090,32.6,78.3,8.9,High,94.9
620091,35.0,93.0,7.7,Medium,97.0
620092,5.1,86.2,8.1,High,67.9
620093,32.4,92.8,6.1,Low,96.3
620094,3.2,95.5,4.8,Low,62.8
620095,6.2,98.9,8.9,High,78.5
620096,31.1,90.6,7.2,Medium,96.0
620097,29.3,79.1,5.8,Medium,91.5
620098,17.8,87.7,9.2,Medium,80.5
620099,8.0,86.1,6.8,Medium,71.9
620100,24.2,94.9,6.7,Medium,85.6
620101,25.9,74.2,8.0,Medium,80.4
620102,24.3,83.8,8.1,High,89.3
620103,33.6,85.2,5.3,Medium,97.7
620104,3.9,83.5,7.7,High,65.0
620105,32.8,77.8,7.9,Medium,91.9
620106,8.0,84.1,8.8,High,75.4
620107,4.0,89.8,5.5,High,66.8
620108,31.2,70.2,5.9,High,96.8
620109,6.0,94.6,7.2,Medium,66.2
620110,21.5,93.0,6.2,Low,82.0
620111,33.8,74.2,8.6,High,93.0
620112,13.7,71.1,5.8,Medium,67.2
620113,18.1,74.1,8.3,Medium,78.3
620114,21.6,96.5,7.0,High,92.4
620115,32.0,96.8,4.7,Low,93.8
620116,5.0,76.5,7.7,Low,57.2
620117,8.9,83.7,6.2,Medium,69.6
620118,30.6,89.2,8.1,Medium,93.2
620119,32.2,80.2,7.4,Low,86.5
620120,4.0,71.4,6.1,Medium,63.6
620121,9.0,76.5,7.1,Medium,67.7
620122,21.4,71.9,8.0,High,87.8
620123,5.7,74.9,8.9,High,62.6
620124,8.7,87.0,6.6,High,78.3
620125,15.8,83.0,7.2,Medium,75.7
620126,23.7,88.5,5.8,High,89.3
620127,16.2,94.1,6.4,Medium,78.1
620128,12.7,98.4,6.8,Medium,84.6
620129,10.1,75.0,7.2,Medium,65.5
620130,34.6,99.6,5.1,High,100.0
620131,22.2,97.5,9.0,Low,84.0
620132,11.4,83.3,7.6,Medium,68.5
620133,9.4,88.9,8.5,High,81.8
620134,28.5,88.2,8.5,Medium,89.0
620135,18.8,74.7,5.7,Medium,75.4
620136,2.2,92.6,5.7,Medium,63.7
620137,27.7,74.9,7.8,Low,85.5
620138,19.3,83.3,7.2,Medium,81.3
620139,13.1,86.4,6.1,Medium,75.1
620140,7.2,79.2,9.5,Medium,63.8
620141,11.2,89.3,4.5,Medium,71.4
620142,32.2,89.1,6.0,High,99.6
620143,20.7,75.0,8.8,Medium,75.2
620144,26.1,89.3,6.8,Medium,93.4
620145,19.8,81.2,6.9,Medium,85.5
620146,7.5,77.4,4.6,Medium,64.3
620147,24.3,70.1,7.9,Low,74.4
620148,8.3,85.3,4.7,High,71.3
620149,19.8,87.2,6.8,High,82.2
620150,26.9,90.9,5.5,High,92.7
620151,14.3,79.6,7.9,Medium,73.2
620152,9.1,86.2,9.1,High,71.7
620153,17.2,86.8,8.3,High,84.4
620154,6.3,77.9,6.6,Medium,73.0
620155,21.6,92.8,4.8,High,94.7
620156,31.3,83.0,5.3,Medium,91.5
620157,14.4,81.0,5.6,High,74.4
620158,20.5,98.1,5.5,Low,81.9
620159,11.7,81.5,8.9,High,72.1
620160,28.9,99.0,4.7,Low,90.9
620161,7.6,75.0,5.7,High,60.0
620162,23.3,81.2,6.2,Medium,86.3
620163,9.2,72.1,6.6,Medium,61.3
620164,23.4,78.4,8.8,High,86.9
620165,31.9,87.5,7.4,Medium,94.0
620166,29.5,70.5,8.9,High,87.4
620167,33.2,88.2,8.4,High,100.0
620168,25.5,86.9,9.2,Low,86.0
620169,2.5,73.6,8.1,Medium,55.5
620170,31.3,76.0,8.8,Low,91.8
620171,27.1,97.9,7.7,Medium,90.4
620172,5.1,75.9,6.4,Medium,62.8
620173,5.8,94.2,7.3,High,70.8
620174,33.9,84.2,8.5,Medium,98.6
620175,24.0,79.9,8.0,High,88.0
620176,13.8,74.1,9.0,Medium,67.5
620177,14.2,,6.2,Medium,65.8
620178,24.8,74.6,7.0,Medium,78.0
620179,30.4,99.5,8.7,Medium,98.5
620180,11.3,89.7,8.6,Medium,71.2
620181,12.6,81.5,5.0,Medium,73.0
620182,11.5,92.7,6.1,Medium,76.9
620183,22.5,81.2,8.6,High,84.9
620184,34.9,84.2,6.2,High,100.0
620185,2.2,74.1,6.1,Medium,55.9
620186,8.1,74.9,8.5,Low,64.9
620187,17.7,74.0,5.5,High,77.2
620188,3.7,99.8,8.5,Medium,69.7
620189,32.8,99.4,6.6,Medium,100.0
620190,9.5,95.7,8.6,Low,72.0
620191,31.9,80.0,7.3,Medium,86.9
620192,18.3,94.3,5.4,Medium,85.5
620193,31.4,82.8,5.5,Low,86.2
620194,28.5,93.7,6.8,Medium,88.5
620195,10.5,93.6,8.3,Medium,78.8
620196,34.1,74.9,6.6,Medium,90.4
620197,9.9,89.0,5.6,High,80.4
620198,26.6,71.5,6.7,Medium,79.8
620199,10.4,70.2,6.8,Low,61.1
620200,19.0,89.8,7.6,High,92.0
620201,12.9,81.6,8.2,High,76.5
620202,22.3,83.8,8.3,Medium,81.8
620203,6.5,77.7,9.5,Medium,62.9
620204,12.0,76.7,7.3,High,74.2
620205,19.0,96.5,6.2,Medium,85.4
620206,25.6,73.0,7.4,High,90.1
620207,10.8,78.9,7.5,Medium,61.7
620208,23.1,72.9,7.7,Medium,81.6
620209,23.7,71.0,7.6,Medium,79.9
620210,27.7,77.3,7.0,High,93.6
620211,17.6,91.4,4.5,Medium,76.9
620212,6.8,77.0,4.8,Medium,64.5
620213,15.1,80.8,8.5,Low,73.3
620214,23.9,91.5,6.5,High,94.1
620215,5.8,78.1,4.6,Low,64.3
620216,31.3,99.1,8.9,Medium,95.2
620217,34.9,83.3,6.3,High,100.0
620218,22.5,97.4,6.2,Medium,85.1
620219,24.6,74.9,8.9,Medium,85.9
620220,18.6,77.4,7.2,Medium,77.6
620221,28.4,79.1,7.5,Medium,87.9
620222,24.9,70.2,4.7,Medium,82.0
620223,17.5,95.1,5.9,High,91.5
620224,22.1,80.9,5.5,Low,76.7
620225,27.4,89.6,8.3,Low,83.8
620226,31.1,99.8,5.9,Medium,100.0
620227,12.5,96.6,9.2,Medium,75.4
620228,15.9,93.0,8.9,High,82.0
620229,18.6,94.3,8.8,Medium,85.1
620230,33.9,78.4,9.1,Medium,89.2
620231,23.5,80.9,6.2,High,93.4
620232,22.5,86.5,4.8,High,87.1
620233,19.5,96.1,7.9,Medium,79.0
620234,25.4,86.5,6.6,Medium,88.2
620235,21.5,79.9,6.3,High,83.8
620236,22.3,84.9,6.9,Low,82.0
620237,18.9,,7.6,Medium,85.9
620238,11.9,90.6,6.3,Medium,73.9
620239,21.7,93.0,7.7,Medium,87.4
620240,18.6,88.5,9.0,Medium,82.8
620241,3.1,94.3,4.5,Low,64.5
620242,21.9,86.4,5.0,Low,80.4
620243,20.8,83.0,7.1,High,85.0
620244,29.9,81.7,6.0,Medium,92.3
