Date,Temperature,Humidity,WindSpeed,Precipitation,Condition
2023-01-01,3.3,44.5,2.8,0.0,Sunny
2023-01-02,1.3,92.6,4.3,10.3,Rainy
2023-01-03,3.5,30.8,2.6,0.0,Sunny
2023-01-04,6.0,93.0,3.3,36.9,Rainy
2023-01-05,0.7,32.8,1.3,0.0,Sunny
2023-01-06,0.6,87.9,2.8,13.0,Rainy
2023-01-07,5.9,64.3,1.8,0.0,Sunny
2023-01-08,3.4,94.5,3.2,0.2,Cloudy
2023-01-09,-0.4,34.8,6.4,0.0,Sunny
2023-01-10,2.5,66.0,7.0,0.0,Sunny
2023-01-11,-0.6,93.0,3.1,48.7,Rainy
2023-01-12,-0.7,64.0,1.9,0.0,Sunny
2023-01-13,1.4,70.9,1.8,0.0,Cloudy
2023-01-14,-5.2,75.2,5.7,0.0,Cloudy
2023-01-15,-4.7,59.5,3.1,0.0,Sunny
2023-01-16,-1.3,70.8,3.6,0.0,Cloudy
2023-01-17,-2.7,68.0,3.1,0.0,Sunny
2023-01-18,1.3,88.6,4.6,1.0,Cloudy
2023-01-19,-2.5,33.0,3.4,0.0,Sunny
2023-01-20,-4.0,48.3,5.1,0.0,Sunny
2023-01-21,4.6,91.8,5.2,34.2,Rainy
2023-01-22,-0.5,87.9,2.1,3.4,Cloudy
2023-01-23,0.3,59.6,4.2,0.0,Sunny
2023-01-24,-4.2,70.3,6.8,0.0,Cloudy
2023-01-25,-1.6,48.0,4.6,0.0,Sunny
2023-01-26,0.4,42.2,4.3,0.0,Sunny
2023-01-27,-3.4,60.1,2.3,0.0,Sunny
2023-01-28,1.1,53.0,2.3,0.0,Sunny
2023-01-29,-1.8,67.9,3.5,0.0,Sunny
2023-01-30,-0.9,35.1,2.5,0.0,Sunny
2023-01-31,-1.8,93.3,6.0,8.7,Rainy
2023-02-01,5.6,94.1,3.2,7.7,Rainy
2023-02-02,-0.0,75.4,2.4,0.0,Cloudy
2023-02-03,-3.1,64.8,6.1,0.0,Sunny
2023-02-04,2.5,50.1,1.9,0.0,Sunny
2023-02-05,-3.6,82.9,3.5,29.7,Rainy
2023-02-06,0.7,74.5,2.5,0.0,Cloudy
2023-02-07,-5.7,40.6,11.6,0.0,Sunny
2023-02-08,-3.8,89.2,3.5,4.7,Cloudy
2023-02-09,0.8,83.5,2.2,15.5,Rainy
2023-02-10,2.5,91.7,3.6,7.9,Rainy
2023-02-11,0.8,77.2,3.2,0.0,Cloudy
2023-02-12,0.0,69.9,2.3,0.0,Sunny
2023-02-13,-0.5,57.2,5.9,0.0,Sunny
2023-02-14,-3.9,90.6,4.9,16.1,Rainy
2023-02-15,-1.6,86.3,4.1,0.4,Cloudy
2023-02-16,-0.7,32.9,2.3,0.0,Sunny
2023-02-17,3.9,31.7,8.9,0.0,Sunny
2023-02-18,1.8,54.5,4.3,0.0,Sunny
2023-02-19,-4.4,82.7,2.5,0.3,Cloudy
2023-02-20,1.9,94.2,6.3,1.6,Cloudy
2023-02-21,-0.1,39.8,3.7,0.0,Sunny
2023-02-22,-0.9,68.6,5.8,0.0,Sunny
2023-02-23,3.1,54.8,4.4,0.0,Sunny
2023-02-24,4.5,93.0,10.6,4.1,Cloudy
2023-02-25,4.3,84.7,2.0,1.6,Cloudy
2023-02-26,-0.9,84.5,2.6,4.2,Cloudy
2023-02-27,0.8,60.5,14.8,0.0,Sunny
2023-02-28,2.8,57.0,3.3,0.0,Sunny
2023-03-01,4.9,47.8,1.9,0.0,Sunny
2023-03-02,0.6,33.7,4.8,0.0,Sunny
2023-03-03,1.7,86.2,6.3,16.5,Rainy
2023-03-04,-1.0,82.8,3.3,3.4,Cloudy
2023-03-05,-1.1,95.0,1.3,5.2,Rainy
2023-03-06,5.1,94.8,2.1,34.0,Rainy
2023-03-07,6.9,66.1,1.5,0.0,Sunny
2023-03-08,2.7,80.0,9.7,0.0,Cloudy
2023-03-09,6.1,91.4,1.5,3.5,Cloudy
2023-03-10,4.3,85.2,2.5,0.4,Cloudy
2023-03-11,1.5,46.1,4.7,0.0,Sunny
2023-03-12,4.7,59.3,1.8,0.0,Sunny
2023-03-13,8.4,38.4,4.4,0.0,Sunny
2023-03-14,3.8,92.0,2.4,33.5,Rainy
2023-03-15,8.8,69.4,4.2,0.0,Sunny
2023-03-16,-3.6,44.9,3.0,0.0,Sunny
2023-03-17,6.9,73.7,3.2,0.0,Cloudy
2023-03-18,4.9,70.2,6.2,0.0,Cloudy
2023-03-19,3.9,53.3,1.9,0.0,Sunny
2023-03-20,5.3,37.4,4.2,0.0,Sunny
2023-03-21,-0.7,73.7,5.4,0.0,Cloudy
2023-03-22,4.8,63.8,1.8,0.0,Sunny
2023-03-23,6.7,80.2,1.5,12.0,Rainy
2023-03-24,10.3,63.8,3.0,0.0,Sunny
2023-03-25,4.5,85.4,4.0,5.2,Rainy
2023-03-26,3.8,65.9,5.0,0.0,Sunny
2023-03-27,4.9,66.5,1.7,0.0,Sunny
2023-03-28,9.4,87.0,5.5,2.3,Cloudy
2023-03-29,7.9,56.2,6.7,0.0,Sunny
2023-03-30,5.5,38.7,4.3,0.0,Sunny
2023-03-31,8.9,31.9,7.0,0.0,Sunny
2023-04-01,7.8,79.1,2.9,0.0,Cloudy
2023-04-02,10.7,70.3,2.6,0.0,Cloudy
2023-04-03,5.9,75.8,3.3,0.0,Cloudy
2023-04-04,7.2,43.8,2.0,0.0,Sunny
2023-04-05,7.3,38.9,2.5,0.0,Sunny
2023-04-06,4.3,30.9,3.5,0.0,Sunny
2023-04-07,9.8,52.8,3.8,0.0,Sunny
2023-04-08,9.9,68.3,4.5,0.0,Sunny
2023-04-09,9.4,55.5,1.2,0.0,Sunny
2023-04-10,8.9,58.4,14.6,0.0,Sunny
2023-04-11,5.6,88.8,2.1,11.2,Rainy
2023-04-12,8.9,52.6,5.0,0.0,Sunny
2023-04-13,9.3,63.4,4.1,0.0,Sunny
2023-04-14,8.2,80.9,2.4,0.3,Cloudy
2023-04-15,10.4,55.8,4.7,0.0,Sunny
2023-04-16,12.3,70.4,2.1,0.0,Cloudy
2023-04-17,17.0,86.1,3.4,12.9,Rainy
2023-04-18,12.1,91.7,9.7,4.8,Cloudy
2023-04-19,12.6,39.6,2.7,0.0,Sunny
2023-04-20,11.9,90.2,3.6,15.8,Rainy
2023-04-21,6.6,62.0,1.9,0.0,Sunny
2023-04-22,12.5,46.8,5.0,0.0,Sunny
2023-04-23,13.1,59.8,2.3,0.0,Sunny
2023-04-24,20.5,93.7,4.1,2.2,Cloudy
2023-04-25,12.8,62.0,6.0,0.0,Sunny
2023-04-26,14.6,51.4,3.0,0.0,Sunny
2023-04-27,13.8,71.2,4.8,0.0,Cloudy
2023-04-28,10.7,45.6,4.3,0.0,Sunny
2023-04-29,17.8,34.9,6.1,0.0,Sunny
2023-04-30,16.9,38.4,4.8,0.0,Sunny
2023-05-01,17.3,38.3,6.9,0.0,Sunny
2023-05-02,12.5,39.9,3.0,0.0,Sunny
2023-05-03,19.7,39.0,1.8,0.0,Sunny
2023-05-04,11.5,71.7,1.5,0.0,Cloudy
2023-05-05,17.7,41.8,1.5,0.0,Sunny
