cab_type,name,distance,price,hour,weather_factor
Uber,Standard,1.36,9.08,2,1.0
Uber,Premium,5.07,17.35,20,1.0
Uber,Shared,1.5,12.89,18,1.0
Uber,Shared,2.3,9.67,11,1.0
Uber,Standard,2.95,13.46,5,1.2
Uber,Premium,6.94,17.25,2,1.2
Uber,Shared,5.5,18.31,12,1.5
Uber,Standard,4.56,19.76,18,1.0
Lyft,Standard,0.72,7.83,0,1.0
Uber,Standard,6.0,17.47,0,1.5
Lyft,Standard,3.46,10.0,14,1.5
Uber,Premium,6.52,18.42,14,1.0
Uber,Standard,2.41,11.13,3,1.0
Lyft,Premium,0.93,3.0,1,1.0
Uber,Standard,7.0,20.84,4,1.0
Uber,Standard,2.16,8.74,7,1.0
Lyft,Standard,3.54,11.67,19,1.0
Uber,Standard,2.87,11.97,23,1.2
Uber,Standard,1.07,6.23,14,1.2
Uber,Standard,6.82,18.83,21,1.0
Lyft,Standard,6.87,20.62,9,1.5
Lyft,Standard,7.79,21.83,21,1.0
Uber,Standard,3.39,13.09,23,1.2
Lyft,Premium,7.66,20.04,4,1.0
Uber,Standard,3.84,13.82,23,1.0
Lyft,Standard,5.52,19.49,11,1.0
Uber,Standard,1.12,9.43,16,1.0
Lyft,Standard,7.23,23.42,11,1.0
Uber,Standard,2.74,13.5,16,1.0
Uber,Premium,2.47,7.93,12,1.0
Lyft,Standard,0.54,5.19,19,1.0
Uber,Premium,4.57,13.47,5,1.0
Lyft,Standard,4.07,11.0,21,1.0
Uber,Standard,5.27,17.56,1,1.0
Lyft,Premium,7.84,25.68,2,1.0
Lyft,Premium,7.31,22.68,10,1.0
Uber,Shared,7.33,23.44,8,1.0
Uber,Standard,4.44,14.33,6,1.0
Uber,Shared,1.28,6.97,1,1.0
Lyft,Standard,1.86,10.23,14,1.0
Uber,Standard,7.65,22.53,7,1.0
Lyft,Standard,3.59,15.37,17,1.0
Uber,Premium,6.99,19.01,7,1.0
Lyft,Standard,5.54,15.43,10,1.5
Lyft,Shared,5.22,15.72,7,1.2
Lyft,Standard,2.57,8.86,21,1.5
Lyft,Standard,7.23,23.29,22,1.0
Uber,Standard,2.05,11.02,0,1.0
Uber,Standard,3.53,14.77,20,1.0
Uber,Shared,7.95,20.87,22,1.0
Lyft,Standard,6.02,18.77,15,1.0
Lyft,Shared,3.84,12.69,9,1.2
Lyft,Standard,4.7,17.03,8,1.0
Uber,Standard,3.58,13.28,4,1.0
Uber,Standard,5.95,18.78,10,1.2
