HouseID,GrLivArea,YearBuilt,Neighborhood,OverallQual,SalePrice
40001,842,1961,OldTown,6,166187
40002,2940,1952,NridgHt,3,262259
40003,1484,1958,OldTown,5,162234
40004,1518,1972,Edwards,6,235969
40005,2701,1989,OldTown,8,354697
40006,1579,1983,NridgHt,9,316998
40007,2875,1965,OldTown,10,434347
40008,1874,1994,Gilbert,9,324552
40009,2116,1961,Edwards,6,250733
40010,1657,2003,OldTown,4,208166
40011,1070,1998,Gilbert,10,283237
40012,1141,1956,OldTown,6,167596
40013,1868,1996,OldTown,7,274540
40014,2557,1951,CollgCr,4,254969
40015,1904,1957,Edwards,3,189562
40016,2223,1984,OldTown,8,319554
40017,1608,1988,Edwards,8,275127
40018,1891,1975,OldTown,8,281727
40019,1249,1973,CollgCr,3,119551
40020,1781,1951,Somerst,8,281013
40021,1117,1986,OldTown,10,309327
40022,889,2020,Edwards,3,110420
40023,997,1999,NridgHt,5,156530
40024,1312,1984,OldTown,8,251964
40025,2109,1973,NridgHt,8,300878
40026,2372,1999,NridgHt,7,302528
40027,2213,2016,OldTown,7,284421
40028,2180,2009,Edwards,4,243179
40029,1603,1950,NridgHt,4,172942
40030,1713,1970,CollgCr,7,235098
40031,1764,1989,CollgCr,8,286175
40032,2430,1997,NridgHt,3,221479
40033,1151,1970,Edwards,10,300265
40034,2693,1962,CollgCr,4,279230
40035,890,2013,Gilbert,6,135029
40036,2273,1950,NridgHt,7,288544
40037,1165,1958,OldTown,8,213152
40038,2653,1985,OldTown,5,312711
40039,1431,2007,CollgCr,4,167841
40040,2653,2001,Edwards,5,274187
40041,1490,1968,OldTown,5,155106
40042,2364,1983,OldTown,9,357384
40043,3081,1977,Somerst,3,275754
40044,3004,1961,CollgCr,4,294838
40045,1195,1960,Somerst,5,152366
40046,1611,1970,Somerst,4,155114
40047,1016,1961,CollgCr,3,95474
40048,2463,1968,OldTown,6,291320
40049,2432,2016,Somerst,5,272909
40050,2982,1986,Somerst,7,333836
40051,1535,1997,NridgHt,9,305121
40052,1237,2001,Edwards,3,122234
40053,883,2006,Edwards,4,123482
40054,1688,1983,Gilbert,6,235126
40055,3111,1955,Somerst,3,253691
40056,2190,2013,Somerst,10,393309
40057,2935,2005,Edwards,6,336399
40058,2042,1982,NridgHt,6,234810
40059,2547,1975,Somerst,6,282912
40060,1719,2017,CollgCr,8,251530
40061,3180,1987,OldTown,5,305990
40062,1742,2019,Gilbert,10,366211
40063,1142,2012,NridgHt,9,253575
40064,2977,2002,Somerst,8,373998
40065,946,1982,NridgHt,9,259652
40066,1020,1984,OldTown,10,292185
40067,1920,1996,Edwards,5,200425
40068,802,2015,NridgHt,8,194162
40069,2455,1979,OldTown,6,287652
40070,1714,1986,Somerst,9,325349
40071,2510,1988,NridgHt,10,445755
40072,2256,1985,Somerst,7,299408
40073,3023,1976,OldTown,8,391258
40074,992,2020,Somerst,5,137802
40075,2280,1955,OldTown,7,286856
40076,2238,1997,NridgHt,9,342839
40077,1647,1983,NridgHt,9,318854
40078,1610,1973,CollgCr,7,242495
40079,837,1998,CollgCr,7,184629
40080,2794,1965,Edwards,7,336813
40081,2586,1962,Somerst,8,338132
40082,1640,1956,Somerst,8,235121
40083,1963,1992,Gilbert,10,382982
40084,2177,1995,Edwards,10,393271
40085,1468,2007,Edwards,7,246057
40086,1471,1993,OldTown,6,188155
40087,3162,1964,Gilbert,6,346477
40088,1872,1966,OldTown,9,337872
40089,960,2008,Somerst,3,100841
40090,1667,1957,Somerst,5,195069
40091,896,1963,OldTown,5,139569
40092,858,2013,CollgCr,7,180859
40093,2718,2014,Somerst,8,364828
40094,2736,1990,Edwards,9,388105
40095,1445,1967,Gilbert,4,165838
40096,1380,2017,NridgHt,10,320660
40097,1420,1980,OldTown,9,274708
40098,3172,1995,Edwards,7,330300
40099,2515,1970,Edwards,10,404819
40100,2258,2005,Gilbert,7,291372
40101,3032,2001,Gilbert,3,254808
40102,1744,1958,Somerst,5,204486
40103,1267,2004,NridgHt,8,225626
40104,2598,1950,Somerst,8,366326
40105,1883,1990,Somerst,7,264280
40106,1076,1954,Gilbert,10,305146
40107,869,1953,OldTown,9,255885
40108,1470,1979,OldTown,6,203846
40109,2778,1991,Somerst,10,428078
40110,1411,1976,Edwards,4,153993
40111,1849,1965,Somerst,6,213600
40112,1377,1968,CollgCr,5,174140
40113,1795,2018,Gilbert,6,214945
40114,3001,1993,CollgCr,9,434335
40115,1470,2012,NridgHt,3,138269
40116,933,2008,Gilbert,8,184806
40117,1245,2006,Edwards,8,241528
40118,1103,1993,Somerst,10,283601
40119,1174,1976,Gilbert,3,118915
40120,3044,1972,Somerst,6,331233
40121,2143,2013,OldTown,3,212241
40122,3187,2005,NridgHt,6,314587
40123,2538,1968,Gilbert,3,234848
40124,1618,1994,Somerst,5,194242
40125,3036,2012,OldTown,7,349836
40126,2959,1951,CollgCr,10,440075
40127,3129,2016,CollgCr,9,415549
40128,2143,1983,NridgHt,4,213021
40129,1663,1992,Gilbert,10,326288
40130,1813,1979,Somerst,6,241653
40131,1059,2018,CollgCr,10,270547
40132,2803,1997,NridgHt,10,456274
40133,2992,1962,NridgHt,8,368780
40134,1569,2019,Edwards,7,214444
40135,1779,1954,Gilbert,8,289430
40136,1589,1993,Gilbert,5,165287
40137,2735,1960,OldTown,6,299487
40138,1639,1984,Gilbert,9,308830
40139,1923,1997,Edwards,5,204934
40140,2347,1995,NridgHt,9,347109
40141,2349,1950,Somerst,6,244438
40142,2852,1970,CollgCr,5,301545
40143,2552,1997,Gilbert,8,350977
40144,1482,1952,Somerst,6,222457
40145,2285,2014,NridgHt,3,209696
40146,3036,1953,Edwards,3,285216
40147,1607,1961,Somerst,3,163900
40148,888,1992,Edwards,8,230395
40149,2338,1973,Edwards,4,222229
40150,2439,1967,Somerst,10,416340
40151,2094,1959,CollgCr,5,219732
40152,2496,2003,Edwards,8,315132
40153,1722,1955,Edwards,4,155150
40154,2449,2017,NridgHt,10,410363
40155,2257,1988,OldTown,4,221490
40156,2122,1971,Gilbert,9,347948
40157,1694,2002,CollgCr,5,206415
40158,3112,1951,NridgHt,7,328925
40159,2350,1959,CollgCr,5,270482
40160,2980,2006,Gilbert,10,448365
40161,3092,1978,Gilbert,5,301896
40162,1370,1987,NridgHt,8,243230
40163,1346,1967,CollgCr,5,168226
40164,1671,1965,NridgHt,3,161918
40165,1719,2014,NridgHt,5,178941
40166,2319,2020,Gilbert,6,261856
40167,3136,1995,Edwards,10,463022
40168,1933,2020,OldTown,3,233474
40169,1795,2020,CollgCr,3,195441
40170,916,1996,CollgCr,7,189061
40171,3133,1978,CollgCr,3,252128
40172,3149,2014,OldTown,7,348694
40173,2372,1992,Somerst,3,236810
40174,1148,1953,NridgHt,3,126759
40175,2949,1976,Edwards,6,302299
40176,1975,2014,Gilbert,3,203886
40177,2291,1959,CollgCr,9,357136
40178,1045,2018,CollgCr,8,202344
40179,2548,2008,Edwards,6,290697
40180,1101,1951,NridgHt,8,212891
40181,1795,2018,OldTown,5,184095
40182,2452,1996,CollgCr,3,229283
40183,2762,1953,OldTown,10,426961
40184,1357,2015,OldTown,5,180622
40185,1607,1961,OldTown,10,346764
40186,1726,2006,CollgCr,8,286989
40187,1993,2016,Somerst,8,285592
40188,3148,2019,OldTown,9,420654
40189,1867,1950,Edwards,3,177088
40190,2895,1996,NridgHt,7,335029
40191,2707,1992,NridgHt,8,350272
40192,990,1989,Edwards,3,116419
40193,3124,1960,OldTown,6,364937
40194,3030,1993,CollgCr,10,443882
40195,1011,1960,CollgCr,8,200547
40196,2063,1967,CollgCr,5,231962
40197,805,1965,Somerst,10,279954
40198,1992,1983,CollgCr,9,323450
40199,3039,1969,Edwards,4,280178
40200,2363,1952,Somerst,9,381042
40201,1068,1975,Edwards,3,96893
40202,2087,2012,OldTown,4,210148
40203,1505,1987,CollgCr,7,222403
40204,1994,2000,Gilbert,4,195358
40205,2326,1981,CollgCr,5,223124
40206,3112,1967,CollgCr,10,460854
40207,2582,1995,Somerst,8,346534
40208,1707,1981,Edwards,5,194453
40209,2709,1965,Somerst,8,337023
40210,1614,2006,OldTown,3,165070
40211,2432,1980,CollgCr,4,217171
40212,1581,1961,OldTown,6,221272
40213,1997,1973,OldTown,5,199699
40214,1999,1958,Gilbert,9,365716
40215,1863,2009,Somerst,4,189158
40216,1671,1954,NridgHt,5,213539
40217,1053,2015,OldTown,5,126564
40218,1584,1984,Edwards,5,171482
40219,3024,1956,Edwards,10,449382
40220,2032,1989,Gilbert,5,198204
40221,2588,1957,OldTown,8,345234
40222,1973,2015,Gilbert,7,275306
40223,1015,1968,NridgHt,5,145393
40224,829,1973,NridgHt,6,144117
40225,2962,1984,NridgHt,9,399104
40226,1722,2006,CollgCr,3,176918
40227,2694,1995,OldTown,4,255318
40228,3009,2014,Edwards,8,395996
40229,2922,1978,CollgCr,10,449225
40230,1059,2008,NridgHt,4,119491
40231,1792,1990,OldTown,9,278069
40232,888,2009,Gilbert,10,283706
40233,985,1971,Gilbert,9,255145
40234,2992,1984,Edwards,3,245706
40235,2833,1962,OldTown,6,302848
40236,1698,2006,NridgHt,7,242047
40237,1180,1965,CollgCr,7,202300
40238,1633,1954,NridgHt,9,332756
40239,3175,2000,CollgCr,8,377161
40240,1403,1952,Gilbert,3,140627
40241,1899,1989,Somerst,4,207204
40242,1635,1985,NridgHt,4,158285
40243,1273,1957,Edwards,8,252533
40244,2901,1986,Gilbert,9,396552
40245,1788,2010,OldTown,9,301014
40246,1986,1976,NridgHt,7,261298
40247,3081,1965,NridgHt,6,344455
40248,810,2012,Gilbert,9,248414
40249,2689,1978,Gilbert,5,278928
40250,1655,1976,OldTown,8,274916
40251,2964,1963,Somerst,5,309956
40252,1402,1969,Edwards,4,148784
40253,2853,1987,Edwards,9,399702
40254,2231,2005,CollgCr,5,225588
40255,2059,1985,NridgHt,10,387357
40256,2590,1967,Somerst,3,222973
40257,1257,1981,OldTown,4,170176
40258,2406,1955,NridgHt,4,229593
40259,2299,1962,NridgHt,10,388855
40260,2955,1950,Edwards,5,293601
40261,1489,2000,NridgHt,7,220034
40262,1999,1978,CollgCr,4,177250
40263,1565,1984,CollgCr,5,168522
40264,947,2014,Edwards,5,130860
40265,2015,1993,Edwards,3,180338
40266,2009,2002,Gilbert,9,329532
40267,899,1966,NridgHt,4,102435
40268,1709,1958,CollgCr,4,196043
40269,1452,1995,Gilbert,3,156091
40270,3124,1974,Edwards,10,482614
40271,2011,1968,OldTown,8,307612
40272,879,1957,Somerst,4,95353
40273,2297,1992,CollgCr,3,218623
40274,1926,2005,Gilbert,10,371803
40275,953,2004,CollgCr,9,208140
40276,1250,1976,NridgHt,9,265076
40277,1659,1967,OldTown,5,213260
40278,2121,2004,OldTown,8,294551
40279,2646,1979,Somerst,4,271050
40280,2012,1968,Edwards,8,302773
40281,1298,1972,CollgCr,4,137465
40282,1723,1986,OldTown,8,291114
40283,2209,1978,Edwards,6,257074
40284,888,1969,NridgHt,6,156119
40285,1014,1977,NridgHt,8,213798
40286,2719,1982,Edwards,8,353403
40287,2488,1966,OldTown,8,343214
40288,3038,1995,Gilbert,7,364928
40289,1870,1964,NridgHt,5,216001
40290,882,1992,Edwards,10,286458
40291,1478,1964,Somerst,5,169080
40292,1859,1960,OldTown,4,208217
40293,1579,1992,CollgCr,7,265515
