PolicyID,DriverAge,VehicleType,PolicyType,ClaimAmount,IsFraud
70001,44,Sedan,Basic,2157.2,No
70002,48,SUV,Basic,7454.26,No
70003,72,Sedan,Basic,4051.97,No
70004,56,Sedan,Premium,9937.35,No
70005,41,SUV,Premium,6780.25,No
70006,71,Sports Car,Premium,12905.25,No
70007,67,SUV,Premium,3914.05,No
70008,43,Sports Car,Premium,12846.93,Yes
70009,31,Sedan,Premium,6850.2,No
70010,28,Sedan,Basic,2396.96,No
70011,24,SUV,Basic,5995.99,No
70012,37,Sedan,Basic,4788.14,No
70013,44,SUV,Premium,5926.41,No
70014,30,Sedan,Premium,6070.39,No
70015,39,Sedan,Basic,1286.22,No
70016,54,Sedan,Premium,3020.11,No
70017,57,Sedan,Premium,6526.63,No
70018,45,SUV,Basic,5777.53,No
70019,42,SUV,Basic,2572.76,No
70020,46,Sedan,Basic,4951.47,No
70021,28,Sports Car,Premium,9687.3,No
70022,64,Sedan,Basic,4641.84,No
70023,45,Sedan,Basic,5258.08,No
70024,42,Sedan,Premium,6293.64,No
70025,54,Sedan,Premium,3614.49,No
70026,30,SUV,Basic,3569.38,No
70027,25,Sedan,Premium,4162.69,No
70028,33,Sedan,Premium,3623.92,No
70029,31,Truck,Premium,8377.96,No
70030,35,SUV,Basic,7283.71,No
70031,41,Sports Car,Basic,7726.27,No
70032,61,Sedan,Premium,11860.41,No
70033,69,SUV,Basic,7364.8,No
70034,66,Sedan,Basic,11057.45,No
70035,35,Sports Car,Basic,10158.89,No
70036,47,Sedan,Basic,8297.68,No
70037,54,SUV,Premium,4573.15,No
70038,40,Sedan,Basic,8579.13,No
70039,31,Sedan,Basic,2197.94,No
70040,51,Truck,Premium,9346.02,No
70041,56,SUV,Premium,8043.73,No
70042,40,Sedan,Basic,6370.68,No
70043,24,Sedan,Basic,5253.71,No
70044,51,Sports Car,Basic,11415.95,No
70045,58,SUV,Basic,5215.88,No
70046,28,Truck,Basic,7891.05,No
70047,73,Sports Car,Basic,9261.6,No
70048,63,Sports Car,Premium,6547.71,No
70049,73,SUV,Premium,8648.45,No
70050,32,Sports Car,Basic,10755.74,No
70051,71,Sedan,Premium,4691.08,No
70052,50,Sedan,Basic,6297.53,No
70053,27,Sedan,Basic,3449.57,No
70054,59,SUV,Premium,6880.28,No
70055,32,Sports Car,Premium,7894.78,No
70056,20,Sedan,Basic,2357.94,No
70057,62,SUV,Premium,7360.92,No
70058,62,Sedan,Premium,2494.86,No
70059,48,SUV,Basic,7893.38,No
70060,27,SUV,Basic,5428.87,No
70061,33,Sports Car,Premium,9085.36,No
70062,65,Truck,Basic,11232.83,No
70063,69,Sedan,Premium,10619.28,No
70064,67,SUV,Basic,8047.3,No
70065,21,Sedan,Basic,4829.16,No
70066,25,Sedan,Premium,6453.97,No
70067,52,Sedan,Basic,3531.82,No
70068,60,Sedan,Basic,1404.49,No
70069,30,Sedan,Premium,5561.85,No
70070,52,SUV,Basic,6635.69,No
70071,42,Sedan,Basic,5048.49,No
70072,28,Sedan,Premium,5673.06,No
70073,25,Sports Car,Basic,8661.33,No
70074,70,Sedan,Basic,5418.75,No
70075,74,Sedan,Premium,,No
70076,34,SUV,Basic,6170.67,No
70077,54,Sedan,Basic,3041.38,No
70078,34,Sedan,Basic,6995.78,No
70079,37,Sedan,Basic,4453.5,No
70080,30,Sedan,Basic,4730.52,No
70081,39,Sports Car,Basic,11032.26,No
70082,50,SUV,Premium,8921.25,No
70083,59,Sports Car,Basic,14164.4,Yes
70084,62,Sedan,Basic,9540.5,No
70085,36,SUV,Basic,4512.38,No
70086,48,SUV,Premium,5078.7,No
70087,36,SUV,Basic,5953.45,No
70088,72,Truck,Basic,13589.21,No
70089,26,Sports Car,Basic,12427.29,No
70090,74,Truck,Premium,6541.25,No
70091,43,Sports Car,Basic,14896.6,No
70092,40,SUV,Basic,5004.36,No
70093,40,SUV,Premium,8500.92,No
70094,55,Truck,Basic,12092.32,No
70095,24,Sedan,Premium,7095.26,No
70096,52,SUV,Basic,6145.0,No
70097,53,Sedan,Premium,5406.34,No
70098,32,Sedan,Basic,3263.93,No
70099,29,SUV,Premium,5984.5,No
70100,26,Sedan,Premium,5788.32,No
70101,25,SUV,Basic,4254.08,No
70102,51,SUV,Basic,3106.28,No
70103,46,SUV,Basic,6857.7,No
70104,36,Sports Car,Premium,11214.93,No
70105,40,Sports Car,Basic,9828.79,No
70106,51,Sedan,Basic,9458.96,No
70107,42,Truck,Basic,8564.7,No
70108,62,Sedan,Basic,8112.14,No
70109,40,SUV,Basic,5764.15,No
70110,65,Sedan,Premium,3601.29,No
70111,23,Truck,Basic,10010.41,No
70112,59,Sedan,Basic,3232.56,No
70113,44,Truck,Basic,11122.05,No
70114,58,Sedan,Basic,8670.08,No
70115,24,Sedan,Basic,4590.45,No
70116,23,Sports Car,Premium,11935.85,No
70117,64,Truck,Basic,12633.86,No
70118,46,SUV,Basic,5057.57,No
70119,53,Sports Car,Basic,14450.36,Yes
70120,45,Sedan,Basic,5927.48,No
70121,39,Sedan,Basic,5290.68,No
70122,49,SUV,Premium,3396.79,No
70123,61,SUV,Basic,6170.79,No
70124,31,SUV,Premium,6855.25,No
70125,34,Sedan,Basic,4184.53,No
70126,70,Sedan,Basic,6613.18,No
70127,38,SUV,Premium,3606.11,No
70128,59,SUV,Basic,9507.07,No
70129,30,Sports Car,Premium,10629.77,No
70130,37,Sedan,Basic,4244.42,No
70131,24,SUV,Basic,5544.73,No
70132,20,Sports Car,Basic,11086.81,No
70133,44,Sports Car,Basic,9082.41,No
70134,48,Sports Car,Basic,9770.68,No
70135,21,Sedan,Basic,3875.49,No
70136,45,Sedan,Basic,4537.76,No
70137,74,Sports Car,Premium,16496.4,No
70138,57,Sedan,Basic,6105.38,No
70139,31,SUV,Premium,6925.47,No
70140,28,Sedan,Premium,5650.1,No
70141,30,Sedan,Basic,6784.4,No
70142,49,SUV,Premium,6667.46,No
70143,48,Sedan,Premium,5297.96,No
70144,55,Sedan,Premium,5610.16,No
70145,22,SUV,Premium,6852.38,No
70146,66,SUV,Basic,9604.57,No
70147,64,Sedan,Basic,3622.41,No
70148,48,Sedan,Basic,5740.16,No
70149,19,Sedan,Basic,3974.73,No
70150,68,Sedan,Premium,4137.66,No
70151,34,SUV,Premium,4325.82,No
70152,70,SUV,Premium,2828.47,No
70153,49,Sports Car,Basic,8825.69,No
70154,70,Sedan,Basic,6470.32,No
70155,61,Sports Car,Basic,10736.59,No
70156,56,SUV,Basic,2656.77,No
70157,67,SUV,Basic,8605.37,No
70158,56,Sports Car,Basic,9182.48,No
70159,57,Sports Car,Premium,10875.05,No
70160,19,SUV,Premium,4297.96,No
70161,24,Sports Car,Basic,8801.23,No
70162,60,SUV,Premium,8214.58,No
70163,65,SUV,Basic,7544.06,No
70164,26,Sedan,Basic,6349.19,No
70165,23,Sedan,Premium,5294.74,No
70166,51,SUV,Basic,5592.18,No
70167,22,SUV,Basic,3638.27,No
70168,48,Sedan,Premium,5618.95,No
70169,29,SUV,Premium,4481.33,No
70170,50,Sedan,Basic,9826.08,No
70171,64,SUV,Basic,9845.48,No
70172,23,Sedan,Basic,5056.57,No
70173,42,Sports Car,Basic,7009.92,No
70174,51,Sedan,Basic,7027.07,No
70175,29,SUV,Basic,6084.83,No
70176,66,Truck,Premium,8775.82,No
70177,59,Sedan,Basic,5088.47,No
70178,53,Sports Car,Basic,10955.81,No
70179,63,Sedan,Basic,9556.04,No
70180,25,SUV,Basic,4426.41,No
70181,30,Sedan,Premium,5406.14,No
70182,60,SUV,Basic,6987.81,No
70183,72,SUV,Basic,8093.06,No
70184,38,Sedan,Basic,5967.85,No
70185,23,SUV,Basic,4116.77,No
70186,38,SUV,Premium,7814.02,No
70187,71,SUV,Basic,9030.48,No
70188,53,Sports Car,Premium,14032.29,No
70189,21,Sedan,Basic,4815.63,No
70190,47,SUV,Premium,9684.8,No
70191,64,Sedan,Basic,3993.95,No
70192,43,Sports Car,Premium,9630.05,No
70193,44,Truck,Basic,11344.45,No
70194,36,Sedan,Basic,5876.07,No
70195,60,Sports Car,Premium,12189.53,Yes
70196,47,SUV,Basic,8184.76,No
70197,65,Sedan,Basic,11355.12,No
70198,74,Sedan,Basic,8288.93,No
70199,57,Sedan,Premium,7829.19,No
70200,53,Sports Car,Premium,12254.62,Yes
70201,71,Truck,Basic,8970.23,No
70202,53,Truck,Basic,8884.17,No
70203,62,Sedan,Basic,8721.92,No
70204,43,Sedan,Basic,5164.39,No
