ReviewID,Category,ReviewText_Length,Rating,Recommended
120001,Electronics,138.0,4,Yes
120002,Sports,229.0,5,Yes
120003,Clothing,101.0,4,Yes
120004,Electronics,200.0,2,No
120005,Clothing,112.0,5,Yes
120006,Electronics,56.0,5,Yes
120007,Beauty,160.0,3,No
120008,Electronics,80.0,5,Yes
120009,Electronics,194.0,4,Yes
120010,Home,119.0,4,Yes
120011,Electronics,174.0,4,Yes
120012,Home,10.0,4,Yes
120013,Electronics,152.0,5,Yes
120014,Clothing,125.0,4,Yes
120015,Beauty,110.0,4,Yes
120016,Beauty,132.0,4,Yes
120017,Sports,105.0,5,Yes
120018,Clothing,180.0,5,Yes
120019,Clothing,91.0,4,Yes
120020,Beauty,325.0,2,No
120021,Clothing,133.0,4,Yes
120022,Clothing,167.0,4,Yes
120023,Electronics,250.0,4,Yes
120024,Beauty,83.0,4,Yes
120025,Clothing,205.0,5,Yes
120026,Clothing,154.0,4,Yes
120027,Home,95.0,4,Yes
120028,Clothing,153.0,5,Yes
120029,Sports,85.0,4,Yes
120030,Clothing,238.0,4,Yes
120031,Home,123.0,5,Yes
120032,Home,205.0,4,Yes
120033,Clothing,104.0,4,Yes
120034,Electronics,250.0,2,No
120035,Clothing,195.0,5,Yes
120036,Clothing,217.0,4,Yes
120037,Sports,168.0,5,Yes
120038,Electronics,128.0,4,Yes
120039,Electronics,429.0,2,No
120040,Sports,167.0,5,Yes
120041,Home,147.0,5,Yes
120042,Clothing,175.0,5,Yes
120043,Sports,187.0,4,Yes
120044,Home,192.0,4,Yes
120045,Electronics,220.0,5,Yes
120046,Clothing,160.0,5,Yes
120047,Beauty,161.0,5,Yes
120048,Clothing,287.0,5,Yes
120049,Clothing,102.0,5,Yes
120050,Beauty,108.0,5,Yes
120051,Clothing,111.0,5,Yes
120052,Electronics,112.0,4,Yes
120053,Clothing,180.0,5,Yes
120054,Clothing,111.0,5,Yes
120055,Electronics,255.0,4,Yes
120056,Electronics,245.0,2,No
120057,Home,239.0,5,Yes
120058,Beauty,238.0,4,Yes
120059,Electronics,59.0,5,Yes
120060,Home,171.0,4,Yes
120061,Beauty,221.0,4,Yes
120062,Clothing,40.0,5,Yes
