CarID,Year,Mileage,EngineSize,FuelType,Price
150001,2013,108706,3.0,Diesel,33168.82
150002,2010,163158,1.6,Diesel,26069.87
150003,2017,104723,2.0,Electric,48934.57
150004,2019,52495,1.6,Petrol,46125.91
150005,2015,109561,1.6,Petrol,34901.02
150006,2013,127288,1.6,Hybrid,34412.07
150007,2014,56592,2.0,Diesel,37481.31
150008,2019,36313,2.5,Diesel,49675.18
150009,2011,129144,1.6,Diesel,25942.06
150010,2020,57684,2.5,Petrol,47747.8
150011,2015,94979,2.0,Petrol,39572.13
150012,2010,109410,2.0,Petrol,27745.13
150013,2016,108564,1.6,Petrol,41188.1
150014,2014,111918,1.6,Diesel,32486.37
150015,2014,149801,1.6,Diesel,28448.7
150016,2020,44846,1.6,Petrol,43635.79
150017,2022,38116,2.0,Petrol,54526.85
150018,2012,199910,2.0,Electric,27603.66
150019,2010,148478,1.6,Hybrid,22718.08
150020,2013,184579,2.5,Petrol,27716.43
150021,2013,126297,1.6,Petrol,28358.28
150022,2022,32774,1.6,Petrol,49739.98
150023,2014,141377,2.0,Electric,39278.08
150024,2018,94860,1.6,Petrol,35638.73
150025,2011,188814,1.6,Petrol,16872.11
150026,2011,115485,2.0,Petrol,25038.85
150027,2016,78657,2.5,Hybrid,45993.43
150028,2023,13951,2.5,Petrol,60492.37
150029,2010,118716,2.0,Diesel,28986.57
150030,2013,185684,1.6,Petrol,20853.93
150031,2018,50897,1.6,Petrol,39402.98
150032,2012,166335,3.0,Petrol,25479.7
150033,2023,13077,1.6,Electric,73025.52
150034,2017,60707,2.0,Petrol,38133.28
150035,2020,26728,1.6,Petrol,48159.18
150036,2012,198047,2.0,Hybrid,21314.76
150037,2014,116742,1.6,Diesel,31585.82
150038,2020,51349,1.6,Diesel,40245.73
150039,2013,184794,2.5,Petrol,29451.01
150040,2013,117182,2.0,Electric,40173.43
150041,2010,111702,2.5,Petrol,33380.93
150042,2023,10787,2.5,Petrol,51875.89
150043,2021,47871,2.0,Petrol,52934.46
150044,2013,176194,1.6,Hybrid,25330.29
150045,2016,97373,1.6,Diesel,27438.6
150046,2016,80193,2.5,Electric,55077.64
150047,2013,130274,2.0,Diesel,23083.59
150048,2021,39940,1.6,Hybrid,62372.78
150049,2011,223082,1.6,Petrol,20734.96
150050,2011,118918,2.5,Petrol,31962.75
150051,2016,95848,2.0,Petrol,31679.38
150052,2019,35369,2.0,Petrol,48058.1
150053,2014,80289,2.5,Diesel,40927.57
150054,2012,181060,1.6,Petrol,
150055,2023,11296,2.0,Hybrid,65669.66
150056,2021,27221,1.6,Petrol,47635.08
150057,2011,167391,1.6,Hybrid,
150058,2012,166039,2.0,Hybrid,27282.55
150059,2010,194676,1.6,Diesel,13495.19
