Date,Weather,VisitorCount,DailySales,DiscountEvent
2023-01-01,Sunny,561,11666.07,No
2023-01-02,Rainy,486,6430.62,Yes
2023-01-03,Sunny,580,16099.91,No
2023-01-04,Cloudy,449,13359.85,No
2023-01-05,Cloudy,408,7150.75,No
2023-01-06,Sunny,567,8196.55,No
2023-01-07,Sunny,913,10028.58,Yes
2023-01-08,Sunny,578,11226.59,No
2023-01-09,Cloudy,747,12867.7,Yes
2023-01-10,Cloudy,439,10198.85,No
2023-01-11,Cloudy,532,14046.39,No
2023-01-12,Cloudy,423,6135.54,No
2023-01-13,Sunny,562,7322.0,No
2023-01-14,Sunny,910,,Yes
2023-01-15,Cloudy,549,12301.36,No
2023-01-16,Sunny,580,14566.72,No
2023-01-17,Sunny,591,12515.08,No
2023-01-18,Sunny,537,8792.12,No
2023-01-19,Sunny,598,12668.57,No
2023-01-20,Sunny,596,7075.97,No
2023-01-21,Sunny,847,11276.79,Yes
2023-01-22,Sunny,891,11657.55,Yes
2023-01-23,Sunny,542,10681.66,No
2023-01-24,Cloudy,760,8208.29,Yes
2023-01-25,Sunny,667,18685.21,No
2023-01-26,Cloudy,492,9866.57,No
2023-01-27,Sunny,616,16287.17,No
2023-01-28,Sunny,532,11052.12,No
2023-01-29,Sunny,680,13900.59,No
2023-01-30,Sunny,573,8593.05,No
2023-01-31,Snowy,291,6875.82,No
2023-02-01,Sunny,574,16926.7,No
2023-02-02,Cloudy,425,9765.19,No
2023-02-03,Sunny,894,19233.28,Yes
2023-02-04,Sunny,631,17659.72,No
2023-02-05,Cloudy,416,10353.82,No
2023-02-06,Sunny,908,15604.69,Yes
2023-02-07,Sunny,585,7174.52,No
2023-02-08,Sunny,585,14107.3,No
2023-02-09,Sunny,1072,22279.11,Yes
2023-02-10,Sunny,990,20124.87,Yes
2023-02-11,Rainy,457,6003.86,Yes
2023-02-12,Sunny,591,6906.92,No
2023-02-13,Sunny,906,22302.05,Yes
2023-02-14,Sunny,680,14860.39,No
2023-02-15,Sunny,613,8017.0,No
2023-02-16,Sunny,605,10396.93,No
2023-02-17,Sunny,619,10015.26,No
2023-02-18,Sunny,1070,22581.2,Yes
2023-02-19,Sunny,582,15279.3,No
2023-02-20,Rainy,450,5447.91,Yes
2023-02-21,Sunny,578,13735.07,No
2023-02-22,Snowy,224,4581.96,No
2023-02-23,Rainy,263,5012.74,No
2023-02-24,Sunny,896,14029.68,Yes
2023-02-25,Sunny,596,6820.37,No
2023-02-26,Cloudy,497,,No
2023-02-27,Rainy,248,4053.17,No
2023-02-28,Sunny,565,5834.31,No
2023-03-01,Sunny,596,16628.35,No
2023-03-02,Sunny,912,14633.51,Yes
2023-03-03,Cloudy,453,9465.85,No
2023-03-04,Sunny,693,11579.71,No
2023-03-05,Rainy,249,5044.41,No
2023-03-06,Snowy,589,7720.26,Yes
2023-03-07,Sunny,649,9945.56,No
2023-03-08,Cloudy,509,4262.17,No
2023-03-09,Sunny,523,7460.11,No
2023-03-10,Snowy,199,1575.69,No
2023-03-11,Sunny,616,12034.07,No
2023-03-12,Cloudy,404,7389.63,No
2023-03-13,Sunny,620,9685.75,No
2023-03-14,Sunny,587,9929.76,No
2023-03-15,Cloudy,682,10902.94,Yes
2023-03-16,Cloudy,365,9593.05,No
2023-03-17,Sunny,581,11113.57,No
2023-03-18,Sunny,708,13687.97,No
2023-03-19,Cloudy,450,9998.81,No
2023-03-20,Sunny,629,13277.58,No
2023-03-21,Cloudy,415,4252.14,No
2023-03-22,Sunny,912,13690.75,Yes
2023-03-23,Sunny,706,9724.18,No
2023-03-24,Sunny,904,13303.83,Yes
2023-03-25,Sunny,860,19147.68,Yes
2023-03-26,Sunny,593,11193.17,No
2023-03-27,Sunny,586,12111.47,No
2023-03-28,Sunny,588,12153.79,No
2023-03-29,Sunny,612,16457.35,No
2023-03-30,Sunny,908,10849.97,Yes
2023-03-31,Sunny,531,7056.08,No
2023-04-01,Sunny,573,13557.58,No
2023-04-02,Cloudy,523,13697.18,No
2023-04-03,Cloudy,461,8905.87,No
2023-04-04,Cloudy,392,7484.42,No
2023-04-05,Sunny,633,10678.39,No
2023-04-06,Cloudy,413,7621.02,No
2023-04-07,Sunny,510,9777.16,No
2023-04-08,Cloudy,521,9429.73,No
2023-04-09,Cloudy,402,10368.69,No
2023-04-10,Cloudy,486,11059.5,No
2023-04-11,Cloudy,512,13427.01,No
2023-04-12,Sunny,501,8651.38,No
2023-04-13,Cloudy,493,6780.69,No
2023-04-14,Cloudy,425,10290.23,No
2023-04-15,Sunny,597,7403.84,No
2023-04-16,Rainy,215,3624.02,No
2023-04-17,Sunny,585,14969.3,No
2023-04-18,Rainy,137,1929.27,No
2023-04-19,Cloudy,411,10840.52,No
2023-04-20,Sunny,866,17944.77,Yes
2023-04-21,Rainy,185,2619.95,No
2023-04-22,Cloudy,447,10609.39,No
2023-04-23,Sunny,681,13606.69,No
2023-04-24,Rainy,194,3951.49,No
2023-04-25,Rainy,208,4469.47,No
2023-04-26,Sunny,615,13046.09,No
2023-04-27,Cloudy,500,13379.06,No
2023-04-28,Cloudy,782,16917.81,Yes
2023-04-29,Snowy,262,7728.55,No
2023-04-30,Cloudy,455,5395.98,No
2023-05-01,Sunny,621,8974.72,No
2023-05-02,Sunny,585,13152.2,No
2023-05-03,Rainy,235,4362.29,No
2023-05-04,Sunny,885,10727.89,Yes
2023-05-05,Sunny,530,9165.73,No
2023-05-06,Cloudy,542,6575.03,No
2023-05-07,Sunny,644,12128.15,No
2023-05-08,Sunny,566,9608.26,No
2023-05-09,Sunny,619,13788.72,No
2023-05-10,Rainy,453,8312.81,Yes
2023-05-11,Sunny,653,15566.38,No
2023-05-12,Cloudy,406,9135.48,No
2023-05-13,Sunny,584,14888.84,No
2023-05-14,Sunny,928,23098.52,Yes
2023-05-15,Cloudy,459,10999.42,No
2023-05-16,Sunny,632,16695.83,No
2023-05-17,Cloudy,464,11121.4,No
2023-05-18,Cloudy,527,6484.81,No
2023-05-19,Cloudy,828,17233.64,Yes
2023-05-20,Sunny,544,7560.12,No
2023-05-21,Sunny,595,11626.47,No
2023-05-22,Sunny,566,6063.61,No
2023-05-23,Sunny,613,12296.76,No
2023-05-24,Sunny,523,9775.12,No
2023-05-25,Sunny,638,8597.24,No
2023-05-26,Rainy,193,5395.77,No
