TestID,Capacity_kWh,AmbientTemp,Speed_kmh,Range_km,AC_On
710001,60,14.9,102.8,300.8,No
710002,75,-9.5,114.9,216.7,No
710003,85,14.3,42.2,377.9,No
710004,60,3.1,82.6,261.5,Yes
710005,100,-8.5,95.8,395.3,No
710006,85,16.2,115.7,370.5,No
710007,85,11.2,56.3,358.2,Yes
710008,100,-4.9,85.9,410.6,Yes
710009,85,33.5,52.7,351.2,No
710010,60,2.4,57.9,282.4,No
710011,75,20.8,91.9,352.3,Yes
710012,85,-9.7,75.4,317.5,Yes
710013,60,3.2,112.5,253.0,No
710014,75,-6.7,91.4,336.7,No
710015,60,37.5,69.6,294.2,No
710016,85,10.3,35.0,257.1,Yes
710017,60,26.7,57.4,252.6,Yes
710018,100,19.5,85.7,569.3,No
710019,85,3.1,120.0,325.3,No
710020,75,10.9,80.3,335.4,Yes
710021,75,37.5,96.1,314.7,Yes
710022,75,-7.7,81.2,348.7,No
710023,75,36.8,36.3,241.0,Yes
710024,75,-0.4,52.0,304.6,No
710025,85,34.5,32.0,322.3,No
710026,100,-9.4,30.4,256.3,No
710027,60,8.6,85.6,302.4,No
710028,75,2.7,106.9,307.6,No
710029,75,23.2,121.2,256.2,Yes
710030,75,5.2,78.0,368.0,No
710031,60,3.0,123.0,229.9,No
710032,60,18.6,115.5,253.7,No
710033,100,10.6,124.9,389.2,No
710034,75,27.2,102.9,356.6,No
710035,85,32.5,121.3,348.3,No
710036,75,2.0,65.6,292.9,Yes
710037,60,15.8,32.3,183.4,Yes
710038,60,-1.8,111.2,219.5,No
710039,60,15.1,124.2,,Yes
710040,75,5.4,60.3,340.9,No
710041,85,-8.0,88.9,334.1,Yes
710042,85,0.7,86.1,426.7,No
710043,75,24.0,71.0,406.6,No
710044,85,24.5,34.1,277.4,Yes
710045,100,27.7,68.8,477.4,Yes
710046,75,10.4,66.0,361.7,No
710047,75,-6.9,73.3,342.0,No
710048,75,13.6,73.0,376.0,No
710049,85,28.5,114.8,309.7,Yes
710050,75,10.6,123.5,277.1,No
710051,85,15.8,127.3,310.0,No
710052,85,-2.8,47.6,282.6,Yes
710053,60,33.9,39.7,207.5,No
710054,60,27.8,128.7,221.8,No
710055,85,0.9,98.7,328.7,Yes
710056,75,-3.5,85.7,348.7,No
710057,60,12.5,67.0,283.5,No
710058,75,36.3,77.4,340.0,Yes
710059,75,-8.3,89.6,258.8,Yes
710060,100,15.9,41.0,418.0,No
710061,75,9.4,39.4,308.6,No
710062,75,37.4,38.3,280.7,No
710063,60,2.0,81.6,289.4,No
710064,60,30.9,67.1,301.8,Yes
710065,75,15.0,87.3,411.4,No
710066,100,0.2,100.7,347.0,Yes
710067,100,10.1,56.2,403.3,Yes
710068,60,33.4,48.0,224.6,No
710069,75,-4.0,119.8,280.4,No
710070,60,13.4,43.6,274.8,No
710071,85,-7.1,107.0,320.2,No
710072,75,7.3,46.4,283.5,No
710073,100,30.5,106.5,390.8,Yes
710074,60,14.3,39.1,245.1,No
710075,85,13.0,51.1,376.0,No
710076,85,-1.5,111.3,303.1,No
710077,75,6.1,68.8,312.0,Yes
710078,60,-2.5,86.5,276.6,No
710079,75,17.2,31.6,283.9,No
710080,85,8.1,58.7,382.6,No
710081,100,37.1,51.0,389.6,No
710082,75,-2.4,93.4,285.7,Yes
710083,85,-9.2,61.0,259.9,Yes
710084,75,0.6,37.0,270.2,No
710085,85,33.3,112.9,353.8,No
710086,75,-1.3,63.9,354.7,No
710087,60,4.9,83.3,316.1,No
710088,85,4.8,105.4,368.8,No
710089,85,11.0,119.6,312.4,Yes
710090,85,2.8,93.9,393.2,No
710091,85,-0.3,58.8,338.6,Yes
710092,60,21.7,119.7,257.4,No
710093,85,-3.6,31.2,194.7,Yes
710094,85,11.3,75.8,433.2,No
710095,85,26.4,52.4,334.8,Yes
710096,75,15.6,68.0,375.1,No
710097,85,24.1,85.8,428.9,Yes
710098,85,19.7,86.2,425.7,Yes
710099,85,2.0,65.2,379.1,No
710100,60,-6.4,73.8,250.3,No
710101,75,8.2,50.8,315.6,No
710102,85,-3.9,60.4,379.5,No
710103,60,34.0,118.3,224.5,Yes
710104,85,7.9,104.6,295.2,Yes
710105,75,14.5,71.4,362.5,No
710106,60,-3.1,64.2,227.1,No
710107,85,7.2,120.6,314.0,No
710108,85,10.5,127.6,275.5,Yes
710109,75,13.7,41.4,263.7,Yes
710110,100,20.5,77.0,500.8,Yes
710111,60,-6.0,31.2,160.0,No
710112,75,9.8,37.0,291.9,No
710113,75,24.7,100.3,295.3,Yes
