RecordID,Department,ItemCategory,TotalUnits,LostUnits,SecurityLevel
740001,Home,Budget,1188,16.0,Low
740002,Clothing,Budget,3886,109.0,Low
740003,Clothing,Premium,3747,89.0,Low
740004,Sports,Premium,1060,5.0,High
740005,Clothing,Budget,2718,58.0,Low
740006,Sports,Premium,2013,33.0,High
740007,Beauty,Standard,4434,137.0,Medium
740008,Home,Standard,2288,65.0,Medium
740009,Clothing,Standard,3041,78.0,Low
740010,Home,Premium,2209,60.0,Medium
740011,Home,Premium,734,0.0,High
740012,Electronics,Standard,4431,50.0,Medium
740013,Beauty,Premium,3366,54.0,Low
740014,Beauty,Standard,2390,62.0,Medium
740015,Home,Premium,263,5.0,Medium
740016,Home,Premium,860,23.0,Low
740017,Beauty,Premium,3047,82.0,Low
740018,Clothing,Budget,2193,33.0,Low
740019,Home,Budget,1149,13.0,Low
740020,Beauty,Budget,3977,102.0,Low
740021,Sports,Standard,2452,50.0,Low
740022,Sports,Budget,2939,44.0,Medium
740023,Beauty,Budget,4057,57.0,Low
740024,Clothing,Budget,1597,25.0,Low
740025,Home,Standard,915,16.0,Medium
740026,Clothing,Premium,4990,52.0,Medium
740027,Beauty,Premium,2118,55.0,Medium
740028,Clothing,Premium,1032,12.0,Medium
740029,Home,Standard,3023,51.0,Low
740030,Home,Budget,840,22.0,Low
740031,Clothing,Standard,4480,102.0,Medium
740032,Clothing,Standard,445,11.0,Low
740033,Home,Standard,3910,80.0,Low
740034,Beauty,Premium,3382,98.0,Medium
740035,Home,Standard,2343,62.0,Medium
740036,Home,Standard,1415,41.0,Medium
740037,Electronics,Premium,4242,27.0,High
740038,Clothing,Budget,1115,6.0,High
740039,Electronics,Standard,4738,81.0,High
740040,Home,Standard,787,11.0,Low
740041,Home,Standard,386,0.0,High
740042,Sports,Premium,3957,55.0,Low
740043,Beauty,Standard,1877,32.0,High
740044,Home,Premium,135,0.0,High
740045,Sports,Premium,3220,34.0,Low
740046,Clothing,Premium,4023,85.0,Medium
740047,Electronics,Standard,3386,92.0,Low
740048,Clothing,Standard,1096,30.0,Low
740049,Electronics,Budget,1300,1.0,High
740050,Home,Budget,4798,136.0,Medium
740051,Clothing,Budget,1524,34.0,Low
740052,Sports,Budget,4767,,Medium
740053,Beauty,Standard,1649,60.0,Low
740054,Clothing,Standard,2093,42.0,Medium
740055,Beauty,Budget,4768,96.0,Medium
740056,Clothing,Premium,317,0.0,High
740057,Home,Budget,814,15.0,Medium
740058,Beauty,Premium,1364,30.0,Medium
740059,Home,Budget,954,16.0,Medium
740060,Beauty,Premium,4279,71.0,Low
740061,Home,Standard,4618,110.0,Low
740062,Home,Premium,4835,116.0,Medium
740063,Home,Standard,2931,51.0,Low
740064,Electronics,Premium,525,14.0,Low
740065,Sports,Budget,1560,33.0,Medium
740066,Sports,Standard,4064,70.0,Medium
740067,Electronics,Premium,4913,94.0,Medium
740068,Electronics,Standard,1561,24.0,Medium
740069,Clothing,Standard,4047,83.0,Medium
740070,Home,Standard,4176,100.0,Medium
740071,Home,Premium,2793,50.0,Low
740072,Electronics,Budget,393,7.0,Medium
740073,Home,Standard,2781,35.0,High
740074,Sports,Premium,374,9.0,Medium
740075,Electronics,Standard,3463,64.0,Medium
740076,Sports,Premium,3680,36.0,Low
740077,Electronics,Premium,1603,19.0,Medium
740078,Electronics,Budget,3701,43.0,High
740079,Sports,Standard,3212,41.0,Medium
740080,Sports,Premium,1662,28.0,Medium
740081,Beauty,Budget,597,32.0,Low
740082,Clothing,Standard,668,10.0,Medium
740083,Electronics,Budget,2558,56.0,Low
740084,Electronics,Budget,3174,58.0,Medium
740085,Electronics,Budget,4229,36.0,High
740086,Sports,Budget,3887,113.0,Low
740087,Clothing,Premium,4377,59.0,High
740088,Electronics,Premium,3837,107.0,Low
740089,Electronics,Budget,2483,36.0,Medium
740090,Clothing,Premium,471,9.0,Medium
740091,Sports,Standard,2568,46.0,Low
740092,Electronics,Budget,1469,24.0,High
740093,Clothing,Standard,1096,26.0,Medium
740094,Sports,Premium,2320,3.0,High
740095,Electronics,Standard,3427,77.0,Low
740096,Clothing,Premium,1583,26.0,Low
740097,Home,Standard,132,2.0,Medium
740098,Electronics,Premium,4647,98.0,High
740099,Beauty,Standard,589,27.0,Medium
740100,Electronics,Premium,312,9.0,Low
740101,Home,Standard,3605,48.0,High
740102,Sports,Premium,4422,46.0,Medium
740103,Home,Premium,194,2.0,Low
740104,Electronics,Premium,2887,30.0,Medium
740105,Sports,Budget,3111,54.0,Medium
740106,Electronics,Budget,3277,21.0,High
740107,Sports,Budget,785,9.0,Low
740108,Clothing,Premium,173,2.0,Medium
740109,Beauty,Budget,1321,51.0,Medium
740110,Beauty,Premium,821,29.0,Medium
740111,Electronics,Premium,2544,45.0,Medium
740112,Home,Standard,1005,18.0,Low
740113,Sports,Premium,4956,132.0,Low
740114,Sports,Standard,3464,37.0,Medium
740115,Beauty,Standard,4999,124.0,High
740116,Electronics,Premium,4439,94.0,Medium
740117,Sports,Standard,1954,40.0,Medium
740118,Clothing,Budget,3351,39.0,Medium
740119,Clothing,Budget,3675,87.0,High
740120,Sports,Premium,4536,59.0,Low
740121,Sports,Standard,4724,119.0,Low
740122,Home,Budget,3683,37.0,Medium
