SessionID,PlayerLevel,SessionLength_Mins,IAP_Amount,GameMode,AdsWatched
790001,88,8.7,0.0,Casual,0
790002,62,58.1,16.51,Co-op,3
790003,75,83.2,10.64,Casual,2
790004,68,94.9,10.7,Casual,9
790005,21,32.7,0.0,Casual,3
790006,89,30.4,0.0,Casual,0
790007,83,44.2,17.9,Co-op,2
790008,2,4.1,0.0,Casual,5
790009,24,54.2,2.64,Ranked,9
790010,82,15.7,,Casual,1
790011,88,40.4,2.67,Casual,9
790012,76,16.4,0.0,Ranked,1
790013,14,5.5,0.0,Casual,5
790014,51,11.3,0.0,Casual,7
790015,80,2.0,0.0,Casual,4
790016,93,18.2,0.0,Casual,7
790017,74,5.9,0.0,Ranked,7
790018,64,57.9,37.61,Casual,3
790019,67,7.3,0.0,Ranked,0
790020,14,58.9,45.84,Casual,1
790021,29,3.4,0.0,Casual,8
790022,44,34.6,0.0,Co-op,2
790023,45,2.0,0.0,Casual,4
790024,96,8.4,0.0,Casual,2
790025,80,63.8,39.0,Ranked,3
790026,94,12.2,0.0,Casual,7
790027,30,19.3,0.0,Co-op,6
790028,37,8.7,0.0,Co-op,9
790029,39,9.0,0.0,Ranked,8
790030,16,10.3,0.0,Ranked,9
790031,49,13.3,0.0,Casual,9
790032,14,20.1,0.0,Ranked,8
790033,77,7.4,0.0,Casual,0
790034,71,67.2,2.79,Ranked,6
790035,84,13.3,0.0,Ranked,8
790036,29,3.7,0.0,Co-op,0
790037,65,77.5,4.45,Ranked,0
790038,59,15.5,0.0,Ranked,4
790039,67,42.1,9.13,Casual,8
790040,80,14.0,0.0,Co-op,9
790041,21,12.9,0.0,Casual,3
790042,3,59.8,14.87,Casual,8
790043,17,13.2,0.0,Ranked,6
790044,38,15.5,0.0,Co-op,0
790045,65,5.0,0.0,Casual,2
790046,21,2.6,0.0,Ranked,7
790047,39,8.2,0.0,Co-op,9
790048,55,3.0,0.0,Co-op,7
790049,37,32.6,0.0,Co-op,2
790050,37,8.2,0.0,Ranked,7
790051,35,2.0,0.0,Co-op,8
790052,4,17.2,0.0,Co-op,2
790053,42,16.0,0.0,Ranked,8
790054,18,9.0,0.0,Casual,9
790055,32,26.4,0.0,Co-op,3
790056,3,3.2,0.0,Co-op,5
790057,20,34.5,0.0,Casual,1
790058,74,50.9,2.31,Co-op,0
790059,49,33.3,0.0,Casual,9
790060,28,17.7,0.0,Casual,0
790061,3,41.8,53.57,Ranked,1
790062,86,97.1,54.83,Casual,2
790063,39,34.6,0.0,Ranked,2
790064,6,9.9,0.0,Casual,7
790065,28,122.8,0.96,Ranked,0
790066,13,102.8,13.94,Casual,1
790067,90,19.7,0.0,Casual,1
790068,64,5.7,0.0,Casual,6
790069,63,6.5,0.0,Ranked,8
790070,43,20.9,0.0,Co-op,7
790071,86,28.3,0.0,Ranked,7
790072,59,10.2,0.0,Co-op,4
790073,57,48.9,27.07,Ranked,6
790074,17,18.6,0.0,Co-op,2
790075,56,55.4,8.5,Ranked,1
790076,46,5.8,0.0,Ranked,5
790077,43,2.0,0.0,Ranked,3
790078,43,51.3,2.91,Casual,0
790079,36,45.0,26.89,Casual,3
790080,67,28.3,0.0,Casual,7
790081,93,28.8,0.0,Casual,0
790082,8,48.7,2.52,Casual,8
790083,48,24.4,0.0,Casual,4
790084,36,10.6,0.0,Casual,2
790085,63,2.0,0.0,Casual,3
790086,52,48.8,21.82,Casual,2
790087,44,99.0,1.46,Casual,8
790088,61,95.3,4.16,Ranked,3
790089,25,11.6,0.0,Ranked,7
790090,97,5.3,0.0,Casual,1
790091,27,2.6,0.0,Casual,9
790092,47,10.3,0.0,Casual,3
790093,48,47.3,15.54,Ranked,7
790094,7,3.7,0.0,Ranked,1
790095,49,78.9,2.83,Ranked,9
790096,38,20.9,0.0,Ranked,2
790097,29,2.4,0.0,Casual,2
790098,88,65.2,6.14,Casual,5
790099,31,57.1,0.64,Casual,8
790100,65,34.9,0.0,Co-op,0
