RecordID,WorkHours_Weekly,StressLevel_Index,SleepHours,ActivityMinutes,MeditationPractice
800001,62,4.0,6.3,47,Yes
800002,53,6.0,4.8,145,No
800003,34,4.0,5.0,179,No
800004,25,1.0,8.6,64,Yes
800005,65,4.0,8.1,136,Yes
800006,18,2.0,7.4,71,No
800007,37,2.0,7.4,169,Yes
800008,70,6.0,4.6,144,No
800009,38,3.0,7.0,120,No
800010,66,5.0,9.2,98,No
800011,30,2.0,5.9,121,Yes
800012,32,2.0,5.7,62,No
800013,20,2.0,7.4,30,No
800014,65,4.0,7.7,149,Yes
800015,67,8.0,5.0,97,Yes
800016,15,2.0,7.0,36,No
800017,56,6.0,4.7,97,No
800018,24,2.0,4.9,144,Yes
800019,43,2.0,9.4,106,No
800020,61,4.0,6.8,149,No
800021,57,5.0,7.8,75,No
800022,19,1.0,4.5,113,Yes
800023,66,5.0,6.0,45,Yes
800024,59,6.0,9.2,167,No
800025,60,5.0,8.0,124,No
800026,65,7.0,6.4,122,No
800027,43,4.0,7.4,102,No
800028,50,2.0,8.9,173,Yes
800029,29,3.0,4.9,32,No
800030,40,4.0,7.2,31,No
800031,23,2.0,6.9,87,No
800032,30,1.0,9.0,171,Yes
800033,22,2.0,5.4,59,No
800034,20,3.0,6.2,75,No
800035,47,4.0,7.6,141,No
800036,71,5.0,6.1,64,Yes
800037,30,3.0,8.4,109,No
800038,18,3.0,5.1,103,No
800039,45,4.0,7.7,57,No
800040,54,4.0,9.5,143,No
800041,66,6.0,7.8,129,No
800042,45,1.0,8.5,145,Yes
800043,49,5.0,5.6,26,No
800044,63,5.0,8.4,161,No
800045,74,5.0,6.0,115,Yes
800046,65,8.0,5.5,37,No
800047,65,7.0,6.7,18,No
800048,61,5.0,8.2,165,No
800049,24,2.0,7.1,162,No
800050,39,5.0,4.9,52,No
800051,53,4.0,6.7,67,No
800052,39,3.0,9.2,34,No
800053,16,1.0,9.0,21,No
800054,71,6.0,7.9,84,Yes
800055,59,,5.6,169,No
800056,32,1.0,9.1,15,Yes
800057,53,3.0,9.3,90,Yes
800058,64,3.0,8.3,74,Yes
800059,69,5.0,6.7,175,No
800060,70,5.0,8.1,99,No
800061,72,7.0,6.4,143,No
800062,31,1.0,6.2,158,Yes
800063,56,4.0,7.1,93,Yes
800064,35,2.0,5.8,129,Yes
800065,46,2.0,8.9,163,Yes
800066,39,3.0,9.0,179,No
800067,18,2.0,7.5,76,No
800068,23,2.0,5.8,132,Yes
800069,42,2.0,8.2,79,Yes
800070,61,6.0,5.2,157,No
800071,18,1.0,6.1,118,Yes
800072,41,4.0,5.4,47,No
800073,20,1.0,6.4,43,No
800074,71,5.0,4.9,47,Yes
800075,42,3.0,8.9,110,Yes
800076,66,5.0,7.7,58,No
800077,70,5.0,6.0,111,No
800078,42,6.0,5.8,70,No
800079,31,4.0,4.8,93,No
800080,36,1.0,7.1,89,Yes
800081,43,3.0,9.1,176,No
800082,37,4.0,7.1,172,No
800083,66,8.0,7.1,16,No
800084,34,3.0,5.6,169,Yes
800085,62,3.0,8.7,119,Yes
800086,19,2.0,6.9,7,No
800087,39,2.0,9.2,147,No
800088,66,6.0,8.3,171,No
800089,64,6.0,6.6,101,No
800090,38,3.0,7.5,33,Yes
800091,62,7.0,5.3,152,No
800092,23,1.0,6.3,112,Yes
800093,63,5.0,9.2,61,No
800094,61,5.0,7.1,40,No
800095,67,4.0,8.4,150,No
800096,31,2.0,6.1,173,Yes
800097,44,1.0,9.4,143,Yes
800098,47,6.0,4.6,167,No
800099,21,2.0,8.1,56,No
800100,42,2.0,8.5,138,Yes
800101,31,1.0,9.3,4,No
800102,37,2.0,6.3,72,Yes
800103,67,6.0,8.1,35,No
800104,61,4.0,6.6,99,Yes
800105,24,1.0,9.3,175,Yes
800106,71,6.0,7.7,108,No
800107,44,3.0,8.5,159,No
800108,40,4.0,5.9,137,No
800109,44,3.0,8.8,131,No
800110,49,4.0,4.7,26,Yes
800111,27,2.0,8.5,34,No
800112,42,3.0,7.1,38,No
