EmployeeID,Tenure_Years,TeamSize,WorkSatisfaction,ManagerRating,EngagementScore
810001,10.1,5,8.8,6.8,80.9
810002,14.5,8,1.1,1.5,76.0
810003,13.4,8,2.2,2.0,69.7
810004,5.8,5,4.3,3.5,54.2
810005,8.0,20,4.1,3.5,65.9
810006,8.1,20,,6.6,69.9
810007,9.4,20,6.0,4.7,72.1
810008,13.8,3,9.4,8.0,100.0
810009,9.9,12,2.4,1.1,58.3
810010,5.1,12,7.8,5.7,67.9
810011,9.2,20,2.6,3.0,54.0
810012,14.1,5,4.2,3.6,76.2
810013,13.2,3,5.7,5.5,83.7
810014,9.6,8,3.6,3.7,75.4
810015,8.8,12,2.0,3.0,61.3
810016,7.0,12,5.0,5.1,73.8
810017,4.2,12,3.4,2.4,46.9
810018,11.2,12,6.9,6.0,83.9
810019,13.3,12,3.3,2.5,69.1
810020,11.6,8,9.5,7.9,91.4
810021,11.7,20,4.2,3.7,80.1
810022,14.1,3,8.2,7.9,91.9
810023,1.7,3,4.0,2.4,49.1
810024,1.3,12,4.7,5.2,53.8
810025,12.1,12,3.8,4.4,67.5
810026,6.3,20,8.2,6.6,77.3
810027,12.6,8,9.8,6.6,100.0
810028,4.6,20,,1.2,62.0
810029,9.4,5,1.9,2.9,61.1
810030,11.3,20,4.7,4.8,71.3
810031,4.8,12,2.4,1.7,46.4
810032,12.7,3,6.7,8.1,90.6
810033,13.2,12,1.8,2.5,73.5
810034,1.0,3,9.1,6.9,71.4
810035,4.7,20,9.9,7.4,74.8
810036,11.6,12,9.8,8.5,95.6
810037,10.2,12,8.8,6.6,81.5
810038,15.0,12,5.9,5.4,86.6
810039,4.4,5,2.6,1.7,45.7
810040,1.8,3,2.9,3.8,37.6
810041,11.6,5,8.5,7.0,86.3
810042,4.9,8,6.4,5.5,67.9
810043,5.9,5,7.1,5.2,67.2
810044,8.4,5,7.8,7.7,76.0
810045,5.2,8,1.9,1.0,47.8
810046,14.6,12,4.6,4.8,84.9
810047,14.8,5,2.9,3.2,76.9
810048,7.6,5,3.7,3.1,60.3
810049,11.1,3,9.0,6.8,87.9
810050,2.8,3,9.8,6.8,82.9
810051,9.3,20,6.6,6.3,65.0
810052,8.5,5,5.7,3.5,70.8
810053,13.2,8,9.5,10.0,100.0
810054,12.1,20,6.5,6.1,96.5
810055,8.6,5,6.8,6.3,75.0
810056,0.6,5,2.2,1.5,40.6
810057,4.6,8,7.3,5.5,68.1
810058,12.6,20,6.1,5.0,73.9
810059,11.3,5,3.5,1.4,67.8
810060,2.0,20,5.9,6.0,55.3
810061,1.0,5,9.1,5.2,61.1
810062,5.2,3,4.3,2.8,59.4
810063,3.0,3,3.6,1.8,54.3
810064,7.6,20,1.1,1.0,40.1
810065,6.1,12,8.2,7.5,76.0
810066,12.2,20,9.4,5.1,88.1
810067,7.1,8,5.2,2.5,68.7
810068,11.9,20,6.5,3.8,92.6
810069,14.7,8,5.3,5.0,88.3
810070,6.7,3,1.5,1.3,47.2
810071,10.1,5,2.4,1.6,56.4
810072,13.5,12,5.5,4.0,80.7
810073,0.8,20,7.5,5.2,59.2
810074,3.0,20,8.6,7.7,70.7
810075,6.3,5,4.4,3.6,55.9
810076,12.5,5,8.1,6.7,96.6
810077,0.8,5,6.2,4.6,61.5
810078,6.8,20,3.6,2.1,58.9
810079,2.6,5,3.0,1.5,41.9
810080,2.2,20,2.3,1.5,44.0
810081,12.6,12,6.8,5.9,85.3
810082,14.7,20,7.0,6.2,90.0
810083,13.1,5,8.1,6.4,91.4
810084,1.4,3,4.9,2.4,50.6
810085,8.3,8,2.3,4.1,58.6
810086,0.7,20,5.8,6.0,57.8
810087,12.6,12,7.5,4.8,91.0
810088,12.7,8,8.1,7.3,82.7
810089,13.4,12,7.1,6.2,90.7
810090,3.9,5,3.3,2.4,42.6
810091,1.3,20,4.4,4.6,45.7
810092,6.2,12,2.0,1.0,49.4
810093,14.9,3,7.2,6.4,92.4
810094,7.8,3,3.5,1.4,63.1
810095,1.3,5,6.3,5.4,54.2
810096,9.1,8,2.5,2.5,62.6
810097,9.0,12,4.1,5.8,61.3
810098,3.2,12,6.0,4.1,64.8
810099,6.4,12,6.5,4.0,70.1
810100,11.1,12,6.0,3.1,76.8
810101,3.3,3,7.8,7.3,72.3
810102,11.2,3,1.6,1.0,72.2
810103,1.5,3,5.7,6.0,58.0
810104,7.9,5,3.9,3.7,62.2
810105,5.4,3,4.6,4.6,54.5
810106,4.1,8,7.4,5.4,62.7
810107,11.1,8,2.6,2.3,74.9
810108,6.7,20,3.5,2.9,67.0
810109,6.2,5,6.7,5.5,76.0
810110,0.6,12,8.6,7.5,63.1
810111,7.8,5,5.8,5.2,68.6
810112,13.8,3,3.9,3.0,88.9
810113,13.9,20,6.1,4.6,92.7
810114,11.8,8,4.1,1.6,74.5
810115,7.4,3,3.3,2.5,60.0
810116,14.2,12,2.4,1.0,74.3
810117,6.1,12,6.5,4.1,65.0
810118,12.6,20,6.6,3.6,88.9
810119,12.5,12,9.5,9.1,94.2
810120,3.4,5,2.6,1.9,48.2
810121,7.4,20,4.1,3.6,59.2
810122,0.6,8,9.5,8.4,66.0
810123,9.8,20,6.4,6.2,81.6
810124,7.3,5,6.6,5.8,80.7
810125,9.9,5,4.1,3.0,71.3
810126,6.5,8,7.1,7.8,69.4
810127,11.0,8,6.3,4.1,84.6
810128,12.3,12,5.6,3.7,78.0
810129,1.5,3,6.9,7.7,56.4
810130,12.2,12,9.3,8.5,89.9
810131,10.2,8,2.5,1.7,66.3
810132,14.5,8,6.8,5.7,97.7
810133,14.3,12,2.7,2.8,79.3
810134,13.9,20,1.9,1.0,77.1
810135,9.4,12,7.4,7.1,77.9
810136,13.6,3,5.4,4.3,79.9
810137,8.2,5,1.0,2.4,44.8
810138,10.4,12,6.6,5.9,76.9
810139,14.9,20,3.7,2.2,89.2
810140,13.1,12,9.0,6.1,87.9
810141,9.6,3,9.9,9.8,86.7
810142,12.2,5,2.3,3.5,63.3
810143,3.3,20,9.7,8.6,77.2
810144,4.4,12,7.1,5.5,51.3
810145,1.8,12,4.6,1.4,49.0
810146,5.9,20,5.7,6.1,69.3
810147,10.6,12,7.2,6.8,85.5
810148,11.5,5,9.3,8.3,96.0
810149,7.5,3,1.2,1.0,54.2
810150,15.0,8,1.7,1.8,75.2
810151,13.7,5,8.0,6.9,91.7
810152,10.7,20,4.7,3.5,72.7
810153,14.3,8,2.7,1.3,76.1
810154,12.0,12,6.7,6.4,84.0
810155,9.0,3,6.9,5.7,83.0
810156,0.5,5,9.0,5.9,65.6
810157,3.3,8,8.4,7.5,69.2
810158,1.0,3,8.8,8.1,49.3
810159,4.9,12,9.7,7.8,73.5
810160,9.1,5,4.6,2.5,61.7
810161,7.5,8,3.5,1.6,49.5
810162,14.8,5,7.1,7.5,83.8
810163,3.1,20,3.1,1.1,47.6
810164,4.5,20,5.6,4.3,59.2
810165,0.9,5,5.8,4.8,56.0
810166,9.7,3,2.9,3.6,56.1
810167,8.4,12,3.6,2.4,59.5
810168,8.3,3,9.5,6.7,83.6
810169,8.9,3,4.3,4.7,53.0
810170,2.8,8,7.9,5.6,72.0
810171,9.7,20,9.2,8.1,89.9
810172,0.8,5,5.5,4.5,45.2
810173,3.9,5,3.9,2.6,42.9
810174,13.1,20,6.8,5.1,93.7
810175,14.4,3,2.4,2.6,78.0
810176,4.7,5,8.8,5.8,80.7
810177,6.8,12,6.5,4.7,62.5
810178,1.3,3,6.0,5.2,51.0
810179,12.0,5,8.9,7.6,94.4
810180,7.7,8,8.2,7.6,75.5
810181,11.4,8,6.4,4.1,82.9
810182,12.5,5,5.5,4.5,72.8
810183,3.0,12,4.3,3.0,42.0
810184,7.2,3,3.6,1.8,60.8
810185,11.1,3,5.1,4.6,70.9
810186,11.8,12,7.1,4.9,90.9
810187,13.7,3,5.7,3.7,89.9
810188,0.7,8,9.5,6.2,59.4
810189,10.8,8,8.0,5.6,78.0
810190,14.8,3,5.0,5.9,83.0
810191,5.7,20,3.0,2.3,56.5
810192,14.7,20,7.1,4.5,82.5
810193,13.4,12,1.6,1.3,69.2
810194,4.3,5,5.0,4.2,48.7
810195,7.8,5,9.3,5.7,81.2
810196,14.7,5,6.9,6.3,90.9
810197,11.1,20,5.1,2.9,67.7
810198,5.2,20,5.2,2.7,62.4
810199,8.2,3,3.1,2.2,58.3
810200,9.9,20,7.3,6.0,79.0
810201,6.1,12,4.1,2.1,62.1
810202,9.1,3,3.1,2.2,65.6
810203,9.8,8,2.8,2.4,68.9
810204,6.6,20,3.1,2.4,51.0
810205,3.6,8,5.4,3.6,51.5
