ProjectID,RemodelType,YearBuilt,MaterialsCost,LaborHours,ROI_Percent
840001,Basement,2008,5894.78,110,47.5
840002,Kitchen,1975,18813.33,295,67.0
840003,Exterior,2012,7068.0,122,46.5
840004,Bathroom,1993,9685.37,57,55.3
840005,Exterior,1965,8379.09,116,46.4
840006,Bathroom,2019,17456.58,342,66.8
840007,Exterior,2019,9104.91,231,39.6
840008,Basement,1987,6218.54,77,30.8
840009,Exterior,1963,11578.16,314,37.8
840010,Bathroom,2014,14552.46,218,58.6
840011,Bathroom,2000,14837.68,325,59.7
840012,Exterior,1955,11129.15,313,39.0
840013,Basement,2008,6796.6,205,47.7
840014,Exterior,1983,10676.56,248,36.3
840015,Basement,1988,8866.83,236,57.0
840016,Kitchen,2010,18808.9,268,66.7
840017,Kitchen,1972,13070.4,85,69.3
840018,Basement,2017,9120.02,254,49.9
840019,Bathroom,1967,14149.27,279,66.0
840020,Bathroom,1967,11916.73,224,64.6
840021,Bathroom,1996,15938.38,340,56.8
840022,Kitchen,1981,15387.86,139,76.5
840023,Kitchen,1960,14875.66,114,73.1
840024,Basement,1991,9987.79,295,59.3
840025,Kitchen,2014,12660.08,28,57.4
840026,Exterior,1966,12950.0,334,40.5
840027,Kitchen,1961,17367.67,211,67.0
840028,Bathroom,1983,12354.94,215,57.1
840029,Bathroom,2009,10971.59,156,53.5
840030,Bathroom,2000,11226.65,194,64.2
840031,Exterior,2018,9136.88,270,60.9
840032,Bathroom,1951,13702.15,243,49.1
840033,Kitchen,2004,14794.88,127,72.7
840034,Kitchen,1959,19246.64,253,73.9
840035,Kitchen,1962,13626.81,94,73.7
840036,Exterior,1991,5006.54,77,60.4
840037,Bathroom,1962,13941.37,214,56.2
840038,Bathroom,1982,10782.79,186,52.0
840039,Exterior,2007,5978.89,123,39.8
840040,Bathroom,1953,15037.93,271,72.3
840041,Kitchen,1965,17905.16,250,82.4
840042,Kitchen,1954,14329.23,96,64.4
840043,Basement,1966,8108.8,229,56.6
840044,Bathroom,1995,14938.17,321,47.3
840045,Exterior,1978,9757.62,283,34.4
840046,Exterior,2018,6945.96,152,66.0
840047,Exterior,2004,6601.21,147,41.5
840048,Kitchen,1996,18711.41,257,56.7
840049,Kitchen,1951,16725.71,198,54.7
840050,Bathroom,1959,14536.87,250,65.0
840051,Exterior,2009,11141.28,303,32.6
840052,Kitchen,2019,15050.44,84,69.5
840053,Basement,1994,,116,51.9
840054,Bathroom,1977,7401.19,32,61.1
840055,Basement,1961,5739.64,62,41.5
840056,Exterior,2009,13346.29,295,37.6
840057,Bathroom,1993,12037.63,195,55.9
840058,Basement,1954,5148.36,139,44.3
840059,Exterior,2017,3476.6,42,55.6
840060,Exterior,1957,9217.3,316,49.3
840061,Kitchen,1980,17338.12,203,73.1
840062,Basement,1972,6366.05,112,40.6
840063,Basement,1960,7412.37,113,57.2
840064,Bathroom,2018,11433.7,215,55.5
840065,Basement,1952,7653.87,183,37.8
840066,Basement,1961,4748.04,69,60.0
840067,Bathroom,2002,5030.8,20,56.2
840068,Kitchen,1984,16612.72,182,72.5
840069,Bathroom,1970,14586.21,313,65.7
840070,Bathroom,1960,15257.61,298,66.1
840071,Bathroom,2019,8058.22,23,62.6
840072,Exterior,2003,8265.28,193,34.9
840073,Exterior,1959,6534.35,195,45.3
840074,Exterior,1957,7226.54,176,48.6
840075,Exterior,1983,7319.16,204,46.4
840076,Kitchen,2002,18040.9,213,59.7
840077,Exterior,2017,8873.59,228,42.1
840078,Basement,2002,7179.53,141,47.8
840079,Basement,2009,8114.75,162,46.6
840080,Basement,1995,5784.83,103,52.0
840081,Kitchen,1970,14276.38,165,60.8
840082,Kitchen,2019,15156.62,126,61.2
840083,Basement,1961,9510.2,213,49.0
840084,Bathroom,2001,12554.57,158,49.6
840085,Exterior,1956,10385.61,267,38.5
840086,Bathroom,2001,16955.07,333,43.1
840087,Exterior,1978,9751.9,255,55.9
840088,Basement,1952,4991.58,69,37.8
840089,Kitchen,1982,14897.7,116,70.5
840090,Basement,1984,6972.83,143,54.2
840091,Exterior,1997,11147.98,300,40.0
840092,Bathroom,1960,11059.3,127,78.4
840093,Basement,1981,5070.1,73,50.3
840094,Kitchen,1967,17477.52,190,74.2
840095,Kitchen,1975,16535.5,211,63.4
840096,Basement,1976,5992.28,132,36.5
840097,Exterior,1983,7029.78,174,57.9
840098,Kitchen,1988,16705.48,185,64.9
840099,Exterior,1960,8013.2,232,49.1
840100,Exterior,2006,8041.79,194,39.7
840101,Bathroom,1983,13048.98,313,65.6
840102,Kitchen,2017,18150.85,182,59.7
840103,Exterior,1972,9520.05,257,49.0
840104,Kitchen,2005,15790.98,81,60.4
840105,Exterior,1994,6026.14,125,37.8
840106,Basement,2004,9908.35,246,45.4
840107,Kitchen,1953,13016.95,43,69.2
840108,Exterior,1969,7003.88,231,42.0
840109,Bathroom,2019,8299.98,44,49.9
840110,Exterior,2019,7467.55,157,64.7
840111,Bathroom,1997,12984.28,201,63.3
840112,Basement,2008,3590.25,21,60.3
840113,Bathroom,1985,8853.79,113,60.2
840114,Exterior,2018,8655.39,203,43.7
