CustomerID,YearlyFlights,PointsAccumulated,MembershipClass,RedemptionRate,Churned
860001,8,9354.5,Silver,84.52,Yes
860002,12,19711.6,Gold,13.49,No
860003,49,63277.6,Gold,28.6,No
860004,28,33506.5,Silver,17.38,No
860005,15,18061.9,Silver,5.93,No
860006,11,18008.9,Gold,40.63,No
860007,4,5330.3,Silver,76.97,No
860008,1,15459.2,Platinum,82.9,Yes
860009,3,4391.3,Silver,56.44,No
860010,21,30243.7,Gold,92.89,No
860011,23,32330.6,Gold,90.51,No
860012,35,48133.6,Gold,62.88,No
860013,38,45797.7,Silver,93.21,No
860014,4,4940.9,Silver,82.75,Yes
860015,41,48897.3,Silver,80.58,No
860016,19,26974.8,Gold,66.95,No
860017,32,37930.1,Silver,73.14,No
860018,46,60131.0,Gold,55.92,No
860019,17,20856.2,Silver,10.48,No
860020,37,43956.8,Silver,82.77,No
860021,20,23542.8,Silver,47.25,No
860022,29,40602.8,Gold,39.11,No
860023,2,1530.5,Silver,71.44,No
860024,8,9137.0,Silver,10.91,Yes
860025,50,64810.7,Gold,31.98,No
860026,36,48696.0,Gold,18.94,No
860027,8,9136.4,Silver,69.92,No
860028,41,49087.4,Silver,91.03,No
860029,27,32890.4,Silver,44.88,No
860030,41,49563.2,Silver,88.65,No
860031,25,35557.6,Gold,34.14,No
860032,36,48548.4,Gold,65.69,No
860033,2,2361.2,Silver,86.54,No
860034,51,62070.2,Silver,38.86,No
860035,13,,Silver,13.9,No
860036,48,58071.8,Silver,69.75,No
860037,11,13028.3,Silver,82.61,No
860038,30,36384.1,Silver,18.61,No
860039,23,27319.5,Silver,6.33,No
860040,51,61659.5,Silver,59.05,No
860041,32,38174.3,Silver,62.95,No
860042,19,22107.3,Silver,18.77,Yes
860043,13,15642.7,Silver,26.81,No
860044,42,50651.5,Silver,14.0,No
860045,5,6529.7,Silver,26.6,No
860046,6,12450.7,Gold,33.43,Yes
860047,4,5110.9,Silver,52.5,No
860048,17,36005.4,Platinum,37.35,No
860049,14,15736.5,Silver,40.51,No
860050,25,34979.2,Gold,36.18,No
860051,28,48300.3,Platinum,42.72,Yes
860052,20,23477.1,Silver,53.31,No
860053,26,31343.6,Silver,72.37,No
860054,16,19272.9,Silver,68.28,No
860055,33,38703.3,Silver,83.54,No
860056,36,42723.0,Silver,74.68,No
860057,6,6714.5,Silver,62.39,No
860058,19,23212.6,Silver,89.72,No
860059,37,48995.3,Gold,51.5,No
860060,10,12753.0,Silver,10.19,Yes
860061,27,36815.3,Gold,93.93,No
860062,15,22815.1,Gold,93.44,Yes
860063,10,27285.6,Platinum,79.07,No
860064,7,8372.7,Silver,22.49,No
860065,47,56214.6,Silver,14.15,No
860066,30,35648.1,Silver,30.31,No
860067,9,25990.2,Platinum,62.18,No
860068,51,61716.0,Silver,49.94,No
860069,43,52725.5,Silver,77.39,No
860070,2,6848.2,Gold,15.97,No
860071,21,25537.5,Silver,21.15,Yes
860072,45,54493.9,Silver,29.01,No
860073,36,42579.3,Silver,49.27,No
860074,42,49955.9,Silver,17.07,No
860075,30,36406.3,Silver,29.98,No
860076,45,58773.8,Gold,37.14,No
860077,47,70617.3,Platinum,43.36,No
860078,47,62366.7,Gold,71.9,No
860079,39,61410.2,Platinum,34.45,No
860080,9,10010.2,Silver,37.89,Yes
860081,35,42062.3,Silver,71.68,No
860082,7,8771.0,Silver,46.3,Yes
860083,14,21639.9,Gold,9.61,Yes
860084,1,6301.5,Gold,18.34,No
860085,22,26305.0,Silver,83.8,No
860086,21,24872.2,Silver,77.48,No
860087,12,14348.5,Silver,7.15,Yes
860088,3,3164.3,Silver,65.45,Yes
860089,30,41502.9,Gold,88.71,No
860090,44,52510.0,Silver,5.44,No
860091,12,19749.5,Gold,33.31,No
860092,5,11026.7,Gold,16.52,Yes
860093,43,50767.5,Silver,15.32,No
860094,31,36534.5,Silver,67.51,No
860095,12,28847.5,Platinum,27.14,Yes
860096,34,40275.9,Silver,19.33,No
860097,32,38623.7,Silver,19.89,No
860098,4,4471.8,Silver,20.12,Yes
860099,46,55893.9,Silver,16.18,No
860100,15,23084.2,Gold,81.89,Yes
860101,24,28644.2,Silver,51.29,No
860102,5,6089.5,Silver,76.99,No
860103,2,1384.3,Silver,54.64,Yes
860104,33,40223.5,Silver,47.93,No
860105,34,41171.0,Silver,52.51,No
860106,42,51164.3,Silver,59.25,No
860107,6,12960.3,Gold,23.98,No
860108,23,27032.3,Silver,54.41,Yes
860109,46,70420.6,Platinum,41.14,No
860110,33,40140.9,Silver,68.2,No
860111,32,38540.3,Silver,84.76,No
860112,24,33315.1,Gold,64.8,No
860113,3,8654.5,Gold,38.34,Yes
860114,31,41645.7,Gold,36.07,No
860115,7,12689.5,Gold,8.64,Yes
860116,27,47993.7,Platinum,87.72,No
860117,27,33746.0,Silver,89.57,No
860118,37,49098.0,Gold,19.61,No
860119,43,57060.6,Gold,51.69,No
860120,48,63602.2,Gold,59.56,No
860121,7,13160.5,Gold,37.31,Yes
860122,10,17187.2,Gold,30.41,No
860123,39,50987.8,Gold,39.82,No
860124,37,44425.5,Silver,55.27,No
860125,7,13174.4,Gold,45.55,No
860126,36,48389.0,Gold,93.49,No
860127,5,21153.7,Platinum,6.16,Yes
860128,15,18495.2,Silver,76.58,No
860129,51,61552.7,Silver,27.53,No
860130,6,7146.7,Silver,45.13,No
860131,30,35886.4,Silver,46.44,No
860132,9,25390.5,Platinum,26.53,Yes
860133,29,40589.9,Gold,36.12,No
860134,5,10926.2,Gold,91.4,No
860135,51,60819.5,Silver,24.63,No
860136,8,10231.9,Silver,40.07,No
860137,10,11788.4,Silver,19.2,No
860138,8,24553.3,Platinum,43.42,Yes
860139,41,54499.9,Gold,88.44,No
860140,15,22905.9,Gold,5.23,Yes
860141,18,21212.2,Silver,52.92,No
860142,48,63169.6,Gold,81.57,No
860143,1,2183.5,Silver,66.34,Yes
860144,11,13108.8,Silver,43.58,No
860145,16,23978.5,Gold,56.92,No
860146,28,33395.3,Silver,70.54,Yes
860147,10,11607.7,Silver,41.47,Yes
860148,48,57497.5,Silver,14.93,No
860149,27,38038.7,Gold,59.22,No
860150,44,57630.1,Gold,21.53,No
860151,9,25490.5,Platinum,84.45,Yes
860152,4,4231.8,Silver,88.03,No
860153,16,18590.6,Silver,22.05,No
860154,26,31319.2,Silver,33.76,No
860155,43,66560.4,Platinum,66.88,No
860156,8,9372.1,Silver,6.6,Yes
860157,2,3137.1,Silver,83.21,No
860158,36,43372.6,Silver,73.21,Yes
860159,42,55531.0,Gold,79.97,No
860160,49,64000.9,Gold,38.24,No
860161,15,17840.7,Silver,47.67,Yes
860162,51,67049.9,Gold,73.55,No
860163,15,18414.7,Silver,30.69,Yes
860164,1,766.0,Silver,11.72,Yes
860165,3,3965.5,Silver,23.2,Yes
860166,27,37843.5,Gold,12.93,Yes
860167,39,46146.1,Silver,46.46,No
860168,31,37945.4,Silver,9.08,No
860169,47,56021.1,Silver,63.23,No
860170,19,22754.5,Silver,91.92,No
860171,4,4546.3,Silver,40.6,Yes
860172,33,44575.8,Gold,58.71,No
860173,2,17444.3,Platinum,39.62,Yes
860174,4,3769.9,Silver,46.57,Yes
860175,26,36691.0,Gold,19.35,No
860176,48,57183.6,Silver,82.18,No
860177,33,39946.3,Silver,8.5,No
860178,36,48772.3,Gold,41.94,Yes
860179,24,,Silver,90.91,No
860180,20,24702.5,Silver,91.39,No
860181,20,29279.2,Gold,68.46,No
860182,15,17936.8,Silver,86.46,No
860183,28,33446.4,Silver,14.65,No
860184,48,62394.2,Gold,30.92,No
860185,49,58009.7,Silver,75.7,No
860186,35,42357.9,Silver,71.59,No
860187,33,44051.9,Gold,65.42,No
860188,31,42494.4,Gold,41.78,No
860189,33,43573.1,Gold,83.83,No
860190,2,2233.2,Silver,19.94,Yes
860191,31,37153.7,Silver,41.91,No
860192,5,11464.2,Gold,83.97,Yes
860193,28,33340.8,Silver,14.29,No
860194,46,59913.3,Gold,64.86,No
860195,36,43145.8,Silver,72.38,No
860196,14,16501.7,Silver,60.84,No
860197,7,23360.6,Platinum,84.68,Yes
860198,21,30223.1,Gold,31.26,No
860199,21,25218.3,Silver,11.19,Yes
860200,22,25634.9,Silver,50.48,No
860201,15,17897.7,Silver,8.87,Yes
860202,7,13164.0,Gold,10.89,No
860203,7,8850.1,Silver,46.79,Yes
860204,41,49117.1,Silver,78.41,No
860205,29,49774.3,Platinum,64.14,No
860206,9,11356.9,Silver,31.84,No
860207,25,30121.3,Silver,40.17,No
860208,7,13013.6,Gold,83.99,No
860209,35,42549.0,Silver,89.51,No
860210,22,31788.1,Gold,32.93,No
860211,5,11133.5,Gold,71.32,Yes
860212,43,66475.6,Platinum,54.32,No
860213,10,11863.7,Silver,38.11,No
860214,32,43247.7,Gold,86.89,No
860215,43,56134.6,Gold,35.06,No
860216,14,31469.8,Platinum,70.72,No
860217,27,36409.9,Gold,48.5,No
860218,5,21689.8,Platinum,23.07,Yes
860219,46,54754.4,Silver,84.72,No
860220,22,25888.7,Silver,23.1,No
860221,2,2445.9,Silver,23.6,Yes
860222,28,33529.0,Silver,61.08,No
860223,10,11525.1,Silver,23.02,Yes
860224,32,42621.3,Gold,86.97,No
860225,2,7530.2,Gold,41.17,Yes
860226,35,47452.4,Gold,72.46,No
860227,17,20277.5,Silver,35.12,Yes
860228,32,53131.2,Platinum,39.01,No
860229,18,26233.8,Gold,72.09,No
860230,33,39395.9,Silver,94.61,No
860231,9,16127.6,Gold,69.27,No
860232,12,29473.4,Platinum,86.08,No
860233,11,12713.3,Silver,13.42,Yes
860234,28,33454.7,Silver,35.77,No
860235,24,28876.5,Silver,90.3,No
860236,19,23421.1,Silver,7.24,No
860237,28,33421.9,Silver,72.04,No
860238,24,43698.5,Platinum,42.05,No
860239,51,61001.6,Silver,34.4,No
860240,34,55403.4,Platinum,30.09,No
860241,26,31764.4,Silver,30.28,Yes
860242,34,40819.7,Silver,65.41,Yes
860243,27,32328.3,Silver,39.47,No
860244,7,13521.5,Gold,81.92,No
860245,26,45431.0,Platinum,45.06,No
860246,20,23232.2,Silver,80.08,No
860247,26,31549.9,Silver,60.73,No
860248,27,32448.7,Silver,11.79,No
860249,3,19450.0,Platinum,22.48,No
860250,30,50659.9,Platinum,12.78,Yes
860251,50,60463.4,Silver,20.06,No
860252,4,4700.2,Silver,48.42,No
860253,17,19780.8,Silver,36.17,Yes
860254,7,8564.7,Silver,48.83,No
860255,40,52501.7,Gold,7.8,No
860256,8,9181.5,Silver,61.13,Yes
860257,14,21896.8,Gold,46.53,No
860258,45,69880.2,Platinum,75.53,No
860259,19,22803.5,Silver,50.27,No
860260,48,57771.7,Silver,19.85,No
860261,33,39114.6,Silver,77.16,No
860262,35,46093.3,Gold,36.48,No
860263,30,41274.9,Gold,69.78,No
860264,3,4515.3,Silver,30.73,Yes
860265,13,30520.3,Platinum,10.07,Yes
860266,13,31090.8,Platinum,57.75,No
