DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1760001,185.1,132.0,354.4,91.6,Low
1760002,114.2,429.9,413.0,117.1,High
1760003,174.2,429.1,363.5,353.6,High
1760004,395.5,268.5,86.7,50.2,Low
1760005,441.7,247.1,80.3,185.5,Low
1760006,433.2,382.1,316.8,133.1,Low
1760007,208.0,129.0,441.8,317.0,Low
1760008,312.2,317.6,122.9,52.8,High
1760009,187.7,188.5,206.5,312.0,High
1760010,106.5,364.0,424.1,60.5,Low
1760011,119.0,291.7,13.0,402.4,Low
1760012,494.1,426.1,91.2,228.8,High
1760013,179.8,164.5,15.7,105.0,High
1760014,156.3,221.8,217.0,260.8,Medium
1760015,171.9,206.2,32.1,278.4,Low
1760016,90.6,328.8,103.3,361.8,Low
1760017,479.2,61.5,375.6,214.6,High
1760018,143.1,372.1,277.7,358.8,Medium
1760019,465.4,436.3,181.3,454.8,Medium
1760020,469.1,422.6,493.0,460.0,Low
1760021,155.6,399.9,91.0,318.7,High
1760022,203.7,254.2,19.0,203.0,Low
1760023,87.6,,371.2,231.4,Low
1760024,275.0,166.4,477.4,238.9,Low
1760025,174.4,121.4,251.2,317.2,High
1760026,413.1,461.6,306.4,424.7,Low
1760027,32.0,378.5,372.0,187.2,Low
1760028,349.8,298.2,124.7,55.7,Low
1760029,61.1,135.8,74.6,184.2,Medium
1760030,435.8,301.1,445.3,314.2,High
1760031,486.1,356.2,490.7,161.2,Low
1760032,315.5,200.3,338.8,499.8,Low
1760033,296.3,356.6,313.3,155.4,Low
1760034,339.0,254.0,190.7,297.9,High
1760035,194.4,113.9,269.3,200.0,Low
1760036,186.9,301.0,111.1,172.4,Medium
1760037,229.2,477.4,424.1,238.1,Medium
1760038,434.1,80.5,336.2,131.6,Low
1760039,314.9,491.6,147.7,130.3,High
1760040,347.3,425.1,482.2,489.6,Low
1760041,155.6,167.1,433.6,313.9,Low
1760042,344.2,200.7,461.1,487.5,Medium
1760043,65.9,493.4,136.0,120.9,Low
1760044,247.1,258.6,146.4,30.1,High
1760045,273.0,173.0,15.2,394.0,Low
1760046,273.4,145.5,333.6,401.0,High
1760047,236.9,428.1,154.9,45.3,High
1760048,315.7,421.4,38.6,492.7,Medium
1760049,360.0,160.4,262.6,319.1,Low
1760050,239.0,206.3,401.0,406.4,Low
1760051,202.1,27.9,331.6,273.3,Low
1760052,67.4,326.1,183.0,280.3,Low
1760053,175.6,35.9,449.5,83.7,Low
1760054,321.8,484.3,402.9,180.2,Medium
1760055,420.9,282.1,99.0,73.9,Medium
1760056,384.5,33.6,439.1,325.8,Medium
1760057,51.1,357.1,181.3,180.3,Medium
1760058,192.1,360.6,490.3,442.4,Medium
1760059,11.9,374.5,236.6,272.0,Low
1760060,414.0,163.4,156.5,490.6,High
1760061,483.6,468.8,420.3,282.8,Low
1760062,316.6,408.4,214.6,10.4,Medium
1760063,473.7,445.7,248.4,222.0,Low
1760064,170.7,447.4,129.1,430.6,High
1760065,95.5,28.9,182.5,143.6,High
1760066,18.2,202.6,312.0,468.0,Low
1760067,244.1,227.4,194.0,223.7,High
1760068,463.4,102.5,172.5,317.5,Medium
1760069,138.2,162.9,245.9,141.0,High
1760070,149.0,293.7,77.2,258.0,Low
1760071,318.0,252.6,208.2,194.3,Low
1760072,217.9,169.6,353.9,259.3,High
1760073,239.4,,328.0,376.7,High
1760074,101.7,408.0,243.8,448.4,Low
1760075,372.9,361.7,149.0,31.2,High
1760076,267.9,328.2,468.6,133.9,Low
1760077,181.2,,268.9,40.1,Medium
1760078,466.8,77.3,390.8,88.3,High
1760079,233.7,184.1,462.8,469.0,Low
1760080,363.5,241.9,349.4,485.4,High
1760081,107.9,56.6,255.0,195.4,Medium
1760082,402.8,352.1,135.5,83.0,High
1760083,104.3,116.1,343.5,220.2,Low
1760084,471.1,14.3,457.6,203.2,Low
1760085,286.4,97.2,152.1,455.4,High
1760086,243.3,162.1,36.8,266.7,Low
1760087,253.1,18.9,286.5,136.3,Medium
1760088,352.2,157.3,462.6,233.1,High
1760089,116.0,257.5,109.7,358.6,Medium
1760090,446.3,387.6,231.4,305.0,Medium
1760091,260.2,11.7,270.2,193.9,High
1760092,158.1,282.8,490.3,319.0,Medium
1760093,306.5,42.3,155.9,289.1,High
1760094,14.4,75.0,124.5,211.7,Medium
1760095,490.4,87.0,432.6,323.6,High
1760096,497.1,192.7,444.8,379.4,High
1760097,233.9,359.6,58.5,304.7,High
1760098,47.9,435.7,110.3,178.6,Medium
1760099,341.4,179.4,288.4,432.3,High
1760100,230.3,32.3,30.5,126.8,High
1760101,154.2,161.2,140.7,31.6,Low
1760102,364.3,393.3,453.0,200.7,High
1760103,33.4,463.0,208.9,305.0,Medium
1760104,455.9,480.2,230.5,349.4,High
1760105,335.5,72.1,478.1,89.8,High
1760106,49.2,425.1,266.5,118.1,High
1760107,238.9,348.0,194.7,276.7,High
1760108,438.3,167.0,455.0,244.1,Low
1760109,351.2,14.4,460.5,229.6,Medium
1760110,220.4,227.9,316.3,219.5,High
1760111,454.3,73.1,445.8,326.5,High
1760112,128.3,166.8,240.1,125.8,Low
1760113,133.9,433.6,279.0,350.7,Low
1760114,385.0,218.6,310.5,180.3,High
1760115,438.4,43.1,195.0,409.1,Low
1760116,299.1,151.3,204.8,280.0,High
1760117,481.8,436.4,378.6,121.4,High
1760118,50.2,80.6,134.3,336.5,Medium
1760119,312.2,327.7,329.2,22.6,Low
1760120,146.2,410.3,63.4,404.6,Medium
1760121,90.0,426.7,144.7,252.7,Low
1760122,56.5,152.3,386.3,265.2,Medium
1760123,224.3,381.7,323.2,401.1,Low
1760124,321.6,119.4,329.1,370.8,Medium
1760125,467.6,68.6,481.4,248.6,Low
1760126,76.0,226.0,411.0,34.1,High
1760127,475.9,323.3,15.3,240.3,Low
1760128,475.2,30.0,318.2,159.4,Low
1760129,249.5,491.6,160.2,178.7,Low
1760130,241.0,34.7,379.6,144.9,High
1760131,80.0,106.7,416.8,158.2,Low
1760132,249.7,355.2,100.3,359.7,Low
1760133,390.2,287.3,41.0,283.0,High
1760134,257.1,289.3,164.2,255.5,High
1760135,61.6,482.3,269.4,76.6,Medium
1760136,449.5,441.2,68.5,477.3,Low
1760137,447.6,424.9,328.9,150.1,Low
1760138,351.9,34.3,460.0,241.7,Medium
1760139,11.1,160.3,103.3,434.0,High
1760140,308.6,499.8,205.1,437.7,Low
1760141,456.8,316.2,35.2,40.9,Low
1760142,289.5,72.1,70.0,24.5,Medium
1760143,310.2,392.0,200.5,15.1,High
1760144,415.4,372.3,452.0,180.3,High
1760145,154.1,58.8,59.7,122.0,Medium
1760146,69.1,186.7,233.1,204.0,High
1760147,459.0,206.6,146.3,82.6,High
1760148,255.4,250.9,186.9,88.2,High
1760149,393.6,121.7,436.5,390.0,High
1760150,30.8,376.8,497.2,191.3,Medium
1760151,319.8,461.1,309.1,197.3,Medium
1760152,322.0,363.1,447.7,360.1,Low
1760153,370.5,130.3,78.2,341.7,High
1760154,16.2,347.4,377.8,30.7,Low
1760155,98.7,83.7,263.3,126.8,High
1760156,268.3,239.9,26.8,370.7,Medium
1760157,481.6,444.8,316.0,216.7,Medium
