GraduateID,PortfolioProjectsCount,JobSearchDurationDays,StartingSalary_K,CodingInterviewGrade,Hired
1740001,123.7,55.5,103.8,55.0,0
1740002,97.6,58.2,72.7,75.5,1
1740003,86.3,58.7,95.3,83.3,0
1740004,85.6,47.3,50.5,108.2,0
1740005,80.8,34.7,83.0,114.6,0
1740006,100.8,52.7,57.6,95.2,1
1740007,118.1,55.0,69.0,102.3,1
1740008,115.3,27.0,65.5,76.3,0
1740009,130.8,30.6,76.6,97.9,0
1740010,63.6,30.7,82.7,135.6,1
1740011,102.4,40.6,57.2,113.0,1
1740012,65.5,60.1,75.7,85.1,1
1740013,117.3,71.8,85.3,143.2,1
1740014,104.4,66.6,66.8,153.2,1
1740015,90.8,22.8,31.5,146.0,0
1740016,72.0,48.6,78.8,55.9,0
1740017,104.7,56.4,71.8,64.3,0
1740018,110.6,24.8,84.2,106.0,0
1740019,72.3,60.5,71.2,80.9,1
1740020,108.8,64.6,87.7,113.3,0
1740021,97.1,31.7,65.7,119.7,0
1740022,83.2,61.6,74.0,72.3,1
1740023,108.2,57.6,76.8,61.5,1
1740024,66.0,48.5,88.8,90.3,0
1740025,98.5,28.2,110.3,80.0,0
1740026,111.9,39.3,75.9,93.8,0
1740027,80.3,39.6,94.4,134.3,0
1740028,96.7,59.5,71.4,99.9,1
1740029,70.0,46.9,54.1,116.5,0
1740030,97.1,76.8,79.1,94.6,0
1740031,82.3,39.5,58.4,113.3,0
1740032,90.7,25.4,73.0,80.5,0
1740033,91.9,82.3,80.7,70.6,1
1740034,107.1,40.8,66.1,74.1,1
1740035,83.7,25.0,72.5,57.1,1
1740036,118.3,50.6,65.5,104.9,1
1740037,88.9,40.6,75.0,117.4,1
1740038,81.0,72.7,84.4,105.4,1
1740039,84.0,35.3,77.4,63.0,0
1740040,69.7,30.7,78.1,118.6,0
1740041,135.1,48.8,120.9,118.3,0
1740042,105.1,50.6,114.4,93.4,1
1740043,118.9,36.1,73.4,112.5,1
1740044,133.8,40.3,57.6,97.2,0
1740045,101.2,25.7,95.0,108.1,0
1740046,61.3,33.5,73.6,131.5,1
1740047,73.3,20.7,61.0,90.9,1
1740048,109.5,38.6,82.2,74.9,0
1740049,69.6,34.9,104.9,82.0,0
1740050,74.7,71.3,102.8,95.9,1
1740051,84.0,41.2,69.3,46.4,0
1740052,56.9,53.6,24.6,145.4,1
1740053,106.4,58.5,82.2,128.1,1
1740054,135.3,8.2,74.2,94.5,0
1740055,96.9,41.0,58.4,133.2,0
1740056,66.6,43.0,103.9,173.7,0
1740057,114.2,46.3,97.0,53.0,0
1740058,108.0,24.2,105.4,106.0,0
1740059,83.5,51.5,75.6,76.1,1
1740060,103.9,47.1,65.6,83.3,0
1740061,91.1,65.2,102.6,87.9,0
1740062,103.4,63.4,65.3,94.5,1
1740063,115.5,47.5,90.4,92.9,0
1740064,79.0,52.1,80.1,124.1,1
1740065,57.2,59.7,52.9,88.8,1
1740066,124.7,23.2,34.4,28.7,0
1740067,138.6,67.1,85.6,98.9,0
1740068,75.7,47.4,68.8,95.3,1
1740069,61.5,41.5,62.2,96.6,0
1740070,142.4,35.8,59.4,81.9,0
1740071,79.9,30.9,41.4,105.8,0
1740072,105.4,62.6,85.9,125.7,1
1740073,124.8,47.3,76.3,125.4,1
1740074,105.9,32.4,101.3,90.5,0
1740075,94.4,43.0,75.3,117.0,1
1740076,111.2,43.8,77.3,68.2,1
1740077,105.7,30.4,109.1,100.8,1
1740078,72.3,69.3,75.4,73.0,0
1740079,95.8,50.1,102.7,111.8,0
1740080,87.9,42.5,106.1,100.5,0
1740081,117.1,36.0,32.7,34.0,0
1740082,121.6,45.8,59.3,93.1,0
1740083,106.1,51.4,69.2,100.0,0
1740084,103.2,43.1,86.7,50.5,0
1740085,95.8,38.5,52.1,150.5,0
1740086,74.4,59.9,65.6,59.1,1
1740087,124.3,36.3,111.1,110.4,0
1740088,84.3,75.1,74.7,79.1,1
1740089,71.1,52.8,84.6,58.0,1
1740090,113.0,50.8,85.8,85.7,1
1740091,103.9,61.1,75.3,104.6,1
1740092,106.5,44.3,85.4,128.7,1
1740093,125.6,45.8,103.5,37.2,0
1740094,114.0,50.3,85.6,95.5,0
1740095,93.5,39.7,67.1,96.7,1
1740096,105.1,36.6,98.1,112.2,0
1740097,140.8,42.6,94.2,91.8,0
1740098,81.5,62.9,118.6,74.2,0
1740099,90.8,39.6,103.3,84.5,0
1740100,111.9,32.0,59.8,92.7,1
1740101,73.6,64.9,61.3,131.0,0
1740102,64.9,46.5,43.1,96.7,0
1740103,54.0,67.4,85.9,148.0,1
1740104,116.6,34.8,74.5,113.4,0
1740105,71.9,56.3,87.2,100.1,1
1740106,82.1,52.2,76.1,96.5,0
1740107,109.3,27.3,104.9,95.4,0
1740108,104.1,34.3,74.8,68.1,0
1740109,82.2,31.3,98.3,100.5,0
1740110,84.9,34.7,71.7,97.3,1
1740111,98.4,63.3,49.6,81.0,1
1740112,104.4,60.1,90.1,32.4,1
1740113,92.6,58.1,70.9,114.1,0
1740114,123.0,76.6,96.1,110.3,1
1740115,67.8,59.8,68.6,148.8,1
1740116,100.2,52.7,119.7,93.0,0
1740117,63.0,33.4,41.6,84.9,1
1740118,107.0,80.5,44.7,44.7,0
1740119,97.0,80.2,78.3,124.3,1
