Year,CO2_ppm,Temp_Anomaly,CoalConsumption,OceanHeatIndex
1024,-719.8,-9.62,-6697.4,-32.81
1025,-719.3,-9.66,-6684.2,-32.85
1026,-716.8,-9.5,-6718.7,-32.34
1027,-715.7,-9.63,-6690.0,-33.01
1028,-715.5,-9.63,-6659.6,-32.16
1029,-713.5,-9.62,-6678.2,-32.68
1030,-713.9,-9.52,-6646.1,-32.12
1031,-710.9,-9.43,-6623.8,-32.06
1032,-710.8,-9.39,-6619.7,-32.04
1033,-710.6,-9.73,-6646.2,-33.28
1034,-707.6,-9.47,-6563.8,-32.17
1035,-707.0,-9.3,-6618.9,-31.95
1036,-707.5,-9.48,-6569.1,-32.28
1037,-703.8,-9.44,-6606.3,-32.07
1038,-700.8,-9.41,-6600.7,-31.95
1039,-702.4,-9.29,-6545.7,-31.06
1040,-700.6,-9.44,-6580.7,-31.48
1041,-701.0,-9.43,-6565.4,-31.84
1042,-699.1,-9.35,-6564.8,-31.54
1043,-696.7,-9.29,-6527.8,-32.25
1044,-698.6,-9.47,-6547.4,-31.56
1045,-696.4,-9.31,-6526.5,-31.69
1046,-696.4,-9.51,-6498.7,-32.28
1047,-695.4,-9.48,-6539.6,-31.84
1048,-691.5,-9.4,-6474.5,-32.17
1049,-692.1,-9.39,-6468.5,-32.27
1050,-687.2,-9.31,-6495.6,-31.64
1051,-687.1,-9.3,-6477.7,-31.68
1052,-687.9,-9.42,-6471.5,-32.12
1053,-686.0,-9.34,-6481.2,-31.84
1054,-686.3,,-6504.9,-31.67
1055,-684.0,-9.31,-6459.7,-31.35
1056,-685.4,-9.33,-6460.3,-31.48
1057,-684.0,-9.34,-6438.4,-31.76
1058,-680.3,-9.32,-6434.3,-31.75
1059,-679.0,-9.17,-6432.7,-30.84
1060,-679.0,-9.22,-6397.2,-31.17
1061,-677.7,-9.3,-6426.9,-31.45
1062,-675.3,-9.1,-6407.9,-30.92
1063,-673.5,-9.06,-6361.7,-30.58
1064,-671.7,-9.24,-6381.2,-31.94
1065,-672.0,-9.3,-6354.3,-31.38
1066,-670.3,-9.11,-6329.5,-30.39
