ReviewID,CourseCategory,Rating,ReviewText_Words,HelpfulVotes,Recommend
650001,Development,4,70.0,5,Yes
650002,Development,5,126.0,5,Yes
650003,Business,4,123.0,45,Yes
650004,Development,5,42.0,1,Yes
650005,Business,4,87.0,7,Yes
650006,Development,5,48.0,3,Yes
650007,Business,4,5.0,3,Yes
650008,Business,5,126.0,12,Yes
650009,IT & Software,4,63.0,3,Yes
650010,Marketing,3,80.0,7,No
650011,IT & Software,3,77.0,3,No
650012,IT & Software,3,84.0,1,No
650013,IT & Software,5,122.0,24,Yes
650014,IT & Software,5,64.0,2,Yes
650015,Development,5,84.0,7,Yes
650016,Design,4,78.0,0,Yes
650017,Development,4,49.0,5,Yes
650018,Marketing,3,145.0,35,No
650019,Design,3,95.0,6,No
650020,Development,1,137.0,19,No
650021,IT & Software,4,84.0,7,Yes
650022,Design,4,98.0,4,Yes
650023,Business,4,106.0,2,Yes
650024,Development,1,290.0,23,No
650025,Design,5,101.0,3,Yes
650026,Design,2,192.0,30,No
650027,Design,5,107.0,6,Yes
650028,Marketing,5,29.0,2,Yes
650029,Business,4,40.0,7,Yes
650030,IT & Software,3,117.0,0,No
650031,Marketing,5,108.0,7,Yes
650032,Development,5,42.0,4,Yes
650033,Design,5,52.0,7,Yes
650034,IT & Software,4,82.0,2,Yes
650035,Business,4,76.0,1,Yes
650036,Development,2,227.0,28,No
650037,Marketing,5,86.0,2,Yes
650038,Marketing,1,171.0,23,No
650039,IT & Software,3,56.0,6,No
650040,Development,5,107.0,1,Yes
650041,Marketing,3,82.0,6,No
650042,Marketing,4,42.0,4,Yes
650043,Development,2,128.0,43,No
650044,Marketing,4,103.0,4,Yes
650045,Marketing,5,41.0,3,Yes
650046,Business,2,259.0,48,No
650047,Development,1,206.0,10,No
650048,IT & Software,5,,3,Yes
650049,Marketing,4,5.0,4,Yes
650050,Business,4,59.0,3,Yes
650051,Design,3,78.0,4,No
650052,Development,2,197.0,9,No
650053,Development,4,41.0,2,Yes
650054,Design,2,217.0,46,No
650055,Development,4,62.0,4,Yes
650056,Marketing,3,41.0,4,No
650057,Business,5,73.0,2,Yes
650058,IT & Software,4,39.0,3,Yes
650059,Business,5,31.0,6,Yes
650060,Development,5,111.0,1,Yes
650061,Development,4,112.0,5,Yes
650062,Business,5,85.0,7,Yes
650063,Design,4,113.0,3,Yes
650064,IT & Software,1,114.0,6,No
650065,IT & Software,5,38.0,7,Yes
650066,Development,5,154.0,10,Yes
650067,Design,4,54.0,3,Yes
650068,Business,5,58.0,1,Yes
650069,Marketing,3,59.0,6,No
650070,Development,5,94.0,6,Yes
650071,Development,4,98.0,4,Yes
650072,IT & Software,5,86.0,7,Yes
650073,Business,4,160.0,37,Yes
650074,IT & Software,3,84.0,3,No
650075,Business,4,18.0,4,Yes
650076,Business,5,120.0,0,Yes
650077,Marketing,2,227.0,21,No
650078,IT & Software,5,18.0,4,Yes
650079,Development,5,60.0,0,Yes
650080,IT & Software,4,56.0,0,Yes
650081,Business,5,133.0,23,Yes
650082,Development,2,186.0,47,No
650083,Business,3,101.0,0,No
650084,IT & Software,4,158.0,49,Yes
650085,Marketing,5,95.0,7,Yes
650086,Business,5,96.0,6,Yes
650087,Design,1,255.0,34,No
650088,Design,4,25.0,5,Yes
650089,Design,4,119.0,6,Yes
650090,Business,5,112.0,4,Yes
650091,Design,4,5.0,4,Yes
650092,IT & Software,1,216.0,49,No
650093,Business,5,23.0,5,Yes
650094,Development,2,213.0,38,No
650095,Design,3,90.0,5,No
650096,IT & Software,4,114.0,6,Yes
650097,Business,3,32.0,6,No
650098,Design,5,67.0,6,Yes
650099,Marketing,4,170.0,5,Yes
650100,Design,5,88.0,0,Yes
650101,Development,5,86.0,7,Yes
650102,Marketing,5,75.0,0,Yes
650103,IT & Software,5,5.0,5,Yes
650104,Development,5,143.0,43,Yes
650105,Development,2,136.0,48,No
650106,Design,4,118.0,3,Yes
650107,Development,5,89.0,1,Yes
650108,Business,3,5.0,6,No
650109,Marketing,4,68.0,3,Yes
650110,Marketing,4,122.0,30,Yes
650111,Business,5,57.0,6,Yes
650112,IT & Software,4,207.0,43,Yes
650113,Business,5,35.0,5,Yes
650114,Development,5,70.0,0,Yes
650115,Development,3,114.0,1,No
650116,Marketing,5,85.0,4,Yes
650117,Marketing,5,34.0,0,Yes
650118,Design,5,,4,Yes
650119,Development,4,52.0,5,Yes
650120,Marketing,5,100.0,1,Yes
650121,Development,5,,5,Yes
650122,Business,3,5.0,0,No
650123,Development,5,50.0,6,Yes
650124,Marketing,5,63.0,6,Yes
650125,IT & Software,5,92.0,3,Yes
650126,IT & Software,1,122.0,19,No
650127,Design,4,29.0,2,Yes
650128,Business,5,54.0,2,Yes
650129,Development,5,56.0,5,Yes
650130,Development,5,79.0,2,Yes
650131,Marketing,4,101.0,2,Yes
650132,IT & Software,4,64.0,7,Yes
650133,Business,5,48.0,0,Yes
650134,Design,4,88.0,2,Yes
650135,Business,4,49.0,5,Yes
650136,Design,3,27.0,0,No
650137,Marketing,5,81.0,6,Yes
650138,Marketing,4,91.0,0,Yes
650139,IT & Software,5,71.0,5,Yes
650140,Business,4,44.0,6,Yes
650141,IT & Software,2,193.0,13,No
650142,IT & Software,4,105.0,3,Yes
650143,Design,4,102.0,7,Yes
650144,Business,5,99.0,2,Yes
650145,Business,5,5.0,5,Yes
650146,Marketing,4,40.0,2,Yes
650147,Business,4,52.0,2,Yes
650148,Design,5,158.0,39,Yes
650149,Design,3,119.0,1,No
650150,IT & Software,1,200.0,16,No
650151,Business,1,106.0,6,No
650152,Design,4,112.0,1,Yes
650153,IT & Software,4,104.0,6,Yes
650154,Development,3,156.0,16,No
650155,IT & Software,5,15.0,1,Yes
650156,Business,4,118.0,6,Yes
650157,Design,5,118.0,7,Yes
650158,Design,5,110.0,1,Yes
650159,Marketing,5,116.0,5,Yes
650160,IT & Software,1,194.0,33,No
650161,Design,4,77.0,0,Yes
650162,IT & Software,2,182.0,20,No
650163,Business,4,44.0,2,Yes
650164,Business,4,90.0,3,Yes
650165,Design,4,143.0,33,Yes
650166,Development,4,61.0,1,Yes
650167,Design,5,123.0,47,Yes
650168,Business,4,74.0,5,Yes
650169,Marketing,4,64.0,1,Yes
650170,Business,5,64.0,5,Yes
650171,Marketing,4,107.0,4,Yes
650172,Design,4,68.0,1,Yes
650173,Business,5,,4,Yes
650174,Development,4,31.0,2,Yes
650175,Business,3,97.0,4,No
650176,Development,3,134.0,40,No
650177,Development,5,81.0,5,Yes
650178,Marketing,4,94.0,4,Yes
650179,Development,4,102.0,2,Yes
650180,Business,5,143.0,19,Yes
650181,Marketing,4,88.0,4,Yes
650182,Design,1,177.0,42,No
650183,Design,2,100.0,5,No
650184,Business,4,55.0,2,Yes
650185,Design,5,51.0,3,Yes
650186,Development,4,7.0,1,Yes
650187,Business,5,95.0,0,Yes
650188,Business,4,69.0,5,Yes
650189,IT & Software,4,90.0,1,Yes
650190,Design,5,75.0,3,Yes
650191,IT & Software,3,81.0,5,No
650192,Design,4,88.0,1,Yes
650193,IT & Software,3,88.0,6,No
650194,IT & Software,1,280.0,47,No
650195,Business,4,90.0,1,Yes
650196,Design,2,262.0,22,No
650197,Design,5,129.0,14,Yes
650198,Design,4,165.0,7,Yes
650199,Design,4,43.0,2,Yes
650200,Design,5,5.0,4,Yes
650201,Development,3,123.0,28,No
650202,IT & Software,5,66.0,1,Yes
650203,Marketing,4,151.0,18,Yes
650204,Business,2,187.0,21,No
650205,Business,3,155.0,19,No
650206,IT & Software,4,46.0,4,Yes
650207,Design,5,150.0,44,Yes
650208,Design,4,83.0,1,Yes
650209,Development,2,229.0,27,No
650210,Business,4,91.0,4,Yes
