ReservationID,RoomCapacity,BookingAdvanceDays,MemberType,UsageDurationHours,NoShowed
1450001,79.3,69.5,107.9,52.1,1
1450002,101.5,65.3,77.4,9.3,0
1450003,130.1,93.4,119.8,46.7,1
1450004,116.9,90.8,98.2,18.1,1
1450005,58.3,101.4,49.5,60.1,1
1450006,123.6,135.7,84.9,49.9,0
1450007,98.9,45.4,101.1,49.5,0
1450008,148.2,144.5,108.6,47.5,0
1450009,102.5,125.9,74.8,73.9,1
1450010,115.3,116.7,103.3,29.6,1
1450011,75.3,77.9,115.8,66.8,1
1450012,144.0,88.9,73.6,57.6,1
1450013,141.1,74.0,132.5,49.0,0
1450014,41.3,130.7,109.5,35.8,1
1450015,125.5,,94.8,60.7,1
1450016,96.1,66.1,92.9,31.1,0
1450017,104.8,128.2,74.1,35.1,0
1450018,82.5,88.2,95.2,29.0,0
1450019,82.0,96.4,96.4,27.6,1
1450020,93.6,69.6,84.2,34.1,1
1450021,83.8,91.3,114.8,38.1,0
1450022,78.5,108.8,91.2,42.1,1
1450023,97.7,162.5,97.4,41.3,1
1450024,79.1,114.5,91.7,51.7,0
1450025,86.1,88.1,83.2,54.1,1
1450026,70.1,67.4,96.4,56.8,1
1450027,93.2,74.2,122.7,31.4,0
1450028,33.2,86.1,108.1,46.6,0
1450029,136.7,112.4,81.1,18.6,1
1450030,80.0,91.1,108.0,49.0,0
1450031,116.7,71.0,101.3,45.6,0
1450032,118.1,83.4,108.1,65.3,1
1450033,111.3,126.9,106.4,48.8,1
1450034,108.4,103.7,82.2,65.2,1
1450035,121.2,76.0,83.2,62.9,1
1450036,100.8,87.1,123.7,34.2,0
1450037,63.4,136.9,99.8,46.0,1
1450038,84.6,79.2,89.3,25.0,1
1450039,78.6,96.1,86.5,39.3,0
1450040,125.8,94.8,83.8,55.3,0
1450041,121.9,110.0,107.0,10.9,1
1450042,101.5,70.4,121.6,51.5,1
1450043,141.2,101.9,31.8,53.9,1
1450044,94.0,134.7,124.6,33.2,0
1450045,128.1,146.0,97.9,50.1,0
1450046,72.4,66.7,150.8,41.3,1
1450047,123.2,93.2,66.0,21.1,0
1450048,119.2,119.4,96.5,36.7,1
1450049,97.5,95.9,115.6,56.5,0
1450050,163.0,115.2,77.5,35.8,0
1450051,43.8,124.1,88.6,55.6,0
1450052,108.9,92.2,93.4,49.1,0
