TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1920001,381.1,470.1,1,1,0
1920002,189.3,468.2,1,1,0
1920003,217.4,326.8,0,0,0
1920004,466.7,240.5,1,1,1
1920005,38.7,319.6,0,1,0
1920006,228.5,310.3,0,1,0
1920007,161.5,120.4,0,1,0
1920008,94.4,113.5,1,0,0
1920009,336.5,450.9,1,1,0
1920010,73.3,64.9,0,1,0
1920011,74.8,102.5,0,1,0
1920012,204.5,408.6,0,1,1
1920013,481.4,297.3,0,1,1
1920014,375.5,187.3,0,0,0
1920015,350.3,88.9,1,1,0
1920016,119.2,331.1,0,1,0
1920017,140.5,419.1,1,0,0
1920018,485.0,165.4,1,0,0
1920019,380.8,374.0,1,1,0
1920020,162.5,25.6,1,1,0
1920021,264.9,351.9,0,1,0
1920022,82.8,261.9,0,0,0
1920023,111.6,410.6,0,0,0
1920024,361.2,269.7,1,1,0
1920025,303.6,254.2,1,1,0
1920026,193.0,180.4,0,0,0
1920027,295.0,403.9,1,1,1
1920028,499.0,488.8,0,0,0
1920029,391.8,437.1,1,0,0
1920030,409.1,181.5,1,0,0
1920031,230.2,365.4,0,1,0
1920032,133.1,455.6,0,0,0
1920033,268.3,193.1,0,0,0
1920034,202.7,46.4,1,1,0
1920035,381.5,311.0,1,0,0
1920036,260.2,25.1,0,0,0
1920037,434.8,483.0,0,0,0
1920038,222.6,273.1,1,0,0
1920039,373.6,285.1,1,1,0
1920040,397.9,119.4,1,1,1
1920041,157.0,157.1,0,1,0
1920042,369.5,470.4,0,1,0
1920043,117.0,88.8,1,0,0
1920044,371.0,218.0,1,1,0
1920045,317.9,32.1,0,0,0
1920046,222.7,360.9,0,0,0
1920047,246.3,243.6,0,0,0
1920048,429.2,306.5,1,0,0
1920049,167.8,68.2,1,1,0
1920050,158.9,371.0,1,1,0
1920051,252.5,493.2,1,0,0
1920052,207.4,438.7,1,0,1
1920053,486.4,353.9,0,1,1
1920054,288.5,,1,0,1
1920055,413.6,202.9,1,1,0
1920056,15.6,466.7,0,0,0
1920057,74.7,301.8,1,1,0
1920058,44.5,60.0,1,1,0
1920059,254.2,235.0,0,0,0
1920060,424.7,201.0,1,1,1
1920061,261.7,428.1,1,0,0
1920062,372.0,101.7,1,1,0
1920063,287.5,376.3,1,1,1
1920064,159.6,111.0,1,1,0
1920065,454.2,387.3,0,1,0
1920066,91.8,55.7,1,1,0
1920067,308.0,16.8,0,0,0
1920068,194.8,439.6,1,1,1
1920069,274.2,464.8,1,1,0
1920070,467.8,451.6,0,1,0
1920071,195.2,146.8,0,1,0
1920072,334.1,84.0,0,1,0
1920073,122.8,414.6,0,1,0
1920074,21.1,240.0,0,0,0
1920075,293.6,227.6,1,1,0
1920076,279.1,375.0,0,0,0
1920077,297.5,409.6,1,1,0
1920078,435.8,169.7,1,0,0
1920079,313.6,411.9,1,1,0
1920080,282.0,499.3,0,0,0
1920081,388.2,144.9,0,1,0
1920082,95.2,439.2,0,0,1
1920083,289.2,341.9,1,1,0
1920084,155.3,473.2,1,0,0
1920085,155.1,,0,0,0
1920086,496.8,15.1,0,0,0
1920087,158.9,75.4,1,0,0
1920088,205.6,305.8,0,1,1
1920089,248.0,189.1,1,1,0
1920090,418.8,54.4,1,1,0
1920091,424.4,285.4,0,1,0
1920092,219.7,362.6,0,0,0
1920093,287.7,27.1,0,1,0
1920094,31.1,230.6,1,1,0
1920095,37.0,390.3,0,1,0
1920096,309.5,436.7,1,0,0
1920097,370.7,13.2,0,1,1
1920098,63.4,222.7,1,0,0
1920099,450.5,88.7,1,1,0
1920100,46.8,290.9,1,0,1
1920101,405.3,198.4,0,0,0
1920102,477.0,376.0,1,0,0
1920103,446.8,15.8,1,0,0
1920104,493.8,347.0,1,0,1
1920105,290.7,490.9,0,1,0
1920106,157.1,376.0,1,0,0
1920107,245.5,39.6,1,1,0
1920108,414.9,436.8,0,0,0
1920109,497.6,181.6,0,1,0
1920110,489.8,68.2,0,0,0
1920111,130.6,255.4,0,1,0
1920112,67.4,291.4,1,0,0
1920113,267.7,33.2,0,0,0
1920114,27.9,386.6,1,1,0
1920115,139.4,80.4,0,1,0
1920116,107.2,428.7,1,0,0
1920117,434.7,291.4,1,0,1
1920118,443.2,61.4,0,0,0
1920119,40.6,472.2,1,1,0
1920120,214.1,472.9,0,1,0
1920121,176.5,432.5,1,0,1
1920122,384.1,102.6,0,0,1
1920123,352.8,163.3,0,0,0
1920124,484.9,370.3,0,0,0
1920125,306.2,89.7,0,0,1
1920126,204.4,392.2,0,1,0
1920127,102.0,58.2,1,0,0
1920128,398.2,197.5,0,0,1
1920129,444.0,349.3,0,0,0
1920130,46.0,40.5,0,1,0
1920131,465.0,375.1,0,1,0
1920132,485.2,483.5,0,1,1
1920133,376.1,228.6,0,0,0
1920134,276.2,206.6,0,0,0
1920135,236.1,36.3,1,1,0
1920136,183.2,448.4,1,0,0
1920137,40.1,386.7,1,1,0
1920138,255.5,98.8,1,1,0
1920139,433.5,285.7,1,1,1
1920140,433.3,67.1,1,0,0
1920141,378.0,,0,0,0
1920142,373.9,67.7,1,0,0
1920143,403.7,432.0,0,0,0
1920144,451.8,388.1,1,0,0
1920145,222.6,232.2,1,0,0
1920146,313.4,165.8,0,0,0
1920147,343.1,10.5,1,1,1
1920148,83.4,440.4,0,0,0
1920149,82.1,363.2,1,0,0
1920150,488.8,446.0,0,1,0
1920151,170.3,55.6,1,0,0
1920152,324.5,,0,1,0
1920153,123.9,253.0,0,1,0
1920154,484.5,403.6,1,1,0
1920155,392.7,41.5,1,1,0
1920156,256.5,396.4,0,1,0
1920157,121.9,265.5,1,1,1
1920158,487.7,87.4,0,0,0
1920159,354.3,284.5,0,1,1
1920160,410.2,71.8,1,0,0
1920161,315.8,401.3,1,0,0
1920162,439.0,326.2,1,0,0
1920163,311.0,63.8,1,0,0
1920164,88.6,340.7,0,0,1
1920165,198.8,462.7,0,1,0
1920166,461.5,305.6,1,1,0
1920167,151.3,392.8,0,1,0
1920168,98.6,281.8,0,1,0
1920169,480.7,478.3,1,0,1
1920170,337.4,263.9,1,1,0
1920171,254.9,301.9,1,0,0
1920172,330.5,305.2,0,0,0
1920173,195.5,302.8,0,0,0
1920174,257.5,411.0,0,0,0
1920175,109.2,255.3,1,0,0
1920176,71.7,79.9,0,1,0
1920177,127.6,392.4,0,1,1
1920178,294.2,210.9,0,1,0
1920179,96.6,135.1,0,0,0
1920180,22.0,166.9,1,0,1
1920181,155.3,258.1,0,0,0
1920182,173.0,47.9,0,1,1
1920183,428.4,106.7,1,0,0
1920184,338.7,354.8,0,0,0
1920185,124.6,403.3,1,0,0
1920186,118.1,438.9,1,0,0
1920187,490.9,398.1,1,1,0
1920188,90.0,195.4,0,1,0
1920189,259.8,471.1,0,1,0
1920190,206.7,290.9,1,0,0
1920191,471.0,359.4,0,0,0
1920192,109.4,445.6,0,1,0
1920193,342.7,490.2,1,0,0
1920194,292.4,186.5,1,1,0
1920195,442.3,245.5,0,1,0
1920196,119.5,143.9,1,1,0
1920197,427.8,427.6,0,0,0
1920198,332.9,341.3,0,1,0
1920199,498.8,38.4,0,0,0
1920200,330.1,98.6,0,0,0
1920201,250.5,270.8,0,1,0
1920202,176.5,55.8,0,1,0
1920203,320.3,165.1,1,0,0
1920204,176.4,97.8,0,1,0
1920205,430.4,160.2,1,0,0
1920206,255.8,224.1,1,1,0
1920207,146.7,272.8,0,0,0
