ID,LimitBal,Sex,Education,Age,Default
1,100000,Male,University,50,1
2,50000,Female,Graduate School,31,1
3,300000,Male,University,32,0
4,300000,Male,University,42,0
5,200000,Male,University,50,0
6,100000,Female,Graduate School,51,0
7,100000,Male,High School,47,1
8,50000,Male,University,21,1
9,200000,Male,University,30,0
10,300000,Male,University,44,0
11,200000,Male,University,26,0
12,100000,Female,Graduate School,22,0
13,100000,Female,High School,33,1
14,300000,Male,Graduate School,43,0
15,300000,Female,Others,41,0
16,50000,Male,University,34,0
17,500000,Female,High School,64,0
18,10000,Female,Graduate School,38,1
19,50000,Female,Graduate School,25,1
20,100000,Female,University,42,1
21,200000,Male,Others,32,0
22,200000,Male,University,34,1
23,300000,Female,University,35,0
24,200000,Male,University,60,0
25,100000,Male,Graduate School,37,0
26,100000,Female,Graduate School,34,0
27,300000,Female,University,34,0
28,50000,Male,Graduate School,61,0
29,100000,Male,University,35,0
30,10000,Female,University,50,1
31,50000,Female,University,37,1
32,300000,Female,Graduate School,50,0
33,300000,Male,Graduate School,60,0
34,200000,Male,Graduate School,33,0
35,500000,Male,High School,36,0
36,300000,Female,University,21,0
37,300000,Female,University,32,0
38,300000,Male,University,32,0
39,200000,Male,University,47,1
40,100000,Male,University,39,0
41,100000,Male,University,22,1
42,100000,Male,Graduate School,44,1
43,100000,Female,University,40,0
44,100000,Female,University,36,1
45,50000,Female,University,56,0
46,300000,Male,University,49,0
47,100000,Male,Graduate School,34,1
48,300000,Female,Graduate School,60,0
49,100000,Male,University,25,1
50,10000,Male,University,42,1
51,200000,Female,High School,61,0
52,200000,Female,University,60,1
53,100000,Male,Graduate School,31,1
54,10000,Male,Graduate School,40,1
55,10000,Female,High School,48,1
56,50000,Male,Graduate School,51,0
57,200000,Female,Graduate School,36,1
58,300000,Male,University,32,0
59,10000,Male,University,24,1
60,200000,Female,University,34,0
61,50000,Male,University,57,0
62,300000,Female,University,48,0
63,200000,Male,University,35,1
64,500000,Female,Graduate School,52,0
65,50000,Male,University,44,1
66,100000,Female,High School,53,0
67,100000,Female,Graduate School,22,1
68,200000,Female,University,64,0
69,200000,Male,Graduate School,21,1
70,200000,Male,University,32,0
71,500000,Male,University,23,0
72,200000,Male,University,60,0
73,200000,Female,Graduate School,54,0
74,200000,Female,University,38,0
75,10000,Female,High School,58,1
76,300000,Female,University,23,0
77,200000,Male,Graduate School,25,1
78,300000,Male,Graduate School,64,0
79,100000,Female,University,58,0
80,10000,Male,University,57,1
81,300000,Male,Graduate School,40,0
82,100000,Female,Graduate School,30,1
83,300000,Male,Graduate School,22,0
84,50000,Male,University,61,0
85,50000,Male,University,40,1
86,200000,Male,Others,23,0
87,10000,Female,Graduate School,50,1
88,200000,Female,University,41,0
89,50000,Male,University,34,0
90,100000,Female,High School,49,1
91,100000,Male,High School,64,0
92,300000,Male,University,40,0
