CardID,Limit_K,UtilizationRate_Percent,MonthlySpend_K,DelinquencyCount,LossGivenDefault
1070001,112.3,37.5,87.7,97.7,139.9
1070002,83.7,61.2,145.5,105.6,62.4
1070003,63.1,31.4,133.0,120.4,83.7
1070004,108.5,31.1,130.3,110.2,94.8
1070005,76.4,62.5,64.1,82.0,65.6
1070006,89.2,37.0,124.8,93.8,65.8
1070007,91.4,47.7,97.2,92.4,134.0
1070008,97.1,30.5,142.4,78.4,107.5
1070009,114.4,1.5,182.5,127.0,92.9
1070010,63.6,65.6,162.4,104.1,104.0
1070011,78.2,9.7,86.0,146.0,125.0
1070012,115.9,78.9,107.3,71.0,82.4
1070013,63.2,49.3,105.2,100.6,93.8
1070014,99.5,70.4,46.8,93.5,87.7
1070015,114.3,56.2,60.1,93.7,119.2
1070016,113.0,50.6,117.8,100.3,90.8
1070017,102.6,77.7,141.2,98.4,125.3
1070018,78.4,53.6,10.0,122.7,117.9
1070019,98.0,48.0,95.7,61.6,115.9
1070020,79.2,31.0,130.6,37.5,90.7
1070021,94.1,39.8,92.3,86.8,131.7
1070022,39.8,59.4,63.2,110.3,68.8
1070023,57.8,29.9,143.4,40.2,114.1
1070024,95.5,44.7,136.2,116.0,114.1
1070025,120.3,60.3,152.5,72.3,131.0
1070026,96.6,23.6,193.0,91.1,128.0
1070027,123.7,27.3,100.7,121.1,86.6
1070028,101.5,35.3,188.7,84.1,150.6
1070029,159.5,42.1,105.3,96.9,102.2
1070030,117.8,24.2,148.0,112.3,103.2
1070031,130.2,42.3,101.0,112.5,109.0
1070032,72.2,82.3,167.4,91.3,125.9
1070033,146.3,35.6,98.0,109.0,61.2
1070034,110.5,79.8,137.3,90.5,84.3
1070035,112.4,19.1,109.2,112.6,123.2
1070036,92.9,67.5,139.3,81.0,63.3
1070037,113.4,51.0,121.6,81.3,172.0
1070038,95.7,81.7,124.9,102.7,116.7
1070039,138.4,34.3,114.3,98.8,86.4
1070040,126.1,40.2,137.6,90.9,108.8
1070041,106.3,49.0,112.7,56.0,91.3
1070042,88.2,20.3,151.2,78.2,94.5
1070043,79.5,44.9,129.6,98.9,141.0
1070044,92.5,30.7,149.2,128.2,102.3
1070045,134.6,35.5,135.9,117.2,56.3
1070046,92.5,7.6,121.0,118.1,89.3
1070047,59.6,29.8,170.9,98.5,120.8
1070048,105.7,61.3,98.8,101.3,99.1
1070049,67.3,29.4,120.7,103.9,72.6
1070050,61.0,47.9,137.8,113.1,105.6
1070051,89.3,41.8,127.6,104.3,64.5
1070052,74.6,35.5,80.9,121.9,127.8
1070053,98.8,48.7,152.0,109.6,83.6
1070054,82.5,64.3,92.3,96.9,91.0
1070055,71.7,39.2,71.7,97.4,139.2
1070056,110.3,33.6,86.3,95.5,73.6
1070057,84.7,50.7,77.7,132.8,69.5
1070058,95.6,48.7,98.3,148.5,103.6
1070059,135.6,28.6,145.8,69.2,97.6
1070060,102.1,49.8,114.9,59.0,129.6
1070061,122.2,43.9,,119.5,92.0
1070062,84.9,41.1,86.3,73.5,104.9
1070063,111.1,56.8,148.0,106.4,95.2
1070064,106.2,39.2,173.8,80.2,47.9
1070065,132.9,40.6,63.3,71.4,106.7
1070066,80.5,42.0,59.7,37.5,82.6
1070067,112.0,27.5,94.7,94.3,63.9
1070068,45.3,56.2,97.8,137.7,151.5
1070069,77.3,28.0,128.4,99.6,124.7
1070070,73.9,41.1,92.8,93.3,138.2
1070071,109.0,32.0,107.0,122.9,136.6
1070072,75.0,33.6,120.6,101.5,63.7
1070073,112.4,31.6,81.5,130.8,70.3
1070074,134.8,57.7,109.6,72.9,83.1
1070075,69.2,44.7,76.4,117.6,89.5
