ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1040001,82.5,452.8,124.8,129.2,274.9
1040002,121.9,377.8,422.2,378.5,233.8
1040003,405.7,278.1,327.7,319.0,458.9
1040004,156.3,153.5,267.7,96.4,455.1
1040005,101.0,250.5,96.8,317.8,329.4
1040006,388.3,237.8,417.3,224.6,91.0
1040007,208.7,468.7,20.5,268.5,12.0
1040008,498.0,92.1,134.1,167.5,292.6
1040009,248.1,122.2,313.5,305.8,31.9
1040010,329.2,106.6,121.5,31.3,273.1
1040011,304.3,423.8,159.5,322.4,440.4
1040012,21.5,420.3,232.8,430.6,256.6
1040013,170.9,169.4,352.3,226.7,322.6
1040014,411.9,464.7,109.1,367.2,294.0
1040015,226.2,282.2,189.5,322.4,494.9
1040016,126.0,226.5,41.9,136.4,273.9
1040017,214.8,447.7,239.9,253.4,218.9
1040018,466.1,68.3,461.5,381.7,284.4
1040019,91.9,200.4,338.6,407.9,407.7
1040020,382.2,175.0,307.5,277.7,159.1
1040021,70.4,205.6,321.4,228.5,363.3
1040022,337.7,201.5,59.1,110.7,453.8
1040023,353.7,402.8,239.2,349.2,307.3
1040024,332.4,450.3,23.4,445.9,283.8
1040025,387.8,307.7,339.2,252.3,233.5
1040026,468.2,459.3,405.9,39.5,20.8
1040027,220.4,357.9,16.3,484.0,96.8
1040028,139.9,248.8,126.5,84.7,230.7
1040029,114.3,71.8,214.5,299.7,121.4
1040030,114.9,94.5,42.6,127.3,63.2
1040031,266.3,235.3,438.2,28.9,379.3
1040032,61.4,309.7,105.5,401.4,29.5
1040033,21.5,450.9,97.9,390.9,81.8
1040034,65.2,198.3,340.8,210.7,341.9
1040035,111.6,153.8,25.3,437.7,292.4
1040036,38.9,428.3,467.3,403.2,126.6
1040037,324.2,400.8,194.0,437.0,153.7
1040038,307.6,23.0,189.1,373.7,75.3
1040039,466.3,260.2,386.5,220.4,399.1
1040040,145.7,102.7,88.7,103.0,162.5
1040041,311.4,464.7,183.6,415.9,34.0
1040042,330.7,473.2,309.9,95.6,423.2
1040043,166.3,396.9,,179.9,42.3
1040044,46.5,407.3,192.4,270.9,314.6
1040045,355.4,84.0,45.6,42.7,115.1
1040046,429.1,460.4,45.7,352.0,23.4
1040047,159.2,55.4,395.9,303.8,444.1
1040048,122.1,443.8,445.9,363.5,389.7
1040049,153.0,331.2,119.7,141.4,371.3
1040050,391.9,113.6,356.4,316.0,429.3
1040051,218.3,73.9,110.8,217.3,317.7
1040052,43.3,97.9,30.3,322.9,373.9
1040053,68.8,226.7,456.0,64.3,283.8
1040054,190.0,200.6,13.7,88.1,104.8
1040055,173.8,416.3,143.2,190.0,381.7
1040056,47.8,227.0,383.3,370.7,292.2
1040057,359.6,260.3,184.1,31.1,409.9
1040058,75.7,262.8,350.1,30.9,493.3
1040059,270.4,451.0,130.8,212.5,227.8
1040060,192.4,444.9,467.5,179.5,437.2
