UserID,CalorieDeficit,CarbsRatio_Percent,ProteinIntake_g,WeightChange_Kg,MetabolicRate
1280001,90.0,51.1,136.5,64.9,44.4
1280002,115.5,42.9,97.3,94.3,56.3
1280003,117.5,59.8,99.9,81.6,31.6
1280004,68.7,43.6,124.0,99.0,37.5
1280005,111.5,53.6,75.7,120.9,36.3
1280006,132.9,56.2,108.7,69.2,51.4
1280007,80.2,52.2,157.3,91.1,42.8
1280008,91.4,20.3,66.8,126.2,38.2
1280009,83.2,40.7,126.0,70.5,51.3
1280010,91.8,53.6,133.4,48.4,55.0
1280011,63.6,48.8,67.1,132.1,47.2
1280012,115.0,33.7,117.0,74.6,41.3
1280013,104.1,30.4,86.4,129.6,54.3
1280014,52.4,55.2,154.9,96.9,64.3
1280015,108.5,46.7,98.9,133.7,47.7
1280016,104.3,15.3,89.4,111.1,67.4
1280017,107.6,54.1,105.2,125.4,45.9
1280018,85.3,45.3,130.5,104.5,61.6
1280019,100.9,43.4,66.2,150.4,31.7
1280020,107.3,53.8,123.3,131.8,70.0
1280021,137.9,57.2,92.6,88.4,42.3
1280022,114.4,37.3,132.0,125.9,51.0
1280023,95.6,41.2,68.6,110.2,40.2
1280024,103.8,29.7,118.3,93.5,40.7
1280025,103.8,33.4,78.7,76.7,67.9
1280026,121.4,58.1,80.7,113.5,57.6
1280027,77.1,38.3,111.9,102.4,46.1
1280028,126.7,31.5,77.1,121.1,64.7
1280029,109.4,38.2,156.3,129.1,51.7
1280030,78.0,73.2,66.3,102.8,33.8
1280031,106.8,10.8,107.6,97.4,17.7
1280032,98.9,58.2,103.4,90.6,46.6
1280033,62.7,25.3,141.2,112.2,59.1
1280034,85.3,33.2,78.9,95.5,55.4
1280035,113.1,41.3,123.7,95.4,35.0
1280036,89.2,27.2,98.0,117.6,52.2
1280037,75.2,42.9,64.6,100.4,48.5
1280038,115.9,48.5,156.5,110.2,38.4
1280039,120.5,48.8,117.0,62.5,19.9
1280040,112.6,52.4,70.8,100.3,48.2
1280041,121.3,20.5,98.7,114.7,49.6
1280042,120.9,67.4,93.6,92.1,38.2
1280043,81.8,37.1,122.9,133.5,49.1
1280044,80.7,23.4,119.4,104.8,56.5
1280045,68.1,43.7,132.1,109.8,51.2
1280046,112.1,49.1,68.3,130.8,34.6
1280047,92.3,42.1,136.6,66.2,49.6
1280048,64.9,55.0,65.0,88.1,38.7
1280049,138.6,56.6,87.6,120.4,10.0
1280050,110.3,36.9,,38.3,30.8
1280051,149.3,22.3,132.4,136.8,49.6
1280052,104.7,48.3,107.9,48.2,48.3
1280053,102.8,49.0,111.6,134.4,51.3
1280054,98.4,37.4,49.7,83.3,48.5
1280055,87.7,47.0,59.6,101.6,40.8
1280056,113.3,40.4,109.5,107.9,44.4
1280057,104.2,32.7,124.9,138.0,78.0
1280058,137.0,26.9,69.3,122.8,24.6
1280059,104.8,62.6,136.7,124.4,39.9
1280060,84.5,63.8,94.8,75.7,41.0
1280061,94.6,70.9,81.2,140.3,54.1
1280062,66.5,63.2,109.5,70.3,83.0
1280063,88.4,37.9,87.0,106.8,51.9
1280064,111.5,46.2,84.9,54.1,22.8
1280065,109.1,58.1,111.3,98.7,59.8
1280066,115.7,22.6,97.4,105.3,52.1
1280067,102.1,55.1,114.3,103.1,39.3
1280068,125.1,68.9,111.7,115.3,45.8
1280069,119.5,63.4,87.5,89.0,45.8
1280070,118.6,39.1,78.3,85.9,44.9
1280071,180.3,65.4,101.4,87.4,33.6
1280072,123.3,29.4,133.0,103.1,33.6
1280073,61.4,48.0,117.8,99.7,42.7
1280074,122.6,47.9,113.8,91.3,58.4
1280075,99.9,54.7,69.8,85.6,46.1
1280076,172.1,58.9,133.6,59.3,61.2
1280077,85.0,39.8,80.9,122.6,17.8
1280078,105.3,55.9,91.1,115.5,54.0
1280079,96.9,71.3,83.7,108.6,32.1
1280080,96.6,41.2,140.7,109.0,52.4
1280081,91.2,59.0,76.6,77.5,59.6
1280082,67.0,77.6,91.1,111.9,15.8
1280083,103.9,47.7,90.6,115.3,40.5
1280084,96.9,48.6,75.8,78.8,44.3
1280085,129.6,32.2,115.2,79.9,64.7
1280086,99.5,64.3,109.9,108.4,57.0
1280087,106.8,50.2,54.6,98.1,44.5
1280088,124.8,44.9,130.8,106.1,59.9
1280089,124.3,49.7,112.8,80.6,61.3
1280090,79.5,39.1,106.4,129.6,38.3
1280091,84.7,33.3,67.3,87.6,53.1
1280092,117.7,26.5,78.1,112.3,49.5
1280093,70.7,70.1,129.6,72.1,55.0
1280094,53.9,42.5,121.6,112.9,31.2
1280095,65.2,36.3,90.4,85.7,47.8
1280096,136.5,28.3,60.1,88.0,60.3
1280097,89.9,47.9,110.1,119.8,31.7
1280098,97.0,47.3,93.2,75.8,19.6
1280099,60.5,29.9,124.4,116.1,70.4
1280100,128.7,30.9,95.2,87.8,35.0
1280101,145.5,18.4,118.5,93.0,42.0
1280102,52.8,69.0,76.8,111.5,58.4
1280103,124.1,30.9,95.9,109.1,53.6
1280104,70.2,32.9,97.5,100.0,23.3
1280105,110.4,51.7,93.4,81.3,46.6
1280106,108.9,47.0,100.4,135.4,61.4
1280107,112.3,56.1,92.5,100.6,47.6
1280108,73.7,43.0,59.9,78.1,50.5
1280109,131.4,50.9,130.4,69.0,71.8
1280110,135.2,39.9,49.2,114.2,29.0
1280111,89.0,61.9,106.1,86.4,33.5
1280112,76.5,44.2,51.6,65.0,53.2
1280113,112.4,22.0,102.0,112.3,39.3
1280114,123.3,52.7,63.3,99.6,53.5
1280115,91.9,39.7,72.2,57.8,51.1
1280116,76.9,54.0,66.7,136.6,24.7
1280117,97.3,28.5,133.8,63.8,25.9
1280118,108.0,39.7,95.7,115.4,38.8
1280119,100.7,53.0,78.7,106.7,34.9
1280120,94.9,44.9,110.8,71.4,29.7
1280121,108.6,23.0,148.9,86.1,28.7
1280122,81.1,42.9,142.1,99.3,44.9
1280123,121.3,75.9,58.8,113.7,42.7
1280124,98.3,46.4,68.5,62.8,42.8
1280125,130.1,35.9,135.9,68.7,62.5
1280126,147.7,38.1,101.8,106.3,61.8
1280127,60.7,50.1,107.5,85.3,40.0
1280128,75.6,68.9,97.1,116.2,71.8
1280129,98.9,32.1,68.1,114.8,50.0
1280130,117.1,26.7,91.0,113.6,44.7
1280131,70.8,32.6,117.9,122.2,46.2
1280132,90.4,24.9,109.1,74.6,29.5
1280133,136.3,38.6,146.6,76.4,39.9
1280134,89.4,47.5,122.2,105.2,87.7
1280135,79.2,46.7,135.5,143.4,51.8
1280136,103.1,36.7,106.4,102.7,18.9
1280137,114.7,14.4,103.3,99.5,17.7
1280138,102.9,41.9,93.5,36.8,65.8
1280139,115.7,58.0,98.8,89.9,53.6
1280140,86.7,25.9,57.6,128.8,15.7
1280141,122.3,33.9,90.5,112.0,46.1
1280142,112.8,58.2,117.6,60.7,38.9
1280143,95.7,77.1,68.3,123.8,47.0
1280144,110.6,48.7,97.2,164.9,31.6
1280145,117.6,33.9,103.5,107.8,37.5
1280146,88.6,56.4,103.8,114.7,44.6
1280147,92.5,44.7,101.6,90.9,27.5
1280148,126.7,47.8,81.0,81.9,23.4
1280149,96.1,41.5,45.4,106.6,12.0
1280150,51.4,55.1,108.8,110.5,71.2
1280151,97.8,34.9,113.4,131.3,48.3
1280152,104.1,37.9,98.0,77.1,40.6
1280153,85.3,40.0,92.6,68.8,32.4
1280154,152.6,27.7,135.1,104.7,49.8
1280155,121.6,36.3,107.1,116.8,18.8
1280156,131.6,46.2,95.9,128.4,36.3
1280157,91.6,36.8,120.2,13.2,52.9
1280158,124.8,56.7,96.3,111.2,44.6
1280159,101.1,25.8,80.7,72.8,43.7
1280160,118.2,32.1,104.9,89.5,56.7
1280161,63.0,41.4,99.3,113.3,49.0
1280162,128.0,58.8,114.8,105.1,43.0
1280163,101.1,31.7,113.7,114.1,17.1
1280164,97.8,27.1,87.3,133.0,22.1
1280165,84.2,54.5,69.6,138.2,36.8
1280166,79.0,48.1,88.0,92.8,49.9
1280167,106.9,27.5,155.7,104.4,65.9
1280168,112.0,90.1,106.9,122.3,32.1
1280169,91.9,38.7,57.8,77.0,56.3
