StudentID,HighlightCount,MemoCount,PageDwellTimeAvg_Secs,ExamScore,HighEngagement
1760001,70.2,99.4,75.0,6.3,1
1760002,85.2,90.2,16.0,8.6,0
1760003,127.9,93.0,44.0,7.7,0
1760004,84.0,86.1,59.0,3.7,1
1760005,142.3,115.9,14.0,5.9,1
1760006,65.3,121.6,44.0,4.3,1
1760007,70.9,109.9,21.0,7.9,0
1760008,86.8,67.7,46.0,10.0,1
1760009,67.2,86.1,24.0,7.2,0
1760010,75.0,82.8,36.0,9.2,1
1760011,76.2,85.8,33.0,5.7,1
1760012,88.0,111.0,56.0,5.7,0
1760013,79.7,109.8,47.0,6.8,1
1760014,60.7,142.8,38.0,7.7,1
1760015,103.6,87.2,40.0,5.8,1
1760016,69.6,133.0,44.0,7.7,1
1760017,125.3,128.0,22.0,6.9,0
1760018,87.1,91.9,31.0,8.4,0
1760019,102.0,112.4,51.0,10.0,0
1760020,95.2,118.3,54.0,6.6,1
1760021,102.0,135.8,22.0,9.6,0
1760022,107.7,119.9,51.0,10.0,1
1760023,144.0,152.6,40.0,3.5,0
1760024,121.7,122.5,29.0,5.9,0
1760025,62.8,117.8,46.0,9.1,0
1760026,66.9,101.5,43.0,7.4,0
1760027,127.2,97.8,37.0,6.3,0
1760028,96.1,142.9,55.0,6.8,0
1760029,137.5,105.4,34.0,6.6,1
1760030,124.3,122.5,44.0,5.8,1
1760031,126.0,108.1,30.0,7.1,0
1760032,71.0,108.3,51.0,6.7,1
1760033,98.9,108.4,59.0,7.2,1
1760034,74.6,107.9,42.0,7.2,1
1760035,153.6,89.8,33.0,6.7,0
1760036,152.5,50.1,53.0,5.9,0
1760037,155.7,109.2,51.0,6.9,0
1760038,83.4,85.7,,8.5,0
1760039,93.1,85.4,20.0,6.9,0
1760040,145.2,93.7,25.0,7.4,0
1760041,77.0,114.0,37.0,7.4,1
1760042,93.5,64.6,54.0,8.6,0
1760043,129.8,103.2,42.0,7.6,1
1760044,64.5,71.9,40.0,9.0,0
1760045,112.0,118.5,24.0,7.0,0
1760046,115.4,96.6,45.0,8.3,0
1760047,94.5,107.5,27.0,6.9,1
1760048,82.2,87.5,62.0,6.2,0
1760049,102.4,86.4,64.0,7.0,1
1760050,108.9,96.4,48.0,8.1,0
1760051,96.2,107.7,15.0,7.4,0
1760052,109.8,97.0,46.0,7.3,1
1760053,120.0,111.1,32.0,7.8,0
1760054,99.0,123.7,58.0,5.8,1
1760055,77.7,97.3,37.0,6.6,0
1760056,75.4,87.2,46.0,9.0,0
1760057,72.1,128.0,55.0,8.0,1
1760058,147.4,134.2,59.0,8.5,1
1760059,66.1,73.6,18.0,9.2,1
1760060,96.6,113.1,55.0,4.9,1
1760061,104.6,76.7,49.0,5.9,1
1760062,142.3,118.6,,7.0,1
1760063,114.0,139.2,43.0,7.9,1
1760064,95.1,93.0,33.0,7.0,1
1760065,143.8,138.0,34.0,7.3,0
1760066,91.4,108.4,50.0,5.9,1
1760067,114.2,90.4,46.0,8.7,1
1760068,85.8,105.7,54.0,7.0,0
1760069,75.4,57.0,43.0,6.4,0
1760070,166.1,45.0,33.0,9.2,1
1760071,148.1,105.2,49.0,8.2,1
1760072,99.1,81.1,36.0,7.1,1
1760073,107.6,94.7,53.0,8.3,1
1760074,94.5,82.2,19.0,6.2,0
1760075,51.9,92.1,47.0,7.4,0
1760076,102.6,75.4,36.0,6.5,0
1760077,79.9,96.7,23.0,7.3,0
1760078,98.0,115.1,15.0,7.6,0
1760079,86.3,117.0,34.0,6.2,0
1760080,148.1,100.8,26.0,9.0,1
1760081,126.0,94.9,40.0,6.0,0
1760082,76.1,86.3,70.0,8.3,0
1760083,85.0,69.7,55.0,8.9,0
1760084,105.9,53.1,57.0,8.1,0
1760085,126.6,132.7,54.0,6.3,0
1760086,97.7,83.8,63.0,7.4,0
1760087,84.2,121.8,38.0,9.3,1
1760088,144.0,70.5,31.0,8.4,1
1760089,94.9,98.1,47.0,4.8,0
1760090,108.1,74.4,29.0,9.6,0
1760091,120.7,111.2,57.0,8.5,0
1760092,80.7,67.4,45.0,7.2,0
1760093,106.0,115.8,32.0,6.0,0
1760094,124.9,99.4,55.0,7.3,0
1760095,63.2,82.9,42.0,9.7,0
1760096,119.3,106.9,29.0,8.5,0
1760097,149.9,113.4,37.0,6.2,1
1760098,77.0,161.3,40.0,9.6,0
1760099,22.3,117.1,25.0,9.4,1
1760100,69.4,91.7,66.0,5.4,0
1760101,99.1,102.5,29.0,8.9,1
1760102,71.0,75.9,34.0,5.4,0
1760103,100.6,65.7,41.0,5.9,0
1760104,138.6,109.3,39.0,7.0,0
1760105,108.0,69.4,47.0,8.8,0
1760106,116.0,68.2,37.0,4.8,0
1760107,103.6,104.4,33.0,5.6,0
1760108,120.9,80.2,1.0,6.6,0
1760109,128.7,109.7,41.0,6.7,1
1760110,109.9,132.3,48.0,8.4,0
1760111,83.2,75.5,44.0,7.9,0
1760112,90.9,88.9,28.0,5.7,1
1760113,100.0,95.4,54.0,6.1,0
1760114,121.4,93.1,43.0,3.2,1
1760115,135.3,101.6,16.0,8.4,0
1760116,134.2,88.6,37.0,8.0,1
1760117,102.8,110.8,27.0,7.5,1
1760118,66.7,113.3,39.0,8.9,1
1760119,111.7,42.9,31.0,7.4,0
1760120,91.8,69.8,48.0,9.9,0
1760121,179.3,106.3,44.0,9.7,1
1760122,118.9,68.4,37.0,6.5,0
1760123,93.3,67.0,34.0,8.7,0
1760124,121.6,121.0,39.0,6.8,0
1760125,126.6,66.9,25.0,5.5,0
1760126,110.7,85.9,44.0,8.8,1
1760127,73.6,123.4,31.0,7.2,1
1760128,91.5,109.0,60.0,7.9,1
1760129,129.9,86.3,52.0,7.8,0
1760130,78.4,123.7,41.0,8.2,1
1760131,84.6,54.0,61.0,10.0,1
1760132,57.3,27.8,23.0,5.2,0
1760133,107.8,97.6,9.0,7.9,0
1760134,102.3,36.8,67.0,7.0,1
1760135,138.8,119.0,39.0,7.7,0
1760136,93.1,116.1,27.0,6.7,1
1760137,97.0,109.3,61.0,9.1,0
1760138,117.2,107.9,42.0,8.2,0
1760139,105.7,105.9,16.0,5.9,1
1760140,87.8,87.3,47.0,7.5,0
1760141,151.6,112.4,46.0,7.5,0
1760142,131.3,116.8,60.0,6.4,0
1760143,77.8,102.0,48.0,5.8,0
1760144,119.6,59.9,41.0,9.3,1
1760145,109.0,124.7,31.0,8.4,0
1760146,144.7,67.7,15.0,8.9,0
1760147,137.1,91.6,30.0,7.6,0
1760148,128.2,94.6,63.0,5.7,1
1760149,89.1,82.4,33.0,3.9,0
1760150,117.8,51.4,35.0,10.0,0
1760151,102.9,115.9,37.0,4.1,1
1760152,95.7,71.8,61.0,8.9,1
1760153,71.4,92.9,65.0,7.3,1
1760154,127.6,120.4,56.0,4.8,1
1760155,78.8,108.8,18.0,7.0,0
1760156,110.8,83.7,26.0,7.0,0
1760157,56.1,108.5,54.0,6.2,1
