SessionID,WorkoutType,Duration_Minutes,Avg_HeartRate,CaloriesBurned,Gender
600001,Cycling,62,113,459.4,Male
600002,Running,59,156,607.8,Female
600003,Cycling,22,122,185.9,Male
600004,Yoga,20,79,70.2,Male
600005,Swimming,87,149,815.6,Male
600006,Cycling,89,115,748.7,Male
600007,Cycling,59,113,461.4,Female
600008,Running,64,174,784.5,Female
600009,Running,60,172,698.7,Female
600010,Running,79,152,766.1,Female
600011,Yoga,54,81,270.8,Male
600012,Weightlifting,84,128,685.4,Male
600013,Cycling,44,133,422.1,Male
600014,Weightlifting,44,132,348.5,Female
600015,Running,56,158,545.7,Male
600016,Swimming,47,163,518.2,Male
600017,Cycling,69,116,581.7,Female
600018,Running,23,173,266.4,Male
600019,Swimming,76,148,700.4,Female
600020,Yoga,36,81,166.9,Male
600021,Yoga,21,60,88.4,Male
600022,Running,23,173,327.5,Female
600023,Swimming,51,159,549.6,Female
600024,Weightlifting,71,113,503.3,Female
600025,Cycling,22,126,172.3,Male
600026,Weightlifting,32,128,258.8,Male
600027,Swimming,54,137,475.1,Female
600028,Weightlifting,78,131,677.1,Female
600029,Cycling,55,120,428.8,Female
600030,Swimming,43,149,407.6,Male
600031,Weightlifting,52,112,394.6,Female
600032,Running,86,169,940.7,Male
600033,Weightlifting,89,127,782.3,Male
600034,Running,25,157,258.1,Female
600035,Running,53,174,600.7,Female
600036,Running,67,164,726.3,Female
600037,Running,36,168,426.2,Female
600038,Cycling,56,106,464.4,Male
600039,Yoga,60,74,290.6,Female
600040,Yoga,53,65,249.8,Male
600041,Cycling,64,112,532.5,Female
600042,Yoga,22,63,126.8,Male
600043,Weightlifting,85,120,646.9,Female
600044,Swimming,25,152,246.9,Male
600045,Cycling,73,129,617.0,Female
600046,Swimming,35,140,295.6,Female
600047,Yoga,67,82,344.2,Male
600048,Cycling,30,117,240.4,Female
600049,Running,55,148,528.3,Female
600050,Yoga,57,84,280.3,Female
600051,Yoga,69,76,301.5,Male
600052,Yoga,78,64,399.4,Female
600053,Weightlifting,53,117,368.1,Male
600054,Weightlifting,71,110,472.1,Female
600055,Weightlifting,53,124,430.0,Male
600056,Swimming,42,150,384.2,Female
600057,Running,40,158,429.6,Male
600058,Running,82,163,892.7,Male
600059,Swimming,60,149,597.6,Male
600060,Yoga,48,64,243.0,Male
600061,Yoga,40,77,236.1,Female
600062,Yoga,81,82,416.0,Female
600063,Weightlifting,56,109,413.7,Male
600064,Cycling,58,108,399.3,Female
600065,Swimming,42,135,424.3,Female
600066,Weightlifting,56,121,412.4,Female
600067,Cycling,55,126,463.2,Male
600068,Cycling,39,114,295.1,Male
600069,Cycling,21,124,187.0,Male
600070,Cycling,62,109,410.6,Female
600071,Weightlifting,72,124,586.7,Male
600072,Swimming,33,146,335.4,Male
600073,Yoga,46,60,136.4,Male
600074,Weightlifting,70,118,548.1,Female
600075,Running,25,159,300.5,Female
600076,Swimming,23,146,186.1,Male
600077,Swimming,30,157,308.5,Female
600078,Cycling,59,122,461.1,Female
600079,Cycling,67,114,496.2,Male
600080,Weightlifting,82,122,684.6,Male
600081,Cycling,89,133,810.5,Male
600082,Cycling,21,131,221.2,Female
600083,Yoga,22,69,145.8,Male
600084,Yoga,35,73,173.4,Female
600085,Swimming,81,161,871.0,Female
600086,Yoga,85,64,345.3,Male
600087,Swimming,29,146,241.5,Female
