PassID,DefenderDistance_Meters,PassDistance_Meters,PassType,PassSuccess,ReceiverUnderPressure
1920001,11.3,22.4,Type_B,1.0,1
1920002,3.6,21.9,Type_C,0.0,1
1920003,4.4,8.3,Type_A,0.0,1
1920004,21.5,5.1,Type_B,0.0,1
1920005,0.5,8.0,Type_A,0.0,0
1920006,4.7,7.6,Type_C,0.0,1
1920007,3.0,2.0,Type_A,0.0,0
1920008,1.5,1.9,Type_A,1.0,1
1920009,8.8,18.4,Type_C,0.0,0
1920010,1.1,1.0,Type_C,0.0,0
1920011,1.1,1.7,Type_A,0.0,1
1920012,4.0,13.4,Type_B,0.0,0
1920013,26.2,7.1,Type_C,0.0,0
1920014,11.0,3.6,Type_A,,0
1920015,9.5,1.4,Type_C,0.0,0
1920016,2.0,8.5,Type_A,0.0,0
1920017,2.5,14.4,Type_A,0.0,0
1920018,27.9,3.1,Type_A,,1
1920019,11.3,10.9,Type_B,0.0,0
1920020,3.0,0.3,Type_B,0.0,0
1920021,5.9,9.6,Type_C,0.0,1
1920022,1.3,5.8,Type_A,0.0,1
1920023,1.9,13.6,Type_B,1.0,0
1920024,10.1,6.0,Type_A,0.0,1
1920025,7.3,5.5,Type_B,0.0,0
1920026,3.7,3.4,Type_B,0.0,0
1920027,7.0,13.0,Type_C,0.0,0
1920028,49.7,30.2,Type_B,1.0,0
1920029,12.1,16.4,Type_C,1.0,0
1920030,13.5,3.4,Type_A,0.0,1
1920031,4.8,10.3,Type_B,1.0,0
1920032,2.3,19.2,Type_C,0.0,0
1920033,6.0,3.7,Type_C,0.0,0
1920034,4.0,0.6,Type_C,0.0,0
1920035,11.4,7.6,Type_C,0.0,1
1920036,5.7,0.3,Type_C,1.0,0
1920037,16.1,26.9,Type_C,1.0,0
1920038,4.6,6.2,Type_B,0.0,1
1920039,10.8,6.6,Type_B,0.0,1
1920040,12.5,2.0,Type_A,1.0,1
1920041,2.9,2.9,Type_B,0.0,0
1920042,10.6,22.5,Type_A,0.0,1
1920043,2.0,1.4,Type_A,0.0,1
1920044,10.7,4.4,Type_B,0.0,1
1920045,7.9,0.4,Type_A,1.0,1
1920046,4.6,10.1,Type_C,0.0,0
1920047,5.3,5.2,Type_C,0.0,1
