WellID,FluidInflowTemp,FlowRate_Lps,HeatExtracted_kW,COP_Coefficient,WellStatus
1860001,178.8,13.9,93.3,120.1,1
1860002,134.3,43.4,174.1,104.9,0
1860003,154.4,46.8,109.2,89.1,0
1860004,121.8,53.4,113.4,110.7,0
1860005,154.3,36.0,87.6,111.0,0
1860006,162.2,52.9,109.2,59.1,0
1860007,101.9,35.0,97.3,76.5,1
1860008,95.6,28.9,113.0,79.1,0
1860009,125.6,63.8,124.6,119.1,0
1860010,122.4,71.5,100.4,69.5,1
1860011,123.8,54.3,126.7,93.2,1
1860012,133.1,77.4,116.0,106.8,0
1860013,125.4,35.0,137.0,98.0,0
1860014,108.8,38.5,104.1,126.1,1
1860015,88.3,23.6,97.1,86.4,1
1860016,152.8,55.3,105.2,118.9,1
1860017,94.4,41.7,117.0,77.7,0
1860018,78.1,35.0,77.7,82.0,0
1860019,145.1,45.5,90.5,89.5,1
1860020,100.9,40.0,114.8,112.2,0
1860021,121.6,54.4,99.8,81.7,0
1860022,175.1,38.0,88.6,91.3,0
1860023,120.5,36.2,84.4,92.0,0
1860024,170.7,12.5,100.9,115.4,0
1860025,125.4,88.4,113.0,109.9,1
1860026,119.4,61.3,127.0,135.3,0
1860027,128.0,19.6,111.1,105.9,1
1860028,90.3,44.1,89.8,107.7,0
1860029,120.0,29.4,86.4,100.4,1
1860030,136.8,32.0,97.8,121.3,1
1860031,126.1,65.2,106.5,110.7,1
1860032,85.8,20.0,92.1,85.4,0
1860033,68.3,73.7,92.1,114.0,1
1860034,138.9,64.2,87.6,73.8,1
1860035,133.8,41.3,58.9,131.9,0
1860036,164.7,32.4,141.4,142.8,1
1860037,114.3,63.0,101.5,100.6,1
1860038,92.1,63.5,122.1,83.4,1
1860039,71.1,59.2,102.8,130.2,0
1860040,171.8,53.8,114.5,157.7,0
1860041,125.2,31.5,83.1,118.1,1
1860042,129.5,61.7,108.4,94.5,0
1860043,205.6,48.5,96.2,141.2,0
1860044,93.0,78.5,145.6,66.6,0
1860045,91.6,47.7,90.8,101.9,1
1860046,171.8,65.8,129.9,124.6,1
1860047,111.7,61.7,105.7,83.6,0
1860048,127.9,63.6,118.5,82.2,1
1860049,105.8,47.5,135.4,103.0,0
1860050,169.6,72.6,73.5,110.0,1
1860051,124.1,30.5,90.1,100.4,1
1860052,133.7,60.9,72.6,83.6,1
1860053,111.1,57.5,87.1,82.9,0
1860054,123.3,,118.4,54.8,1
1860055,126.9,55.5,84.7,112.8,1
1860056,124.7,73.7,70.8,135.1,0
1860057,120.0,63.9,62.2,68.7,1
1860058,101.2,47.8,85.0,94.3,0
1860059,101.8,40.8,88.2,137.9,0
1860060,139.8,68.3,129.3,124.3,1
1860061,136.5,67.5,87.6,63.9,0
1860062,160.3,18.7,88.9,94.0,1
1860063,153.5,53.7,49.7,107.9,0
1860064,160.1,36.8,102.9,73.0,0
1860065,95.7,42.3,112.9,111.1,1
1860066,82.2,34.4,92.7,43.3,1
1860067,148.2,39.0,122.3,128.1,1
1860068,56.3,44.1,110.0,122.7,1
1860069,101.5,43.4,107.3,116.5,0
1860070,113.3,47.6,104.0,126.5,0
1860071,62.3,22.2,115.4,111.0,1
1860072,137.9,58.7,78.7,122.7,1
1860073,124.7,41.9,97.5,113.8,1
1860074,104.8,,103.2,134.7,1
1860075,123.9,53.7,58.6,70.0,1
1860076,76.9,19.0,53.8,80.8,1
1860077,145.8,53.3,114.1,100.6,0
1860078,141.4,29.8,105.0,159.3,1
1860079,88.5,26.1,72.8,117.6,1
1860080,62.3,18.6,98.6,61.8,1
1860081,114.6,55.3,85.3,130.5,0
1860082,101.8,28.0,126.0,83.2,1
1860083,112.2,44.5,88.8,67.5,1
1860084,99.7,34.8,99.9,101.3,1
1860085,70.7,56.0,96.1,97.9,0
1860086,133.4,32.4,96.4,71.0,0
1860087,177.7,,120.3,105.7,0
1860088,69.9,39.8,110.8,128.6,1
1860089,130.2,67.1,97.7,112.6,1
1860090,142.5,32.0,97.6,74.8,1
1860091,139.6,25.3,64.8,101.9,0
1860092,202.1,44.9,105.9,102.2,0
1860093,105.9,54.9,79.7,65.7,1
1860094,135.5,49.6,105.0,69.1,0
1860095,157.7,58.9,124.9,82.2,0
1860096,97.9,66.4,133.9,87.6,0
1860097,129.3,37.8,156.2,112.1,0
1860098,139.5,36.9,92.3,121.7,0
1860099,121.0,47.9,131.5,58.4,0
1860100,138.2,60.6,120.3,76.0,0
1860101,141.8,,110.9,127.4,1
1860102,112.2,69.3,121.3,74.4,0
1860103,99.4,18.1,133.3,146.0,1
1860104,111.4,41.5,100.5,102.8,1
1860105,102.6,34.7,102.6,79.4,1
1860106,78.2,61.6,111.4,101.7,0
1860107,22.4,54.3,85.4,27.6,1
1860108,116.0,60.5,116.5,76.0,0
1860109,52.7,47.5,127.1,75.9,1
1860110,134.9,47.4,108.4,97.4,0
1860111,139.1,58.9,92.3,130.0,1
1860112,92.2,55.1,133.1,90.6,0
1860113,128.3,54.8,111.5,73.0,0
1860114,106.5,43.5,128.4,125.3,1
1860115,146.4,59.5,107.2,136.2,0
1860116,146.1,50.6,101.2,132.6,0
1860117,92.4,74.1,91.4,82.8,0
1860118,85.5,38.8,85.7,159.1,0
1860119,86.0,8.9,87.4,117.3,0
1860120,181.5,23.9,66.3,101.8,0
1860121,191.5,40.6,111.5,102.9,0
1860122,131.7,43.4,110.5,116.0,0
1860123,127.7,36.8,127.3,51.6,0
1860124,61.5,,110.0,139.8,1
1860125,71.3,56.1,122.8,130.3,0
1860126,118.1,30.1,130.0,165.4,0
1860127,135.4,39.9,75.3,81.5,1
1860128,105.3,28.4,121.0,117.3,0
1860129,124.8,29.1,100.5,93.1,1
1860130,83.5,64.6,101.1,135.4,0
1860131,69.4,42.6,165.2,119.8,0
1860132,121.1,39.4,95.0,111.9,1
1860133,87.1,52.4,96.8,115.5,1
1860134,123.1,30.4,125.3,111.1,0
1860135,101.5,37.5,116.6,57.1,0
1860136,77.7,70.9,89.5,136.5,1
1860137,73.0,74.3,93.1,114.4,0
1860138,131.1,29.6,81.4,93.1,0
1860139,145.3,63.7,56.9,84.9,1
1860140,122.6,44.6,76.8,147.7,0
1860141,146.8,51.6,79.7,100.6,0
1860142,128.9,57.3,130.4,147.7,0
1860143,113.6,0.0,160.6,110.3,1
1860144,82.7,34.2,72.0,89.8,1
1860145,53.8,49.4,108.8,82.8,0
1860146,140.7,38.4,91.7,95.7,1
1860147,161.8,36.1,110.0,131.9,1
1860148,105.5,51.9,108.8,125.6,1
1860149,125.9,19.0,92.5,109.7,1
1860150,170.9,65.2,98.5,90.3,0
1860151,109.8,24.8,132.0,113.6,1
1860152,90.2,,95.8,74.6,1
1860153,97.8,42.1,121.5,51.6,1
1860154,113.5,56.3,110.1,132.1,1
1860155,156.6,32.8,105.9,89.8,0
1860156,144.4,31.9,109.7,85.5,1
1860157,168.4,46.4,105.3,118.7,1
1860158,62.3,44.5,143.1,97.3,1
1860159,110.6,57.7,128.9,109.4,0
1860160,99.8,39.0,128.2,74.9,0
1860161,136.1,34.1,91.8,126.1,0
1860162,98.8,2.9,144.5,99.6,1
1860163,139.5,52.8,108.0,102.5,1
1860164,129.5,65.3,136.1,83.2,1
1860165,118.4,26.8,103.3,105.9,0
