GreenhouseID,VPD_kPa,AverageHumidity_Percent,StemDiameter_mm,DailyIrrigation_L,GrowthRateClass
1910001,58.7,36.6,122.1,135.3,Type_B
1910002,107.0,63.2,110.9,122.2,Type_C
1910003,90.9,30.1,82.7,124.7,Type_C
1910004,88.4,65.1,98.5,59.7,Type_A
1910005,123.8,57.4,127.7,64.5,Type_C
1910006,86.1,44.2,117.6,161.9,Type_C
1910007,115.0,45.8,62.9,111.7,Type_C
1910008,75.7,27.3,82.3,80.5,Type_B
1910009,80.3,31.7,123.6,75.5,Type_C
1910010,92.8,27.9,96.2,82.7,Type_A
1910011,116.2,50.7,94.0,88.7,Type_B
1910012,105.6,23.1,137.2,88.6,Type_C
1910013,97.4,73.9,114.8,96.9,Type_A
1910014,119.0,32.8,81.9,81.6,Type_C
1910015,65.0,41.4,111.7,68.8,Type_B
1910016,114.8,0.0,91.6,101.8,Type_B
1910017,79.9,52.2,127.1,102.9,Type_B
1910018,115.5,0.0,81.2,90.3,Type_B
1910019,60.6,45.0,70.1,134.5,Type_A
1910020,82.8,76.5,130.5,85.8,Type_A
1910021,80.4,44.9,116.0,87.8,Type_C
1910022,151.3,58.8,111.7,80.2,Type_A
1910023,121.8,40.9,83.8,120.7,Type_A
1910024,110.7,34.8,106.4,99.9,Type_B
1910025,88.4,82.6,107.9,88.4,Type_B
1910026,121.2,33.6,86.4,124.6,Type_C
1910027,125.3,42.0,93.7,57.3,Type_A
1910028,84.6,73.2,,72.3,Type_C
1910029,100.9,51.4,82.7,74.3,Type_C
1910030,88.5,35.3,94.3,81.4,Type_A
1910031,119.2,62.0,125.0,101.7,Type_C
1910032,111.8,68.1,125.3,52.1,Type_B
1910033,94.3,19.7,112.3,104.0,Type_B
1910034,113.0,60.9,118.5,86.7,Type_A
1910035,109.9,51.5,102.1,66.3,Type_B
1910036,74.2,35.0,141.1,103.3,Type_A
1910037,101.4,54.8,37.1,75.4,Type_A
1910038,103.1,40.5,71.8,94.6,Type_C
1910039,82.6,38.1,132.9,110.7,Type_B
1910040,36.4,64.2,120.0,69.8,Type_A
1910041,88.6,29.0,101.1,112.6,Type_A
1910042,104.8,30.1,67.3,119.2,Type_A
1910043,66.7,36.2,101.4,45.2,Type_C
1910044,81.4,70.7,136.9,157.6,Type_B
1910045,153.7,55.2,114.9,72.6,Type_C
1910046,86.1,23.9,87.2,107.8,Type_A
1910047,123.5,39.2,129.6,114.6,Type_B
1910048,101.7,49.3,143.9,132.8,Type_A
1910049,102.7,39.4,61.1,90.4,Type_B
1910050,84.2,57.6,144.0,72.2,Type_A
1910051,97.1,42.1,109.2,97.1,Type_C
1910052,109.9,45.4,85.8,85.6,Type_C
1910053,108.4,22.1,83.0,47.2,Type_A
1910054,106.4,26.6,84.3,119.7,Type_B
1910055,85.0,42.8,99.3,72.2,Type_B
1910056,105.4,43.0,81.9,130.7,Type_B
1910057,60.5,47.3,61.1,101.1,Type_B
1910058,56.0,42.6,80.8,101.6,Type_B
1910059,98.2,55.6,86.2,85.0,Type_B
1910060,101.2,43.5,102.7,103.0,Type_C
1910061,84.8,57.5,120.6,135.9,Type_C
1910062,71.9,36.2,127.4,108.4,Type_B
1910063,113.7,73.1,85.0,79.6,Type_B
1910064,92.8,41.7,124.2,97.5,Type_C
1910065,44.0,28.1,123.6,141.0,Type_B
1910066,116.0,24.6,84.5,95.7,Type_A
1910067,160.5,34.4,84.2,76.9,Type_B
1910068,66.7,14.8,78.6,53.7,Type_C
1910069,107.8,40.9,52.0,109.4,Type_B
1910070,109.5,47.6,110.4,87.3,Type_B
1910071,95.1,34.7,120.1,120.2,Type_B
1910072,103.5,62.9,97.7,112.2,Type_C
1910073,102.1,49.3,88.1,76.1,Type_A
1910074,100.7,30.5,122.3,141.0,Type_C
1910075,115.4,39.8,51.7,101.9,Type_B
1910076,110.8,35.0,166.5,126.4,Type_B
1910077,115.9,20.7,119.5,98.2,Type_B
1910078,39.4,34.9,85.5,134.3,Type_C
1910079,60.2,56.8,105.6,125.6,Type_C
1910080,92.9,54.7,84.3,71.8,Type_B
1910081,122.2,71.4,60.6,66.4,Type_C
1910082,108.6,45.8,81.6,129.8,Type_A
1910083,119.5,28.0,105.0,75.6,Type_A
