TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1590001,396.5,494.5,1,95.6,449.7
1590002,106.2,139.5,0,160.5,80.8
1590003,86.1,410.4,0,91.1,353.5
1590004,241.8,191.4,0,39.0,374.7
1590005,148.4,226.6,1,26.8,182.7
1590006,335.4,16.9,0,271.2,265.2
1590007,90.1,29.0,0,92.8,499.9
1590008,463.0,348.5,0,11.8,351.9
1590009,389.2,384.1,0,145.7,82.5
1590010,432.9,269.6,1,159.5,190.0
1590011,479.1,335.9,1,225.1,104.4
1590012,310.5,379.4,0,144.8,488.1
1590013,146.1,221.6,1,257.4,196.9
1590014,137.7,449.4,0,278.5,139.4
1590015,173.2,261.8,1,460.8,134.2
1590016,178.0,433.3,1,224.1,96.5
1590017,294.1,70.2,0,412.1,30.7
1590018,262.5,91.7,1,499.0,240.7
1590019,197.8,403.8,0,344.2,418.8
1590020,10.7,117.7,0,169.7,257.3
1590021,120.4,297.0,1,158.6,15.6
1590022,131.8,349.3,0,150.5,231.9
1590023,230.0,224.2,0,215.3,366.3
1590024,202.0,370.0,1,14.1,383.2
1590025,471.0,498.1,1,297.9,191.9
1590026,30.0,374.9,0,321.8,100.9
1590027,475.7,212.6,1,459.3,123.6
1590028,228.9,132.5,0,223.7,154.1
1590029,172.2,66.1,0,180.1,414.6
1590030,401.1,372.4,1,188.7,11.7
1590031,38.8,412.8,0,166.5,292.0
1590032,112.5,251.0,0,159.0,79.6
1590033,420.0,334.5,0,51.0,118.8
1590034,69.4,160.2,1,375.7,97.2
1590035,204.7,476.2,1,74.6,117.4
1590036,46.3,346.1,0,193.7,340.8
1590037,297.1,166.5,1,171.3,178.7
1590038,151.6,380.4,0,498.7,235.7
1590039,460.6,434.6,1,35.4,135.8
1590040,212.4,138.6,0,270.5,423.8
1590041,488.8,432.8,0,381.2,487.8
1590042,410.3,111.8,0,278.5,335.6
1590043,461.0,350.7,0,196.7,218.5
1590044,425.8,391.2,0,116.7,320.1
1590045,375.7,243.2,0,363.9,349.7
1590046,330.7,351.4,1,479.4,108.7
1590047,87.0,386.8,0,232.2,347.3
1590048,27.5,15.4,1,202.7,455.4
1590049,495.0,42.2,0,380.4,318.7
1590050,324.3,11.2,0,199.6,388.3
1590051,26.4,298.0,0,138.4,434.7
1590052,369.8,44.5,1,305.9,75.4
1590053,134.5,67.6,1,95.8,381.6
1590054,301.5,32.5,0,102.1,47.2
1590055,248.7,59.9,0,417.2,307.6
1590056,144.2,415.9,1,391.2,337.9
1590057,125.9,257.6,0,300.7,40.2
1590058,220.2,451.9,0,45.8,94.8
1590059,131.3,42.8,1,412.9,384.0
1590060,89.4,287.7,1,435.3,415.6
1590061,345.5,442.1,0,350.6,394.6
1590062,432.5,190.4,0,169.4,248.1
1590063,487.0,158.9,0,260.3,391.1
1590064,432.1,480.0,1,253.3,36.3
1590065,491.4,203.0,0,102.0,211.5
1590066,132.8,77.6,1,127.9,410.5
1590067,417.5,105.6,0,160.7,222.4
1590068,480.3,11.0,1,456.9,423.2
1590069,314.7,105.3,1,168.7,417.3
1590070,265.8,82.3,1,322.8,498.8
1590071,337.4,405.2,0,209.5,473.7
1590072,39.8,312.1,1,19.0,278.5
1590073,303.3,323.1,0,307.7,423.3
1590074,214.7,292.0,1,32.2,419.6
1590075,211.8,311.5,1,162.9,446.0
1590076,164.9,134.2,0,237.3,416.1
1590077,380.9,184.6,1,422.3,48.8
1590078,116.4,141.3,1,258.2,223.0
