BookingID,LeadTime,BookingChannel,DepositType,CustomerType,IsCanceled
630001,48.0,Online Travel Agent,No Deposit,Transient-Party,No
630002,30.0,Direct,No Deposit,Transient,No
630003,2.0,Online Travel Agent,No Deposit,Transient,No
630004,44.0,Direct,No Deposit,Transient,No
630005,9.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630006,41.0,Online Travel Agent,No Deposit,Group,Yes
630007,17.0,Online Travel Agent,Non Refundable,Group,No
630008,46.0,Corporate,No Deposit,Transient-Party,No
630009,47.0,Online Travel Agent,No Deposit,Transient,Yes
630010,15.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630011,5.0,Online Travel Agent,No Deposit,Transient,No
630012,36.0,Online Travel Agent,No Deposit,Transient-Party,No
630013,89.0,Online Travel Agent,No Deposit,Group,Yes
630014,68.0,Direct,No Deposit,Transient,No
630015,118.0,Online Travel Agent,No Deposit,Group,No
630016,36.0,Corporate,No Deposit,Transient-Party,Yes
630017,50.0,Online Travel Agent,No Deposit,Transient-Party,No
630018,1.0,Online Travel Agent,No Deposit,Transient,No
630019,124.0,Direct,No Deposit,Transient-Party,Yes
630020,51.0,Online Travel Agent,No Deposit,Transient,No
630021,174.0,Online Travel Agent,No Deposit,Group,Yes
630022,133.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630023,68.0,Online Travel Agent,No Deposit,Transient,Yes
630024,132.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630025,12.0,Online Travel Agent,No Deposit,Group,No
630026,97.0,Online Travel Agent,No Deposit,Transient-Party,No
630027,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630028,151.0,Direct,No Deposit,Group,Yes
630029,66.0,Online Travel Agent,No Deposit,Transient-Party,No
630030,81.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630031,202.0,Online Travel Agent,No Deposit,Transient-Party,No
630032,30.0,Online Travel Agent,Non Refundable,Transient,No
630033,22.0,Online Travel Agent,No Deposit,Group,No
630034,40.0,Online Travel Agent,Non Refundable,Transient-Party,No
630035,21.0,Online Travel Agent,No Deposit,Transient,No
630036,46.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630037,20.0,Direct,Non Refundable,Group,No
630038,,Direct,No Deposit,Transient,Yes
630039,72.0,Online Travel Agent,No Deposit,Transient,Yes
630040,25.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630041,36.0,Online Travel Agent,No Deposit,Group,No
630042,55.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630043,7.0,Online Travel Agent,Non Refundable,Transient,No
630044,30.0,Direct,No Deposit,Group,Yes
630045,18.0,Online Travel Agent,No Deposit,Group,No
630046,54.0,Online Travel Agent,Non Refundable,Transient,No
630047,144.0,Online Travel Agent,Non Refundable,Transient-Party,No
630048,11.0,Online Travel Agent,No Deposit,Group,No
630049,258.0,Online Travel Agent,No Deposit,Transient,Yes
630050,69.0,Online Travel Agent,No Deposit,Group,No
630051,49.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630052,170.0,Online Travel Agent,No Deposit,Group,No
630053,66.0,Online Travel Agent,No Deposit,Transient-Party,No
630054,55.0,Direct,Non Refundable,Group,No
630055,31.0,Online Travel Agent,Non Refundable,Transient-Party,No
630056,46.0,Direct,Non Refundable,Group,No
630057,206.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630058,3.0,Corporate,No Deposit,Transient,No
630059,146.0,Direct,No Deposit,Transient-Party,Yes
630060,112.0,Online Travel Agent,No Deposit,Transient-Party,No
