EmployeeID,Department,TrainingHours,PreScore,PostScore,PerformanceRating
670001,Support,27,45,68.0,3
670002,HR,39,64,86.8,5
670003,Engineering,36,66,93.0,5
670004,Engineering,36,52,75.4,4
670005,Support,12,49,61.5,3
670006,Support,23,73,86.7,4
670007,Engineering,3,51,58.2,5
670008,Support,23,80,92.5,1
670009,Sales,19,48,65.8,3
670010,Support,8,58,66.3,3
670011,Marketing,2,80,85.4,4
670012,Engineering,27,79,98.0,4
670013,HR,22,45,65.4,3
670014,HR,22,68,79.3,3
670015,HR,22,46,71.3,4
670016,Support,33,80,100.0,3
670017,Sales,32,62,86.5,3
670018,HR,16,77,82.8,4
670019,Engineering,13,61,73.6,5
670020,Support,26,81,100.0,3
670021,HR,5,64,67.4,4
670022,Support,14,63,75.6,3
670023,Marketing,9,84,90.5,2
670024,HR,10,67,75.5,2
670025,Engineering,26,48,67.2,3
670026,Marketing,25,68,86.6,3
670027,Sales,30,59,,5
670028,Support,22,76,93.1,2
670029,Engineering,17,50,69.5,3
670030,HR,36,69,98.0,4
670031,Marketing,20,80,91.8,4
670032,HR,29,82,100.0,4
670033,Marketing,28,48,71.1,4
670034,Sales,38,46,79.1,3
670035,HR,6,48,59.6,5
670036,HR,2,74,71.0,3
670037,Sales,10,78,90.3,3
670038,Support,35,77,100.0,3
670039,Marketing,21,46,57.9,2
670040,HR,12,55,59.4,3
670041,Support,3,74,80.9,5
670042,Sales,26,66,87.3,1
670043,Support,24,79,95.3,3
670044,Marketing,34,49,72.5,5
670045,HR,14,48,60.5,5
670046,Marketing,17,68,74.8,4
670047,Support,16,64,72.0,5
670048,Engineering,13,77,86.3,4
670049,Engineering,21,67,89.9,3
670050,Engineering,3,83,88.1,3
670051,Support,33,59,86.3,3
670052,Support,3,58,58.0,5
670053,Marketing,4,78,88.1,3
670054,Sales,26,52,67.8,5
670055,Support,33,47,80.7,5
670056,Sales,22,60,76.1,2
670057,Engineering,8,61,67.6,4
670058,HR,11,77,89.6,3
670059,Marketing,6,49,58.9,2
670060,Sales,19,81,95.2,4
670061,HR,35,65,88.2,5
670062,Marketing,2,56,58.1,3
670063,Support,13,48,58.3,2
670064,HR,11,53,62.9,4
670065,HR,4,64,67.7,3
670066,Marketing,7,57,61.3,4
670067,HR,37,62,91.0,4
670068,Support,29,51,78.9,2
670069,Engineering,19,72,86.7,5
670070,Engineering,9,52,60.5,4
670071,Marketing,4,61,66.7,5
670072,Sales,15,51,66.0,4
670073,Sales,13,65,71.7,3
670074,Engineering,6,84,82.0,4
670075,Sales,9,66,72.4,5
670076,Marketing,6,83,86.7,3
670077,Sales,2,75,76.3,5
670078,Sales,2,50,57.4,3
670079,Support,2,60,74.8,4
670080,Marketing,17,73,80.4,3
670081,HR,38,76,100.0,3
670082,Support,22,48,58.4,3
670083,Sales,10,67,79.6,2
670084,Marketing,2,58,54.3,4
670085,Sales,6,81,79.5,4
670086,Engineering,15,46,53.6,4
670087,HR,35,53,82.9,3
670088,HR,2,59,55.1,2
670089,Engineering,22,58,77.6,1
670090,HR,18,57,75.9,4
670091,Marketing,33,56,76.0,2
670092,Support,4,81,83.3,3
670093,Marketing,23,50,68.8,4
670094,Engineering,8,60,55.9,3
670095,Support,32,59,85.0,5
670096,HR,23,56,69.7,3
670097,Sales,23,62,77.2,2
670098,Support,18,79,92.2,3
670099,Support,4,63,72.7,3
670100,Engineering,30,61,83.1,3
670101,Engineering,10,52,63.2,3
670102,Marketing,2,69,74.1,2
670103,Marketing,20,84,98.2,4
670104,Support,3,83,86.5,4
670105,Marketing,8,80,82.4,2
670106,Marketing,37,62,92.3,2
670107,Marketing,38,78,100.0,4
670108,HR,3,67,65.8,4
670109,Sales,20,75,92.9,3
670110,Support,37,81,100.0,4
670111,Engineering,11,75,75.4,4
670112,Engineering,37,66,95.6,4
670113,Sales,2,83,78.8,3
670114,Support,38,45,71.3,4
670115,Sales,6,64,65.6,3
670116,Engineering,16,51,74.1,3
670117,Engineering,15,84,98.7,3
670118,Sales,10,48,50.3,5
670119,Marketing,2,64,68.4,3
670120,Marketing,27,82,100.0,3
670121,Sales,25,52,66.9,3
670122,Sales,13,62,73.4,4
670123,Marketing,19,66,72.3,3
670124,HR,16,74,91.9,5
670125,HR,13,64,75.9,3
670126,Sales,24,51,71.7,4
670127,HR,11,68,76.4,4
670128,Engineering,5,78,80.2,3
670129,Sales,15,80,93.2,4
670130,HR,3,52,52.8,3
670131,HR,23,51,71.1,5
670132,Engineering,38,57,90.3,4
670133,HR,29,68,84.2,2
670134,Support,9,62,69.1,4
670135,HR,31,51,72.7,4
670136,Support,2,75,78.7,4
670137,Marketing,20,46,68.6,4
670138,Sales,38,63,98.6,1
670139,HR,19,68,78.4,4
670140,Marketing,25,80,98.3,3
670141,Support,17,77,86.5,3
670142,HR,31,71,94.5,4
670143,Engineering,30,72,93.5,4
670144,Engineering,17,58,74.9,4
670145,HR,23,64,83.5,3
670146,Sales,5,77,79.5,3
670147,Engineering,29,45,75.2,4
670148,Support,27,73,100.0,3
670149,Sales,5,78,78.3,2
670150,Sales,14,61,64.7,4
670151,Support,27,74,100.0,4
670152,Sales,27,53,83.0,3
670153,Support,27,70,100.0,5
670154,HR,36,50,82.8,4
670155,Support,25,83,100.0,3
670156,HR,19,66,82.8,5
670157,Marketing,39,67,100.0,3
670158,Engineering,4,63,63.7,1
670159,HR,6,54,55.4,1
670160,Support,12,57,65.8,4
670161,HR,19,50,60.4,3
670162,Support,5,63,63.6,5
670163,Engineering,12,74,80.1,4
670164,HR,26,47,71.1,3
670165,Support,20,50,65.9,3
670166,Engineering,11,53,58.9,4
670167,Sales,38,70,97.6,3
670168,Sales,17,45,52.3,4
670169,HR,12,56,63.4,4
670170,Engineering,26,84,100.0,3
670171,Sales,15,84,98.6,2
670172,Sales,10,49,49.4,4
670173,Support,24,68,84.0,3
670174,Sales,21,61,75.7,1
670175,Sales,13,63,60.7,3
670176,HR,13,56,66.8,4
670177,Support,30,54,82.9,5
670178,Marketing,33,59,84.5,5
670179,Marketing,29,84,100.0,4
670180,Support,39,71,96.6,4
670181,Marketing,27,72,100.0,4
670182,Engineering,37,83,100.0,2
670183,Engineering,26,46,70.3,3
670184,Marketing,39,72,100.0,5
670185,Engineering,35,74,100.0,3
670186,HR,3,52,,2
670187,HR,2,53,55.4,2
670188,Support,25,81,97.8,3
670189,Sales,10,80,90.7,4
670190,Sales,5,75,81.3,3
670191,HR,8,70,79.4,4
670192,Engineering,22,71,94.6,4
670193,HR,18,67,80.4,5
670194,Support,5,70,72.8,4
670195,Support,20,50,70.4,1
670196,Engineering,19,77,85.4,4
670197,Support,38,59,84.7,3
670198,Support,28,50,64.3,3
670199,HR,38,48,72.2,3
670200,Support,7,65,69.9,3
670201,Marketing,3,54,52.8,4
670202,Marketing,5,58,62.9,2
670203,Marketing,22,45,68.8,5
670204,Sales,23,71,89.5,3
670205,HR,36,47,76.7,3
670206,Marketing,28,55,78.6,3
670207,HR,30,63,83.9,3
670208,Engineering,11,59,71.4,3
670209,Engineering,39,58,87.7,3
670210,HR,38,47,77.8,4
670211,Engineering,4,69,67.8,3
670212,HR,33,60,85.8,3
670213,HR,3,56,59.1,3
670214,Sales,17,73,86.2,3
670215,Marketing,39,62,92.6,3
670216,HR,32,69,92.2,3
670217,Marketing,14,81,91.9,3
670218,Support,10,61,74.6,4
670219,Engineering,15,60,72.7,5
670220,Engineering,5,73,75.7,3
670221,Engineering,24,66,83.7,4
670222,Sales,15,63,70.2,4
670223,HR,4,75,85.0,3
670224,HR,19,78,92.8,4
670225,Support,35,72,99.3,2
670226,Engineering,35,73,100.0,4
670227,Support,23,45,64.2,3
670228,Sales,17,52,69.5,2
670229,Engineering,31,82,100.0,3
670230,Support,21,77,98.5,3
670231,Engineering,29,56,74.0,3
670232,Support,36,83,100.0,3
670233,HR,4,56,61.9,4
670234,Engineering,37,51,85.8,4
670235,HR,11,55,68.0,3
670236,Marketing,12,46,49.9,2
670237,Sales,12,65,83.7,2
670238,Marketing,31,54,71.5,3
670239,Sales,4,79,79.2,4
670240,Marketing,36,81,100.0,3
670241,Support,24,55,75.4,2
670242,Sales,36,80,100.0,1
670243,HR,13,58,63.2,5
670244,Marketing,26,47,69.6,3
670245,Support,24,55,73.2,3
670246,Marketing,24,45,63.1,2
670247,HR,8,68,75.9,3
670248,Sales,19,83,95.5,3
670249,Support,26,46,66.9,4
670250,Marketing,38,46,73.0,3
670251,Sales,6,58,68.7,3
670252,Sales,33,75,100.0,4
670253,Engineering,36,82,100.0,3
670254,Marketing,14,48,53.7,4
670255,Engineering,4,65,68.6,3
670256,Engineering,25,73,91.1,3
670257,Engineering,31,78,99.4,3
670258,Marketing,29,80,98.8,4
670259,Engineering,7,62,59.2,3
670260,Sales,5,69,75.4,2
670261,HR,14,72,,5
670262,HR,6,75,81.5,2
670263,HR,30,79,98.0,5
670264,Marketing,39,55,84.7,2
670265,Sales,21,59,73.0,3
670266,Marketing,18,83,95.9,3
670267,HR,15,75,84.4,3
670268,Sales,25,78,95.0,3
670269,Support,25,83,100.0,3
670270,HR,30,83,100.0,3
670271,HR,39,62,95.1,2
670272,Sales,20,68,82.8,4
670273,Engineering,10,65,75.9,4
670274,Engineering,14,65,80.9,3
670275,Support,8,81,84.5,2
670276,Marketing,10,74,81.4,3
670277,Marketing,4,48,49.7,3
670278,HR,4,82,87.5,3
670279,Sales,21,69,87.7,3
670280,Marketing,27,63,81.3,3
670281,Marketing,23,61,77.9,4
670282,HR,15,62,70.5,2
670283,HR,12,69,78.2,3
670284,Support,19,60,76.7,4
670285,Marketing,5,62,66.8,3
670286,Engineering,2,66,69.5,3
670287,Support,22,79,97.3,4
670288,Marketing,2,52,47.5,3
670289,HR,34,53,86.2,3
670290,HR,39,71,100.0,4
670291,Sales,4,73,71.6,3
670292,Sales,15,77,,4
670293,Marketing,34,82,100.0,4
670294,Support,3,64,65.8,3
670295,Engineering,3,67,66.9,3
670296,Sales,35,82,100.0,4
670297,Marketing,19,72,86.9,3
670298,Sales,30,71,99.1,2
670299,HR,36,70,100.0,1
670300,Sales,8,69,73.3,2
670301,Marketing,8,54,56.8,3
670302,Support,35,48,81.3,3
670303,Engineering,27,54,78.4,3
670304,Support,19,75,92.2,4
670305,Support,6,80,84.4,4
670306,Marketing,8,53,66.9,5
670307,HR,14,72,88.1,3
670308,HR,17,77,89.1,3
670309,Marketing,18,46,57.7,3
670310,Engineering,7,56,69.8,2
670311,Support,5,61,72.2,5
670312,HR,14,56,70.8,3
670313,Sales,4,83,90.2,3
670314,Support,17,61,73.5,3
670315,HR,9,67,79.7,4
670316,Support,16,49,56.3,3
670317,HR,37,47,76.3,3
670318,Sales,18,78,89.7,3
670319,Sales,12,68,79.2,3
670320,Marketing,38,64,100.0,3
670321,Engineering,7,79,83.1,3
670322,Support,28,72,94.8,5
670323,Sales,11,69,75.0,4
