PostID,FollowersCount_K,HashtagsCount,EngagementRate_Percent,SavedCount,IsSponsored
1630001,93.3,97.7,33.9,94.1,114.0
1630002,148.6,76.1,56.3,75.5,59.4
1630003,55.3,76.4,44.6,105.4,113.4
1630004,88.8,102.8,69.9,113.3,121.0
1630005,109.5,142.3,23.1,107.3,127.2
1630006,136.1,90.9,31.6,136.3,60.1
1630007,95.2,122.5,48.9,87.4,72.6
1630008,69.1,128.1,37.8,98.2,91.9
1630009,70.0,93.8,53.2,174.5,47.0
1630010,82.1,110.9,46.4,82.8,82.0
1630011,110.1,116.8,33.1,108.3,94.4
1630012,112.4,138.4,30.6,134.2,139.9
1630013,111.5,97.3,60.1,96.9,88.3
1630014,106.0,105.2,18.0,121.5,106.1
1630015,93.0,41.4,55.5,93.3,121.7
1630016,108.3,92.1,21.9,94.3,128.4
1630017,101.4,80.4,50.1,104.9,110.7
1630018,75.0,122.9,66.5,134.6,69.5
1630019,64.2,102.4,18.1,82.9,114.3
1630020,107.4,127.2,32.8,87.4,78.2
1630021,78.8,100.6,57.9,150.1,129.6
1630022,96.5,107.9,46.9,116.9,86.1
1630023,114.9,72.8,21.2,125.5,107.8
1630024,103.7,101.6,77.6,131.2,144.1
1630025,75.2,86.3,19.0,104.7,85.3
1630026,122.6,92.9,53.2,62.7,70.0
1630027,106.1,103.0,51.5,110.3,102.6
1630028,125.7,78.5,37.4,84.6,75.6
1630029,90.2,109.7,48.3,43.9,72.9
1630030,123.6,127.1,44.1,79.3,107.8
1630031,146.2,130.0,37.9,146.0,122.6
1630032,103.1,125.5,54.4,125.9,84.7
1630033,124.7,54.5,68.0,122.7,89.5
1630034,46.1,103.4,32.4,102.2,84.3
1630035,131.0,115.6,42.3,71.3,132.0
1630036,81.0,81.6,36.2,131.7,78.0
1630037,75.8,59.1,19.1,89.6,68.0
1630038,110.7,122.9,44.8,92.6,85.3
1630039,104.6,120.6,60.7,99.7,70.9
1630040,110.1,116.4,46.3,94.4,97.3
1630041,83.5,167.0,46.2,87.4,66.2
1630042,145.6,100.7,66.2,110.6,85.7
1630043,102.5,124.4,68.6,71.4,119.8
1630044,71.1,120.4,47.9,87.1,107.4
1630045,101.3,113.2,44.7,104.7,103.4
1630046,81.8,102.9,46.0,20.8,87.7
1630047,92.1,88.8,43.2,92.5,137.5
1630048,97.7,119.2,51.4,154.3,93.4
1630049,134.9,85.5,51.3,85.3,98.8
1630050,91.3,129.3,58.7,94.6,100.3
1630051,109.4,86.6,71.7,112.4,127.7
1630052,91.1,77.4,63.8,117.4,45.8
1630053,77.7,69.5,63.1,102.1,109.2
1630054,97.4,101.1,35.3,87.6,108.7
1630055,95.1,129.9,24.6,131.2,126.8
1630056,91.5,95.4,25.2,90.9,162.0
1630057,122.9,99.8,46.8,138.9,67.6
1630058,114.8,36.0,63.8,106.9,58.1
1630059,131.4,84.7,28.5,162.6,20.7
1630060,85.7,74.1,28.0,107.0,93.8
1630061,123.0,78.2,71.0,97.2,109.4
1630062,77.3,116.2,36.2,72.5,147.1
1630063,130.0,107.4,54.7,78.1,138.7
1630064,125.7,80.3,,84.3,133.6
1630065,123.5,70.8,24.6,80.1,152.6
1630066,133.0,111.2,21.1,69.7,50.4
1630067,78.7,81.0,58.3,89.8,121.1
1630068,107.4,104.5,77.0,103.1,86.7
1630069,107.2,137.0,38.6,113.7,84.6
1630070,144.2,77.0,30.0,106.0,106.7
1630071,84.6,85.7,21.5,99.0,73.8
1630072,104.2,147.0,52.0,89.5,107.2
1630073,153.9,142.2,29.4,109.1,64.3
1630074,70.2,93.4,50.9,81.0,108.6
1630075,114.9,109.2,,123.3,101.3
1630076,112.7,89.3,42.9,132.3,125.0
