ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1450001,148.7,403.5,404.3,397.7,99.1
1450002,11.0,447.9,322.7,60.8,271.8
1450003,270.0,198.4,486.2,369.4,202.9
1450004,49.4,37.3,249.2,349.7,214.2
1450005,329.6,361.9,106.1,139.6,96.9
1450006,387.7,448.7,48.4,150.3,327.1
1450007,303.1,429.6,385.8,475.2,78.1
1450008,170.1,192.7,372.5,363.4,75.5
1450009,351.8,425.4,124.4,118.9,106.5
1450010,252.7,86.7,76.9,50.1,399.2
1450011,474.6,453.4,56.8,388.8,339.2
1450012,290.6,460.4,370.5,407.3,315.1
1450013,95.3,191.4,241.2,483.7,120.1
1450014,55.2,115.2,489.0,189.5,201.2
1450015,43.5,283.8,170.7,121.1,127.0
1450016,460.1,95.3,488.8,117.2,184.3
1450017,332.0,207.7,115.0,343.6,75.7
1450018,211.8,492.1,52.5,83.3,301.3
1450019,229.3,45.4,438.4,47.5,435.9
1450020,273.0,388.7,358.4,295.7,287.1
1450021,226.9,213.7,368.3,442.2,420.4
1450022,440.7,129.7,156.8,471.8,244.5
1450023,47.8,232.0,140.7,407.5,327.9
1450024,311.3,146.1,294.6,243.2,12.5
1450025,184.1,258.8,495.4,361.4,270.1
1450026,55.6,46.8,223.1,201.4,112.9
1450027,27.6,271.8,378.0,411.5,74.9
1450028,366.0,378.1,391.0,496.5,347.4
1450029,108.6,53.1,68.1,467.5,401.8
1450030,144.4,91.6,188.4,391.2,166.6
1450031,51.0,220.8,352.3,411.2,444.3
1450032,232.8,274.9,304.2,340.3,126.5
1450033,458.9,171.5,420.9,151.3,321.9
1450034,74.7,367.8,251.2,354.3,42.9
1450035,427.4,193.1,308.5,167.3,289.5
1450036,22.9,489.8,216.8,212.2,403.1
1450037,111.2,48.6,434.8,252.7,405.7
1450038,187.9,12.3,333.6,354.5,436.3
1450039,214.8,484.9,294.9,13.1,460.2
1450040,250.9,208.9,64.3,47.0,348.4
1450041,196.9,364.0,353.8,306.1,21.7
1450042,361.9,233.7,387.9,373.0,177.2
1450043,396.4,189.7,282.5,267.1,466.3
1450044,385.1,319.0,25.8,489.7,236.9
1450045,387.4,264.1,319.6,300.8,338.4
1450046,36.3,178.2,476.8,365.9,296.9
1450047,390.7,246.1,123.2,297.6,356.9
1450048,,199.7,106.9,134.5,263.7
1450049,262.6,365.6,131.8,169.2,150.5
1450050,459.4,400.3,166.5,372.8,317.2
1450051,204.5,216.8,79.8,470.8,35.0
1450052,135.0,394.3,224.7,483.2,231.6
1450053,375.3,318.6,233.5,341.6,486.5
1450054,155.4,154.6,463.3,322.4,149.0
1450055,13.3,114.9,151.8,492.2,116.2
1450056,144.4,60.8,171.4,371.9,158.0
1450057,269.1,462.5,74.6,146.0,133.3
1450058,456.5,335.0,330.2,95.2,478.7
1450059,237.3,383.8,111.6,83.9,435.7
1450060,376.2,130.8,191.9,414.6,11.2
1450061,162.9,37.0,222.3,143.8,165.2
1450062,349.0,392.5,109.1,71.0,23.7
1450063,363.8,27.6,334.4,445.8,139.1
1450064,386.5,273.2,262.7,359.9,252.3
1450065,304.9,202.5,374.4,409.1,115.5
1450066,253.0,70.8,296.0,214.2,42.3
1450067,265.5,283.0,414.1,247.8,43.2
1450068,188.8,479.9,486.3,105.8,382.9
1450069,376.4,443.9,73.1,146.3,110.4
1450070,43.2,158.5,430.7,301.5,180.3
1450071,274.0,175.1,369.6,369.6,165.2
1450072,320.5,203.5,418.3,166.8,412.3
1450073,222.8,167.8,261.1,339.3,187.8
1450074,130.1,115.9,421.3,51.0,447.1
1450075,16.7,154.9,314.7,214.3,190.0
1450076,12.2,89.2,295.0,246.0,15.9
1450077,229.0,335.4,109.8,473.4,497.6
1450078,144.7,93.7,131.3,178.6,78.5
1450079,93.0,16.1,179.3,249.6,455.9
1450080,133.7,41.4,62.0,124.4,232.9
1450081,361.4,424.6,396.5,18.9,243.6
1450082,85.2,54.7,133.9,251.0,178.0
1450083,151.3,56.8,297.0,174.1,481.0
1450084,80.2,167.7,389.4,148.0,251.7
1450085,338.0,458.3,35.7,11.9,22.8
1450086,192.8,30.1,94.7,115.4,301.5
1450087,255.5,203.1,127.4,297.0,120.6
1450088,448.1,364.3,19.0,146.8,221.6
1450089,447.6,359.1,156.5,484.0,261.0
1450090,439.4,124.0,334.5,189.6,74.5
1450091,285.9,218.9,153.4,273.3,153.3
1450092,262.0,216.5,246.0,235.1,198.8
1450093,258.7,137.1,32.7,438.7,39.1
1450094,74.9,216.1,484.1,142.9,443.4
1450095,434.2,307.2,107.5,289.8,425.9
1450096,81.3,13.8,281.5,209.2,53.4
1450097,75.6,494.3,18.2,415.6,432.3
1450098,376.5,437.1,130.1,338.5,114.1
1450099,438.7,491.2,41.7,254.9,311.3
1450100,102.5,225.1,443.8,185.0,242.2
1450101,320.3,318.7,423.9,231.5,306.2
1450102,50.8,45.0,128.5,473.3,270.0
1450103,97.3,361.9,456.1,307.0,101.7
