BorrowerID,GroupSize,WeeklyIncome,RepaymentRate_Percent,PriorLoans,Defaulted
1060001,154.1,185.6,43.8,114.0,0
1060002,75.2,113.8,31.6,89.5,1
1060003,111.3,182.1,59.6,67.9,0
1060004,116.6,133.5,35.7,126.6,1
1060005,70.7,172.4,16.9,97.7,0
1060006,84.9,139.0,38.8,101.4,0
1060007,106.4,158.1,59.2,69.0,0
1060008,104.5,116.9,47.7,141.3,0
1060009,139.5,166.8,62.7,57.9,0
1060010,101.6,115.4,45.6,97.0,1
1060011,63.2,166.7,49.2,100.7,0
1060012,98.1,76.2,59.4,85.9,1
1060013,138.9,116.4,53.2,128.6,0
1060014,50.7,185.2,27.6,81.9,0
1060015,107.6,125.1,42.3,71.2,1
1060016,38.8,136.7,96.3,117.4,0
1060017,129.7,89.2,42.4,89.7,1
1060018,110.0,99.0,25.4,79.8,1
1060019,82.7,107.2,56.2,90.1,1
1060020,77.0,161.3,61.8,120.7,0
1060021,49.1,141.8,23.4,79.1,0
1060022,77.0,74.1,61.3,134.2,1
1060023,93.4,98.4,25.4,87.1,1
1060024,88.6,182.3,17.2,131.3,0
1060025,115.0,142.3,26.0,88.0,0
1060026,86.4,116.6,40.9,98.0,1
1060027,98.5,175.1,36.6,92.4,0
1060028,119.5,163.0,25.3,115.2,0
1060029,102.6,134.2,58.1,85.9,0
1060030,91.1,62.6,39.3,96.5,1
1060031,85.9,78.2,52.3,69.8,1
1060032,120.2,55.0,78.0,72.3,1
1060033,66.7,145.9,53.8,83.5,0
1060034,102.6,96.9,68.0,68.0,1
1060035,108.4,139.1,59.0,117.1,1
1060036,43.4,118.2,30.6,129.8,1
1060037,129.8,110.9,31.4,118.9,0
1060038,108.8,281.5,52.5,88.2,0
1060039,102.8,96.3,48.1,87.1,1
1060040,90.3,140.3,33.0,72.5,1
1060041,139.8,55.0,65.1,100.1,0
1060042,104.6,137.9,45.0,76.6,0
1060043,141.3,97.5,30.4,137.0,1
1060044,41.7,141.8,45.7,116.9,1
1060045,109.3,100.7,56.5,111.1,1
1060046,63.1,178.1,42.6,103.2,0
1060047,116.0,70.8,60.7,78.3,0
1060048,74.4,123.4,76.5,76.8,1
1060049,91.6,111.6,37.8,136.1,1
1060050,64.9,122.7,44.6,152.6,0
1060051,44.4,69.4,32.3,120.8,1
1060052,128.3,,49.6,108.5,0
1060053,61.4,151.2,36.6,94.9,0
1060054,109.0,93.3,47.7,71.9,1
1060055,89.6,123.8,66.9,43.6,1
1060056,70.9,126.5,50.5,99.6,1
1060057,104.5,86.7,85.3,92.8,1
1060058,92.5,186.8,39.7,133.6,0
1060059,77.9,46.7,34.0,92.0,1
1060060,86.6,139.9,24.5,79.2,1
1060061,117.2,162.2,12.6,111.4,0
1060062,125.7,96.4,44.6,165.6,1
1060063,84.2,,30.7,98.9,1
1060064,87.5,39.1,31.6,107.5,1
1060065,90.4,197.0,37.8,121.2,0
1060066,84.8,59.3,45.3,92.2,1
1060067,110.4,115.7,44.6,128.3,0
1060068,88.4,152.2,38.7,68.0,0
1060069,89.7,105.8,19.7,126.6,1
1060070,60.6,93.0,89.8,84.1,1
1060071,131.8,70.2,41.3,109.1,1
1060072,105.8,68.1,52.6,122.2,1
1060073,110.1,108.8,46.9,133.4,1
1060074,90.0,112.3,33.4,116.3,1
1060075,133.1,145.1,62.7,116.3,0
1060076,78.0,118.6,22.8,110.6,1
1060077,109.3,130.6,41.3,102.9,0
1060078,106.7,90.5,26.0,108.2,1
1060079,110.1,118.1,33.2,96.1,0
1060080,98.3,143.6,58.2,145.2,0
1060081,58.6,114.8,87.1,158.1,0
1060082,56.5,181.4,60.3,89.6,1
1060083,123.3,172.6,54.9,128.7,0
1060084,125.4,100.6,69.1,119.6,1
1060085,88.8,174.3,59.7,75.8,0
1060086,97.2,81.5,68.7,126.9,1
1060087,76.0,149.8,61.8,68.1,0
1060088,51.7,163.1,60.9,131.9,0
1060089,97.0,70.4,43.9,53.6,1
1060090,98.5,184.9,78.1,121.1,1
1060091,120.3,46.6,40.8,123.9,0
1060092,83.2,78.5,47.4,110.3,1
1060093,125.5,120.0,51.8,87.3,1
1060094,122.8,138.8,27.2,84.5,0
1060095,82.7,148.3,59.5,106.6,0
1060096,128.2,153.8,58.9,161.3,0
1060097,98.4,134.6,53.2,114.1,1
1060098,103.5,145.4,31.0,94.7,1
1060099,95.0,89.9,61.7,101.2,1
1060100,88.4,134.5,52.4,61.0,1
1060101,133.8,89.9,55.5,87.9,1
1060102,125.1,88.6,34.7,95.4,1
1060103,70.0,124.0,73.9,95.4,0
1060104,124.1,144.1,61.6,68.4,0
1060105,73.2,134.1,60.9,75.7,0
1060106,111.5,114.9,35.6,131.8,0
1060107,90.5,112.0,44.8,88.2,1
1060108,125.0,143.4,27.5,126.3,0
1060109,77.2,46.2,51.8,115.3,1
1060110,55.9,136.8,52.3,127.4,1
1060111,109.0,145.7,39.2,86.9,0
1060112,106.5,87.5,64.6,125.8,1
1060113,80.0,105.5,34.4,69.6,0
1060114,128.1,117.7,36.8,54.5,1
1060115,119.4,206.1,49.1,77.1,0
1060116,78.9,173.1,49.0,73.6,0
1060117,85.2,190.9,36.2,119.0,0
1060118,95.9,113.1,41.8,61.5,1
1060119,130.9,81.4,63.3,109.9,1
1060120,137.2,131.2,70.2,98.6,0
1060121,108.8,81.7,39.3,128.1,1
1060122,100.4,116.5,48.8,112.1,0
1060123,73.9,88.8,47.3,122.1,1
1060124,127.7,131.2,59.6,68.2,1
1060125,68.5,206.6,62.7,117.9,1
1060126,150.0,82.1,55.3,63.7,1
1060127,93.5,159.1,39.2,85.4,0
1060128,99.3,97.8,54.3,127.2,1
1060129,96.8,105.7,66.0,57.1,0
1060130,155.2,82.3,51.4,72.3,1
1060131,87.7,72.4,42.1,123.4,1
1060132,111.8,79.6,48.0,128.0,0
1060133,103.3,51.8,63.5,80.0,1
1060134,88.4,105.5,33.7,93.2,1
1060135,121.0,123.4,36.1,95.2,0
1060136,80.3,103.9,40.5,128.9,0
1060137,103.2,104.4,59.4,83.9,1
1060138,91.3,116.9,39.8,94.8,1
1060139,135.2,44.0,47.0,80.1,1
1060140,125.3,183.3,33.9,124.2,0
1060141,133.4,193.0,43.0,139.7,0
1060142,83.8,127.4,45.0,51.4,1
1060143,124.8,174.0,47.5,112.2,1
1060144,139.2,127.0,38.5,89.1,0
1060145,117.8,129.1,32.5,143.8,1
1060146,155.0,148.1,37.4,91.6,1
1060147,162.8,150.7,44.4,114.4,0
1060148,74.3,139.6,29.7,116.5,1
1060149,104.9,172.3,52.2,94.8,0
1060150,96.0,128.0,50.7,126.0,0
1060151,85.5,161.7,70.6,142.9,1
1060152,94.0,124.5,32.4,75.4,0
1060153,106.5,105.6,54.3,115.7,1
1060154,78.7,97.3,45.6,85.6,0
1060155,110.2,36.6,28.1,116.2,0
1060156,89.9,28.7,35.5,68.7,0
1060157,67.0,,49.8,86.2,1
1060158,125.9,140.2,46.1,77.6,0
1060159,130.4,182.7,83.2,99.4,0
1060160,113.1,149.8,60.3,126.9,1
1060161,83.7,184.2,48.9,96.1,0
1060162,129.3,85.6,45.5,88.2,0
1060163,95.1,98.5,19.5,114.4,1
1060164,110.2,114.5,32.1,100.5,1
1060165,87.1,103.1,53.2,81.4,1
1060166,152.7,77.7,70.8,141.9,1
1060167,120.8,183.2,77.2,133.6,0
1060168,127.7,142.6,51.5,110.9,1
1060169,109.6,139.9,50.3,102.1,0
1060170,104.7,152.3,43.9,140.9,1
1060171,142.4,131.0,68.2,83.2,0
1060172,66.6,116.8,55.1,112.0,0
1060173,100.2,164.7,45.1,108.7,0
1060174,73.7,99.6,67.8,73.1,0
1060175,77.9,112.7,52.5,121.8,0
1060176,107.5,136.5,85.6,104.5,0
1060177,103.2,128.7,31.0,82.1,1
1060178,102.5,24.0,52.8,153.0,1
1060179,86.9,205.8,77.9,124.2,0
1060180,124.5,196.9,67.2,88.2,1
1060181,140.1,85.4,73.9,72.6,1
1060182,147.5,129.7,55.8,71.6,0
1060183,108.6,105.6,53.9,102.8,1
1060184,83.1,176.4,73.9,141.2,0
1060185,57.5,101.1,34.5,70.4,1
1060186,52.6,170.5,39.3,128.1,0
1060187,86.8,240.9,53.3,73.9,0
1060188,69.1,97.8,40.5,110.5,1
1060189,153.0,145.1,49.6,100.9,0
1060190,95.0,137.2,31.4,86.2,1
1060191,47.7,160.5,31.6,90.8,0
1060192,59.9,187.5,38.0,155.1,0
1060193,90.9,71.3,22.3,75.9,0
1060194,52.4,,78.3,122.1,1
1060195,111.3,119.0,31.0,86.3,0
1060196,104.8,137.6,62.2,74.5,0
1060197,67.1,77.9,46.6,68.3,1
1060198,81.5,92.6,56.2,63.6,0
1060199,75.4,170.6,22.9,113.9,0
1060200,131.8,170.7,23.3,128.6,1
1060201,129.7,187.4,50.5,105.5,0
1060202,111.6,82.1,45.9,131.1,1
1060203,135.2,141.8,34.3,111.8,1
1060204,58.9,66.7,49.7,66.9,0
1060205,112.2,73.0,20.4,117.9,0
1060206,82.6,145.8,48.8,106.3,0
