MovieID,Title,ReleaseYear,Genre,Runtime,AvgRating
90001,Movie Title 1,1985,Romance,106,2.94
90002,Movie Title 2,1982,Horror,92,
90003,Movie Title 3,1995,Romance,98,3.88
90004,Movie Title 4,2003,Comedy,145,3.98
90005,Movie Title 5,2013,Action,107,2.63
90006,Movie Title 6,1980,Horror,105,4.22
90007,Movie Title 7,1987,Sci-Fi,113,2.7
90008,Movie Title 8,1997,Sci-Fi,118,2.57
90009,Movie Title 9,1989,Drama,133,5.0
90010,Movie Title 10,1986,Drama,87,4.28
90011,Movie Title 11,2021,Drama,90,4.79
90012,Movie Title 12,1984,Drama,112,3.43
90013,Movie Title 13,1993,Drama,73,3.54
90014,Movie Title 14,2010,Sci-Fi,122,3.78
90015,Movie Title 15,2002,Comedy,90,3.97
90016,Movie Title 16,2000,Drama,135,4.43
90017,Movie Title 17,1996,Drama,122,
90018,Movie Title 18,2018,Comedy,132,3.04
90019,Movie Title 19,2005,Action,116,3.76
90020,Movie Title 20,2003,Action,106,2.5
90021,Movie Title 21,1983,Action,119,2.97
90022,Movie Title 22,1981,Drama,116,3.85
90023,Movie Title 23,1998,Sci-Fi,132,3.11
90024,Movie Title 24,1991,Action,122,2.73
90025,Movie Title 25,2006,Drama,111,3.59
90026,Movie Title 26,2004,Sci-Fi,92,2.27
90027,Movie Title 27,2019,Horror,100,2.78
90028,Movie Title 28,1987,Sci-Fi,103,3.78
90029,Movie Title 29,1998,Action,140,3.09
90030,Movie Title 30,2019,Drama,107,3.29
90031,Movie Title 31,1987,Sci-Fi,77,4.29
90032,Movie Title 32,1988,Comedy,107,3.28
90033,Movie Title 33,1999,Sci-Fi,117,3.16
90034,Movie Title 34,1994,Romance,103,3.54
90035,Movie Title 35,1983,Horror,70,4.46
90036,Movie Title 36,1985,Drama,146,4.93
90037,Movie Title 37,1988,Action,146,3.31
90038,Movie Title 38,1999,Comedy,106,4.15
90039,Movie Title 39,2020,Drama,126,3.88
90040,Movie Title 40,1981,Drama,123,3.7
90041,Movie Title 41,2023,Horror,118,4.17
90042,Movie Title 42,1992,Drama,109,3.85
90043,Movie Title 43,1993,Drama,61,4.46
90044,Movie Title 44,2007,Sci-Fi,106,3.59
90045,Movie Title 45,1992,Drama,100,3.14
90046,Movie Title 46,1982,Action,85,3.1
90047,Movie Title 47,1982,Sci-Fi,117,4.24
90048,Movie Title 48,1993,Drama,146,4.03
90049,Movie Title 49,2004,Action,121,2.64
90050,Movie Title 50,1982,Comedy,110,3.5
90051,Movie Title 51,2015,Horror,105,3.95
90052,Movie Title 52,2021,Comedy,96,3.31
90053,Movie Title 53,1992,Sci-Fi,101,2.96
90054,Movie Title 54,2005,Drama,64,2.98
90055,Movie Title 55,2005,Action,111,2.76
90056,Movie Title 56,2005,Horror,97,4.18
90057,Movie Title 57,1983,Drama,125,3.44
90058,Movie Title 58,2008,Action,151,3.82
90059,Movie Title 59,2001,Drama,116,2.81
90060,Movie Title 60,2010,Drama,118,3.65
90061,Movie Title 61,2023,Drama,130,2.95
90062,Movie Title 62,2001,Comedy,90,4.09
90063,Movie Title 63,1992,Drama,136,3.17
90064,Movie Title 64,1994,Action,116,3.79
90065,Movie Title 65,1984,Comedy,152,4.08
90066,Movie Title 66,2007,Comedy,110,3.62
90067,Movie Title 67,1999,Drama,134,4.65
90068,Movie Title 68,2023,Action,108,2.74
90069,Movie Title 69,1996,Comedy,101,3.56
90070,Movie Title 70,1995,Romance,98,3.05
90071,Movie Title 71,2008,Action,99,3.18
90072,Movie Title 72,1998,Drama,123,3.21
90073,Movie Title 73,1996,Comedy,103,4.24
90074,Movie Title 74,1981,Sci-Fi,90,2.76
90075,Movie Title 75,2010,Action,137,2.53
90076,Movie Title 76,2000,Drama,92,3.94
90077,Movie Title 77,2018,Horror,130,3.48
90078,Movie Title 78,2008,Comedy,90,2.47
90079,Movie Title 79,2015,Comedy,95,3.37
90080,Movie Title 80,2017,Comedy,111,2.35
90081,Movie Title 81,2012,Comedy,91,2.81
90082,Movie Title 82,1995,Comedy,109,4.31
90083,Movie Title 83,2016,Action,113,2.96
90084,Movie Title 84,1989,Drama,120,3.47
90085,Movie Title 85,1999,Comedy,120,3.99
90086,Movie Title 86,2013,Drama,79,3.67
90087,Movie Title 87,1999,Sci-Fi,138,3.31
90088,Movie Title 88,1988,Drama,69,4.78
90089,Movie Title 89,2009,Action,112,3.51
90090,Movie Title 90,2014,Sci-Fi,122,3.37
90091,Movie Title 91,2018,Horror,121,2.82
90092,Movie Title 92,1998,Comedy,108,3.4
90093,Movie Title 93,2002,Sci-Fi,142,3.05
90094,Movie Title 94,2012,Action,124,3.82
90095,Movie Title 95,2009,Romance,111,2.47
90096,Movie Title 96,2008,Comedy,124,4.11
90097,Movie Title 97,2017,Action,124,3.4
90098,Movie Title 98,1982,Action,92,4.17
90099,Movie Title 99,2008,Drama,148,4.0
90100,Movie Title 100,2008,Comedy,124,3.09
90101,Movie Title 101,2016,Horror,133,4.03
90102,Movie Title 102,1986,Drama,97,4.7
90103,Movie Title 103,1985,Sci-Fi,124,3.45
90104,Movie Title 104,1993,Sci-Fi,104,3.52
90105,Movie Title 105,2018,Sci-Fi,80,
90106,Movie Title 106,2010,Horror,107,3.66
90107,Movie Title 107,2011,Comedy,120,2.98
90108,Movie Title 108,2001,Sci-Fi,86,3.13
90109,Movie Title 109,2004,Drama,117,4.55
90110,Movie Title 110,2003,Action,110,3.26
90111,Movie Title 111,1994,Sci-Fi,142,2.86
90112,Movie Title 112,2017,Drama,123,4.15
90113,Movie Title 113,2000,Drama,101,3.63
90114,Movie Title 114,2006,Comedy,130,2.2
90115,Movie Title 115,1985,Action,142,2.93
90116,Movie Title 116,1989,Drama,102,5.0
90117,Movie Title 117,1989,Action,115,3.54
90118,Movie Title 118,1989,Comedy,101,3.64
90119,Movie Title 119,2015,Drama,88,4.21
90120,Movie Title 120,1986,Comedy,125,3.52
90121,Movie Title 121,2004,Comedy,117,3.64
90122,Movie Title 122,2022,Drama,110,4.14
90123,Movie Title 123,2004,Action,105,3.07
90124,Movie Title 124,1989,Drama,133,3.56
90125,Movie Title 125,1983,Comedy,126,3.27
90126,Movie Title 126,1988,Romance,108,3.21
90127,Movie Title 127,2000,Action,95,3.12
90128,Movie Title 128,2023,Drama,95,4.54
90129,Movie Title 129,1986,Romance,116,3.01
90130,Movie Title 130,1982,Horror,86,3.52
90131,Movie Title 131,2019,Action,143,3.34
90132,Movie Title 132,1990,Drama,150,3.65
90133,Movie Title 133,2020,Comedy,115,2.98
90134,Movie Title 134,1990,Drama,94,3.73
90135,Movie Title 135,1998,Action,99,2.56
90136,Movie Title 136,1994,Comedy,122,4.1
90137,Movie Title 137,2001,Drama,108,4.7
90138,Movie Title 138,2000,Drama,139,4.23
90139,Movie Title 139,2020,Comedy,121,3.46
90140,Movie Title 140,2009,Romance,149,2.25
90141,Movie Title 141,2022,Sci-Fi,89,2.96
90142,Movie Title 142,2005,Action,127,4.14
90143,Movie Title 143,1995,Sci-Fi,111,
90144,Movie Title 144,1989,Horror,115,3.39
90145,Movie Title 145,1994,Horror,89,3.91
90146,Movie Title 146,2006,Comedy,115,3.3
90147,Movie Title 147,2014,Action,107,2.39
90148,Movie Title 148,1998,Comedy,117,4.22
90149,Movie Title 149,1997,Sci-Fi,119,3.71
90150,Movie Title 150,2022,Action,163,3.01
90151,Movie Title 151,2022,Drama,121,3.31
90152,Movie Title 152,1987,Horror,117,4.14
90153,Movie Title 153,2002,Drama,88,2.84
90154,Movie Title 154,2015,Drama,97,3.4
90155,Movie Title 155,2015,Romance,73,2.74
90156,Movie Title 156,2015,Sci-Fi,110,3.92
90157,Movie Title 157,1994,Comedy,87,3.37
90158,Movie Title 158,2007,Drama,130,4.16
90159,Movie Title 159,1987,Romance,109,3.37
90160,Movie Title 160,2022,Action,123,2.31
90161,Movie Title 161,2008,Comedy,81,2.66
90162,Movie Title 162,2015,Comedy,87,2.97
90163,Movie Title 163,1981,Comedy,85,3.46
90164,Movie Title 164,2017,Romance,148,2.62
