DistrictID,SingleHouseholdRatio_Percent,DailyWasteVolume_Kg,RecyclingRate_Percent,FineImposedCount,WasteManagementGrade
1570001,50.7,94.3,65.1,118.5,36.0
1570002,65.0,148.3,55.0,70.2,30.0
1570003,,122.4,54.2,131.1,47.0
1570004,31.9,77.8,27.1,91.7,43.0
1570005,58.3,100.3,49.8,76.5,42.0
1570006,65.5,94.6,25.2,125.8,62.0
1570007,40.5,97.3,67.4,110.6,50.0
1570008,20.8,142.1,48.9,115.3,27.0
1570009,26.3,85.5,54.9,84.8,36.0
1570010,41.8,102.7,78.9,98.0,53.0
1570011,36.1,63.0,23.9,79.5,59.0
1570012,65.1,138.7,29.8,128.3,25.0
1570013,18.9,86.4,60.6,95.8,53.0
1570014,39.9,109.5,41.3,93.0,36.0
1570015,46.1,97.8,40.4,158.7,45.0
1570016,35.2,95.8,69.6,127.0,64.0
1570017,52.7,135.2,74.6,110.0,34.0
1570018,54.6,117.0,34.2,104.1,36.0
1570019,61.9,94.4,57.4,63.9,40.0
1570020,43.1,51.1,48.6,53.7,29.0
1570021,58.0,99.7,24.7,74.1,34.0
1570022,24.6,95.8,64.5,152.5,12.0
1570023,28.6,141.2,69.9,83.7,16.0
1570024,28.5,85.7,48.2,118.5,56.0
1570025,54.2,86.5,21.4,89.8,25.0
1570026,33.3,61.5,63.5,78.2,36.0
1570027,34.1,114.5,37.4,150.4,34.0
1570028,46.8,119.1,54.5,112.4,43.0
1570029,61.2,134.4,26.6,78.1,41.0
1570030,71.7,99.4,50.8,90.8,57.0
1570031,44.9,51.9,28.5,88.4,65.0
1570032,47.2,115.8,77.7,88.3,64.0
1570033,50.9,95.3,52.6,100.5,18.0
1570034,39.4,82.9,46.5,96.6,41.0
1570035,48.1,91.5,52.5,98.3,26.0
1570036,42.9,113.0,42.1,143.6,47.0
1570037,22.5,97.5,67.1,101.6,46.0
1570038,26.1,85.0,65.3,58.4,47.0
1570039,39.6,100.1,59.1,95.8,31.0
1570040,30.2,117.5,42.9,74.0,59.0
1570041,44.2,139.5,54.4,128.3,44.0
1570042,44.9,98.9,28.0,94.8,35.0
1570043,25.4,58.5,22.1,80.4,20.0
1570044,50.0,80.7,42.7,67.1,29.0
1570045,35.0,123.6,56.8,94.5,37.0
1570046,51.4,111.1,51.1,108.0,40.0
1570047,40.6,119.4,34.0,136.3,66.0
1570048,45.9,74.3,48.2,127.4,61.0
1570049,30.4,90.6,35.8,142.2,31.0
1570050,,102.1,53.3,95.6,38.0
1570051,55.8,104.1,69.6,89.2,34.0
1570052,58.8,112.7,47.8,76.1,22.0
1570053,55.3,99.1,35.0,86.5,43.0
1570054,40.9,95.5,72.6,49.5,31.0
