ArticleID,SensationalismScore,AdDensity_Percent,ReaderDwellTimeSeconds,ShareCount,IsClickbait
1640001,5.1,48.2,1.0,63.3,99.9
1640002,5.7,69.0,8.6,116.2,88.5
1640003,8.4,41.4,11.3,161.9,86.6
1640004,6.4,44.1,7.5,104.2,78.0
1640005,10.0,52.2,47.2,101.7,84.2
1640006,7.0,8.2,1.1,81.0,99.9
1640007,5.4,52.8,9.9,117.9,103.9
1640008,7.5,55.5,15.9,122.3,117.4
1640009,4.8,34.5,27.5,115.1,111.4
1640010,8.5,56.6,59.8,86.4,75.2
1640011,7.1,52.9,16.4,161.3,103.4
1640012,8.1,49.9,,93.5,72.6
1640013,7.7,35.8,1.2,62.2,137.4
1640014,8.2,57.0,23.9,93.4,85.5
1640015,8.5,36.0,16.0,91.4,57.1
1640016,5.0,42.8,16.8,97.2,100.2
1640017,9.0,45.3,31.7,150.8,74.6
1640018,8.2,53.3,20.9,54.9,112.6
1640019,7.4,73.3,16.3,108.4,60.9
1640020,7.8,36.6,18.8,102.9,126.0
1640021,6.8,58.5,3.8,96.7,110.2
1640022,8.8,30.5,31.8,94.2,161.5
1640023,8.1,29.7,23.2,84.1,136.1
1640024,5.7,49.2,14.2,91.8,131.6
1640025,6.7,32.2,12.7,79.8,110.9
1640026,6.8,31.7,8.2,124.7,59.7
1640027,7.7,64.9,1.1,80.0,113.1
1640028,8.7,52.2,1.0,161.9,95.7
1640029,7.8,26.1,12.5,109.2,93.9
1640030,5.4,53.3,5.1,130.0,106.6
1640031,5.2,30.4,16.4,66.1,91.9
1640032,8.1,49.9,6.7,143.6,86.0
1640033,6.3,68.6,6.6,72.1,96.3
1640034,6.5,27.5,10.3,101.4,91.4
1640035,7.6,41.1,3.5,74.8,163.0
1640036,8.0,26.1,1.3,96.3,69.5
1640037,6.1,68.5,3.1,76.8,147.5
1640038,7.3,29.6,1.0,103.1,96.5
1640039,6.9,42.9,21.8,112.9,102.2
1640040,5.8,53.6,35.9,119.7,67.1
1640041,6.9,38.8,14.4,94.6,73.8
1640042,9.4,40.2,15.2,104.6,114.8
1640043,8.6,45.7,5.7,120.5,116.3
1640044,4.4,41.5,26.5,126.8,137.0
1640045,5.9,56.3,10.0,116.0,88.4
1640046,7.8,37.1,19.9,67.6,81.2
1640047,10.0,21.1,14.3,93.5,93.1
1640048,7.7,55.4,1.0,97.8,100.6
1640049,8.8,45.2,22.2,109.6,27.5
1640050,7.2,69.6,8.3,151.0,126.5
1640051,7.5,5.8,2.9,122.3,63.0
1640052,6.9,50.7,24.3,138.1,136.0
1640053,8.7,58.0,2.5,87.8,57.4
1640054,5.3,31.6,2.7,75.0,126.4
1640055,4.6,25.7,30.4,114.6,83.6
1640056,6.9,53.9,19.8,91.5,108.1
1640057,7.5,11.6,18.5,140.5,45.0
1640058,8.9,46.7,1.2,88.6,112.3
1640059,5.6,47.3,24.5,79.7,103.7
1640060,5.0,49.4,21.5,88.3,129.7
1640061,8.1,24.8,1.0,67.6,84.4
1640062,6.8,79.7,11.6,84.0,100.4
1640063,6.5,32.6,1.0,104.4,53.2
1640064,8.2,48.0,22.3,76.5,124.7
1640065,6.6,48.2,9.4,118.3,76.1
1640066,5.2,42.2,6.4,122.7,81.7
1640067,9.0,31.0,89.1,106.3,77.7
1640068,8.0,37.9,6.7,51.3,85.8
1640069,7.3,47.2,26.7,56.4,123.3
1640070,5.0,37.3,7.1,100.5,76.3
1640071,5.6,57.8,19.7,107.5,59.8
1640072,3.5,42.8,1.2,96.6,128.3
1640073,7.0,47.6,9.8,117.8,77.1
1640074,6.2,27.2,32.6,80.5,62.6
