LoanID,CreditScore,DebtToIncome,AnnualIncome,EmploymentYears,Defaulted
1010001,850.0,54.8,37699.0,14.5,0
1010002,724.0,43.9,86013.0,3.5,0
1010003,744.0,39.2,81377.0,3.9,0
1010004,715.0,51.6,63804.0,3.5,0
1010005,726.0,37.4,61240.0,3.1,0
1010006,658.0,46.3,31914.0,1.8,1
1010007,621.0,44.7,94826.0,12.7,0
1010008,722.0,60.7,104500.0,12.3,0
1010009,539.0,43.8,58502.0,4.8,1
1010010,732.0,50.3,72923.0,7.6,0
1010011,717.0,29.6,28000.0,5.4,1
1010012,639.0,41.6,58133.0,12.8,1
1010013,693.0,64.6,74918.0,7.7,0
1010014,627.0,65.4,54007.0,8.7,1
1010015,615.0,55.3,54329.0,6.0,1
1010016,747.0,36.9,53401.0,14.2,1
1010017,693.0,32.9,67129.0,3.7,0
1010018,819.0,,104077.0,14.0,0
1010019,850.0,36.7,83315.0,4.6,0
1010020,728.0,50.5,57427.0,12.8,1
1010021,701.0,34.2,75383.0,2.7,0
1010022,799.0,29.6,97664.0,12.9,1
1010023,561.0,27.2,60293.0,9.5,1
1010024,599.0,34.1,60415.0,13.1,1
1010025,671.0,13.8,82540.0,5.8,0
1010026,707.0,22.3,65543.0,4.8,0
1010027,692.0,30.3,75906.0,11.0,0
1010028,693.0,39.9,66422.0,3.0,1
1010029,737.0,69.4,61895.0,14.5,1
1010030,685.0,56.7,119944.0,2.9,0
1010031,725.0,48.2,49842.0,13.0,0
1010032,703.0,21.0,58669.0,11.3,0
1010033,645.0,37.2,76315.0,5.5,0
1010034,627.0,54.6,80809.0,2.7,0
1010035,614.0,,64004.0,2.7,1
1010036,714.0,10.0,60083.0,3.8,0
1010037,672.0,65.5,65883.0,12.5,0
1010038,813.0,42.4,59564.0,8.8,0
1010039,697.0,58.7,75127.0,11.6,0
1010040,820.0,36.4,42647.0,8.8,1
1010041,610.0,44.1,59508.0,1.6,1
1010042,694.0,26.9,73541.0,11.2,1
1010043,600.0,46.3,76669.0,1.0,1
1010044,680.0,68.2,64526.0,8.9,0
1010045,752.0,64.7,79269.0,3.7,0
1010046,669.0,57.5,22623.0,8.8,1
1010047,678.0,32.9,64780.0,14.8,1
1010048,725.0,41.4,51375.0,15.0,1
1010049,831.0,36.2,76209.0,4.8,0
1010050,637.0,50.2,74316.0,12.8,1
1010051,627.0,59.8,96513.0,9.5,0
1010052,656.0,27.2,49820.0,5.5,1
1010053,690.0,36.9,32756.0,4.9,1
1010054,646.0,59.0,90305.0,8.0,0
1010055,719.0,61.6,65699.0,13.7,0
1010056,752.0,26.8,58704.0,14.7,1
1010057,615.0,43.8,79178.0,2.0,0
1010058,810.0,63.6,30948.0,1.2,1
1010059,601.0,63.5,54155.0,9.5,0
1010060,723.0,39.5,65974.0,3.7,1
1010061,707.0,61.2,64076.0,10.9,0
1010062,826.0,50.6,67595.0,4.0,0
1010063,654.0,30.6,78712.0,6.7,1
1010064,696.0,70.4,66190.0,13.8,0
1010065,728.0,38.8,51547.0,1.6,1
1010066,752.0,43.2,52715.0,12.7,0
1010067,678.0,21.3,72602.0,8.6,0
1010068,816.0,37.5,89354.0,14.6,0
1010069,610.0,34.3,61784.0,14.8,0
1010070,628.0,18.3,97984.0,14.8,1
1010071,693.0,51.5,57784.0,9.4,1
1010072,629.0,34.3,57725.0,8.1,1
1010073,583.0,58.9,65590.0,12.6,1
1010074,784.0,40.5,106574.0,3.9,0
1010075,747.0,62.0,53541.0,10.6,0
1010076,530.0,,49479.0,9.7,1
1010077,749.0,42.2,84221.0,13.4,0
1010078,763.0,42.0,75970.0,9.7,0
1010079,607.0,32.3,47106.0,1.6,1
1010080,770.0,37.5,73307.0,4.2,0
1010081,577.0,57.4,82279.0,6.5,0
1010082,645.0,57.2,65882.0,14.0,0
1010083,669.0,43.0,75208.0,11.0,0
1010084,714.0,43.7,69597.0,14.1,1
1010085,707.0,24.5,61561.0,11.4,1
1010086,696.0,37.5,53038.0,2.0,0
1010087,620.0,37.0,71192.0,1.7,0
1010088,788.0,25.1,67333.0,2.5,0
1010089,727.0,62.9,52912.0,1.5,0
1010090,642.0,42.0,74887.0,14.0,0
1010091,640.0,43.1,56279.0,8.6,0
